Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
30:20,1,1,Farkas Dárius,91,BEAC,F,Szombathely (HUN),2016.9.25
30:27,2,2,Juhász Balázs,96,DSC-SI,F,Szombathely (HUN),2016.9.25
30:35,3,3,Koszár Zsolt,86,SYN FIT SZTG,F,Szombathely (HUN),2016.9.25
31:00,4,4,Kovács Tamás,83,VEDAC,F,Szombathely (HUN),2016.9.25
31:12,5,5,Molnár Ákos,91,Vasas,F,Szombathely (HUN),2016.9.25
31:22,6,6,Szögi István,95,VEDAC,F,Szombathely (HUN),2016.9.25
32:00,7,7,Kovács Attila,96,SZoESE,F,Szombathely (HUN),2016.9.25
32:04,8,8,Horváth György,85,SZoESE,F,Szombathely (HUN),2016.9.25
32:15,9,9,Halmai Balázs,95,KSI SE,F,Szombathely (HUN),2016.9.25
32:20,10,10,Gregor László,92,Békéscsabai AC,F,Brcko (BIH),2016.6.25
32:20,10,10,Galamb Csaba,94,KARC,F,Szombathely (HUN),2016.9.25
32:33,12,12,Zsigmond Előd,90,Szekszárdi Sportközpont,F,Szombathely (HUN),2016.9.25
32:46,13,13,Jenkei Péter,92,Vasas,F,Szombathely (HUN),2016.9.25
32:56,14,14,Dani Áron,91,BEAC,F,Szombathely (HUN),2016.9.25
33:00,15,15,Burucs Ferenc,86,ELTE SE Sashegyi gepárdok,F,Budapest (HUN),2016.4.17
33:03,16,16,Csontos Imre,92,BEAC,F,Szombathely (HUN),2016.9.25
33:09,17,17,Venyercsán Bence,96,BHSE,F,Szombathely (HUN),2016.9.25
33:11,18,18,Kiss Gergő,95,VEDAC,F,Szombathely (HUN),2016.9.25
33:16,19,19,Bertalan Renátó,97,VEDAC,F,Szombathely (HUN),2016.9.25
33:22,20,20,Deli Gergely,87,ELTE SE Sashegyi gepárdok,F,Budapest (HUN),2016.4.17
33:28,21,21,Barabás Gábor,97,VEDAC,F,Szombathely (HUN),2016.9.25
33:45,22,22,Józsa Bence,97,BHSE,F,Szombathely (HUN),2016.9.25
33:59,23,23,Csikós Csaba,83,Tiszakécske VSE,F,Szombathely (HUN),2016.9.25
34:03,24,24,Deák Bálint,97,Szekszárdi Sportközpont,F,Szombathely (HUN),2016.9.25
34:06,25,25,Oláh Tamás,88,MAC,F,Budapest (HUN),2016.4.17
34:08,26,26,Beták Bence,92,ELTE SE Sashegyi gepárdok,F,Szombathely (HUN),2016.9.25
34:08,26,26,Mester Bálint,85,TFSE,F,Szombathely (HUN),2016.9.25
34:28,28,28,Balázs Levente,85,Budaörsi DSE,F,Budapest (HUN),2016.4.17
34:29,29,29,Kárász K. Zakariás,78,FTC,F,Szombathely (HUN),2016.9.25
34:32,30,30,Nemes Gergő,95,SZoESE,F,Szombathely (HUN),2016.9.25
34:36,31,31,Jacsev Sámuel,98,SZoESE,F,Szombathely (HUN),2016.9.25
34:37,-,32,Csikós Csaba,83,Tiszakécske VSE,F,Budapest (HUN),2016.4.17
34:43,32,33,Nick Márton,97,VEDAC,F,Szombathely (HUN),2016.9.25
34:45,33,34,Hargitai András,91,BEAC,F,Szombathely (HUN),2016.9.25
35:14,-,35,Hargitai András,91,BEAC,F,Budapest (HUN),2016.4.17
35:29,34,36,Tóth Róbert,97,Miskolci Sportiskola,F,Szombathely (HUN),2016.9.25
35:34,35,37,Vanek Ákos,84,FTC,F,Szombathely (HUN),2016.9.25
35:40,36,38,Ott Benjámin,98,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.9.25
36:12,-,39,Dani Áron,91,BEAC,F,Budapest (HUN),2016.4.17
36:13,37,40,Koch Domonkos,97,BEAC,F,Szombathely (HUN),2016.9.25
36:37,38,41,Urbán Zsolt,74,,F,Budapest (HUN),2016.4.17
36:40,39,42,Vas Gábor,77,,F,Budapest (HUN),2016.4.17
36:49,40,43,Kovács Bálint,90,Vasas,F,Szombathely (HUN),2016.9.25
36:53,41,44,Al-Hajal Sándor,80,FTC,F,Szombathely (HUN),2016.9.25
36:55,42,45,Tóth Mihály,97,BHSE,F,Szombathely (HUN),2016.9.25
37:10,43,46,Mészáros Viktor,99,,F,Budapest (HUN),2016.4.17
37:21,44,47,Némedi Zoltán,78,MAC,F,Budapest (HUN),2016.4.17
37:22,45,48,Fonyó Sándor,80,VEDAC,F,Szombathely (HUN),2016.9.25
37:22,45,48,Fux Dániel,96,VEDAC,F,Szombathely (HUN),2016.9.25
37:27,47,50,Csorba Gábor,79,,F,Budapest (HUN),2016.4.17
37:35,48,51,Takács Tibor,88,,F,Budapest (HUN),2016.4.17
37:39,49,52,Dénes Mátyás,98,A-Plast Ikarus BSE,F,Szombathely (HUN),2016.9.25
37:44,50,53,Srp Miklós,93,BHSE,F,Szombathely (HUN),2016.9.25
37:59,51,54,Kassai Károly,68,,F,Budapest (HUN),2016.4.17
30:31,1,1,Juhász Balázs,96,DSC-SI,F,Szombathely (HUN),2017.9.24
30:34,2,2,Kovács Tamás,83,VEDAC,F,Szombathely (HUN),2017.9.24
30:36,3,3,Koszár Zsolt,86,SYN FIT SZTG,F,Budapest (HUN),2017.4.09
30:52,-,4,Koszár Zsolt,86,SYN FIT SZTG,F,Szombathely (HUN),2017.9.24
30:55,4,5,Józsa Gábor,83,MAC,F,Budapest (HUN),2017.4.09
31:09,5,6,Galamb Csaba,94,KARC,F,Szombathely (HUN),2017.9.24
31:13,-,7,Kovács Tamás,83,VEDAC,F,Budapest (HUN),2017.4.09
31:24,6,8,Jenkei Péter,92,Vasas,F,Budapest (HUN),2017.4.09
31:32,7,9,Molnár Ákos,91,Vasas,F,Szombathely (HUN),2017.9.24
31:37,8,10,Minczér Albert,86,EAC,F,Budapest (HUN),2017.4.09
32:06,9,11,Horváth György,85,SZoESE,F,Szombathely (HUN),2017.9.24
32:12,-,12,Kovács Tamás,83,VEDAC,F,Brcko (BIH),2017.6.24
32:15,10,13,Halmai Balázs,95,KSI SE,F,Szombathely (HUN),2017.9.24
32:23,11,14,Bertalan Renátó,97,VEDAC,F,Szombathely (HUN),2017.9.24
32:30,12,15,Halász Ádám,93,PSN - Pécsi Sportiskola,F,Szombathely (HUN),2017.9.24
32:36,13,16,Kiss Dávid,91,PSN - Pécsi Sportiskola,F,Szombathely (HUN),2017.9.24
32:45,14,17,Fazekas Milán,93,PSN - Pécsi Sportiskola,F,Szombathely (HUN),2017.9.24
32:46,15,18,Pelsőczy Attila,83,TFSE,F,Szombathely (HUN),2017.9.24
32:49,16,19,Barabás Gábor,97,VEDAC,F,Szombathely (HUN),2017.9.24
32:50,-,20,Minczér Albert,86,EAC,F,Brcko (BIH),2017.6.24
32:53,17,21,Kovács Attila,96,SZoESE,F,Szombathely (HUN),2017.9.24
32:59,18,22,Dénes Ervin,96,A-Plast Ikarus BSE,F,Szombathely (HUN),2017.9.24
32:59,18,22,Józsa Bence,97,BHSE,F,Szombathely (HUN),2017.9.24
33:00,20,24,Oláh Tamás,88,MAC,F,Budapest (HUN),2017.4.09
33:07,21,25,Tóth Róbert,97,Miskolci Sportiskola,F,Szombathely (HUN),2017.9.24
33:08,22,26,Beták Bence,92,ELTE SE Sashegyi gepárdok,F,Szombathely (HUN),2017.9.24
33:09,23,27,Szederkényi Máté,78,EAC,F,Szombathely (HUN),2017.9.24
33:13,24,28,Jacsev Sámuel,98,SZoESE,F,Szombathely (HUN),2017.9.24
33:25,25,29,Schöffer Attila,96,BEAC,F,Budapest (HUN),2017.4.09
33:27,26,30,Karsai Márton,93,SZoESE,F,Budapest (HUN),2017.4.09
33:37,27,31,Dani Áron,91,BEAC,F,Szombathely (HUN),2017.9.24
33:39,28,32,Balázs Levente,85,Budaörsi DSE,F,Szombathely (HUN),2017.9.24
33:40,29,33,Diószegi Dávid,98,Békéscsabai AC,F,Szombathely (HUN),2017.9.24
33:44,30,34,Fonyó Sándor,80,VEDAC,F,Brcko (BIH),2017.6.24
33:44,30,34,Ott Benjámin,98,ZALASZÁM-ZAC,F,Szombathely (HUN),2017.9.24
33:56,32,36,Csikós Csaba,83,Tiszakécske VSE,F,Budapest (HUN),2017.4.09
34:10,33,37,Csontos Imre,92,BEAC,F,Szombathely (HUN),2017.9.24
34:13,-,38,Beták Bence,92,ELTE SE Sashegyi gepárdok,F,Budapest (HUN),2017.4.09
34:14,34,39,Gera Nándor,96,BEAC,F,Szombathely (HUN),2017.9.24
34:20,35,40,Koch Domonkos,97,BEAC,F,Szombathely (HUN),2017.9.24
34:23,36,41,Türei Gergely,89,Dunakeszi VSE,F,Szombathely (HUN),2017.9.24
34:25,-,42,Schöffer Attila,96,BEAC,F,Szombathely (HUN),2017.9.24
34:38,-,43,Gera Nándor,96,BEAC,F,Budapest (HUN),2017.4.09
35:10,37,44,Nick Márton,97,VEDAC,F,Szombathely (HUN),2017.9.24
35:23,38,45,Mester Bálint,85,TFSE,F,Szombathely (HUN),2017.9.24
35:26,39,46,Kárász K. Zakariás,78,FTC,F,Szombathely (HUN),2017.9.24
35:27,-,47,Kiss Dávid,91,PSN - Pécsi Sportiskola,F,Brcko (BIH),2017.6.24
35:40,40,48,Kovács Bálint,90,Vasas,F,Szombathely (HUN),2017.9.24
35:42,41,49,Rezessy Gergely,74,Vasas,F,Budapest (HUN),2017.4.09
35:53,42,50,Koch Ágoston,98,Soproni AC,F,Szombathely (HUN),2017.9.24
35:57,43,51,Steib Péter,80,TFSE,F,Szombathely (HUN),2017.9.24
36:01,44,52,Józsvai Dávid,85,Margitszigeti AC,F,Budapest (HUN),2017.4.09
36:21,45,53,Dénes Mátyás,98,A-Plast Ikarus BSE,F,Szombathely (HUN),2017.9.24
36:29,46,54,Szelley Áron,99,FTC,F,Szombathely (HUN),2017.9.24
36:33,47,55,Al-Hajal Sándor,80,FTC,F,Szombathely (HUN),2017.9.24
30:27,1,1,Bicsák Bence,95,PSN - Pécsi Sportiskola,F1,Szombathely (HUN),2018.9.23
30:45,2,2,Jenkei Péter,92,Vasas,F1,Szombathely (HUN),2018.9.23
30:52,3,3,Gregor László,92,Békéscsabai AC,F,Thessaloniki (GRE),2018.4.01
31:00,4,4,Csere Gáspár,91,BEAC,F1,Szombathely (HUN),2018.9.23
31:08,5,5,Józsa Gábor,83,MAC,F,Budapest (HUN),2018.4.15
31:15,6,6,Koszár Zsolt,86,VEDAC,F,Budapest (HUN),2018.4.15
31:41,7,7,Farkas Dárius,91,BEAC,F1,Szombathely (HUN),2018.9.23
31:47,8,8,Horváth György,85,SZoESE,F1,Szombathely (HUN),2018.9.23
31:47,8,8,Molnár Ákos,91,Vasas,F1,Szombathely (HUN),2018.9.23
32:15,10,10,Kovács Attila,96,SZoESE,F1,Szombathely (HUN),2018.9.23
32:24,11,11,Dani Áron,91,BEAC,F1,Szombathely (HUN),2018.9.23
32:26,12,12,Bertalan Renátó,97,VEDAC,F1,Szombathely (HUN),2018.9.23
32:31,13,13,Tugyi Levente,94,Miskolci Sportiskola,F,Őrmező (SVK),2018.3.1
32:34,14,14,Palkovits István,0,KARC,F1,Szombathely (HUN),2018.9.23
32:43,15,15,Venyercsán Bence,96,BHSE,F1,Szombathely (HUN),2018.9.23
32:51,16,16,Baumholczer Máté,92,PSN - Pécsi Sportiskola,F1,Szombathely (HUN),2018.9.23
32:59,17,17,Halmai Balázs,95,KSI SE,F1,Szombathely (HUN),2018.9.23
33:08,-,18,Tugyi Levente,94,Miskolci Sportiskola,F,Budapest (HUN),2018.4.15
33:14,18,19,Jacsev Sámuel,98,SZoESE,F1,Szombathely (HUN),2018.9.23
33:21,19,20,Bácskai Bence,0,BHSE,F1,Szombathely (HUN),2018.9.23
33:34,20,21,Gera Nándor,96,BEAC,F,Budapest (HUN),2018.4.15
33:41,21,22,Balázs Levente,85,Vasas,F1,Szombathely (HUN),2018.9.23
33:45,22,23,Sági József,71,VISE Vác,F,Budapest (HUN),2018.4.15
33:56,23,24,Fazekas Milán,93,PSN - Pécsi Sportiskola,F1,Szombathely (HUN),2018.9.23
33:56,23,24,Józsa Bence,97,BHSE,F1,Szombathely (HUN),2018.9.23
34:02,25,26,Deák Bálint,97,Szekszárdi Sportközpont,F,Budapest (HUN),2018.4.15
34:17,26,27,Csontos Imre,92,BEAC,F1,Szombathely (HUN),2018.9.23
34:27,27,28,Nagy Marcell,91,BHSE,F1,Szombathely (HUN),2018.9.23
34:30,28,29,Barabás Gábor,97,VEDAC,F1,Szombathely (HUN),2018.9.23
34:31,29,30,Koch Domonkos,97,BEAC,F1,Szombathely (HUN),2018.9.23
34:33,30,31,Kuttor Csaba,75,Ganzair Team Újbuda SE,F,Budapest (HUN),2018.4.15
34:46,31,32,Bognár Domonkos,98,FOOTOUR S.E. TATA,F1,Szombathely (HUN),2018.9.23
35:10,32,33,Rezessy Gergely,74,Vasas,F1,Szombathely (HUN),2018.9.23
35:12,33,34,Horváth Csongor,0,KSI SE,F1,Szombathely (HUN),2018.9.23
35:13,-,35,Koch Domonkos,97,BEAC,F,Budapest (HUN),2018.4.15
35:25,34,36,Gál Sándor,96,BHSE,F,Budapest (HUN),2018.4.15
35:28,-,37,Balázs Levente,85,Vasas,F,Budapest (HUN),2018.4.15
35:30,35,38,Koch Ágoston,98,BEAC,F1,Szombathely (HUN),2018.9.23
35:31,36,39,Gurály Attila,98,,F,Budapest (HUN),2018.4.15
35:37,37,40,Tóth Mihály,97,BHSE,F1,Szombathely (HUN),2018.9.23
35:38,-,41,Rezessy Gergely,74,Vasas,F,Budapest (HUN),2018.4.15
35:40,38,42,Bencze Dániel,91,KSI SE,F,Budapest (HUN),2018.4.15
35:53,39,43,Török Sándor,73,Dunakeszi VSE,F,Budapest (HUN),2018.4.15
36:11,40,44,Gyenes Donát,98,BEAC,F1,Szombathely (HUN),2018.9.23
36:17,-,45,Gera Nándor,96,BEAC,F1,Szombathely (HUN),2018.9.23
36:32,41,46,Havas Péter,83,Merkapt SE,F,Budapest (HUN),2018.4.15
37:03,42,47,Piukovics Norbert,91,BEAC,F1,Szombathely (HUN),2018.9.23
37:55,43,48,Major Csege,2,,F,Budapest (HUN),2018.4.15
37:56,44,49,Csorba Gábor,79,,F,Budapest (HUN),2018.4.15
38:15,45,50,Pop Leonardo,99,BEAC,F1,Szombathely (HUN),2018.9.23
38:39,46,51,Tomka János,97,SZoESE,F1,Szombathely (HUN),2018.9.23
38:56,47,52,Válik Ferenc,0,KARC,F1,Szombathely (HUN),2018.9.23
40:00,48,53,Soltész Benjamin,0,Hunyadi DSE,F1,Szombathely (HUN),2018.9.23
40:31,49,54,Turkevi-Nagy Dávid,0,KARC,F1,Szombathely (HUN),2018.9.23
45:10,50,55,Kovács-Biró József,98,VEDAC,F1,Szombathely (HUN),2018.9.23
30:48,1,1,Palkovits István,0,KARC,F1,Szombathely (HUN),2019.9.22
30:58,2,2,Farkas Dárius,91,BEAC,F1,Szombathely (HUN),2019.9.22
31:01,3,3,Molnár Ákos,91,Vasas,F1,Szombathely (HUN),2019.9.22
31:11,4,4,Horváth György,85,SZoESE,F1,Szombathely (HUN),2019.9.22
31:14,5,5,Szemerei Levente,0,Szekszárdi Sportközpont,F1,Szombathely (HUN),2019.9.22
31:17,6,6,Kovács Tamás,83,VEDAC,F1,Szombathely (HUN),2019.9.22
31:18,7,7,Csere Gáspár,91,BEAC,F1,Szombathely (HUN),2019.9.22
31:19,8,8,Kovács Attila,96,SZoESE,F1,Szombathely (HUN),2019.9.22
31:54,9,9,Szögi István,95,SVSE,F1,Szombathely (HUN),2019.9.22
32:00,10,10,Diószegi Dávid,98,Békéscsabai AC,F1,Szombathely (HUN),2019.9.22
32:08,11,11,Fazekas Milán,93,KARC,F1,Szombathely (HUN),2019.9.22
32:25,12,12,Dr.Jakab András,91,KARC,F1,Szombathely (HUN),2019.9.22
33:08,13,13,Jacsev Sámuel,98,SZoESE,F1,Szombathely (HUN),2019.9.22
33:47,14,14,Bognár Domonkos,98,BHSE,F1,Szombathely (HUN),2019.9.22
34:01,15,15,Józsa Bence,97,BHSE,F1,Szombathely (HUN),2019.9.22
34:08,16,16,Nick Márton,97,SVSE,F1,Szombathely (HUN),2019.9.22
34:11,17,17,Odonics Gábor,94,VEDAC,F1,Szombathely (HUN),2019.9.22
34:35,18,18,Egri Viktor,87,SVSE,F1,Szombathely (HUN),2019.9.22
34:57,19,19,Gyenes Donát,98,BEAC,F1,Szombathely (HUN),2019.9.22
35:41,20,20,Válik Ferenc,0,KARC,F1,Szombathely (HUN),2019.9.22
35:57,21,21,Nagy Patrik,92,SVSE,F1,Szombathely (HUN),2019.9.22
36:04,22,22,Koch Ágoston,98,BEAC,F1,Szombathely (HUN),2019.9.22
36:21,23,23,Szalay Levente,99,SZoESE,F1,Szombathely (HUN),2019.9.22
36:34,24,24,Murányi Máté,1,BHSE,F1,Szombathely (HUN),2019.9.22
36:47,25,25,Pop Leonardo,99,BEAC,F1,Szombathely (HUN),2019.9.22
36:50,26,26,Koch Domonkos,97,BEAC,F1,Szombathely (HUN),2019.9.22
37:59,27,27,Rezeli Martin,1,VEDAC,F1,Szombathely (HUN),2019.9.22
38:14,28,28,Tulcsik Marcell,93,BHSE,F1,Szombathely (HUN),2019.9.22
38:24,29,29,Piukovics Norbert,91,BEAC,F1,Szombathely (HUN),2019.9.22
38:50,30,30,Turkevi-Nagy Dávid,0,KARC,F1,Szombathely (HUN),2019.9.22
38:58,31,31,Tomka János,97,SZoESE,F1,Szombathely (HUN),2019.9.22
31:16,1,1,Farkas Dárius,91,BEAC,F,Karlovac (CRO),2021.6.11
34:28,2,2,Koch Ágoston,98,BEAC,F,Karlovac (CRO),2021.6.11
31:24,1,1,Koszár Zsolt,86,VEDAC,F,Budapest (HUN),2022.3.27
33:43,2,2,Reizer Tamás,91,Kaposvári AC,F,Budapest (HUN),2022.3.27
34:41,3,3,Borbély Sándor,97,SZoESE,F,Budapest (HUN),2022.3.27
29:25,1,1,Szögi István,95,SVSE,F,Oderzo (ITA),2023.5.01
29:51,2,2,Kovács Ferenc,4,SVSE,F,Oderzo (ITA),2023.5.01
