Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
39:56.02,1,1,Helebrandt Máté,89,NYSC,F,Budapest (HUN),2016.6.19
41:36.58,-,2,Helebrandt Máté,89,NYSC,F,Budapest (HUN),2016.9.03
42:09.94,2,3,Venyercsán Bence,96,BHSE,F,Debrecen (HUN),2016.5.14
42:18.33,-,4,Venyercsán Bence,96,BHSE,F,Budapest (HUN),2016.6.19
42:53.12,-,5,Helebrandt Máté,89,NYSC,F,Székesfehérvár (HUN),2016.9.1
42:54.02,3,6,Srp Miklós,93,BHSE,F,Budapest (HUN),2016.6.19
42:59.07,4,7,Bagdány Tomasz,95,TSC-Geotech,F,Szekszárd (HUN),2016.5.14
43:17.34,-,8,Bagdány Tomasz,95,TSC-Geotech,F,Budapest (HUN),2016.6.19
43:23.81,-,9,Venyercsán Bence,96,BHSE,F,Székesfehérvár (HUN),2016.9.1
43:41.91,5,10,Kovács Soma,97,Miskolci Sportiskola,F,Bydgoszcz (POL),2016.7.23
43:43.97,-,11,Srp Miklós,93,BHSE,F,Debrecen (HUN),2016.5.14
43:49.57,-,12,Venyercsán Bence,96,BHSE,F,Budapest (HUN),2016.9.03
44:08.30,-,13,Bagdány Tomasz,95,TSC-Geotech,F,Székesfehérvár (HUN),2016.9.1
44:10.15,-,14,Kovács Soma,97,Miskolci Sportiskola,F,Budapest (HUN),2016.6.19
44:13.01,6,15,Rácz Sándor,86,UTE,F,Székesfehérvár (HUN),2016.9.1
44:20.06,-,16,Kovács Soma,97,Miskolci Sportiskola,F,Debrecen (HUN),2016.5.14
44:20.32,-,17,Srp Miklós,93,BHSE,F,Budapest (HUN),2016.9.03
44:41.67,7,18,Tokodi Dávid,91,FTC,F,Budapest (HUN),2016.9.03
45:05.48,-,19,Rácz Sándor,86,UTE,F,Szekszárd (HUN),2016.5.14
45:25.08,-,20,Tokodi Dávid,91,FTC,F,Debrecen (HUN),2016.5.14
45:26.47,-,21,Bagdány Tomasz,95,TSC-Geotech,F,Budapest (HUN),2016.9.03
45:28.15,-,22,Srp Miklós,93,BHSE,F,Székesfehérvár (HUN),2016.9.1
45:53.11,-,23,Tokodi Dávid,91,FTC,F,Budapest (HUN),2016.6.19
45:56.76,8,24,Burger Donát,97,TSC-Geotech,F,Szekszárd (HUN),2016.5.14
46:31.19,9,25,Sárossi Bálint,0,TSC-Geotech,F,Tbilisi (GEO),2016.7.16
46:39.49,-,26,Kovács Soma,97,Miskolci Sportiskola,F,Mukachevo (UKR),2016.10.29
46:50.52,-,27,Kovács Soma,97,Miskolci Sportiskola,F,Budapest (HUN),2016.9.03
46:52.67,-,28,Sárossi Bálint,0,TSC-Geotech,F,Miskolc (HUN),2016.7.02
47:20.55,-,29,Sárossi Bálint,0,TSC-Geotech,F,Szekszárd (HUN),2016.5.14
47:35.57,-,30,Burger Donát,97,TSC-Geotech,F,Székesfehérvár (HUN),2016.9.1
48:13.71,-,31,Sárossi Bálint,0,TSC-Geotech,F,Székesfehérvár (HUN),2016.9.1
49:46.31,-,32,Kovács Soma,97,Miskolci Sportiskola,F,Szombathely (HUN),2016.6.26
51:03.20,-,33,Burger Donát,97,TSC-Geotech,F,Budapest (HUN),2016.9.03
51:27.91,10,34,Varga Dávid,1,Miskolci Sportiskola,F,Brno (CZE),2016.6.11
51:38.20,11,35,Czukor Zoltán,62,DOVASE,F,Szekszárd (HUN),2016.5.14
51:45.09,12,36,Venyercsán László,71,BHSE,F,Debrecen (HUN),2016.5.14
51:54.70,-,37,Venyercsán László,71,BHSE,F,Budapest (HUN),2016.6.19
52:03.27,13,38,Horváth Dániel,0,DSC-SI,F,Budapest (HUN),2016.6.19
52:20.07,14,39,Gál Vencel,1,Miskolci Sportiskola,F,Brno (CZE),2016.6.11
53:10.40,-,40,Venyercsán László,71,BHSE,F,Budapest (HUN),2016.9.03
53:51.68,-,41,Venyercsán László,71,BHSE,F,Székesfehérvár (HUN),2016.9.1
54:07.87,-,42,Horváth Dániel,0,DSC-SI,F,Miskolc (HUN),2016.7.02
54:40.02,-,43,Burger Donát,97,TSC-Geotech,F,Szombathely (HUN),2016.6.26
56:54.48,15,44,Varga József,75,MAC,F,Debrecen (HUN),2016.5.14
57:01.84,16,45,Trescsik Szabolcs,76,Békési DAC,F,Debrecen (HUN),2016.5.14
57:50.39,17,46,Csaba István,59,BHSE,F,Debrecen (HUN),2016.5.14
58:26.25,18,47,Dani Péter,0,BEAC,F,Szekszárd (HUN),2016.5.14
58:36.02,-,48,Csaba István,59,BHSE,F,Budapest (HUN),2016.6.19
59:53.78,-,49,Dani Péter,0,BEAC,F,Miskolc (HUN),2016.7.02
60:44.06,-,50,Csaba István,59,BHSE,F,Székesfehérvár (HUN),2016.9.1
61:33.91,19,51,Dani András,0,BEAC,F,Szekszárd (HUN),2016.5.14
62:02.94,-,52,Dani András,0,BEAC,F,Miskolc (HUN),2016.7.02
41:48.29,1,1,Venyercsán Bence,96,BHSE,F,Miskolc (HUN),2017.5.13
42:19.91,-,2,Venyercsán Bence,96,BHSE,F,Budapest (HUN),2017.9.02
42:46.86,-,3,Venyercsán Bence,96,BHSE,F,Székesfehérvár (HUN),2017.9.09
43:14.63,2,4,Tokodi Dávid,91,FTC,F,Miskolc (HUN),2017.5.13
43:25.05,3,5,Helebrandt Máté,89,NYSC,F,Székesfehérvár (HUN),2017.9.09
43:27.28,4,6,Bagdány Tomasz,95,TSC-Geotech,F,Szekszárd (HUN),2017.5.13
43:32.31,5,7,Rácz Sándor,86,UTE,F,Szekszárd (HUN),2017.5.13
43:33.38,6,8,Srp Miklós,93,BHSE,F,Miskolc (HUN),2017.5.13
43:56.80,-,9,Tokodi Dávid,91,FTC,F,Budapest (HUN),2017.9.02
44:15.10,-,10,Bagdány Tomasz,95,TSC-Geotech,F,Székesfehérvár (HUN),2017.9.09
44:16.06,-,11,Tokodi Dávid,91,FTC,F,Székesfehérvár (HUN),2017.9.09
44:50.67,-,12,Srp Miklós,93,BHSE,F,Budapest (HUN),2017.9.02
44:53.62,7,13,Kovács Soma,97,Miskolci Sportiskola,F,Miskolc (HUN),2017.5.13
45:00.59,-,14,Kovács Soma,97,Miskolci Sportiskola,F,Budapest (HUN),2017.9.02
45:14.60,8,15,Sárossi Bálint,0,TSC-Geotech,F,Szekszárd (HUN),2017.5.13
45:20.74,-,16,Bagdány Tomasz,95,TSC-Geotech,F,Budapest (HUN),2017.9.02
45:38.49,-,17,Srp Miklós,93,BHSE,F,Székesfehérvár (HUN),2017.9.09
45:53.81,-,18,Sárossi Bálint,0,TSC-Geotech,F,Miskolc (HUN),2017.6.24
46:02.51,-,19,Rácz Sándor,86,UTE,F,Canberra (AUS),2017.1.05
46:55.05,-,20,Rácz Sándor,86,UTE,F,Canberra (AUS),2017.1.29
47:11.36,-,21,Rácz Sándor,86,UTE,F,Székesfehérvár (HUN),2017.9.09
47:11.50,9,22,Burger Donát,97,TSC-Geotech,F,Székesfehérvár (HUN),2017.9.09
47:25.62,-,23,Burger Donát,97,TSC-Geotech,F,Budapest (HUN),2017.9.02
47:55.82,-,24,Sárossi Bálint,0,TSC-Geotech,F,Székesfehérvár (HUN),2017.9.09
48:14.09,-,25,Burger Donát,97,TSC-Geotech,F,Szekszárd (HUN),2017.5.13
48:25.65,-,26,Sárossi Bálint,0,TSC-Geotech,F,Grosseto (ITA),2017.7.22
49:06.74,10,27,Tóth Norbert,1,Hunyadi DSE,F,Miskolc (HUN),2017.6.24
49:26.76,11,28,Varga Dávid,1,Miskolci Sportiskola,F,Miskolc (HUN),2017.6.24
49:49.68,12,29,Gál Vencel,1,Miskolci Sportiskola,F,Miskolc (HUN),2017.5.13
50:12.16,-,30,Varga Dávid,1,Miskolci Sportiskola,F,Miskolc (HUN),2017.5.13
51:16.47,-,31,Gál Vencel,1,Miskolci Sportiskola,F,Miskolc (HUN),2017.6.24
51:22.38,-,32,Varga Dávid,1,Miskolci Sportiskola,F,Budapest (HUN),2017.9.02
52:03.21,13,33,Horváth Dániel,0,DSC-SI,F,Miskolc (HUN),2017.6.24
52:10.57,-,34,Gál Vencel,1,Miskolci Sportiskola,F,Budapest (HUN),2017.9.02
52:52.49,-,35,Tóth Norbert,1,Hunyadi DSE,F,Budapest (HUN),2017.8.26
53:43.33,14,36,Venyercsán László,71,BHSE,F,Miskolc (HUN),2017.5.13
55:15.43,-,37,Varga Dávid,1,Miskolci Sportiskola,F,Budapest (HUN),2017.8.26
56:03.57,15,38,Nyerges Balázs,1,Hunyadi DSE,F,Budapest (HUN),2017.8.26
56:38.94,-,39,Gál Vencel,1,Miskolci Sportiskola,F,Budapest (HUN),2017.8.26
56:49.17,-,40,Nyerges Balázs,1,Hunyadi DSE,F,Miskolc (HUN),2017.6.24
56:51.28,16,41,Dani Péter,0,BEAC,F,Szekszárd (HUN),2017.5.13
59:34.68,17,42,Csaba István,59,BHSE,F,Miskolc (HUN),2017.5.13
63:07.49,18,43,Trescsik Szabolcs,76,Békési DAC,F,Miskolc (HUN),2017.5.13
63:22.41,19,44,Dani András,0,BEAC,F,Szekszárd (HUN),2017.5.13
65:09.87,-,45,Csaba István,59,BHSE,F,Székesfehérvár (HUN),2017.9.09
41:48.97,1,1,Venyercsán Bence,96,BHSE,F1,Miskolc (HUN),2018.5.12
42:51.68,-,2,Venyercsán Bence,96,BHSE,F1,Budapest (HUN),2018.8.25
42:56.46,-,3,Venyercsán Bence,96,BHSE,F1,Székesfehérvár (HUN),2018.9.08
43:13.05,2,4,Helebrandt Máté,89,NYSC,F1,Miskolc (HUN),2018.5.12
44:31.34,3,5,Tokodi Dávid,91,FTC,F1,Budapest (HUN),2018.8.25
45:10.50,4,6,Srp Miklós,93,BHSE,F1,Székesfehérvár (HUN),2018.9.08
45:31.08,-,7,Srp Miklós,93,BHSE,F1,Miskolc (HUN),2018.5.12
45:36.39,5,8,Bagdány Tomasz,95,TSC-Geotech,F1,Székesfehérvár (HUN),2018.9.08
45:41.59,-,9,Bagdány Tomasz,95,TSC-Geotech,F1,Budapest (HUN),2018.8.25
46:02.00,-,10,Tokodi Dávid,91,FTC,F1,Székesfehérvár (HUN),2018.9.08
46:17.53,6,11,Rácz Sándor,86,UTE,F1,Székesfehérvár (HUN),2018.9.08
46:29.49,7,12,Tóth Norbert,1,Hunyadi DSE,F1,Budapest (HUN),2018.8.25
46:33.23,8,13,Sárossi Bálint,0,TSC-Geotech,F1,Miskolc (HUN),2018.6.1
46:43.77,-,14,Sárossi Bálint,0,TSC-Geotech,F,Tampere (FIN),2018.7.14
46:57.49,9,15,Burger Donát,97,TSC-Geotech,F1,Budapest (HUN),2018.8.25
47:46.41,-,16,Tóth Norbert,1,Hunyadi DSE,F1,Győr (HUN),2018.6.16
47:53.04,10,17,Kovács Soma,97,Miskolci Sportiskola,F1,Miskolc (HUN),2018.5.12
48:10.17,-,18,Srp Miklós,93,BHSE,F1,Budapest (HUN),2018.8.25
48:11.56,-,19,Burger Donát,97,TSC-Geotech,F1,Székesfehérvár (HUN),2018.9.08
48:18.94,11,20,Varga Dávid,1,Miskolci Sportiskola,F1,Győr (HUN),2018.6.16
48:37.45,-,21,Tóth Norbert,1,Hunyadi DSE,F,Győr (HUN),2018.7.06
48:45.92,-,22,Varga Dávid,1,Miskolci Sportiskola,F1,Miskolc (HUN),2018.5.12
49:10.60,-,23,Tóth Norbert,1,Hunyadi DSE,F1,Budapest (HUN),2018.9.01
50:06.87,12,24,Gál Vencel,1,Miskolci Sportiskola,F1,Miskolc (HUN),2018.5.12
50:44.24,-,25,Kovács Soma,97,Miskolci Sportiskola,F1,Budapest (HUN),2018.8.25
51:21.12,13,26,Varga Máté,2,Hunyadi DSE,F1,Budapest (HUN),2018.9.01
51:26.38,-,27,Gál Vencel,1,Miskolci Sportiskola,F1,Győr (HUN),2018.6.16
52:06.49,-,28,Varga Dávid,1,Miskolci Sportiskola,F,Győr (HUN),2018.7.06
52:25.66,14,29,Venyercsán László,71,BHSE,F1,Székesfehérvár (HUN),2018.9.08
52:36.46,15,30,Nyerges Balázs,1,Hunyadi DSE,F1,Budapest (HUN),2018.9.01
53:03.40,-,31,Varga Dávid,1,Miskolci Sportiskola,F1,Budapest (HUN),2018.9.01
53:37.58,-,32,Venyercsán László,71,BHSE,F1,Budapest (HUN),2018.8.25
54:33.92,-,33,Nyerges Balázs,1,Hunyadi DSE,F1,Győr (HUN),2018.6.16
60:18.11,16,34,Horváth Dániel,0,DSC-SI,F1,Miskolc (HUN),2018.6.1
61:34.59,17,35,Trescsik Szabolcs,76,Békési DAC,F1,Miskolc (HUN),2018.5.12
62:40.43,18,36,Soltész Benjamin,0,Hunyadi DSE,F1,Budapest (HUN),2018.9.01
68:37.24,-,37,Soltész Benjamin,0,Hunyadi DSE,F1,Miskolc (HUN),2018.6.1
44:30.72,1,1,Venyercsán Bence,96,BHSE,F1,Budapest (HUN),2019.8.31
45:05.75,2,2,Tóth Norbert,1,Hunyadi DSE,F,Borås (SWE),2019.7.21
45:08.18,-,3,Tóth Norbert,1,Hunyadi DSE,F1,Budapest (HUN),2019.8.31
45:43.32,3,4,Bagdány Tomasz,95,TSC-Geotech,F1,Budapest (HUN),2019.8.31
47:24.96,4,5,Varga Máté,2,Hunyadi DSE,F1,Miskolc (HUN),2019.6.29
47:54.52,5,6,Tokodi Dávid,91,FTC,F1,Budapest (HUN),2019.8.31
48:40.61,-,7,Tóth Norbert,1,Hunyadi DSE,F1,Budapest (HUN),2019.8.24
48:53.55,-,8,Varga Máté,2,Hunyadi DSE,F,Borås (SWE),2019.7.21
48:56.37,-,9,Tóth Norbert,1,Hunyadi DSE,F1,Budapest (HUN),2019.6.16
50:52.48,6,10,Horváth Dániel,0,DSC-SI,F1,Budapest (HUN),2019.8.24
51:11.37,7,11,Burger Donát,97,TSC-Geotech,F1,Budapest (HUN),2019.8.31
51:27.40,8,12,Nyerges Balázs,1,Hunyadi DSE,F1,Budapest (HUN),2019.8.31
51:49.38,-,13,Varga Máté,2,Hunyadi DSE,F1,Budapest (HUN),2019.8.24
52:56.88,9,14,Varga Dávid,1,Miskolci Sportiskola,F1,Budapest (HUN),2019.8.31
53:16.49,-,15,Horváth Dániel,0,DSC-SI,F1,Budapest (HUN),2019.6.16
53:25.17,10,16,Gonda Levente,3,BHSE,F1,Budapest (HUN),2019.8.24
54:17.38,-,17,Varga Dávid,1,Miskolci Sportiskola,F1,Budapest (HUN),2019.8.24
55:35.50,-,18,Varga Dávid,1,Miskolci Sportiskola,F1,Budapest (HUN),2019.6.16
56:50.19,-,19,Nyerges Balázs,1,Hunyadi DSE,F1,Budapest (HUN),2019.8.24
57:27.17,11,20,Bánk Leon,3,Miskolci Sportiskola,F1,Miskolc (HUN),2019.6.29
57:48.39,-,21,Nyerges Balázs,1,Hunyadi DSE,F1,Budapest (HUN),2019.6.16
57:59.77,12,22,Gál Vencel,1,Miskolci Sportiskola,F1,Budapest (HUN),2019.8.31
58:57.39,13,23,Soltész Benjamin,0,Hunyadi DSE,F1,Budapest (HUN),2019.6.16
59:20.66,-,24,Soltész Benjamin,0,Hunyadi DSE,F1,Budapest (HUN),2019.8.24
41:13.10,1,1,Venyercsán Bence,96,BHSE,F1,Budapest (HUN),2020.9.12
41:59.88,2,2,Helebrandt Máté,89,NYSC,F1,Budapest (HUN),2020.9.12
42:27.96,3,3,Bagdány Tomasz,95,TSC-Geotech,F1,Budapest (HUN),2020.9.12
42:33.74,4,4,Srp Miklós,93,BHSE,F1,Budapest (HUN),2020.9.12
44:26.17,5,5,Tóth Norbert,1,Hunyadi DSE,F1,Budapest (HUN),2020.9.12
45:29.92,6,6,Tokodi Dávid,91,FTC,F1,Budapest (HUN),2020.9.12
46:23.00,7,7,Burger Donát,97,TSC-Geotech,F1,Budapest (HUN),2020.9.12
48:23.25,8,8,Horváth Dániel,0,DSC-SI,F1,Budapest (HUN),2020.9.12
40:07.73,1,1,Helebrandt Máté,89,NYSC,F1,Budapest (HUN),2021.9.04
42:15.01,2,2,Venyercsán Bence,96,BHSE,F1,Budapest (HUN),2021.9.04
42:44.55,3,3,Srp Miklós,93,BHSE,F1,Budapest (HUN),2021.9.04
43:57.71,4,4,Tóth Norbert,1,Hunyadi DSE,F1,Budapest (HUN),2021.9.04
44:29.10,5,5,Tokodi Dávid,91,FTC,F1,Budapest (HUN),2021.9.04
45:13.60,6,6,Bagdány Tomasz,95,TSC-Geotech,F1,Budapest (HUN),2021.9.04
48:48.71,7,7,Horváth Dániel,0,DSC-SI,F1,Budapest (HUN),2021.9.04
50:43.19,8,8,Papp Ferenc,81,SZVSE,F1,Budapest (HUN),2021.9.04
41:28.51,1,1,Venyercsán Bence,96,BHSE,F1,Győr (HUN),2022.9.1
41:46.75,2,2,Helebrandt Máté,89,NYSC,F1,Győr (HUN),2022.9.1
43:50.55,3,3,Tóth Norbert,1,H. Szondi SE,F1,Győr (HUN),2022.9.1
44:24.67,4,4,Bagdány Tomasz,95,TSC-Geotech,F1,Győr (HUN),2022.9.1
45:31.00,5,5,Tokodi Dávid,91,FTC,F1,Győr (HUN),2022.9.1
47:07.00,-,6,Helebrandt Máté,89,NYSC,F,Miskolc (HUN),2022.5.22
48:48.85,6,7,Csontos Imre,92,BEAC,F1,Győr (HUN),2022.9.1
40:37.96,1,1,Helebrandt Máté,89,NYSC,F1,Kecskemét (HUN),2023.9.02
40:39.99,2,2,Venyercsán Bence,96,BHSE,F1,Kecskemét (HUN),2023.9.02
40:49.15,3,3,Tóth Norbert,1,H. Szondi SE,F1,Kecskemét (HUN),2023.9.02
46:20.07,4,4,Tokodi Dávid,91,FTC,F1,Kecskemét (HUN),2023.9.02
49:15.22,5,5,Bor Benjámin,6,Békéscsabai AC,F1,Kecskemét (HUN),2023.9.02
51:05.41,6,6,Schwarcz Péter,6,H. Szondi SE,F1,Kecskemét (HUN),2023.9.02
52:12.04,7,7,Kocsis Bernát,5,Miskolci Sportiskola,F,Banská Bystrica (SVK),2023.6.24
56:23.31,-,8,Kocsis Bernát,5,Miskolci Sportiskola,F1,Kecskemét (HUN),2023.9.02
