Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
21.73,1,1,Győri Árpád,97,DSC-SI,F1,Budapest (HUN),2016.2.21
21.82,2,2,Kása Tibor,87,Haladás VSE,F1,Bécs (AUT),2016.1.23
21.84,3,3,Móricz Bálint,95,Haladás VSE,F1,Bécs (AUT),2016.1.23
21.88,-,4,Győri Árpád,97,DSC-SI,F1,Budapest (HUN),2016.2.28
21.94,4,5,Pálmai Márk,98,MATE - GEAC,F1,Budapest (HUN),2016.2.21
21.97,5,6,Vigvári Szabolcs,96,MATE - GEAC,F2,Bécs (AUT),2016.1.16
21.97,-,6,Győri Árpád,97,DSC-SI,F17,Budapest (HUN),2016.1.3
21.97,-,6,Pálmai Márk,98,MATE - GEAC,F1,Budapest (HUN),2016.2.14
21.99,6,9,Németh Csaba,97,Vasas,F2,Bécs (AUT),2016.1.3
22.01,7,10,Szabó László,91,FTC,F17,Budapest (HUN),2016.1.3
22.03,8,11,Koroknai Máté,93,DSC-SI,F2,Lincoln (USA),2016.12.12
22.06,-,12,Pálmai Márk,98,MATE - GEAC,F5,Bécs (AUT),2016.1.3
22.16,-,13,Németh Csaba,97,Vasas,F2,Budapest (HUN),2016.2.21
22.21,-,14,Szabó László,91,FTC,F3,Budapest (HUN),2016.2.21
22.24,9,15,Varga Dániel,97,FTC,F12,Budapest (HUN),2016.2.14
22.24,-,15,Németh Csaba,97,Vasas,F2,Budapest (HUN),2016.2.28
22.3,10,17,Bézsenyi Gergely,91,BHSE,F17,Budapest (HUN),2016.1.3
22.33,-,18,Bézsenyi Gergely,91,BHSE,F1,Budapest (HUN),2016.2.14
22.43,11,19,Kemény Dávid,95,Haladás VSE,F3,Bécs (AUT),2016.1.23
22.48,12,20,Kovács Dániel,97,UTE,F2,Budapest (HUN),2016.2.28
22.5,13,21,Pozsgai Dániel,93,FTC,F2,Budapest (HUN),2016.2.14
22.53,14,22,Boda Boldizsár,98,Haladás VSE,F5,Bécs (AUT),2016.1.23
