Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
21.28,0.0,1,1,Wahl Zoltán,0,TSC-Geotech,F1,Nyíregyháza (HUN),2024.2.18
21.31,0.0,2,2,Bundschu Patrik,1,Vasas,F1,Nyíregyháza (HUN),2024.2.18
21.37,0.0,3,3,Deák Zalán,6,KARC,F1,Nyíregyháza (HUN),2024.2.25
21.45,0.0,-,4,Wahl Zoltán,0,TSC-Geotech,F2,Nyíregyháza (HUN),2024.1.2
21.46,0.0,4,5,Eszes Dániel,99,VSD,F2,Nyíregyháza (HUN),2024.2.18
21.61,0.0,5,6,Mészáros Balázs,5,ARAK,F1,Nyíregyháza (HUN),2024.2.25
21.67,0.0,-,7,Deák Zalán,6,KARC,F1,Nyíregyháza (HUN),2024.1.27
21.75,0.0,-,8,Deák Zalán,6,KARC,F2,Nyíregyháza (HUN),2024.2.18
21.76,0.0,-,9,Deák Zalán,6,KARC,F2,Nyíregyháza (HUN),2024.1.2
21.83,0.0,6,10,Takács Ábel,5,BHSE,F1,Nyíregyháza (HUN),2024.2.25
21.88,0.0,-,11,Bundschu Patrik,1,Vasas,F2,Nyíregyháza (HUN),2024.1.2
21.9,0.0,7,12,Birovecz Bátor,4,UTE,F1,Budapest (HUN),2024.2.1
21.91,0.0,-,13,Takács Ábel,5,BHSE,F4,Nyíregyháza (HUN),2024.2.18
21.93,0.0,-,14,Eszes Dániel,99,VSD,F1,Nyíregyháza (HUN),2024.1.27
21.98,0.0,8,15,Farkas Bence,2,KARC,F1,Budapest (HUN),2024.1.28
22.07,0.0,-,16,Mészáros Balázs,5,ARAK,F3,Nyíregyháza (HUN),2024.2.18
22.12,0.0,-,17,Birovecz Bátor,4,UTE,F1,Nyíregyháza (HUN),2024.1.2
22.17,0.0,-,18,Birovecz Bátor,4,UTE,F1,Nyíregyháza (HUN),2024.2.18
22.2,0.0,9,19,Hajdu Áron,7,DVTK,F1,Nyíregyháza (HUN),2024.2.25
22.31,0.0,10,20,Csernus Péter,6,UTE,F2,Nyíregyháza (HUN),2024.2.25
22.39,0.0,11,21,Felsmann Balázs,0,Vasas,F3,Nyíregyháza (HUN),2024.2.18
22.4,0.0,12,22,Bolla Gergő,3,ARAK,F2,Budapest (HUN),2024.2.1
