Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
13:37,1,1,Tóth Norbert,1,Hunyadi DSE,F,Pécs (HUN),2016.10.16
15:02,2,2,Varga Máté,2,Hunyadi DSE,F,Pécs (HUN),2016.10.16
16:09,3,3,Gonda Levente,3,BHSE,F,Pécs (HUN),2016.10.16
16:35,4,4,Bánk Leon,3,Miskolci Sportiskola,F,Pécs (HUN),2016.10.16
17:34,5,5,Szentmarjai Bálint,3,Miskolci Sportiskola,F,Pécs (HUN),2016.10.16
20:17,6,6,Pásztóhy László,3,Hunyadi DSE,F,Pécs (HUN),2016.10.16
14:27,1,1,Babus Sándor,4,Hajós Alfréd DSE,F,Pécs (HUN),2017.10.14
14:27,-,1,Babus Sándor,4,Hajós Alfréd DSE,F,Pécs (HUN),2017.10.14
14:55,2,3,Bánk Leon,3,Miskolci Sportiskola,F,Pécs (HUN),2017.10.14
14:55,-,3,Bánk Leon,3,Miskolci Sportiskola,F,Pécs (HUN),2017.10.14
14:56,3,5,Gonda Levente,3,BHSE,F,Pécs (HUN),2017.10.14
14:56,-,5,Gonda Levente,3,BHSE,F,Pécs (HUN),2017.10.14
15:30,4,7,Konczvald Tamás,4,Miskolci Sportiskola,F,Pécs (HUN),2017.10.14
15:30,-,7,Konczvald Tamás,4,Miskolci Sportiskola,F,Pécs (HUN),2017.10.14
15:56,-,9,Gonda Levente,3,BHSE,F,Dudince (SVK),2017.3.25
16:05,-,10,Konczvald Tamás,4,Miskolci Sportiskola,F,Bacúch (SVK),2017.9.23
16:05,5,10,Szentmarjai Bálint,3,Miskolci Sportiskola,F,Bacúch (SVK),2017.9.23
16:55,-,12,Bánk Leon,3,Miskolci Sportiskola,F,Bacúch (SVK),2017.9.23
17:03,-,13,Bánk Leon,3,Miskolci Sportiskola,F,Dudince (SVK),2017.3.25
17:04,-,14,Szentmarjai Bálint,3,Miskolci Sportiskola,F,Dudince (SVK),2017.3.25
17:04,-,14,Gonda Levente,3,BHSE,F,Pernitz (AUT),2017.5.06
13:49,1,1,Gonda Levente,3,BHSE,F1,"Pécs, Vasas (HUN)",2018.10.14
14:32,2,2,Konczvald Tamás,4,Miskolci Sportiskola,F,Banská Bystrica (SVK),2018.9.29
14:34,3,3,Bánk Leon,3,Miskolci Sportiskola,F1,"Pécs, Vasas (HUN)",2018.10.14
14:38,-,4,Konczvald Tamás,4,Miskolci Sportiskola,F1,"Pécs, Vasas (HUN)",2018.10.14
14:55,4,5,Babus Sándor,4,Hajós Alfréd DSE,F,Lutsk (UKR),2018.3.11
15:13,5,6,Szálka Maximilián,4,Hajós Alfréd DSE,F,Lutsk (UKR),2018.3.11
15:22,6,7,Kocsis Bernát,5,Miskolci Sportiskola,F,Banská Bystrica (SVK),2018.9.29
15:56,-,8,Kocsis Bernát,5,Miskolci Sportiskola,F1,"Pécs, Vasas (HUN)",2018.10.14
16:40,7,9,Koc Róbert,5,Miskolci Sportiskola,F1,"Pécs, Vasas (HUN)",2018.10.14
17:50,-,10,Koc Róbert,5,Miskolci Sportiskola,F,Banská Bystrica (SVK),2018.9.29
14:15,1,1,Konczvald Tamás,4,Miskolci Sportiskola,F,Dudince (SVK),2019.3.23
14:18,2,2,Kocsis Bernát,5,Miskolci Sportiskola,F,Dudince (SVK),2019.3.23
15:20,-,3,Kocsis Bernát,5,Miskolci Sportiskola,F1,"Pécs, Vasas (HUN)",2019.10.12
15:53,3,4,Csepregi Bence,5,BHSE,F,Dudince (SVK),2019.3.23
15:53,-,4,Csepregi Bence,5,BHSE,F1,"Pécs, Vasas (HUN)",2019.10.12
17:23,-,6,Kocsis Bernát,5,Miskolci Sportiskola,F,Zagreb (CRO),2019.10.26
17:44,4,7,Majoros Máté,6,Miskolci Sportiskola,F1,"Pécs, Vasas (HUN)",2019.10.12
20:14,5,8,Gyimesi Rudolf,6,PSN - Pécsi Sportiskola,F1,"Pécs, Vasas (HUN)",2019.10.12
15:27,1,1,Kovács András,66,BHSE,F,Banská Bystrica (SVK),2020.6.27
16:34,2,2,Majoros Máté,6,Miskolci Sportiskola,F,Banská Bystrica (SVK),2020.6.27
17:09,3,3,Stefanovics Roland,7,Miskolci Sportiskola,F,Banská Bystrica (SVK),2020.6.27
19:43,4,4,Csaba István,59,BHSE,F,Banská Bystrica (SVK),2020.6.27
17:04,1,1,Stefanovics Roland,7,Miskolci Sportiskola,F,Dudince (SVK),2022.4.23
