Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
8:44.97,1,1,Gregor László,92,Békéscsabai AC,F,Debrecen (HUN),2016.5.14
8:45.67,-,2,Gregor László,92,Békéscsabai AC,F,Sollentuna (SWE),2016.6.28
8:46.68,-,3,Gregor László,92,Békéscsabai AC,F,Debrecen (HUN),2016.6.04
8:52.07,2,4,Juhász Balázs,96,DSC-SI,F,Székesfehérvár (HUN),2016.7.3
8:54.50,-,5,Gregor László,92,Békéscsabai AC,F,Székesfehérvár (HUN),2016.7.3
8:54.60,-,6,Gregor László,92,Békéscsabai AC,F,Lapinlahti (FIN),2016.6.19
8:56.37,-,7,Juhász Balázs,96,DSC-SI,F,Budapest (HUN),2016.6.19
8:56.87,-,8,Juhász Balázs,96,DSC-SI,F,Maribor (SLO),2016.7.15
8:56.94,-,9,Gregor László,92,Békéscsabai AC,F,Budapest (HUN),2016.9.03
8:57.01,3,10,Matkó Csaba,93,UTE,F,Toledo (USA),2016.5.13
8:58.54,-,11,Matkó Csaba,93,UTE,H2,Jacksonville (USA),2016.5.27
9:00.34,-,12,Juhász Balázs,96,DSC-SI,F,Szombathely (HUN),2016.6.25
9:00.84,-,13,Gregor László,92,Békéscsabai AC,F,Székesfehérvár (HUN),2016.9.1
9:01.16,4,14,Dani Áron,91,BEAC,F,Budapest (HUN),2016.9.03
9:01.26,-,15,Juhász Balázs,96,DSC-SI,F,Debrecen (HUN),2016.6.04
9:05.72,-,16,Matkó Csaba,93,UTE,F,Columbus (USA),2016.4.23
9:06.47,-,17,Juhász Balázs,96,DSC-SI,F,Székesfehérvár (HUN),2016.9.1
9:10.78,-,18,Dani Áron,91,BEAC,F,Székesfehérvár (HUN),2016.7.3
9:11.58,-,19,Juhász Balázs,96,DSC-SI,F,Debrecen (HUN),2016.5.14
9:12.72,-,20,Juhász Balázs,96,DSC-SI,F,Budapest (HUN),2016.9.03
9:14.12,5,21,Szalai Benjamin,92,VEDAC,F1,High Point (USA),2016.4.01
9:14.48,-,22,Dani Áron,91,BEAC,F,Budapest (HUN),2016.8.2
9:14.82,-,23,Dani Áron,91,BEAC,F,Szekszárd (HUN),2016.5.14
9:16.55,6,24,Dénes Ervin,96,A-Plast Ikarus BSE,F,Maribor (SLO),2016.7.15
9:16.64,-,25,Juhász Balázs,96,DSC-SI,F,Miskolc (HUN),2016.5.28
9:17.11,-,26,Dani Áron,91,BEAC,F,Szombathely (HUN),2016.6.25
9:17.85,7,27,Galamb Csaba,94,KARC,F,Budapest (HUN),2016.9.03
9:19.20,-,28,Juhász Balázs,96,DSC-SI,F,Budapest (HUN),2016.8.2
9:19.68,-,29,Matkó Csaba,93,UTE,F,Székesfehérvár (HUN),2016.7.3
9:19.85,-,30,Dénes Ervin,96,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2016.7.3
9:20.59,-,31,Dénes Ervin,96,A-Plast Ikarus BSE,F,Miskolc (HUN),2016.5.28
9:20.93,-,32,Dénes Ervin,96,A-Plast Ikarus BSE,F,Szombathely (HUN),2016.6.25
9:24.32,-,33,Dénes Ervin,96,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.5.14
9:24.42,-,34,Galamb Csaba,94,KARC,F,Székesfehérvár (HUN),2016.7.3
9:25.15,-,35,Dénes Ervin,96,A-Plast Ikarus BSE,F,Budapest (HUN),2016.9.03
