Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
46.08,1,1,Molnár Attila,2,FTC,SF1,Glasgow (GBR),2024.3.01
46.11,-,2,Molnár Attila,2,FTC,F,Glasgow (GBR),2024.3.02
46.22,-,3,Molnár Attila,2,FTC,F1,Nyíregyháza (HUN),2024.1.2
46.24,-,4,Molnár Attila,2,FTC,F1,Metz (FRA),2024.2.03
46.28,-,5,Molnár Attila,2,FTC,F1,Ostrava (CZE),2024.1.3
46.43,-,6,Molnár Attila,2,FTC,F2,Lyon (FRA),2024.2.09
46.45,-,7,Molnár Attila,2,FTC,F1,Nyíregyháza (HUN),2024.2.17
46.52,-,8,Molnár Attila,2,FTC,H3,Glasgow (GBR),2024.3.01
47.11,2,9,Wahl Zoltán,0,TSC-Geotech,F1,Nyíregyháza (HUN),2024.2.17
47.43,-,10,Wahl Zoltán,0,TSC-Geotech,F1,Nyíregyháza (HUN),2024.1.27
47.44,-,11,Wahl Zoltán,0,TSC-Geotech,F1,Beograd (SRB),2024.2.13
47.47,3,12,Birovecz Bátor,4,UTE,F1,Nyíregyháza (HUN),2024.2.17
47.76,-,13,Birovecz Bátor,4,UTE,F1,Budapest (HUN),2024.1.28
47.84,-,14,Birovecz Bátor,4,UTE,F1,Budapest (HUN),2024.2.03
48.44,4,15,Plisz Balázs,4,PVSK,F1,Budapest (HUN),2024.2.11
48.74,5,16,Huller Dániel,1,VSD,F2,Budapest (HUN),2024.2.03
48.91,6,17,Luterán Gergő,3,BSC,F1,Budapest (HUN),2024.2.11
48.92,7,18,Szilveszter Marcell,5,UTE,F1,Nyíregyháza (HUN),2024.2.24
48.95,8,19,Városi Roland,4,AC Bonyhád,F3,Budapest (HUN),2024.2.03
48.96,-,20,Városi Roland,4,FTC,F2,Nyíregyháza (HUN),2024.2.17
49.07,9,21,Csahóczi Csanád,2,UTE,F2,Budapest (HUN),2024.2.03
49.21,-,22,Plisz Balázs,4,PVSK,F1,Nyíregyháza (HUN),2024.2.17
49.27,10,23,Molnár Csaba,4,A-Plast Ikarus BSE,F2,Budapest (HUN),2024.2.11
49.28,11,24,Nadj Levente,3,MATE - GEAC,F3,Nyíregyháza (HUN),2024.2.17
49.29,-,25,Plisz Balázs,4,PVSK,F4,Budapest (HUN),2024.2.03
49.4,12,26,Kovács Ádám,6,A-Plast Ikarus BSE,F1,Nyíregyháza (HUN),2024.2.24
49.52,-,27,Luterán Gergő,3,BSC,F5,Budapest (HUN),2024.2.03
49.66,-,28,Plisz Balázs,4,PVSK,F1,Budapest (HUN),2024.1.28
49.68,13,29,Birovecz Ben,1,UTE,F3,Budapest (HUN),2024.2.03
49.69,-,30,Luterán Gergő,3,BSC,F2,Nyíregyháza (HUN),2024.2.17
49.7,14,31,Együd Máté,96,MATE - GEAC,F3,Nyíregyháza (HUN),2024.2.17
49.72,15,32,Bodrogi Levente,6,VSD,F1,Nyíregyháza (HUN),2024.2.24
49.75,16,33,Mika Botond,5,VSD,F1,Nyíregyháza (HUN),2024.2.24
49.82,-,34,Kovács Ádám,6,A-Plast Ikarus BSE,F5,Budapest (HUN),2024.2.03
50.03,-,35,Szilveszter Marcell,5,UTE,F4,Budapest (HUN),2024.2.11
50.05,17,36,Szabacsi Gábor,2,TSC-Geotech,F8,Budapest (HUN),2024.2.03
50.06,-,37,Városi Roland,4,AC Bonyhád,F5,Nyíregyháza (HUN),2024.1.2
50.11,-,38,Bodrogi Levente,6,VSD,F3,Budapest (HUN),2024.2.11
50.27,18,39,Simon Péter,5,Győri Atlétikai Club,F1,Nyíregyháza (HUN),2024.2.24
50.28,-,40,Kovács Ádám,6,A-Plast Ikarus BSE,F2,Budapest (HUN),2024.1.28
50.29,19,41,Czipó Marcell,1,BHSE,F3,Budapest (HUN),2024.2.11
50.3,-,42,Simon Péter,5,Győri Atlétikai Club,F3,Nyíregyháza (HUN),2024.2.17
50.36,-,43,Mika Botond,5,VSD,F3,Budapest (HUN),2024.2.03
50.39,-,44,Mika Botond,5,VSD,F2,Budapest (HUN),2024.2.11
50.43,20,45,Poór Simon,98,TFSE,F2,Budapest (HUN),2024.2.03
50.45,-,46,Simon Péter,5,Győri Atlétikai Club,F2,Budapest (HUN),2024.1.28
50.45,-,46,Simon Péter,5,Győri Atlétikai Club,F1,Budapest (HUN),2024.2.03
50.46,21,48,Ferencz Ágoston,8,MATE - GEAC,F1,Nyíregyháza (HUN),2024.2.24
50.51,22,49,Csányi Pál,8,UTE,F1,Nyíregyháza (HUN),2024.2.24
50.56,-,50,Nadj Levente,3,MATE - GEAC,F3,Nyíregyháza (HUN),2024.1.2
50.58,23,51,Palkovics Tamás,5,UTE,F6,Budapest (HUN),2024.2.11
50.58,23,51,Bakó Martin,3,TFSE,F3,Nyíregyháza (HUN),2024.2.17
50.58,-,51,Bodrogi Levente,6,VSD,F2,Nyíregyháza (HUN),2024.2.17
50.65,-,54,Poór Simon,98,TFSE,F1,Budapest (HUN),2024.1.28
50.71,-,55,Czipó Marcell,1,BHSE,F2,Nyíregyháza (HUN),2024.2.17
50.75,25,56,Gálpál Zsombor,3,BHSE,F1,Nyíregyháza (HUN),2024.1.2
50.79,-,57,Bodrogi Levente,6,VSD,F2,Budapest (HUN),2024.1.28
50.82,26,58,Bolla Gergő,3,ARAK,F6,Budapest (HUN),2024.1.28
50.91,-,59,Szilveszter Marcell,5,UTE,F13,Budapest (HUN),2024.2.03
50.94,-,60,Bodrogi Levente,6,VSD,F4,Budapest (HUN),2024.2.03
51.02,27,61,Grünwald Tamás,6,MATE - GEAC,F3,Nyíregyháza (HUN),2024.2.24
51.05,-,62,Bakó Martin,3,TFSE,F2,Budapest (HUN),2024.1.28
51.08,-,63,Ferencz Ágoston,8,MATE - GEAC,H,Nyíregyháza (HUN),2024.2.1
51.13,28,64,Solymári Máté,6,FTC,F5,Budapest (HUN),2024.2.03
51.3,29,65,Türk András,4,Vasas,F5,Budapest (HUN),2024.2.11
51.3,29,65,Kovács Bendegúz,6,FTC,F2,Nyíregyháza (HUN),2024.2.24
51.31,31,67,Sáray Péter,7,Kőszegi Lóránt FC,F3,Budapest (HUN),2024.1.28
51.35,-,68,Solymári Máté,6,FTC,F2,Nyíregyháza (HUN),2024.1.2
51.39,32,69,Fodor Péter,6,MATE - GEAC,F6,Budapest (HUN),2024.2.03
51.41,33,70,Magyar Gergely,6,BEAC,F6,Budapest (HUN),2024.2.11
51.42,-,71,Kovács Bendegúz,6,FTC,F1,Nyíregyháza (HUN),2024.1.2
51.48,34,72,Virág Erik,2,Budafoki MTE,F5,Budapest (HUN),2024.2.11
51.61,-,73,Fodor Péter,6,MATE - GEAC,F2,Nyíregyháza (HUN),2024.2.24
51.66,-,74,Magyar Gergely,6,BEAC,F2,Nyíregyháza (HUN),2024.2.24
51.67,-,75,Csányi Pál,8,UTE,F8,Budapest (HUN),2024.2.03
51.75,-,76,Virág Erik,2,Budafoki MTE,F13,Budapest (HUN),2024.2.03
51.76,35,77,Divinyi-Tóth Barnabás,5,Vasas,F2,Nyíregyháza (HUN),2024.2.24
51.79,-,78,Türk András,4,Vasas,F7,Budapest (HUN),2024.2.03
51.81,-,79,Kovács Bendegúz,6,FTC,F3,Budapest (HUN),2024.1.28
51.86,36,80,Kajtár Kristóf,7,AC Bonyhád,F1,Nyíregyháza (HUN),2024.2.24
51.93,37,81,Putsay Bence,7,PVSK,F6,Budapest (HUN),2024.2.03
51.93,37,81,Deli Bence,6,Szekszárdi Sportközpont,F11,Budapest (HUN),2024.2.11
51.96,-,83,Divinyi-Tóth Barnabás,5,Vasas,F4,Budapest (HUN),2024.1.28
52.0,-,84,Kovács Bendegúz,6,FTC,F4,Budapest (HUN),2024.2.11
52.03,-,85,Kajtár Kristóf,7,AC Bonyhád,F6,Budapest (HUN),2024.2.11
52.03,39,85,Veres Patrik,8,UTE,F2,Nyíregyháza (HUN),2024.2.24
52.09,-,87,Veres Patrik,8,UTE,F10,Budapest (HUN),2024.2.11
52.11,-,88,Fodor Péter,6,MATE - GEAC,F3,Nyíregyháza (HUN),2024.1.27
52.12,-,89,Magyar Gergely,6,BEAC,F9,Budapest (HUN),2024.2.03
52.13,-,90,Ferencz Ágoston,8,MATE - GEAC,F4,Nyíregyháza (HUN),2024.1.2
52.19,-,91,Putsay Bence,7,PVSK,F6,Nyíregyháza (HUN),2024.1.2
52.23,40,92,Oláh Máté,3,DSC-SI,F13,Budapest (HUN),2024.2.03
52.32,-,93,Kajtár Kristóf,7,AC Bonyhád,F4,Budapest (HUN),2024.1.28
52.35,41,94,Marx Bence,4,Győri Atlétikai Club,F9,Budapest (HUN),2024.2.03
52.36,-,95,Marx Bence,4,Győri Atlétikai Club,F7,Budapest (HUN),2024.2.11
52.42,-,96,Fodor Péter,6,MATE - GEAC,F6,Nyíregyháza (HUN),2024.1.2
52.47,42,97,Hallai Péter,7,Szegedi RSC,F9,Budapest (HUN),2024.2.03
52.54,43,98,Sipos Gergely,5,Budafoki MTE,F1,Budapest (HUN),2024.2.11
52.58,44,99,Eperjessy Ádám,5,Vasas,F8,Budapest (HUN),2024.1.28
52.58,44,99,Oláh Milán,6,BHSE,F3,Nyíregyháza (HUN),2024.2.24
52.63,-,101,Hallai Péter,7,Szegedi RSC,F7,Budapest (HUN),2024.2.11
52.68,46,102,Beke Dávid,7,TSC-Geotech,F3,Nyíregyháza (HUN),2024.1.27
52.73,47,103,Elek Bendegúz,5,BHSE,F6,Nyíregyháza (HUN),2024.1.2
52.74,48,104,Papp Péter,1,DSC-SI,F4,Nyíregyháza (HUN),2024.1.2
52.76,49,105,Perge Attila,2,EVSI,F7,Budapest (HUN),2024.2.03
52.76,49,105,Tompa Benedek,7,MATE - GEAC,F3,Nyíregyháza (HUN),2024.2.24
52.79,-,107,Perge Attila,2,EVSI,F3,Nyíregyháza (HUN),2024.1.27
52.82,-,108,Mika Botond,5,VSD,F3,Nyíregyháza (HUN),2024.1.2
52.82,51,108,Benke Viktor,7,Haladás VSE,F2,Nyíregyháza (HUN),2024.2.24
52.86,-,110,Hallai Péter,7,Szegedi RSC,F2,Nyíregyháza (HUN),2024.2.24
52.88,52,111,Lendvai Barnabás,8,Vasas,F6,Nyíregyháza (HUN),2024.1.2
52.89,-,112,Papp Péter,1,DSC-SI,F4,Nyíregyháza (HUN),2024.1.27
52.89,-,112,Benke Viktor,7,Haladás VSE,F7,Budapest (HUN),2024.2.03
52.9,-,114,Benke Viktor,7,Haladás VSE,F8,Budapest (HUN),2024.2.11
52.93,-,115,Eperjessy Ádám,5,Vasas,F6,Budapest (HUN),2024.2.03
53.1,-,116,Oláh Milán,6,BHSE,F12,Budapest (HUN),2024.2.03
53.14,-,117,Benke Viktor,7,Haladás VSE,F4,Budapest (HUN),2024.1.28
53.18,-,118,Marx Bence,4,Győri Atlétikai Club,F3,Budapest (HUN),2024.1.28
53.3,53,119,Hechst Bence,8,A-Plast Ikarus BSE,F8,Budapest (HUN),2024.2.03
53.33,-,120,Hallai Péter,7,Szegedi RSC,F5,Budapest (HUN),2024.1.28
53.34,54,121,Fazakas Soma,7,MATE - GEAC,F2,Nyíregyháza (HUN),2024.1.2
53.38,55,122,Szabó Levente,7,REAC SI SE,F8,Budapest (HUN),2024.2.11
53.44,-,123,Szabó Levente,7,REAC SI SE,F14,Budapest (HUN),2024.2.03
53.49,-,124,Lendvai Barnabás,8,Vasas,F2,Nyíregyháza (HUN),2024.2.24
53.52,56,125,Imre Viktor,5,SZVSE,F11,Budapest (HUN),2024.2.11
53.58,57,126,Bujdosó Géza,8,UTE,F6,Nyíregyháza (HUN),2024.1.2
53.68,58,127,Molnár Csongor,6,A-Plast Ikarus BSE,F3,Nyíregyháza (HUN),2024.2.24
53.71,59,128,Váradi Gellért,6,Szegedi RSC,F5,Budapest (HUN),2024.2.11
53.72,-,129,Eperjessy Ádám,5,Vasas,F3,Nyíregyháza (HUN),2024.2.24
53.76,60,130,Balázsik Dávid,7,ARAK,F3,Nyíregyháza (HUN),2024.2.24
53.8,-,131,Putsay Bence,7,PVSK,F1,Nyíregyháza (HUN),2024.2.24
53.86,61,132,László Péter,7,ZALASZÁM-ZAC,F14,Budapest (HUN),2024.2.03
54.02,-,133,Molnár Csongor,6,A-Plast Ikarus BSE,F10,Budapest (HUN),2024.2.03
54.07,-,134,Hechst Bence,8,A-Plast Ikarus BSE,F2,Nyíregyháza (HUN),2024.2.24
54.19,-,135,Balázsik Dávid,7,ARAK,F4,Budapest (HUN),2024.1.28
54.23,62,136,Bőhm Regő,5,Vasas,F2,Budapest (HUN),2024.2.11
54.3,-,137,Sipos Gergely,5,Budafoki MTE,F8,Budapest (HUN),2024.2.03
54.4,-,138,Bőhm Regő,5,Vasas,F10,Budapest (HUN),2024.2.03
54.44,63,139,Csordás Tamás,5,NYSC,F5,Nyíregyháza (HUN),2024.1.2
54.51,64,140,Szabó Dávid,8,Csepel TC,F3,Budapest (HUN),2024.2.11
54.58,-,141,Molnár Csongor,6,A-Plast Ikarus BSE,F5,Budapest (HUN),2024.1.28
54.61,65,142,Barna Tamás,5,Szekszárdi Sportközpont,F11,Budapest (HUN),2024.2.03
54.71,66,143,Várdai Péter,86,Vasas,F1,Budapest (HUN),2024.3.02
54.87,67,144,Horváth Áron,8,Kőszegi Lóránt FC,F4,Nyíregyháza (HUN),2024.2.24
54.87,67,144,Viczina Balázs,87,Tamási TAM - BAU AC,F1,Budapest (HUN),2024.3.02
54.96,69,146,Bokros Bulcsú,8,Győri Atlétikai Club,F8,Budapest (HUN),2024.1.28
54.99,-,147,Szabó Dávid,8,Csepel TC,F9,Budapest (HUN),2024.1.28
55.05,-,148,Tompa Benedek,7,MATE - GEAC,F5,Nyíregyháza (HUN),2024.1.2
55.06,70,149,Mócsány Dominik,6,Salgótarjáni AC,F7,Budapest (HUN),2024.2.11
55.15,71,150,Kiss András,8,SVSE,F11,Budapest (HUN),2024.2.03
55.3,72,151,Molnár Gergő,97,Békési DAC,F4,Nyíregyháza (HUN),2024.1.27
55.36,73,152,Balassa Levente,8,Győri Atlétikai Club,F12,Budapest (HUN),2024.2.03
55.45,-,153,Bokros Bulcsú,8,Győri Atlétikai Club,F3,Nyíregyháza (HUN),2024.2.24
55.64,74,154,Tóth Bence,5,Győri Atlétikai Club,F5,Budapest (HUN),2024.1.28
55.7,75,155,Hegedűs Mátyás,87,TSC-Geotech,F1,Budapest (HUN),2024.3.02
55.72,76,156,Sabo Dominik,94,BSC,F14,Budapest (HUN),2024.2.03
55.77,-,157,Szabó Dávid,8,Csepel TC,F3,Nyíregyháza (HUN),2024.2.24
55.83,77,158,Deák Iván,7,Szegedi RSC,F8,Budapest (HUN),2024.2.11
55.85,78,159,Bacsó Dániel,4,Vasas,F5,Nyíregyháza (HUN),2024.1.2
55.85,78,159,Olar Alexander,5,KARC,F5,Nyíregyháza (HUN),2024.1.27
55.87,80,161,Laczkó Dávid,7,KSI SE,F4,Nyíregyháza (HUN),2024.2.24
55.99,81,162,Csizmazia Keve,7,VSD,F4,Nyíregyháza (HUN),2024.2.24
56.01,82,163,Szögyényi Gábor,78,NYSC,F5,Nyíregyháza (HUN),2024.1.2
56.16,83,164,Simon Márton,8,Haladás VSE,F9,Budapest (HUN),2024.1.28
56.19,-,165,Tóth Bence,5,Győri Atlétikai Club,F10,Budapest (HUN),2024.2.03
56.22,-,166,Barna Tamás,5,Szekszárdi Sportközpont,F3,Nyíregyháza (HUN),2024.2.24
56.25,84,167,Othman Mohamed,85,BAB SE,F4,Nyíregyháza (HUN),2024.1.27
56.31,-,168,Othman Mohamed,85,BAB SE,F5,Nyíregyháza (HUN),2024.1.2
56.32,-,169,Simon Márton,8,Haladás VSE,F4,Budapest (HUN),2024.2.03
56.33,-,170,Kiss András,8,SVSE,F3,Nyíregyháza (HUN),2024.2.24
56.42,85,171,Rácz Gergely,8,VEDAC,F8,Budapest (HUN),2024.1.28
56.51,-,172,Sabo Dominik,94,BSC,F4,Budapest (HUN),2024.2.11
56.54,86,173,Till Erik,8,VEDAC,F9,Budapest (HUN),2024.1.28
56.6,-,174,Váradi Gellért,6,Szegedi RSC,F5,Budapest (HUN),2024.1.28
56.85,-,175,Szögyényi Gábor,78,NYSC,F4,Nyíregyháza (HUN),2024.1.27
56.86,87,176,Mészáros Hunor,8,SZVSE,F9,Budapest (HUN),2024.2.11
57.3,-,177,Laczkó Dávid,7,KSI SE,F6,Budapest (HUN),2024.2.03
57.45,88,178,Farkas Zoltán,8,DSC-SI,F4,Nyíregyháza (HUN),2024.2.24
57.87,-,179,Szögyényi Gábor,78,NYSC,F1,Budapest (HUN),2024.3.02
58.02,89,180,Zátrok Patrik,9,Tempo-Aqua,F7,Budapest (HUN),2024.1.28
58.65,90,181,Papp Vince,8,Győri Atlétikai Club,F5,Budapest (HUN),2024.2.03
58.67,-,182,Papp Vince,8,Győri Atlétikai Club,F8,Budapest (HUN),2024.1.28
58.77,-,183,Laczkó Dávid,7,KSI SE,F6,Budapest (HUN),2024.1.28
58.8,-,184,Laczkó Dávid,7,KSI SE,F4,Nyíregyháza (HUN),2024.1.2
59.05,91,185,Szabó Örs,7,KSI SE,F4,Nyíregyháza (HUN),2024.2.24
59.11,92,186,Ujvári Zoltán,74,MTK Budapest,F1,Budapest (HUN),2024.3.02
59.18,93,187,Kohán Gergely,9,NYSC,F4,Nyíregyháza (HUN),2024.1.2
59.57,94,188,Kósa Zoltán,67,VEDAC,F1,Budapest (HUN),2024.3.02
60.24,95,189,Földes Csongor,8,Haladás VSE,F9,Budapest (HUN),2024.2.03
60.26,96,190,Noé Attila,80,AC Bonyhád,F1,Budapest (HUN),2024.3.02
61.19,97,191,Husz Zsolt,79,MTK Budapest,F1,Budapest (HUN),2024.3.02
61.68,-,192,Földes Csongor,8,Haladás VSE,F7,Budapest (HUN),2024.1.28
63.49,98,193,Papp Illés János,5,SZKHSE,F3,Nyíregyháza (HUN),2024.2.24
65.48,99,194,Hollós András,80,MATE - GEAC,F1,Budapest (HUN),2024.3.02
66.21,100,195,Frey Ákos,68,Kirchhofer SE,F1,Budapest (HUN),2024.3.02
67.51,101,196,Jurth Gyula,59,BAB SE,F1,Budapest (HUN),2024.3.02
68.13,102,197,Gajdos Tamás,58,A-Plast Ikarus BSE,F1,Budapest (HUN),2024.3.02
70.08,103,198,Szabo Donát,72,Kirchhofer SE,F1,Budapest (HUN),2024.3.02
82.55,104,199,Ujvári Ferenc,54,Budapesti Atlétikai Szövetség,F1,Budapest (HUN),2024.3.02
92.94,105,200,Dr. Niedermayer György,57,Budapesti Atlétikai Szövetség,F1,Budapest (HUN),2024.3.02
93.07,106,201,Noé József,46,SVSE,F1,Budapest (HUN),2024.3.02
