Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
17:14.33,1,1,Szekszárdi SK Nkft. U20,F,Budapest (HUN),2016.5.21
17:28.40,2,2,Ikarus BSE U18,F,Budapest (HUN),2016.5.21
17:40.44,3,3,Keszthely VDSE U20,F,Budapest (HUN),2016.5.21
17:54.35,4,4,UTE U18,F,Budapest (HUN),2016.5.21
17:57.75,5,5,NYSC U20,F,Budapest (HUN),2016.5.21
18:04.04,6,6,Vasas U18,F,Budapest (HUN),2016.5.21
18:10.17,7,7,Budaörsi DSE U18,F,Budapest (HUN),2016.5.21
18:16.17,8,8,Győri AC U20,F,Budapest (HUN),2016.5.21
18:46.00,9,9,Psn Zrt U18,F,Budapest (HUN),2016.5.21
16:40.66,1,1,Békéscsabai AC U20,F,Budapest (HUN),2017.9.16
16:46.22,2,2,Ikarus BSE U20,F,Budapest (HUN),2017.9.16
17:22.24,3,3,Budaörsi DSE U20,F,Budapest (HUN),2017.9.16
17:23.12,4,4,ARAK UP Akadémia U20,F,Budapest (HUN),2017.9.16
17:34.22,5,5,VEDAC U18,F,Budapest (HUN),2017.9.16
17:40.20,6,6,KARC U18,F,Budapest (HUN),2017.9.16
18:33.56,7,7,Vasas U20,F,Budapest (HUN),2017.9.16
18:39.93,8,8,Ikarus BSE U18,F,Budapest (HUN),2017.9.16
18:49.00,9,9,TSC-Geotech U18,F,Budapest (HUN),2017.9.16
19:09.32,10,10,NYSC U20,F,Budapest (HUN),2017.9.16
17:20.41,1,1,BHSE,F1,Szekszárd (HUN),2018.9.15
17:49.69,2,2,KARC,F1,Szekszárd (HUN),2018.9.15
18:24.45,3,3,Vasas,F1,Szekszárd (HUN),2018.9.15
17:08.53,1,1,BHSE,F1,Zalaegerszeg (HUN),2019.6.02
17:22.38,2,2,Győri Atlétikai Club,F1,Zalaegerszeg (HUN),2019.6.02
17:48.51,3,3,Csömöri Sport Kft.,F1,Zalaegerszeg (HUN),2019.6.02
18:11.00,4,4,VEDAC,F1,Zalaegerszeg (HUN),2019.6.02
18:28.71,5,5,GEAC,F1,Zalaegerszeg (HUN),2019.6.02
18:29.81,6,6,TSC-Geotech,F1,Zalaegerszeg (HUN),2019.6.02
18:51.07,7,7,Ikarus BSE,F1,Zalaegerszeg (HUN),2019.6.02
19:35.83,8,8,PVSK,F1,Zalaegerszeg (HUN),2019.6.02
19:42.27,9,9,DOVASE,F1,Zalaegerszeg (HUN),2019.6.02
18:10.4h,1,1,VEDAC,F1,Kecskemét (HUN),2021.5.08
18:12.3h,2,2,GEAC,F1,Kecskemét (HUN),2021.5.08
18:12.9h,3,3,Győri Atlétikai Club,F1,Kecskemét (HUN),2021.5.08
18:23.48,-,4,GEAC,F1,Kecskemét (HUN),2021.5.08
18:30.3h,4,5,PVSK,F1,Kecskemét (HUN),2021.5.08
18:32.88,5,6,KSI SE,F1,Kecskemét (HUN),2021.5.08
18:44.90,6,7,DOVASE,F1,Kecskemét (HUN),2021.5.08
19:00.9h,7,8,Keszthely VDSE,F1,Kecskemét (HUN),2021.5.08
19:10.9h,8,9,Szekszárdi Sportközpont,F1,Kecskemét (HUN),2021.5.08
17:20.85,1,1,MATE - GEAC,F1,Kecskemét (HUN),2022.5.07
17:28.26,2,2,VEDAC,F1,Kecskemét (HUN),2022.5.07
17:30.02,3,3,Vasas,F1,Kecskemét (HUN),2022.5.07
18:07.59,4,4,Szekszárdi Sportközpont,F1,Kecskemét (HUN),2022.5.07
19:03.26,5,5,SFAC,F1,Kecskemét (HUN),2022.5.07
17:15.11,1,1,SVSE,F1,Budapest (HUN),2023.5.07
17:25.42,2,2,TSC-Geotech,F1,Budapest (HUN),2023.5.07
17:31.51,3,3,Szekszárdi Sportközpont,F1,Budapest (HUN),2023.5.07
17:53.70,4,4,Ikarus BSE,F1,Budapest (HUN),2023.5.07
19:15.54,5,5,VEDAC,F1,Budapest (HUN),2023.5.07
20:41.49,6,6,SFAC,F1,Budapest (HUN),2023.5.07
17:09.20,1,1,Szekszárdi Sportközpont,F1,Kaposvár (HUN),2024.5.18
17:11.11,2,2,A-Plast Ikarus BSE,F1,Kaposvár (HUN),2024.5.18
17:34.29,3,3,SVSE,F1,Kaposvár (HUN),2024.5.18
18:05.59,4,4,TSC-Geotech,F1,Kaposvár (HUN),2024.5.18
19:12.90,5,5,KASI,F1,Kaposvár (HUN),2024.5.18
19:28.41,6,6,SZVSE,F1,Kaposvár (HUN),2024.5.18
