Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
1:31.84,1,1,UTE,F1,Nyíregyháza (HUN),2024.2.25
1:31.95,2,2,BHSE,F1,Nyíregyháza (HUN),2024.2.25
1:32.48,3,3,A-Plast Ikarus BSE,F1,Nyíregyháza (HUN),2024.2.25
1:33.22,-,4,UTE,F1,Nyíregyháza (HUN),2024.2.25
1:33.32,4,5,ARAK,F1,Nyíregyháza (HUN),2024.2.25
1:33.77,-,6,ARAK,F1,Nyíregyháza (HUN),2024.2.25
1:33.80,5,7,MATE - GEAC,F1,Nyíregyháza (HUN),2024.2.25
1:35.36,-,8,UTE,F1,Nyíregyháza (HUN),2024.1.27
1:35.51,6,9,Győri Atlétikai Club,F1,Nyíregyháza (HUN),2024.2.25
1:36.74,7,10,KARC,F2,Nyíregyháza (HUN),2024.2.25
1:36.87,8,11,SVSE,F2,Nyíregyháza (HUN),2024.2.25
1:38.77,-,12,SVSE,F1,Budapest (HUN),2024.2.04
1:38.85,-,13,Győri Atlétikai Club,F1,Budapest (HUN),2024.2.04
1:39.31,-,14,A-Plast Ikarus BSE,F2,Nyíregyháza (HUN),2024.2.25
1:42.62,9,15,TSC-Geotech,F3,Budapest (HUN),2024.2.04
1:43.05,10,16,Szombathelyi SI,F2,Budapest (HUN),2024.2.04
1:44.09,-,17,A-Plast Ikarus BSE,F2,Budapest (HUN),2024.2.04
1:44.91,11,18,FTC,F3,Budapest (HUN),2024.2.04
1:45.03,12,19,Veresegyház VSK,F3,Budapest (HUN),2024.2.04
1:45.70,13,20,Csepel TC,F2,Budapest (HUN),2024.2.04
1:45.91,-,21,UTE,F1,Budapest (HUN),2024.2.04
