Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
3:14.77,1,1,Gödöllői EAC,F1,Budapest (HUN),2016.2.21
3:14.99,2,2,Haladás VSE,F1,Budapest (HUN),2016.2.21
3:21.95,3,3,KARC,F2,Budapest (HUN),2016.2.21
3:22.60,4,4,DSC-SI,F1,Budapest (HUN),2016.2.21
3:23.40,5,5,Ikarus BSE,F2,Budapest (HUN),2016.2.21
3:23.49,6,6,VEDAC,F2,Budapest (HUN),2016.2.21
3:26.23,7,7,Zalaszám-ZAC,F2,Budapest (HUN),2016.2.21
3:33.08,8,8,FTC,F1,Budapest (HUN),2016.2.21
3:20.67,1,1,DSC-SI,F1,Budapest (HUN),2017.2.19
3:21.77,2,2,Haladás VSE,F1,Budapest (HUN),2017.2.19
3:26.32,3,3,Titán TC,F2,Budapest (HUN),2017.2.19
3:22.09,1,1,Haladás VSE,F2,Budapest (HUN),2018.2.18
3:23.63,2,2,TFSE,F1,Budapest (HUN),2018.2.18
3:25.62,3,3,Vasas,F1,Budapest (HUN),2018.2.18
3:27.08,4,4,FTC,F2,Budapest (HUN),2018.2.18
3:29.44,5,5,KSI SE,F1,Budapest (HUN),2018.2.18
3:19.64,1,1,FTC,F1,Budapest (HUN),2019.2.17
3:20.31,2,2,Vasas,F2,Budapest (HUN),2019.2.17
3:21.37,3,3,TFSE,F1,Budapest (HUN),2019.2.17
3:22.25,4,4,Haladás VSE,F2,Budapest (HUN),2019.2.17
3:36.94,5,5,Horn-Bercsényi DSE,F1,Budapest (HUN),2019.2.17
3:18.97,1,1,FTC,F1,Budapest (HUN),2020.2.23
3:20.86,2,2,Vasas,F1,Budapest (HUN),2020.2.23
3:21.22,3,3,UTE,F1,Budapest (HUN),2020.2.23
3:21.77,4,4,SVSE,F1,Budapest (HUN),2020.2.23
3:24.40,5,5,GEAC ÖREG,F2,Budapest (HUN),2020.2.23
3:25.00,6,6,GEAC FIATAL,F2,Budapest (HUN),2020.2.23
3:26.76,7,7,Dunakeszi VSE,F3,Budapest (HUN),2020.2.23
3:28.46,8,8,KSI SE,F2,Budapest (HUN),2020.2.23
3:28.61,9,9,Horn-Bercsényi DSE,F3,Budapest (HUN),2020.2.23
3:16.02,1,1,FTC,F1,Budapest (HUN),2021.2.21
3:19.16,2,2,SVSE,F1,Budapest (HUN),2021.2.21
3:20.16,3,3,Ikarus BSE,F1,Budapest (HUN),2021.2.21
3:20.20,4,4,UTE,F2,Budapest (HUN),2021.2.21
3:23.88,5,5,BHSE,F2,Budapest (HUN),2021.2.21
3:25.96,6,6,"FTC ""B""",F2,Budapest (HUN),2021.2.21
3:27.93,7,7,Győri Atlétikai Club,F2,Budapest (HUN),2021.2.21
3:11.88,1,1,FTC,F1,Nyíregyháza (HUN),2022.2.27
3:19.77,2,2,UTE,F1,Nyíregyháza (HUN),2022.2.27
3:21.68,3,3,SVSE,F1,Nyíregyháza (HUN),2022.2.27
3:08.58,1,1,HUN A,F1,Nyíregyháza (HUN),2023.1.28
3:13.72,2,2,FTC,F1,Nyíregyháza (HUN),2023.2.19
3:17.96,3,3,UTE,F1,Nyíregyháza (HUN),2023.2.19
3:20.53,4,4,Ikarus BSE,F1,Nyíregyháza (HUN),2023.2.19
3:21.01,5,5,Győri Atlétikai Club,F2,Nyíregyháza (HUN),2023.2.19
3:22.88,6,6,BHSE,F2,Nyíregyháza (HUN),2023.2.19
3:23.15,7,7,SVSE,F1,Nyíregyháza (HUN),2023.2.19
3:25.92,8,8,TFSE,F2,Nyíregyháza (HUN),2023.2.19
