Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
19:19.49,1,1,Venyercsán Bence,96,BHSE,F1,Nyíregyháza (HUN),2024.2.17
19:28.23,2,2,Tóth Norbert,1,H. Szondi SE,F1,Nyíregyháza (HUN),2024.2.17
22:09.45,3,3,Csontos Imre,92,BEAC,F1,Nyíregyháza (HUN),2024.2.17
22:14.62,4,4,Schwarcz Péter,6,H. Szondi SE,F1,Nyíregyháza (HUN),2024.2.17
22:32.04,-,5,Schwarcz Péter,6,H. Szondi SE,F1,Nyíregyháza (HUN),2024.2.24
23:10.86,5,6,Bor Benjámin,6,Békéscsabai AC,F1,Nyíregyháza (HUN),2024.2.17
24:34.38,6,7,Mészáros Benjamin,91,Békéscsabai AC,F1,Nyíregyháza (HUN),2024.2.17
25:39.18,7,8,Kocsis Bernát,5,Miskolci Sportiskola,F1,Nyíregyháza (HUN),2024.2.24
26:03.23,8,9,Stefanovics Roland,7,Miskolci Sportiskola,F1,Nyíregyháza (HUN),2024.2.24
26:23.08,9,10,Szónok Dániel,8,H. Szondi SE,F1,Nyíregyháza (HUN),2024.2.24
27:10.72,10,11,Majoros Máté,6,Miskolci Sportiskola,F1,Nyíregyháza (HUN),2024.2.24
