Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
19:35.82,1,1,Helebrandt Máté,89,NYSC,F,Budapest (HUN),2016.7.22
21:07.27,2,2,Venyercsán Bence,96,BHSE,F,Budapest (HUN),2016.7.22
21:26.77,3,3,Srp Miklós,93,BHSE,F,Budapest (HUN),2016.7.22
21:52.38,4,4,Tokodi Dávid,91,FTC,F,Budapest (HUN),2016.7.22
21:54.67,5,5,Burger Donát,97,TSC-Geotech,F,Budapest (HUN),2016.7.22
21:59.43,6,6,Kovács Soma,97,Miskolci Sportiskola,F,Budapest (HUN),2016.8.2
23:11.89,7,7,Sárossi Bálint,0,TSC-Geotech,F,Budapest (HUN),2016.7.22
24:08.25,8,8,Gál Vencel,1,Miskolci Sportiskola,F,Budapest (HUN),2016.6.19
24:26.70,9,9,Venyercsán László,71,BHSE,F,Budapest (HUN),2016.7.22
24:33.62,10,10,Horváth Dániel,0,DSC-SI,F,Budapest (HUN),2016.7.22
24:47.80,11,11,Varga Dávid,1,Miskolci Sportiskola,F,Budapest (HUN),2016.6.19
24:50.13,-,12,Gál Vencel,1,Miskolci Sportiskola,F,Debrecen (HUN),2016.7.09
24:50.70,-,13,Varga Dávid,1,Miskolci Sportiskola,F,Debrecen (HUN),2016.7.09
25:02.03,-,14,Gál Vencel,1,Miskolci Sportiskola,F,Székesfehérvár (HUN),2016.5.07
25:14.64,-,15,Varga Dávid,1,Miskolci Sportiskola,F,Székesfehérvár (HUN),2016.5.07
25:57.26,12,16,Tóth Norbert,1,Hunyadi DSE,F,Debrecen (HUN),2016.7.09
26:47.77,13,17,Varga Máté,2,Hunyadi DSE,F,Debrecen (HUN),2016.7.09
28:16.48,-,18,Tóth Norbert,1,Hunyadi DSE,F,Székesfehérvár (HUN),2016.5.07
28:55.60,-,19,Varga Máté,2,Hunyadi DSE,F,Székesfehérvár (HUN),2016.5.07
29:29.28,14,20,Csaba István,59,BHSE,F,Budapest (HUN),2016.7.22
31:19.18,15,21,Galambos Szabolcs,2,Hunyadi DSE,F,Székesfehérvár (HUN),2016.5.07
31:23.99,16,22,Szentmarjai Bálint,3,Miskolci Sportiskola,F,Székesfehérvár (HUN),2016.5.07
32:18.93,17,23,Veres Barnabás,2,Békési DAC,F,Debrecen (HUN),2016.7.09
20:07.64,1,1,Venyercsán Bence,96,BHSE,F,Budapest (HUN),2017.6.3
20:50.05,2,2,Srp Miklós,93,BHSE,F,Budapest (HUN),2017.6.3
20:58.65,3,3,Kovács Soma,97,Miskolci Sportiskola,F,Budapest (HUN),2017.6.3
21:20.21,4,4,Tokodi Dávid,91,FTC,F,Budapest (HUN),2017.6.3
21:37.53,5,5,Burger Donát,97,TSC-Geotech,F,Budapest (HUN),2017.6.3
22:52.17,6,6,Tóth Norbert,1,Hunyadi DSE,F,Székesfehérvár (HUN),2017.5.06
23:01.10,7,7,Varga Dávid,1,Miskolci Sportiskola,F,Budapest (HUN),2017.6.3
23:03.06,8,8,Gál Vencel,1,Miskolci Sportiskola,F,Székesfehérvár (HUN),2017.5.06
23:10.39,9,9,Horváth Dániel,0,DSC-SI,F,Székesfehérvár (HUN),2017.5.06
23:20.52,-,10,Varga Dávid,1,Miskolci Sportiskola,F,Székesfehérvár (HUN),2017.5.06
23:24.51,-,11,Gál Vencel,1,Miskolci Sportiskola,F,Budapest (HUN),2017.6.3
23:48.65,10,12,Varga Máté,2,Hunyadi DSE,F,Budapest (HUN),2017.9.02
25:10.26,11,13,Babus Sándor,4,Hajós Alfréd DSE,F,Budapest (HUN),2017.9.02
26:01.29,-,14,Varga Máté,2,Hunyadi DSE,F,Budapest (HUN),2017.7.08
26:38.91,12,15,Gonda Levente,3,BHSE,F,Budapest (HUN),2017.7.08
