Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
70858,1,1,Beda Szabolcs,77,ELTE SE Sashegyi gepárdok,F1,Hangony (HUN),2023.10.21
64209,2,2,Földesi György,80,RunnersLab SE,F1,Hangony (HUN),2023.10.21
59885,3,3,Zuba Péter,68,RunnersLab SE,F1,Hangony (HUN),2023.10.21
84427,1,1,Berényi Imre,76,TSC-Geotech,F1,Tapolca (HUN),2024.3.09
84011,2,2,Szennyai Dorián,1,Tapolcai Trappolók SE,F1,Tapolca (HUN),2024.3.09
82042,3,3,Kohári Szabolcs,0,DVTK,F1,Tapolca (HUN),2024.3.09
81069,4,4,Mátyás Bence,94,MTK Budapest,F1,Tapolca (HUN),2024.3.09
80179,5,5,Beda Szabolcs,77,ELTE SE Sashegyi gepárdok,F1,Tapolca (HUN),2024.3.09
73650,6,6,Sipos Ádám,84,NYSC,F1,Tapolca (HUN),2024.3.09
71055,7,7,Ispán Zsolt,77,Balatonfüredi Atlétikai Club,F1,Tapolca (HUN),2024.3.09
68810,8,8,Tihor Csaba,76,Balatonfüredi Atlétikai Club,F1,Tapolca (HUN),2024.3.09
67406,9,9,Gáll Szabolcs,86,Kanizsai Futóklub,F1,Tapolca (HUN),2024.3.09
65817,10,10,Kiss László,78,Csömöri Sport Kft.,F1,Tapolca (HUN),2024.3.09
65380,11,11,Páldi Gábor,75,Balatonfüredi Atlétikai Club,F1,Tapolca (HUN),2024.3.09
64892,12,12,Belej-Fekete Bálint,77,Balatonfüredi Atlétikai Club,F1,Tapolca (HUN),2024.3.09
63207,13,13,Lengyel Ákos,74,Balatonfüredi Atlétikai Club,F1,Tapolca (HUN),2024.3.09
62906,14,14,Zuba Péter,68,RunnersLab SE,F1,Tapolca (HUN),2024.3.09
51760,15,15,Fülöp Norbert,88,Tapolcai Trappolók SE,F1,Tapolca (HUN),2024.3.09
45290,16,16,Nagy Miklós,68,Tapolcai Trappolók SE,F1,Tapolca (HUN),2024.3.09
43573,17,17,Földesi József,57,Tapolcai Trappolók SE,F,Martonvásár (HUN),2024.4.13
42055,18,18,Tóth Zoltán,80,EFM,F1,Tapolca (HUN),2024.3.09
29115,19,19,Balog Áron,1,Balatonfüredi Atlétikai Club,F1,Tapolca (HUN),2024.3.09
25880,20,20,Somornai Lajos,71,Tapolcai Trappolók SE,F1,Tapolca (HUN),2024.3.09
