Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
7.55,1,1,Dr. Baji Balázs,89,Békéscsabai AC,H1,Budapest (HUN),2016.2.21
7.56,-,2,Dr. Baji Balázs,89,Békéscsabai AC,F,Jablonec (CZE),2016.3.05
7.59,-,3,Dr. Baji Balázs,89,Békéscsabai AC,F,Madrid (ESP),2016.2.26
7.6,-,4,Dr. Baji Balázs,89,Békéscsabai AC,F,Toruń (POL),2016.2.12
7.62,-,5,Dr. Baji Balázs,89,Békéscsabai AC,F,Budapest (HUN),2016.2.21
7.64,-,6,Dr. Baji Balázs,89,Békéscsabai AC,SF2,"Portland, OR (USA)",2016.3.2
7.65,-,7,Dr. Baji Balázs,89,Békéscsabai AC,F,"Portland, OR (USA)",2016.3.2
7.66,-,8,Dr. Baji Balázs,89,Békéscsabai AC,F,Budapest (HUN),2016.1.3
7.67,-,9,Dr. Baji Balázs,89,Békéscsabai AC,H2,Toruń (POL),2016.2.12
7.69,-,10,Dr. Baji Balázs,89,Békéscsabai AC,H1,Jablonec (CZE),2016.3.05
7.7,-,11,Dr. Baji Balázs,89,Békéscsabai AC,F,Łódź (POL),2016.2.05
7.7,-,11,Dr. Baji Balázs,89,Békéscsabai AC,H1,Madrid (ESP),2016.2.26
7.72,-,13,Dr. Baji Balázs,89,Békéscsabai AC,H2,Łódź (POL),2016.2.05
7.73,-,14,Dr. Baji Balázs,89,Békéscsabai AC,H1,"Portland, OR (USA)",2016.3.19
7.77,-,15,Dr. Baji Balázs,89,Békéscsabai AC,H2,Düsseldorf (GER),2016.2.03
7.8,-,16,Dr. Baji Balázs,89,Békéscsabai AC,H2,Budapest (HUN),2016.1.3
7.8,-,16,Dr. Baji Balázs,89,Békéscsabai AC,F,Düsseldorf (GER),2016.2.03
7.8,2,16,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Budapest (HUN),2016.2.21
7.84,3,19,Kiss Dániel,82,A-Plast Ikarus BSE,H2,Budapest (HUN),2016.2.21
7.85,-,20,Szűcs Valdó,95,ZALASZÁM-ZAC,H2,Budapest (HUN),2016.2.21
7.87,-,21,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Sheffield (GBR),2016.2.27
7.89,-,22,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Gent (BEL),2016.2.13
7.89,-,22,Szűcs Valdó,95,ZALASZÁM-ZAC,H2,Gent (BEL),2016.2.13
7.9,-,24,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Cardiff (GBR),2016.1.31
7.9,-,24,Szűcs Valdó,95,ZALASZÁM-ZAC,H3,Sheffield (GBR),2016.2.27
7.91,4,26,Gönczöl Máté,93,VEDAC,F,Budapest (HUN),2016.1.3
7.94,-,27,Gönczöl Máté,93,VEDAC,F,Budapest (HUN),2016.2.06
