Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
67.13,1,1,Kővágó Zoltán,79,Szolnoki Honvéd,F,Székesfehérvár (HUN),2016.7.18
66.22,-,2,Kővágó Zoltán,79,Szolnoki Honvéd,F,Szombathely (HUN),2016.6.26
65.21,-,3,Kővágó Zoltán,79,Szolnoki Honvéd,Q1,Amsterdam (NED),2016.7.07
65.16,-,4,Kővágó Zoltán,79,Szolnoki Honvéd,F,Szombathely (HUN),2016.6.08
64.89,2,5,Huszák János,92,FTC,F,Szentes (HUN),2016.4.16
64.66,-,6,Kővágó Zoltán,79,Szolnoki Honvéd,F,Amsterdam (NED),2016.7.09
64.52,-,7,Kővágó Zoltán,79,Szolnoki Honvéd,F,Lausanne (SUI),2016.8.25
64.5,-,8,Kővágó Zoltán,79,Szolnoki Honvéd,F,Rio de Janeiro (BRA),2016.8.13
64.42,-,9,Kővágó Zoltán,79,Szolnoki Honvéd,F,Rabat (MAR),2016.5.22
64.15,3,10,Savanyú Péter,87,Tamási TAM - BAU AC,F,Szekszárd (HUN),2016.6.22
63.34,-,11,Kővágó Zoltán,79,Szolnoki Honvéd,Q2,Rio de Janeiro (BRA),2016.8.12
63.18,-,12,Savanyú Péter,87,Tamási TAM - BAU AC,F,Szombathely (HUN),2016.9.22
63.14,4,13,Szikszai Róbert,94,NYSC,F,Veszprém (HUN),2016.6.12
63.01,-,14,Huszák János,92,FTC,F,Szombathely (HUN),2016.7.11
62.5,-,15,Savanyú Péter,87,Tamási TAM - BAU AC,F,Zalaegerszeg (HUN),2016.4.23
62.48,-,16,Szikszai Róbert,94,NYSC,F,Szentes (HUN),2016.4.16
62.27,-,17,Szikszai Róbert,94,NYSC,F,Miskolc (HUN),2016.5.29
62.19,-,18,Huszák János,92,FTC,F,Szombathely (HUN),2016.6.08
62.18,-,19,Huszák János,92,FTC,F,Veszprém (HUN),2016.6.12
62.17,-,20,Kővágó Zoltán,79,Szolnoki Honvéd,F,Budapest (HUN),2016.6.19
62.12,-,21,Huszák János,92,FTC,F,Székesfehérvár (HUN),2016.7.18
62.1,-,22,Savanyú Péter,87,Tamási TAM - BAU AC,F,Szombathely (HUN),2016.7.11
62.02,-,23,Savanyú Péter,87,Tamási TAM - BAU AC,F,Zalaegerszeg (HUN),2016.9.24
61.89,-,24,Huszák János,92,FTC,F,Szentes (HUN),2016.6.21
61.67,-,25,Kővágó Zoltán,79,Szolnoki Honvéd,F,Doha (QAT),2016.5.06
