Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
79.47,1,1,Rivasz-Tóth Norbert,96,Törökszentmiklósi DAK,F,Miskolc (HUN),2016.5.28
79.44,-,2,Rivasz-Tóth Norbert,96,Törökszentmiklósi DAK,F,Zenica (BIH),2016.6.01
78.81,-,3,Rivasz-Tóth Norbert,96,Törökszentmiklósi DAK,F,Budapest (HUN),2016.5.22
78.33,-,4,Rivasz-Tóth Norbert,96,Törökszentmiklósi DAK,F,Bar (MNE),2016.5.01
78.29,-,5,Rivasz-Tóth Norbert,96,Törökszentmiklósi DAK,F,Budapest (HUN),2016.4.16
77.7,-,6,Rivasz-Tóth Norbert,96,Törökszentmiklósi DAK,F,Arad (ROU),2016.3.13
77.49,-,7,Rivasz-Tóth Norbert,96,Törökszentmiklósi DAK,F,Debrecen (HUN),2016.6.04
76.66,-,8,Rivasz-Tóth Norbert,96,Törökszentmiklósi DAK,F,Szombathely (HUN),2016.6.25
75.11,-,9,Rivasz-Tóth Norbert,96,Törökszentmiklósi DAK,F,Székesfehérvár (HUN),2016.7.31
74.8,2,10,Schmölcz Márk,97,TSC-Geotech,Q2,Bydgoszcz (POL),2016.7.22
74.56,-,11,Rivasz-Tóth Norbert,96,Törökszentmiklósi DAK,Q1,Amsterdam (NED),2016.7.06
74.03,-,12,Rivasz-Tóth Norbert,96,Törökszentmiklósi DAK,F,Szombathely (HUN),2016.2.27
73.86,-,13,Rivasz-Tóth Norbert,96,Törökszentmiklósi DAK,F,Budapest (HUN),2016.8.2
72.66,-,14,Schmölcz Márk,97,TSC-Geotech,F,Bydgoszcz (POL),2016.7.23
72.28,-,15,Rivasz-Tóth Norbert,96,Törökszentmiklósi DAK,F,Budapest (HUN),2016.9.04
71.82,3,16,Rab Attila,94,A-Plast Ikarus BSE,F,Budapest (HUN),2016.5.22
71.56,-,17,Schmölcz Márk,97,TSC-Geotech,F2,Arad (ROU),2016.3.13
71.44,-,18,Rab Attila,94,A-Plast Ikarus BSE,F,Vác (HUN),2016.9.25
71.23,-,19,Schmölcz Márk,97,TSC-Geotech,F,Budapest (HUN),2016.5.22
71.19,4,20,Gulyás Tamás,93,Szolnoki MÁV-SE,F,Debrecen (HUN),2016.6.04
71.09,5,21,Magyari Zoltán,85,MTK Budapest,F,Szombathely (HUN),2016.2.27
70.62,-,22,Rab Attila,94,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2016.7.31
70.6,-,23,Schmölcz Márk,97,TSC-Geotech,F,Székesfehérvár (HUN),2016.5.28
70.5,-,24,Rab Attila,94,A-Plast Ikarus BSE,F,Genève (SUI),2016.6.11
70.19,-,25,Schmölcz Márk,97,TSC-Geotech,F,Budapest (HUN),2016.6.18
70.1,-,26,Gulyás Tamás,93,Szolnoki MÁV-SE,F,Miskolc (HUN),2016.5.28
69.97,-,27,Rab Attila,94,A-Plast Ikarus BSE,F,Budapest (HUN),2016.6.18
69.95,-,28,Schmölcz Márk,97,TSC-Geotech,F,Szombathely (HUN),2016.2.27
69.84,-,29,Gulyás Tamás,93,Szolnoki MÁV-SE,F,Székesfehérvár (HUN),2016.7.31
69.45,6,30,Török Krisztián,87,KARC,F,Székesfehérvár (HUN),2016.7.31
69.41,-,31,Rab Attila,94,A-Plast Ikarus BSE,F,Maribor (SLO),2016.7.15
69.37,-,32,Rab Attila,94,A-Plast Ikarus BSE,F,Miskolc (HUN),2016.5.28
69.19,-,33,Rab Attila,94,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.5.15
69.11,-,34,Gulyás Tamás,93,Szolnoki MÁV-SE,F,Debrecen (HUN),2016.5.15
68.78,-,35,Rab Attila,94,A-Plast Ikarus BSE,F,Budapest (HUN),2016.8.2
68.63,-,36,Schmölcz Márk,97,TSC-Geotech,F,Székesfehérvár (HUN),2016.7.31
68.58,-,37,Rab Attila,94,A-Plast Ikarus BSE,F,Szombathely (HUN),2016.6.25
68.39,-,38,Schmölcz Márk,97,TSC-Geotech,F,Miskolc (HUN),2016.7.01
68.38,-,39,Gulyás Tamás,93,Szolnoki MÁV-SE,F,Budapest (HUN),2016.9.04
68.22,-,40,Schmölcz Márk,97,TSC-Geotech,F,Szombathely (HUN),2016.6.25
68.2,-,41,Rab Attila,94,A-Plast Ikarus BSE,F,Szombathely (HUN),2016.2.27
68.18,-,42,Magyari Zoltán,85,MTK Budapest,F,Vác (HUN),2016.9.25
68.07,-,43,Magyari Zoltán,85,MTK Budapest,F,Székesfehérvár (HUN),2016.7.31
