Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
15.88,1,1,Galambos Tibor,91,FTC,F,Budapest (HUN),2016.2.2
15.53,2,2,László Dávid,92,ARAK,F,Budapest (HUN),2016.2.2
15.49,-,3,László Dávid,92,ARAK,F,Budapest (HUN),2016.2.13
15.32,-,4,Galambos Tibor,91,FTC,F,Budapest (HUN),2016.1.3
15.23,3,5,Pál Robin,91,NYSC,F,Nyíregyháza (HUN),2016.1.17
14.93,4,6,Prekli Zoltán,91,FTC,F,Székesfehérvár (HUN),2016.1.23
14.72,5,7,Székács Máté,98,Favorit AC,F,Budapest (HUN),2016.1.3
14.72,-,7,Prekli Zoltán,91,FTC,F,Budapest (HUN),2016.2.2
14.69,6,9,Leveleki Bence,0,NYSC,F,Budapest (HUN),2016.2.28
14.64,-,10,Székács Máté,98,Favorit AC,F,Budapest (HUN),2016.2.28
14.61,7,11,Kiss Dániel,90,FTC,F,Budapest (HUN),2016.2.2
14.43,8,12,Böröndy Hunor,93,KARC,F,Budapest (HUN),2016.2.2
14.34,9,13,Ungvári Péter,85,KSI SE,F,Malmö (SWE),2016.1.3
14.33,-,14,Prekli Zoltán,91,FTC,F,Budapest (HUN),2016.1.3
14.3,-,15,Székács Máté,98,Favorit AC,F,Bonyhád (HUN),2016.2.1
14.29,-,16,Székács Máté,98,Favorit AC,F,Bonyhád (HUN),2016.1.27
14.28,10,17,Balogh Kristóf,99,Győri Atlétikai Club,F,Budapest (HUN),2016.2.28
14.24,-,18,Kiss Dániel,90,FTC,F,Budapest (HUN),2016.2.13
14.2,11,19,Bartalos Dávid,95,Haladás VSE,F,Budapest (HUN),2016.2.2
14.18,12,20,Kiss László,93,FTC,F,Budapest (HUN),2016.1.3
14.17,-,21,Székács Máté,98,Favorit AC,F,Budapest (HUN),2016.2.2
14.11,-,22,Kiss Dániel,90,FTC,F,Budapest (HUN),2016.1.3
14.1,-,23,Kiss László,93,FTC,F,Budapest (HUN),2016.2.2
14.09,13,24,Buzga Zoltán,98,NYSC,F,Budapest (HUN),2016.2.28
14.06,-,25,Székács Máté,98,Favorit AC,F,Budapest (HUN),2016.2.13
14.05,14,26,Tóth Attila,96,Győri Atlétikai Club,F,Székesfehérvár (HUN),2016.1.23
14.02,-,27,Bartalos Dávid,95,Haladás VSE,F,Bécs (AUT),2016.1.3
14.01,-,28,Tóth Attila,96,Győri Atlétikai Club,F,Pozsony (SVK),2016.2.27
13.92,-,29,Balogh Kristóf,99,Győri Atlétikai Club,F,Budapest (HUN),2016.2.13
13.88,-,30,Tóth Attila,96,Győri Atlétikai Club,F,Pozsony (SVK),2016.2.13
13.88,-,30,Bartalos Dávid,95,Haladás VSE,F,Budapest (HUN),2016.2.13
13.81,15,32,Szenderffy Dániel,99,Dunakeszi VSE,F,Budapest (HUN),2016.2.28
13.79,-,33,Ungvári Péter,85,KSI SE,F,Göteborg (SWE),2016.2.06
13.72,-,34,Balogh Kristóf,99,Győri Atlétikai Club,F,Budapest (HUN),2016.1.3
13.68,-,35,Ungvári Péter,85,KSI SE,F,Budapest (HUN),2016.2.2
13.62,16,36,Fischer Patrik,1,TSC-Geotech,F,Székesfehérvár (HUN),2016.1.23
13.51,17,37,Daróczi Ákos,98,TSC-Geotech,F,Budapest (HUN),2016.2.28
13.49,-,38,Balogh Kristóf,99,Győri Atlétikai Club,F,Székesfehérvár (HUN),2016.1.23
13.47,-,39,Balogh Kristóf,99,Győri Atlétikai Club,F,Budapest (HUN),2016.2.2
13.39,18,40,Hoffer Ferenc,98,KARC,F,Budapest (HUN),2016.2.28
13.22,19,41,Nagy Tamás,99,KARC,F,Budapest (HUN),2016.2.13
13.2,-,42,Daróczi Ákos,98,TSC-Geotech,F,Székesfehérvár (HUN),2016.1.23
13.2,-,42,Nagy Tamás,99,KARC,F,Budapest (HUN),2016.2.28
13.17,-,44,Tóth Attila,96,Győri Atlétikai Club,F,Budapest (HUN),2016.1.3
13.17,20,44,Tóth Gergely,99,ARAK,F,Budapest (HUN),2016.2.28
13.05,-,46,Hoffer Ferenc,98,KARC,F,Bonyhád (HUN),2016.1.27
13.02,-,47,Szenderffy Dániel,99,Dunakeszi VSE,F,Budapest (HUN),2016.1.3
12.96,21,48,Salamon András,0,TSC-Geotech,F,Budapest (HUN),2016.2.28
12.95,22,49,Deák Norbert,97,TSC-Geotech,F,Budapest (HUN),2016.2.28
12.89,23,50,Nagy Viktor,93,FTC,F,Budapest (HUN),2016.2.13
12.77,-,51,Hoffer Ferenc,98,KARC,F,Budapest (HUN),2016.2.13
12.77,24,51,Bencsik Ádám,99,MAFC,F,Budapest (HUN),2016.2.28
12.76,25,53,Varga Péter,99,NYSC,F,Budapest (HUN),2016.2.28
12.75,-,54,Nagy Tamás,99,KARC,F,Bonyhád (HUN),2016.1.27
12.7,26,55,Ignácz Dániel,98,Szekszárdi Sportközpont,F,Budapest (HUN),2016.2.28
12.69,-,56,Tóth Gergely,99,ARAK,F,Bonyhád (HUN),2016.1.27
12.67,27,57,Iván Levente,0,Miskolci Sportiskola,F,Budapest (HUN),2016.2.28
12.62,28,58,Ratkó Flórián,97,Győri Atlétikai Club,F,Budapest (HUN),2016.2.28
12.6,29,59,Veres Bálint,99,UTE,F,Budapest (HUN),2016.1.3
