Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2239,1,1,Szabó László,91,FTC,F1,Budapest (HUN),2018.7.28
2198,2,2,Naszódi Benedek,97,KSI SE,F1,Budapest (HUN),2018.7.28
1992,3,3,Kriszt Botond,96,MATE - GEAC,F1,Budapest (HUN),2018.7.28
1897,4,4,Tamási Ottó,94,KARC,F1,Budapest (HUN),2018.7.28
1813,5,5,Kemenes Ákos,96,MATE - GEAC,F1,Budapest (HUN),2018.7.28
1725,6,6,Bencsik Ádám,99,MAFC,F1,Budapest (HUN),2018.7.28
1705,7,7,Botka Levente,96,FTC,F1,Budapest (HUN),2018.7.28
1683,8,8,Bundschu Patrik,1,Vasas,F1,Budapest (HUN),2018.7.28
1682,9,9,Kurucz Gergely,81,ELTE SE Sashegyi gepárdok,F1,Budapest (HUN),2018.7.28
1655,10,10,Mogyorósi Levente,99,MAFC,F1,Budapest (HUN),2018.7.28
1569,11,11,Vágó András,88,FTC,F1,Budapest (HUN),2018.7.28
1463,12,12,Smelka Dániel,2,FTC,F1,Budapest (HUN),2018.7.28
1452,13,13,Smelka Károly,1,FTC,F1,Budapest (HUN),2018.7.28
1374,14,14,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2018.7.28
2208,1,1,Szabó László,91,FTC,F1,Budapest (HUN),2019.6.22
2175,2,2,Galambos Tibor,91,FTC,F1,Budapest (HUN),2019.6.22
1926,3,3,Berek András,2,FTC,F1,Budapest (HUN),2019.6.22
1889,4,4,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2019.6.22
1851,5,5,Gábris Dávid,99,KSI SE,F1,Budapest (HUN),2019.6.22
1829,6,6,Kriszt Botond,96,MATE - GEAC,F1,Budapest (HUN),2019.6.22
1700,7,7,Tamási Ottó,94,KARC,F1,Budapest (HUN),2019.6.22
1680,8,8,Varga Bercel,1,KSI SE,F1,Budapest (HUN),2019.6.22
1573,9,9,Gerics Roland,1,TSC-Geotech,F1,Budapest (HUN),2019.6.22
1571,10,10,Bánhidi Bence,89,FTC,F1,Budapest (HUN),2019.6.22
1565,11,11,Smelka Dániel,2,FTC,F1,Budapest (HUN),2019.6.22
1475,12,12,Ozváry Balázs,1,ARAK,F1,Budapest (HUN),2019.6.22
1452,13,13,Smelka Károly,1,FTC,F1,Budapest (HUN),2019.6.22
1417,14,14,Gladys Bálint,99,KSI SE,F1,Budapest (HUN),2019.6.22
1313,15,15,Polk Bálint,0,MAFC,F1,Budapest (HUN),2019.6.22
1129,16,16,Koi Márk,1,FTC,F1,Budapest (HUN),2019.6.22
618,17,17,Réthy László,97,VEDAC,F1,Budapest (HUN),2019.6.22
2083,1,1,Tóth Zsombor,98,MATE - GEAC,F1,Veszprém (HUN),2021.6.06
2078,2,2,Rab Attila,94,A-Plast Ikarus BSE,F1,Veszprém (HUN),2021.6.06
1959,3,3,Gálpál Zsombor,3,A-Plast Ikarus BSE,F1,Veszprém (HUN),2021.6.06
1892,4,4,Varga Bercel,1,KSI SE,F1,Veszprém (HUN),2021.6.06
1880,5,5,Németh Miklós,4,Németh-Gerely AC SE,F1,Veszprém (HUN),2021.6.06
1842,6,6,Gábris Dávid,99,KSI SE,F1,Veszprém (HUN),2021.6.06
1801,7,7,Szamosi András,99,MATE - GEAC,F1,Veszprém (HUN),2021.6.06
1773,8,8,Antal Bálint,2,KSI SE,F1,Veszprém (HUN),2021.6.06
1644,9,9,Sipos Boldizsár,2,KSI SE,F1,Veszprém (HUN),2021.6.06
1644,9,9,Palicsek Botond,2,KSI SE,F1,Veszprém (HUN),2021.6.06
1437,11,11,Gladys Bálint,99,KSI SE,F1,Veszprém (HUN),2021.6.06
1371,12,12,Sárossi Balázs,4,TSC-Geotech,F1,Veszprém (HUN),2021.6.06
1154,13,13,Pallos Csaba,5,TSC-Geotech,F1,Veszprém (HUN),2021.6.06
886,14,14,Mitrenga Márk,3,KSI SE,F1,Veszprém (HUN),2021.6.06
2089,1,1,Németh Miklós,4,BHSE,F1,Budapest (HUN),2022.6.04
2018,2,2,Gálpál Zsombor,3,BHSE,F1,Budapest (HUN),2022.6.04
2009,3,3,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2022.6.04
1880,4,4,Chrobák Gergő,5,DSC-SI,F1,Budapest (HUN),2022.6.04
1876,5,5,Hodossy-Takács Sámuel,2,DSC-SI,F1,Budapest (HUN),2022.6.04
1851,6,6,Gábris Dávid,99,KSI SE,F1,Budapest (HUN),2022.6.04
1557,7,7,Palicsek Botond,2,KSI SE,F1,Budapest (HUN),2022.6.04
1480,8,8,Kurucz Gergely,81,ELTE SE Sashegyi gepárdok,F1,Budapest (HUN),2022.6.04
