Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
4:11.85,1,1,Matkó Csaba,93,UTE,F,"Winston Salem, NC (USA)",2016.1.3
4:12.61,2,2,Horváth Bálint,89,VEDAC,F2,"Boston, MA (USA)",2016.1.3
4:20.44,3,3,Szalai Benjamin,92,VEDAC,F,Blacksburg (USA),2016.2.26
4:28.97,4,4,Szögi István,95,VEDAC,F2,"Bozeman, MT (USA)",2016.2.27
4:10.17,1,1,Matkó Csaba,93,UTE,F,Ypsilanti (USA),2017.2.25
4:05.84,1,1,Szögi István,95,VEDAC,F3,"Boston, MA (USA)",2018.2.1
4:09.51,-,2,Szögi István,95,VEDAC,F2,Fayetteville (USA),2018.1.27
4:11.63,-,3,Szögi István,95,SVSE,H1,"Clemson, SC (USA)",2018.2.23
4:16.05,2,4,Matkó Csaba,93,BHSE,F,"Bowling Green, OH (USA)",2018.2.24
4:07.51,1,1,Kovács Ferenc,4,SVSE,H5,"New York, NY (USA)",2022.3.22
3:58.00,1,1,Szögi István,95,SVSE,F,Ostrava (CZE),2023.2.02
