Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
29:41.70,1,1,Matkó Csaba,93,UTE,F1,Raleigh (USA),2016.3.26
29:47.36,2,2,Kovács Benjámin,95,UTE,F2,Budapest (HUN),2016.5.01
30:39.09,3,3,Gregor László,92,Békéscsabai AC,F2,Budapest (HUN),2016.5.01
30:46.51,4,4,Józsa Gábor,83,MAC,F2,Budapest (HUN),2016.5.01
30:55.69,5,5,Horváth György,85,SZoESE,F2,Budapest (HUN),2016.5.01
31:09.86,6,6,Dénes Ervin,96,A-Plast Ikarus BSE,F2,Budapest (HUN),2016.5.01
31:13.12,7,7,Halász Ádám,93,PSN - Pécsi Sportiskola,F2,Budapest (HUN),2016.5.01
31:17.58,8,8,Otman Nebil,86,DSC-SI,F2,Budapest (HUN),2016.5.01
31:28.07,9,9,Galamb Csaba,94,KARC,F2,Budapest (HUN),2016.5.01
32:12.38,10,10,Pelsőczy Attila,83,TFSE,F2,Budapest (HUN),2016.5.01
32:36.61,11,11,Burucs Ferenc,86,ELTE SE Sashegyi gepárdok,F2,Budapest (HUN),2016.5.01
32:37.16,12,12,Bencze Dániel,91,KSI SE,F2,Budapest (HUN),2016.5.01
32:47.00,13,13,Balázs Levente,85,Budaörsi DSE,F2,Budapest (HUN),2016.5.01
32:49.35,14,14,Deli Gergely,87,ELTE SE Sashegyi gepárdok,F2,Budapest (HUN),2016.5.01
32:53.87,15,15,Szögi István,95,VEDAC,F,Greeley (USA),2016.5.13
33:00.78,16,16,Schöffer Attila,96,TSC-Geotech,F2,Budapest (HUN),2016.5.01
33:11.64,17,17,Szántó Bence,97,TSC-Geotech,F1,Budapest (HUN),2016.5.01
33:15.28,18,18,Beták Bence,92,ELTE SE Sashegyi gepárdok,F1,Budapest (HUN),2016.5.01
33:16.19,19,19,Nick Márton,97,VEDAC,F1,Budapest (HUN),2016.5.01
33:30.75,20,20,Józsa Bence,97,BHSE,F1,Budapest (HUN),2016.5.01
33:36.63,21,21,Makár László,73,MAC,F2,Budapest (HUN),2016.5.01
33:40.45,22,22,Hargitai András,91,BEAC,F1,Budapest (HUN),2016.5.01
34:05.46,23,23,Csikós Csaba,83,Tiszakécske VSE,F1,Budapest (HUN),2016.5.01
34:08.98,24,24,Tóth Róbert,97,Miskolci Sportiskola,F1,Budapest (HUN),2016.5.01
34:17.84,25,25,Koch Domonkos,97,BEAC,F1,Budapest (HUN),2016.5.01
34:32.12,26,26,Deák Bálint,97,Szekszárdi Sportközpont,F1,Budapest (HUN),2016.5.01
29:27.14,1,1,Kovács Benjámin,95,BHSE,F2,Budapest (HUN),2017.4.3
29:35.74,2,2,Juhász Balázs,96,DSC-SI,F2,Budapest (HUN),2017.4.3
29:39.22,3,3,Bicsák Bence,95,PSN - Pécsi Sportiskola,F2,Budapest (HUN),2017.4.3
