Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2:21.38,1,1,Kovács Ferenc,4,SVSE,F,"Boston, MA (USA)",2024.1.26
2:21.39,2,2,Vindics Balázs,94,UTE,F1,Budapest (HUN),2024.2.1
2:28.77,3,3,Kasoly Benedek,0,KSI SE,F1,Budapest (HUN),2024.2.1
2:36.44,4,4,Herczeg Áron,9,Miskolci Sportiskola,F2,Budapest (HUN),2024.2.11
2:36.79,5,5,Szirbek Titusz,9,SVSE,F2,Budapest (HUN),2024.2.11
2:39.26,-,6,Szirbek Titusz,9,SVSE,H,Pozsony (SVK),2024.1.27
2:42.52,6,7,Szabó Csanád,9,FTC,F2,Budapest (HUN),2024.2.11
2:44.82,7,8,Gábris Dávid,99,KSI SE,CE1,Budapest (HUN),2024.2.11
2:46.40,8,9,Molnár Ádám,7,A-Plast Ikarus BSE,CE1,Budapest (HUN),2024.2.11
2:46.41,9,10,Sinka Dániel,9,SVSE,F2,Budapest (HUN),2024.2.11
2:49.08,10,11,Bokros Bulcsú,8,Győri Atlétikai Club,CE1,Budapest (HUN),2024.2.11
2:49.58,-,12,Sinka Dániel,9,SVSE,H,Pozsony (SVK),2024.1.27
2:54.05,11,13,Putsay Bence,7,PVSK,CE1,Budapest (HUN),2024.2.11
2:55.30,12,14,Bognicsár Demény,10,VSD,F2,Budapest (HUN),2024.2.11
2:55.42,13,15,Juhász Edmond,10,Petőfi DSZSE,F2,Budapest (HUN),2024.2.11
2:55.85,14,16,Zemen Zalán,7,Győri Atlétikai Club,CE1,Budapest (HUN),2024.2.11
2:56.29,15,17,Litauszki Zsombor,7,Békéscsabai AC,CE1,Budapest (HUN),2024.2.11
2:57.11,16,18,Grace Patrik,11,Budaörsi DSE,F1,Budapest (HUN),2024.2.11
2:57.42,17,19,Horváth - Buday Bendegúz,9,SVSE,F2,Budapest (HUN),2024.2.11
2:58.13,18,20,Chrobák Gergő,5,DSC-SI,CE1,Budapest (HUN),2024.2.11
2:58.20,19,21,Gottwald Ábel,9,Győri Atlétikai Club,CE4,Budapest (HUN),2024.3.1
2:59.04,20,22,Danka Gábor,10,HALAS AC,CE3,Budapest (HUN),2024.3.1
2:59.81,21,23,Krakóczki Bence,9,MATE - GEAC,CE4,Budapest (HUN),2024.3.1
2:59.82,22,24,Mészáros Zsombor,9,SZVSE,F2,Budapest (HUN),2024.2.11
3:02.32,23,25,Tari Tibor,4,TFSE,CE1,Budapest (HUN),2024.2.11
3:02.67,24,26,Révész Máté,6,REAC SI SE,CE1,Budapest (HUN),2024.2.11
3:02.73,25,27,Tóth Zsombor,98,MATE - GEAC,CE1,Budapest (HUN),2024.2.11
3:02.82,26,28,Kingl Marcell,11,SVSE,F2,Budapest (HUN),2024.2.11
3:02.84,27,29,Fekete Kornél,9,A-Plast Ikarus BSE,CE1,Budapest (HUN),2024.3.1
3:03.47,28,30,Gaál Tamás,9,Veresegyház VSK,F1,Budapest (HUN),2024.2.11
3:03.67,29,31,Kapuy Ádám,8,Győri Atlétikai Club,CE1,Budapest (HUN),2024.2.11
3:03.91,30,32,Gyalog Ákos,10,BSC,F1,Budapest (HUN),2024.2.11
3:04.08,31,33,Nyári Attila,9,ZALASZÁM-ZAC,CE3,Budapest (HUN),2024.3.1
3:04.44,32,34,Kiss Noel,8,UTE,CE1,Budapest (HUN),2024.2.11
3:04.67,33,35,Takács Levente,8,Győri Atlétikai Club,CE1,Budapest (HUN),2024.2.11
3:04.79,34,36,Kapocs Bence,10,HALAS AC,CE3,Budapest (HUN),2024.3.1
3:06.01,35,37,Elek Bendegúz,5,BHSE,CE1,Budapest (HUN),2024.2.11
3:06.05,36,38,Fehér Máté,10,VSD,F1,Budapest (HUN),2024.2.11
3:07.83,37,39,Futár Alex,11,A-Plast Ikarus BSE,F2,Budapest (HUN),2024.2.11
3:08.17,38,40,Kaspár Balázs,9,VSD,F2,Budapest (HUN),2024.2.11
3:08.23,39,41,Cziráki Roland,12,H. Szondi SE,F2,Budapest (HUN),2024.2.11
3:08.28,40,42,Bódis Bence,11,VSD,F2,Budapest (HUN),2024.2.11
3:08.52,41,43,Pandur Huba,9,SVSE,CE4,Budapest (HUN),2024.3.1
3:08.63,42,44,Kiss-Török Baján,10,A-Plast Ikarus BSE,CE3,Budapest (HUN),2024.3.1
3:08.67,43,45,Szloboda Zétény,10,HALAS AC,CE3,Budapest (HUN),2024.3.1
3:08.85,44,46,Lukács Gergely,9,Dabasi AK,CE4,Budapest (HUN),2024.3.1
3:08.91,45,47,Milicz Marcell,9,Szolnoki SC-SI,CE3,Budapest (HUN),2024.3.1
3:09.87,46,48,Fodor Ákos,10,KASI,F1,Budapest (HUN),2024.2.11
3:10.16,47,49,Gyenesei István,9,KASI,F1,Budapest (HUN),2024.2.11
3:10.98,48,50,Balogh Benedek,9,Győri Atlétikai Club,CE2,Budapest (HUN),2024.3.1
3:11.07,49,51,Berecz Balázs,10,A-Plast Ikarus BSE,CE2,Budapest (HUN),2024.3.1
3:12.21,50,52,Nagy Márk,11,Budaörsi DSE,F2,Budapest (HUN),2024.2.11
3:12.74,51,53,Pocsai Csaba,9,MATE - GEAC,CE4,Budapest (HUN),2024.3.1
3:12.82,52,54,Kovács Máté,9,UTE,CE4,Budapest (HUN),2024.3.1
3:13.21,53,55,Kiss Lukács,10,SVSE,CE1,Budapest (HUN),2024.3.1
3:13.28,54,56,Polyák Sebestyén,10,FTC,F1,Budapest (HUN),2024.2.11
3:13.82,55,57,Szabó Zétény,11,Veresegyház VSK,F1,Budapest (HUN),2024.2.11
3:14.32,56,58,Verő Dávid,9,Győri Atlétikai Club,CE4,Budapest (HUN),2024.3.1
3:14.33,57,59,Eszes Dániel,99,VSD,CE1,Budapest (HUN),2024.2.11
3:14.65,58,60,Bella Mátyás,10,ZALASZÁM-ZAC,CE3,Budapest (HUN),2024.3.1
3:14.71,59,61,Dénes Mátyás,11,SVSE,F2,Budapest (HUN),2024.2.11
3:16.16,60,62,Papp Gergő,10,A-Plast Ikarus BSE,CE3,Budapest (HUN),2024.3.1
3:16.25,61,63,Nyemcsok Noel,9,SVSE,CE3,Budapest (HUN),2024.3.1
3:16.26,62,64,Vass Máté,10,Csepel TC,CE1,Budapest (HUN),2024.3.1
3:16.75,63,65,Kaspár Barna,11,VSD,F1,Budapest (HUN),2024.2.11
3:17.30,64,66,Simon Bence,7,MMAC,CE1,Budapest (HUN),2024.2.11
3:17.50,65,67,Nagy Barnabás,11,UTE,F1,Budapest (HUN),2024.2.11
3:18.52,66,68,Udut Márk,10,Csepel TC,CE1,Budapest (HUN),2024.3.1
3:18.54,67,69,Keller Márton,11,SVSE,F1,Budapest (HUN),2024.2.11
3:19.17,68,70,Trenka Ádám,6,ARAK,CE1,Budapest (HUN),2024.2.11
3:19.68,69,71,Sánta Zalán,12,UTE,F2,Budapest (HUN),2024.2.11
3:20.15,70,72,Kovács Kolos,10,A-Plast Ikarus BSE,CE1,Budapest (HUN),2024.3.1
