Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
13.28,0.0,1,1,Dr. Baji Balázs,89,Békéscsabai AC,F,Amsterdam (NED),2016.7.09
13.29,-1.8,-,2,Dr. Baji Balázs,89,Békéscsabai AC,SF2,Amsterdam (NED),2016.7.09
13.33,1.2,-,3,Dr. Baji Balázs,89,Békéscsabai AC,F,Székesfehérvár (HUN),2016.7.18
13.34,0.5,-,4,Dr. Baji Balázs,89,Békéscsabai AC,F,Lausanne (SUI),2016.8.25
13.41,0.9,-,5,Dr. Baji Balázs,89,Békéscsabai AC,F,Madrid (ESP),2016.6.23
13.41,0.7,-,5,Dr. Baji Balázs,89,Békéscsabai AC,H2,Turku (FIN),2016.6.29
13.43,0.0,-,7,Dr. Baji Balázs,89,Békéscsabai AC,F,Turku (FIN),2016.6.29
13.43,-0.3,-,7,Dr. Baji Balázs,89,Békéscsabai AC,H2,Székesfehérvár (HUN),2016.7.3
13.44,1.1,-,9,Dr. Baji Balázs,89,Békéscsabai AC,F,Praha (CZE),2016.6.06
13.45,0.0,-,10,Dr. Baji Balázs,89,Békéscsabai AC,F,Monaco (MON),2016.7.15
13.49,-0.7,-,11,Dr. Baji Balázs,89,Békéscsabai AC,F1,Luzern (SUI),2016.6.14
13.49,1.4,-,11,Dr. Baji Balázs,89,Békéscsabai AC,F,Zagreb (CRO),2016.9.06
13.5,0.2,-,13,Dr. Baji Balázs,89,Békéscsabai AC,F,Bruxelles (BEL),2016.9.09
13.52,1.6,-,14,Dr. Baji Balázs,89,Békéscsabai AC,SF2,Madrid (ESP),2016.6.23
13.52,0.4,-,14,Dr. Baji Balázs,89,Békéscsabai AC,H2,Rio de Janeiro (BRA),2016.8.15
13.52,0.5,-,14,Dr. Baji Balázs,89,Békéscsabai AC,SF1,Rio de Janeiro (BRA),2016.8.16
13.52,-0.3,-,14,Dr. Baji Balázs,89,Békéscsabai AC,F,Budapest (HUN),2016.9.04
13.56,0.6,-,18,Dr. Baji Balázs,89,Békéscsabai AC,F,Miskolc (HUN),2016.5.28
13.56,0.5,-,18,Dr. Baji Balázs,89,Békéscsabai AC,H1,Miskolc (HUN),2016.5.28
13.57,1.2,-,20,Dr. Baji Balázs,89,Békéscsabai AC,F2,Miskolc (HUN),2016.5.28
13.57,-1.0,-,20,Dr. Baji Balázs,89,Békéscsabai AC,F,Miskolc (HUN),2016.5.28
13.71,1.9,2,22,Szűcs Valdó,95,ZALASZÁM-ZAC,H1,Szombathely (HUN),2016.6.26
13.75,1.4,-,23,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.6.26
13.76,0.0,-,24,Szűcs Valdó,95,ZALASZÁM-ZAC,H3,Amsterdam (NED),2016.7.08
13.76,-0.6,-,24,Szűcs Valdó,95,ZALASZÁM-ZAC,SF1,Amsterdam (NED),2016.7.09
13.84,0.2,-,26,Dr. Baji Balázs,89,Békéscsabai AC,F1,Székesfehérvár (HUN),2016.9.11
13.85,-0.3,-,27,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Szombathely (HUN),2016.6.25
13.85,1.2,-,27,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Székesfehérvár (HUN),2016.7.18
13.91,2.0,-,29,Szűcs Valdó,95,ZALASZÁM-ZAC,F1,Loughborough (GBR),2016.5.22
13.95,0.0,3,30,Kiss Dániel,82,A-Plast Ikarus BSE,F1,Debrecen (HUN),2016.5.15
13.98,-1.3,-,31,Szűcs Valdó,95,ZALASZÁM-ZAC,H,Szombathely (HUN),2016.6.25
14.05,-0.5,-,32,Szűcs Valdó,95,ZALASZÁM-ZAC,H1,Székesfehérvár (HUN),2016.7.3
14.06,-0.4,-,33,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Lee Valley (GBR),2016.8.17
14.09,-0.8,-,34,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Belfast (GBR),2016.5.07
14.15,-1.7,-,35,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Belfast (GBR),2016.5.07
14.15,0.6,-,35,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Exeter (GBR),2016.5.28
14.16,-0.7,-,37,Szűcs Valdó,95,ZALASZÁM-ZAC,F4,Waco (USA),2016.4.23
14.27,-0.3,-,38,Szűcs Valdó,95,ZALASZÁM-ZAC,F,Budapest (HUN),2016.9.04
14.29,-0.3,4,39,Koroknai Tibor,90,DSC-SI,F,Budapest (HUN),2016.9.04
14.31,1.0,5,40,Gönczöl Máté,93,VEDAC,F,Veszprém (HUN),2016.6.22
14.35,0.0,-,41,Koroknai Tibor,90,DSC-SI,F1,Debrecen (HUN),2016.5.15
14.4,0.2,-,42,Koroknai Tibor,90,DSC-SI,F1,Székesfehérvár (HUN),2016.9.11
14.41,1.9,-,43,Gönczöl Máté,93,VEDAC,H1,Szombathely (HUN),2016.6.26
14.43,-2.3,-,44,Koroknai Tibor,90,DSC-SI,F,Debrecen (HUN),2016.6.04
14.52,1.2,-,45,Gönczöl Máté,93,VEDAC,F2,Miskolc (HUN),2016.5.28
14.52,-1.0,-,45,Gönczöl Máté,93,VEDAC,F,Miskolc (HUN),2016.5.28
14.53,0.5,-,47,Gönczöl Máté,93,VEDAC,H1,Miskolc (HUN),2016.5.28
14.62,0.8,-,48,Gönczöl Máté,93,VEDAC,F,Budapest (HUN),2016.6.18
15.01,0.0,6,49,Rády Zoltán,95,Dunakeszi VSE,F1,Debrecen (HUN),2016.5.15
15.04,-0.3,7,50,Szeles Bálint,98,Egri Sportiskola SE,F,Budapest (HUN),2016.9.04
15.07,1.2,8,51,Kemenes Ákos,96,BHSE,F2,Miskolc (HUN),2016.5.28
15.1,-2.3,-,52,Rády Zoltán,95,Dunakeszi VSE,F,Debrecen (HUN),2016.6.04
15.1,1.3,-,52,Gönczöl Máté,93,VEDAC,F,Budapest (HUN),2016.7.22
15.12,-0.5,-,54,Gönczöl Máté,93,VEDAC,H1,Székesfehérvár (HUN),2016.7.3
15.16,1.5,9,55,Fajoyomi Viktor,91,KARC,F,Barcelona (ESP),2016.6.01
15.18,0.0,10,56,Eszes Dániel,99,Dunakeszi VSE,F2,Debrecen (HUN),2016.5.15
15.26,0.0,-,57,Fajoyomi Viktor,91,KARC,F1,Debrecen (HUN),2016.5.15
15.27,-1.2,-,58,Rády Zoltán,95,Dunakeszi VSE,F,Maribor (SLO),2016.7.15
15.3,0.6,-,59,Kemenes Ákos,96,BHSE,F,Miskolc (HUN),2016.5.28
15.3,-0.3,-,59,Gönczöl Máté,93,VEDAC,F,Budapest (HUN),2016.9.04
15.33,0.6,-,61,Fajoyomi Viktor,91,KARC,CE2,Kladno (CZE),2016.6.11
15.33,0.2,-,61,Eszes Dániel,99,Dunakeszi VSE,F1,Székesfehérvár (HUN),2016.9.11
15.35,-0.3,-,63,Rády Zoltán,95,Dunakeszi VSE,F,Szombathely (HUN),2016.6.25
15.39,-1.3,-,64,Rády Zoltán,95,Dunakeszi VSE,H,Szombathely (HUN),2016.6.25
