Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
1:22:31,1,1,Helebrandt Máté,89,NYSC,F,Rio de Janeiro (BRA),2016.8.12
1:22:38,-,2,Helebrandt Máté,89,NYSC,F,Békéscsaba (HUN),2016.4.3
1:27:34,2,3,Venyercsán Bence,96,BHSE,F,Békéscsaba (HUN),2016.4.3
1:27:52,3,4,Bagdány Tomasz,95,TSC-Geotech,F,Békéscsaba (HUN),2016.4.3
1:28:43,-,5,Venyercsán Bence,96,BHSE,F,Poděbrady (CZE),2016.4.09
1:29:07,4,6,Srp Miklós,93,BHSE,F,Poděbrady (CZE),2016.4.09
1:29:28,-,7,Srp Miklós,93,BHSE,F,Békéscsaba (HUN),2016.4.3
1:30:23,5,8,Tokodi Dávid,91,FTC,F,Poděbrady (CZE),2016.4.09
1:31:28,6,9,Rácz Sándor,86,UTE,F,Békéscsaba (HUN),2016.4.3
1:46:45,7,10,Venyercsán László,71,BHSE,F,Békéscsaba (HUN),2016.4.3
1:54:46,8,11,Marinka Zsolt,87,SZVSE,F,Békéscsaba (HUN),2016.4.3
1:56:12,9,12,Major Ferenc,61,BHSE,F,Békéscsaba (HUN),2016.4.3
2:01:36,10,13,Csaba István,59,BHSE,F,Békéscsaba (HUN),2016.4.3
2:14:10,11,14,Kiss György,47,Kirchhofer SE,F,Békéscsaba (HUN),2016.4.3
1:23:11,1,1,Helebrandt Máté,89,NYSC,F,Békéscsaba (HUN),2017.4.3
1:25:29,2,2,Venyercsán Bence,96,BHSE,F,Békéscsaba (HUN),2017.4.3
1:26:17,-,3,Venyercsán Bence,96,BHSE,F,Poděbrady (CZE),2017.4.08
1:26:20,-,4,Venyercsán Bence,96,BHSE,F,Bydgoszcz (POL),2017.7.16
1:26:38,3,5,Srp Miklós,93,BHSE,F,Békéscsaba (HUN),2017.4.3
1:27:07,4,6,Rácz Sándor,86,UTE,F,Békéscsaba (HUN),2017.4.3
1:28:02,5,7,Bagdány Tomasz,95,TSC-Geotech,F,Békéscsaba (HUN),2017.4.3
1:28:14,-,8,Venyercsán Bence,96,BHSE,F,Poděbrady (CZE),2017.5.21
1:28:28,-,9,Rácz Sándor,86,UTE,F,Dudince (SVK),2017.3.25
1:28:47,-,10,Bagdány Tomasz,95,TSC-Geotech,F,Poděbrady (CZE),2017.4.08
1:29:20,6,11,Kovács Soma,97,Miskolci Sportiskola,F,Poděbrady (CZE),2017.4.08
1:29:46,7,12,Tokodi Dávid,91,FTC,F,Poděbrady (CZE),2017.4.08
1:29:55,-,13,Kovács Soma,97,Miskolci Sportiskola,F,Békéscsaba (HUN),2017.4.3
1:30:41,-,14,Tokodi Dávid,91,FTC,F,Békéscsaba (HUN),2017.4.3
1:31:15,-,15,Kovács Soma,97,Miskolci Sportiskola,F,Dudince (SVK),2017.3.25
1:32:50,-,16,Bagdány Tomasz,95,TSC-Geotech,F,Poděbrady (CZE),2017.5.21
1:33:50,-,17,Kovács Soma,97,Miskolci Sportiskola,F,Bydgoszcz (POL),2017.7.16
1:33:55,-,18,Kovács Soma,97,Miskolci Sportiskola,F,Poděbrady (CZE),2017.5.21
1:34:30,-,19,Rácz Sándor,86,UTE,F,Poděbrady (CZE),2017.5.21
1:34:41,-,20,Kovács Soma,97,Miskolci Sportiskola,F,Alytus (LTU),2017.6.09
1:39:48,-,21,Venyercsán Bence,96,BHSE,F,Taipei (TPE),2017.8.26
1:41:22,8,22,Burger Donát,97,TSC-Geotech,F,Békéscsaba (HUN),2017.4.3
1:54:12,9,23,Marinka Zsolt,87,SZVSE,F,Békéscsaba (HUN),2017.4.3
1:59:36,10,24,Papp Ferenc,81,SZVSE,F,Békéscsaba (HUN),2017.4.3
2:00:21,11,25,Fábián András,86,SZVSE,F,Békéscsaba (HUN),2017.4.3
2:11:22,12,26,Csaba István,59,BHSE,F,Békéscsaba (HUN),2017.4.3
1:24:02,1,1,Helebrandt Máté,89,NYSC,F1,Békéscsaba (HUN),2018.4.22
1:24:15,2,2,Venyercsán Bence,96,BHSE,F1,Békéscsaba (HUN),2018.4.22
1:29:45,3,3,Bagdány Tomasz,95,TSC-Geotech,F1,Békéscsaba (HUN),2018.4.22
1:31:42,4,4,Srp Miklós,93,BHSE,F1,Békéscsaba (HUN),2018.4.22
1:32:08,-,5,Bagdány Tomasz,95,TSC-Geotech,F,Poděbrady (CZE),2018.4.07
1:32:32,5,6,Tokodi Dávid,91,FTC,F1,Békéscsaba (HUN),2018.4.22
1:34:21,-,7,Venyercsán Bence,96,BHSE,F,Taicang (CHN),2018.5.06
1:35:50,6,8,Kovács Soma,97,Miskolci Sportiskola,F,Poděbrady (CZE),2018.4.07
1:35:53,-,9,Kovács Soma,97,Miskolci Sportiskola,F1,Békéscsaba (HUN),2018.4.22
1:36:12,-,10,Tokodi Dávid,91,FTC,F,Poděbrady (CZE),2018.4.07
1:36:14,7,11,Burger Donát,97,TSC-Geotech,F1,Békéscsaba (HUN),2018.4.22
1:51:08,8,12,Venyercsán László,71,BHSE,F1,Békéscsaba (HUN),2018.4.22
1:57:53,9,13,Kovács András,66,BHSE,F1,Békéscsaba (HUN),2018.4.22
1:59:06,10,14,Török Csaba,73,Kirchhofer SE,F1,Békéscsaba (HUN),2018.4.22
1:59:58,11,15,Papp Ferenc,81,SZVSE,F1,Békéscsaba (HUN),2018.4.22
2:00:25,12,16,Soltész Benjamin,0,Hunyadi DSE,F1,Békéscsaba (HUN),2018.4.22
2:00:40,13,17,Marinka Zsolt,87,SZVSE,F1,Békéscsaba (HUN),2018.4.22
2:21:28,14,18,Kiss György,47,Kirchhofer SE,F1,Békéscsaba (HUN),2018.4.22
1:26:58,1,1,Venyercsán Bence,96,BHSE,F1,Békéscsaba (HUN),2019.4.28
1:27:30,2,2,Srp Miklós,93,BHSE,F1,Békéscsaba (HUN),2019.4.28
1:28:32,-,3,Srp Miklós,93,BHSE,F,Poděbrady (CZE),2019.4.06
1:29:24,3,4,Bagdány Tomasz,95,TSC-Geotech,F1,Békéscsaba (HUN),2019.4.28
1:30:25,4,5,Tokodi Dávid,91,FTC,F,Poděbrady (CZE),2019.4.06
1:31:28,5,6,Tóth Norbert,1,Hunyadi DSE,F1,Békéscsaba (HUN),2019.4.28
1:32:46,6,7,Burger Donát,97,TSC-Geotech,F1,Békéscsaba (HUN),2019.4.28
1:34:16,-,8,Venyercsán Bence,96,BHSE,F,Napoli (ITA),2019.7.12
1:36:49,-,9,Tóth Norbert,1,Hunyadi DSE,F,Dudince (SVK),2019.3.23
1:39:50,7,10,Nyerges Balázs,1,Hunyadi DSE,F1,Békéscsaba (HUN),2019.4.28
1:46:34,8,11,Varga Dávid,1,Miskolci Sportiskola,F1,Békéscsaba (HUN),2019.4.28
1:48:26,9,12,Gál Vencel,1,Miskolci Sportiskola,F1,Békéscsaba (HUN),2019.4.28
1:51:29,10,13,Kovács Soma,97,Miskolci Sportiskola,F1,Békéscsaba (HUN),2019.4.28
1:52:54,11,14,Soltész Benjamin,0,Hunyadi DSE,F1,Békéscsaba (HUN),2019.4.28
1:53:03,12,15,Venyercsán László,71,BHSE,F1,Békéscsaba (HUN),2019.4.28
1:54:20,13,16,Kovács András,66,BHSE,F1,Békéscsaba (HUN),2019.4.28
2:20:29,14,17,Csaba István,59,BHSE,F1,Békéscsaba (HUN),2019.4.28
1:23:22,1,1,Helebrandt Máté,89,NYSC,F1,Békéscsaba (HUN),2020.9.27
1:24:53,2,2,Venyercsán Bence,96,BHSE,F1,Békéscsaba (HUN),2020.9.27
1:27:22,3,3,Srp Miklós,93,BHSE,F1,Békéscsaba (HUN),2020.9.27
1:30:49,4,4,Tóth Norbert,1,Hunyadi DSE,F1,Békéscsaba (HUN),2020.9.27
1:34:18,5,5,Tokodi Dávid,91,FTC,F1,Békéscsaba (HUN),2020.9.27
1:44:23,6,6,Papp Ferenc,81,SZVSE,F1,Békéscsaba (HUN),2020.9.27
1:46:08,7,7,Horváth Dániel,0,DSC-SI,F1,Békéscsaba (HUN),2020.9.27
1:52:43,8,8,Kovács András,66,BHSE,F1,Békéscsaba (HUN),2020.9.27
1:57:32,9,9,Venyercsán László,71,BHSE,F1,Békéscsaba (HUN),2020.9.27
1:59:42,10,10,Soltész Benjamin,0,Hunyadi DSE,F1,Békéscsaba (HUN),2020.9.27
2:01:19,11,11,Fábián András,86,SZVSE,F1,Békéscsaba (HUN),2020.9.27
2:04:37,12,12,Nyerges Balázs,1,Hunyadi DSE,F1,Békéscsaba (HUN),2020.9.27
1:24:08,1,1,Helebrandt Máté,89,NYSC,F1,Békéscsaba (HUN),2021.4.18
1:25:54,2,2,Venyercsán Bence,96,BHSE,F1,Békéscsaba (HUN),2021.4.18
1:26:35,3,3,Srp Miklós,93,BHSE,F1,Békéscsaba (HUN),2021.4.18
1:30:15,4,4,Tokodi Dávid,91,FTC,F1,Békéscsaba (HUN),2021.4.18
1:37:54,5,5,Tóth Norbert,1,Hunyadi DSE,F1,Békéscsaba (HUN),2021.4.18
1:38:58,6,6,Horváth Dániel,0,DSC-SI,F1,Békéscsaba (HUN),2021.4.18
1:42:48,7,7,Papp Ferenc,81,SZVSE,F1,Békéscsaba (HUN),2021.4.18
1:43:42,8,8,Józsvai Dávid,85,Margitszigeti AC,F1,Békéscsaba (HUN),2021.4.18
1:48:00,9,9,Bánk Leon,3,Miskolci Sportiskola,F1,Békéscsaba (HUN),2021.4.18
1:48:28,-,10,Tóth Norbert,1,Hunyadi DSE,F,Poděbrady (CZE),2021.5.16
1:50:51,10,11,Kovács András,66,BHSE,F1,Békéscsaba (HUN),2021.4.18
1:55:41,11,12,Fábián András,86,SZVSE,F1,Békéscsaba (HUN),2021.4.18
