Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
4.61,1,1,Hartmann István,11,TSC-Geotech,CE3,Budapest (HUN),2024.3.09
4.77,2,2,Paszicsnyuk Péter,11,MMAC,CE2,Budapest (HUN),2024.3.09
4.87,3,3,János Olivér,11,AC Bonyhád,CE3,Budapest (HUN),2024.3.09
4.96,4,4,Takács Miksa,11,UTE,CE3,Budapest (HUN),2024.3.09
5.04,5,5,Gyovai Gergely,11,ARAK,CE3,Budapest (HUN),2024.3.09
5.07,6,6,Polgár Csaba,11,Törökszentmiklósi DAK,CE2,Budapest (HUN),2024.3.09
5.09,7,7,Horváth Bertalan,11,SZVSE,CE2,Budapest (HUN),2024.3.09
5.13,8,8,Chikán Áron,11,MTK Budapest,CE1,Budapest (HUN),2024.3.09
5.17,9,9,Csupor Levente,11,Szekszárdi Sportközpont,CE4,Budapest (HUN),2024.3.09
5.19,10,10,Szász Márton,11,AC Bonyhád,CE1,Budapest (HUN),2024.3.09
5.2,11,11,Fazekas Patrik,12,MTK Budapest,CE2,Budapest (HUN),2024.3.09
5.21,12,12,Joób Joel,11,A-Plast Ikarus BSE,CE2,Budapest (HUN),2024.3.09
5.25,13,13,Toll Konrád,12,MTK Budapest,CE1,Budapest (HUN),2024.3.09
5.27,14,14,Lakner Leonárd,11,UTE,CE1,Budapest (HUN),2024.3.09
5.27,14,14,Kelemen Dávid,11,RÁCKEVE,CE4,Budapest (HUN),2024.3.09
5.3,16,16,Kaiser Alex,12,KARC,CE1,Budapest (HUN),2024.3.09
5.3,16,16,Kutasi Máté,11,SVSE,CE4,Budapest (HUN),2024.3.09
5.32,18,18,Murányi Sándor,12,TSC-Geotech,CE4,Budapest (HUN),2024.3.09
5.32,18,18,Sallai Antal,11,A-Plast Ikarus BSE,CE1,Budapest (HUN),2024.3.09
5.46,20,20,Murai Flórián,11,PVSK,CE2,Budapest (HUN),2024.3.09
5.47,21,21,Ráczkövy Benett,11,UTE,CE4,Budapest (HUN),2024.3.09
5.48,22,22,Birovecz Benjámin,11,UTE,CE2,Budapest (HUN),2024.3.09
5.49,23,23,Forster Tamás,12,Viadukt SE,CE1,Budapest (HUN),2024.3.09
5.52,24,24,Tamás Péter,11,SVSE,CE4,Budapest (HUN),2024.3.09
5.55,25,25,Tipold Tibor,11,Törökszentmiklósi DAK,CE3,Budapest (HUN),2024.3.09
5.6,26,26,Szentaskó Csanád,11,MTK Budapest,CE1,Budapest (HUN),2024.3.09
5.67,27,27,Theierkauf Gyula,12,A-Plast Ikarus BSE,CE2,Budapest (HUN),2024.3.09
5.68,28,28,Dobrovics Áron,12,VSD,CE3,Budapest (HUN),2024.3.09
5.69,29,29,György-Herczegh Kristóf,12,RKSK,CE4,Budapest (HUN),2024.3.09
5.82,30,30,Szita Patrik,11,Szekszárdi Sportközpont,CE4,Budapest (HUN),2024.3.09
5.92,31,31,Agócs Gergő,12,A-Plast Ikarus BSE,CE3,Budapest (HUN),2024.3.09
5.96,32,32,Szabó Dávid,12,A-Plast Ikarus BSE,CE3,Budapest (HUN),2024.3.09
