Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
7:47.42,1,1,Palkovits István,0,KARC,F,Val-de-Reuil (FRA),2024.1.28
8:01.55,-,2,Palkovits István,0,KARC,F1,Nyíregyháza (HUN),2024.2.18
8:10.25,2,3,Karsai Gábor,4,Békéscsabai AC,F1,Nyíregyháza (HUN),2024.2.18
8:17.22,3,4,Lehmann Csongor,99,Tiszaújvárosi TK,F1,Budapest (HUN),2024.2.11
8:21.65,4,5,Vörös Márk,97,NYSC,F1,Nyíregyháza (HUN),2024.1.2
8:23.97,5,6,Kalász Bertold,7,Centrál Elit AC,F1,Nyíregyháza (HUN),2024.1.2
8:26.93,6,7,Sós Barnabás,2,Margitszigeti AC,F1,Budapest (HUN),2024.2.11
8:28.88,-,8,Lehmann Csongor,99,Tiszaújvárosi TK,F1,Budapest (HUN),2024.2.04
8:29.82,7,9,Szirbek Albert,6,SVSE,F1,Budapest (HUN),2024.2.04
8:29.91,-,10,Sós Barnabás,2,Margitszigeti AC,F1,Budapest (HUN),2024.1.28
8:30.34,-,11,Vörös Márk,97,NYSC,F1,Nyíregyháza (HUN),2024.2.18
8:30.49,-,12,Sós Barnabás,2,Margitszigeti AC,F1,Nyíregyháza (HUN),2024.2.18
8:30.85,-,13,Sós Barnabás,2,Margitszigeti AC,F1,Budapest (HUN),2024.2.04
8:31.45,8,14,Kelemen Bence,95,TFSE,F1,Budapest (HUN),2024.1.28
8:35.50,-,15,Kelemen Bence,95,TFSE,F1,Nyíregyháza (HUN),2024.2.18
8:36.53,9,16,Lesták Ármin,4,MATE - GEAC,F1,Budapest (HUN),2024.2.04
8:37.05,10,17,Kiss Gergely,1,Tiszaújvárosi TK,F1,Budapest (HUN),2024.2.11
8:38.94,-,18,Kelemen Bence,95,TFSE,F1,Budapest (HUN),2024.2.04
8:39.78,11,19,Kasoly Benedek,0,KSI SE,F1,Budapest (HUN),2024.1.28
8:39.78,11,19,Fazekas András,4,PVSK,F1,Budapest (HUN),2024.1.28
8:40.68,-,21,Fazekas András,4,PVSK,F1,Nyíregyháza (HUN),2024.2.18
8:42.37,-,22,Fazekas András,4,PVSK,F1,Budapest (HUN),2024.2.04
8:44.46,13,23,Bácskai Bence,0,Margitszigeti AC,F1,Nyíregyháza (HUN),2024.2.18
8:44.95,14,24,Szép Balázs,99,UTE,F1,Budapest (HUN),2024.1.28
8:45.03,15,25,Vásárhelyi Máté,3,Castor SE,F2,Budapest (HUN),2024.1.28
8:47.14,16,26,Tóth Balázs,4,DVTK,F1,Nyíregyháza (HUN),2024.2.18
8:48.75,17,27,Horváth Barnabás,2,KSI SE,F1,Nyíregyháza (HUN),2024.2.18
8:49.47,18,28,Honti Marcell,4,VEDAC,F1,Budapest (HUN),2024.1.28
8:50.02,19,29,Buda Erik,0,Salgótarjáni AC,F1,Nyíregyháza (HUN),2024.1.2
8:51.15,-,30,Horváth Barnabás,2,KSI SE,F1,Budapest (HUN),2024.2.04
8:53.42,-,31,Tóth Balázs,4,DVTK,F1,Nyíregyháza (HUN),2024.1.2
8:54.40,-,32,Bácskai Bence,0,Margitszigeti AC,F1,Budapest (HUN),2024.2.04
8:55.43,20,33,Kovács Gyula,4,Tiszaújvárosi TK,F1,Budapest (HUN),2024.2.04
8:56.29,-,34,Horváth Barnabás,2,KSI SE,F2,Budapest (HUN),2024.1.28
8:56.90,21,35,Szűcs András,7,Ganzair Team Újbuda SE,F1,Budapest (HUN),2024.1.28
8:57.82,-,36,Kalász Bertold,7,Centrál Elit AC,F1,Nyíregyháza (HUN),2024.2.25
8:57.98,-,37,Tóth Balázs,4,DVTK,F1,Budapest (HUN),2024.1.28
8:58.22,22,38,Trócsányi Márton,7,PVSK,F1,Budapest (HUN),2024.1.28
8:59.01,23,39,Gyányi Zsombor,6,Szekszárdi Sportközpont,F1,Nyíregyháza (HUN),2024.2.25
8:59.46,24,40,Szabó Benjámin,6,TSC-Geotech,F1,Nyíregyháza (HUN),2024.2.25
9:01.88,25,41,Árvai Róbert,5,TSC-Geotech,F1,Nyíregyháza (HUN),2024.2.25
9:03.37,-,42,Trócsányi Márton,7,PVSK,F1,Nyíregyháza (HUN),2024.2.25
9:03.82,26,43,Trungel-Nagy Zalán,6,Ganzair Team Újbuda SE,F1,Nyíregyháza (HUN),2024.2.25
9:05.17,-,44,Vásárhelyi Máté,3,Castor SE,F1,Budapest (HUN),2024.2.11
9:09.14,27,45,Major Dániel,8,Tovafutók SE,F1,Budapest (HUN),2024.2.11
9:09.41,28,46,Szekeres Dávid,7,A-Plast Ikarus BSE,F2,Budapest (HUN),2024.1.28
9:10.45,-,47,Szekeres Dávid,7,A-Plast Ikarus BSE,F1,Nyíregyháza (HUN),2024.2.25
9:11.30,29,48,Varga Félix,7,Salgótarjáni AC,F1,Nyíregyháza (HUN),2024.1.2
9:12.70,-,49,Szűcs András,7,Ganzair Team Újbuda SE,F1,Nyíregyháza (HUN),2024.2.25
9:13.29,30,50,Tengerész Márk,7,BHSE,F1,Nyíregyháza (HUN),2024.2.25
