Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
14:41.44,1,1,Varga Dávid,1,Miskolci Sportiskola,F,Budapest (HUN),2016.2.06
15:19.38,2,2,Varga Máté,2,Hunyadi DSE,F,Budapest (HUN),2016.2.06
15:35.55,3,3,Tóth Norbert,1,Hunyadi DSE,F,Budapest (HUN),2016.2.06
15:40.43,4,4,Gál Vencel,1,Miskolci Sportiskola,F,Budapest (HUN),2016.2.06
18:23.99,5,5,Veres Barnabás,2,Békési DAC,F,Budapest (HUN),2016.2.06
19:03.64,6,6,Galambos Szabolcs,2,Hunyadi DSE,F,Budapest (HUN),2016.2.06
14:24.68,1,1,Babus Sándor,4,,F,Budapest (HUN),2017.2.04
15:15.16,2,2,Varga Máté,2,Hunyadi DSE,F,Budapest (HUN),2017.2.04
16:35.08,3,3,Gonda Levente,3,BHSE,F,Budapest (HUN),2017.2.04
17:09.60,4,4,Szentmarjai Bálint,3,Miskolci Sportiskola,F,Budapest (HUN),2017.2.04
17:15.02,5,5,Bánk Leon,3,Miskolci Sportiskola,F,Budapest (HUN),2017.2.04
19:10.58,6,6,Veres Barnabás,2,Békési DAC,F,Budapest (HUN),2017.2.04
19:41.46,7,7,Hanzlik Levente,4,TATAI A.C.,F,Budapest (HUN),2017.2.04
19:53.86,8,8,Jakab Márton,4,BEAC,F,Budapest (HUN),2017.2.04
14:39.42,1,1,Babus Sándor,4,Hajós Alfréd DSE,F,Budapest (HUN),2018.2.03
15:00.65,2,2,Gonda Levente,3,BHSE,F,Budapest (HUN),2018.2.03
15:12.08,3,3,Konczvald Tamás,4,Miskolci Sportiskola,F,Budapest (HUN),2018.2.03
15:29.57,4,4,Szálka Maximilián,4,Hajós Alfréd DSE,F,Budapest (HUN),2018.2.03
17:42.81,5,5,Kocsis Bernát,5,Miskolci Sportiskola,F,Budapest (HUN),2018.1.28
17:43.48,6,6,Csepregi Bence,5,BHSE,F,Budapest (HUN),2018.1.28
21:39.39,7,7,Koc Róbert,5,Miskolci Sportiskola,F,Budapest (HUN),2018.1.28
22:13.36,8,8,Kuris Dávid,5,Bokodi SE,F,Budapest (HUN),2018.1.28
15:18.29,1,1,Konczvald Tamás,4,Miskolci Sportiskola,F1,Budapest (HUN),2019.2.02
15:33.50,2,2,Csepregi Bence,5,BHSE,F1,Budapest (HUN),2019.2.02
16:25.59,3,3,Kocsis Bernát,5,Miskolci Sportiskola,F1,Budapest (HUN),2019.2.02
19:11.35,4,4,Kis Levente,4,UTE,F1,Budapest (HUN),2019.2.02
22:58.97,5,5,Csaszni Máté,6,Bokodi SE,F1,Budapest (HUN),2019.1.27
17:09.99,1,1,Kocsis Bernát,5,Miskolci Sportiskola,F1,Budapest (HUN),2020.2.08
17:14.76,2,2,Majoros Máté,6,Miskolci Sportiskola,F1,Budapest (HUN),2020.2.08
25:29.32,3,3,Stefanovics Roland,7,Miskolci Sportiskola,F1,Budapest (HUN),2020.2.02
18:34.98,1,1,Stefanovics Roland,7,Miskolci Sportiskola,F1,Budapest (HUN),2022.2.05
21:37.32,1,1,Horváth Martin,9,H. Szondi SE,F1,Budapest (HUN),2023.2.04
25:17.44,2,2,Ligeti Dávid,9,H. Szondi SE,F1,Budapest (HUN),2023.2.04
