Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
12:29.61,1,1,Rácz Sándor,86,UTE,F,Šamorín (SVK),2016.6.04
13:54.11,2,2,Tóth Norbert,1,Hunyadi DSE,F,Székesfehérvár (HUN),2016.9.1
14:08.72,3,3,Varga Dávid,1,Miskolci Sportiskola,F,Trnava (SVK),2016.9.24
14:10.10,4,4,Gál Vencel,1,Miskolci Sportiskola,F,Székesfehérvár (HUN),2016.9.1
14:29.42,-,5,Varga Dávid,1,Miskolci Sportiskola,F,Székesfehérvár (HUN),2016.9.1
14:45.16,-,6,Gál Vencel,1,Miskolci Sportiskola,F,Budapest (HUN),2016.8.2
14:55.18,5,7,Varga Máté,2,Hunyadi DSE,F,Székesfehérvár (HUN),2016.9.1
15:01.68,-,8,Varga Dávid,1,Miskolci Sportiskola,F,Budapest (HUN),2016.8.2
16:45.97,6,9,Gonda Levente,3,BHSE,F,Székesfehérvár (HUN),2016.9.1
17:07.38,-,10,Gonda Levente,3,BHSE,F,Budapest (HUN),2016.8.2
17:08.59,7,11,Szentmarjai Bálint,3,Miskolci Sportiskola,F,Székesfehérvár (HUN),2016.9.1
17:18.20,8,12,Bánk Leon,3,Miskolci Sportiskola,F,Székesfehérvár (HUN),2016.9.1
17:27.45,-,13,Bánk Leon,3,Miskolci Sportiskola,F,Budapest (HUN),2016.8.2
17:29.75,-,14,Bánk Leon,3,Miskolci Sportiskola,F,Debrecen (HUN),2016.7.09
17:38.49,-,15,Szentmarjai Bálint,3,Miskolci Sportiskola,F,Debrecen (HUN),2016.7.09
17:55.12,-,16,Gonda Levente,3,BHSE,F,Debrecen (HUN),2016.7.09
13:47.73,1,1,Varga Máté,2,Hunyadi DSE,F,Varazdin (CRO),2017.9.3
13:58.35,-,2,Varga Máté,2,Hunyadi DSE,F,Székesfehérvár (HUN),2017.9.09
14:13.28,2,3,Babus Sándor,4,Hajós Alfréd DSE,F,Székesfehérvár (HUN),2017.9.09
14:18.88,-,4,Babus Sándor,4,Hajós Alfréd DSE,F,Budapest (HUN),2017.7.08
14:29.75,-,5,Babus Sándor,4,Hajós Alfréd DSE,F,Varazdin (CRO),2017.9.3
15:12.44,3,6,Gonda Levente,3,BHSE,F,Székesfehérvár (HUN),2017.9.09
15:17.67,4,7,Bánk Leon,3,Miskolci Sportiskola,F,Székesfehérvár (HUN),2017.9.09
15:20.49,5,8,Baranya Balázs,2,BHSE,F,Székesfehérvár (HUN),2017.9.09
16:01.34,6,9,Szentmarjai Bálint,3,Miskolci Sportiskola,F,Székesfehérvár (HUN),2017.9.09
16:03.00,7,10,Konczvald Tamás,4,Miskolci Sportiskola,F,Székesfehérvár (HUN),2017.9.09
16:15.62,-,11,Gonda Levente,3,BHSE,F,Budapest (HUN),2017.7.01
16:36.02,-,12,Szentmarjai Bálint,3,Miskolci Sportiskola,F,Budapest (HUN),2017.7.01
