Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
50.75,1,1,Koroknai Tibor,90,DSC-SI,F1,Budapest (HUN),2016.6.19
50.80,-,2,Koroknai Tibor,90,DSC-SI,F1,Debrecen (HUN),2016.6.05
50.85,-,3,Koroknai Tibor,90,DSC-SI,F,Székesfehérvár (HUN),2016.7.31
50.93,-,4,Koroknai Tibor,90,DSC-SI,F1,Székesfehérvár (HUN),2016.9.1
50.99,-,5,Koroknai Tibor,90,DSC-SI,H2,Székesfehérvár (HUN),2016.7.3
51.00,-,6,Koroknai Tibor,90,DSC-SI,F,Szombathely (HUN),2016.6.26
51.14,-,7,Koroknai Tibor,90,DSC-SI,F,Riga (LAT),2016.5.31
51.19,-,8,Koroknai Tibor,90,DSC-SI,F,Miskolc (HUN),2016.5.29
51.25,-,9,Koroknai Tibor,90,DSC-SI,F,Budapest (HUN),2016.8.19
51.28,-,10,Koroknai Tibor,90,DSC-SI,F1,Veszprém (HUN),2016.6.12
51.28,-,10,Koroknai Tibor,90,DSC-SI,F,Budapest (HUN),2016.9.04
51.32,-,12,Koroknai Tibor,90,DSC-SI,H3,Amsterdam (NED),2016.7.06
51.68,2,13,Koroknai Máté,93,DSC-SI,F1,Budapest (HUN),2016.6.19
51.70,-,14,Koroknai Tibor,90,DSC-SI,F,Székesfehérvár (HUN),2016.7.18
52.06,-,15,Koroknai Tibor,90,DSC-SI,F1,Debrecen (HUN),2016.5.14
52.37,3,16,Tamási Ottó,94,KARC,F,Székesfehérvár (HUN),2016.7.31
52.43,-,17,Tamási Ottó,94,KARC,F,Budapest (HUN),2016.8.19
52.46,-,18,Tamási Ottó,94,KARC,H2,Székesfehérvár (HUN),2016.7.3
52.52,4,19,Kővári Tamás,93,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2016.7.31
52.71,-,20,Tamási Ottó,94,KARC,F,Budapest (HUN),2016.9.04
52.83,-,21,Kővári Tamás,93,A-Plast Ikarus BSE,F1,Veszprém (HUN),2016.6.12
52.83,-,21,Kővári Tamás,93,A-Plast Ikarus BSE,F1,Budapest (HUN),2016.6.19
52.97,-,23,Tamási Ottó,94,KARC,F1,Debrecen (HUN),2016.5.14
53.14,-,24,Kővári Tamás,93,A-Plast Ikarus BSE,F,Miskolc (HUN),2016.5.29
53.20,-,25,Kővári Tamás,93,A-Plast Ikarus BSE,F1,Debrecen (HUN),2016.6.05
53.29,-,26,Tamási Ottó,94,KARC,F1,Budapest (HUN),2016.6.19
53.31,-,27,Tamási Ottó,94,KARC,F,Maribor (SLO),2016.7.15
53.31,-,27,Kővári Tamás,93,A-Plast Ikarus BSE,H1,Székesfehérvár (HUN),2016.7.3
53.46,-,29,Tamási Ottó,94,KARC,F,Szombathely (HUN),2016.6.26
53.51,5,30,Kemény Dávid,95,Haladás VSE,F1,Debrecen (HUN),2016.6.05
53.53,-,31,Kővári Tamás,93,A-Plast Ikarus BSE,F1,Székesfehérvár (HUN),2016.9.1
53.57,-,32,Tamási Ottó,94,KARC,F1,Veszprém (HUN),2016.6.12
53.62,-,33,Kemény Dávid,95,Haladás VSE,F,Miskolc (HUN),2016.5.29
53.64,-,34,Tamási Ottó,94,KARC,F1,Debrecen (HUN),2016.6.05
53.73,-,35,Kővári Tamás,93,A-Plast Ikarus BSE,F,Budapest (HUN),2016.8.19
53.77,6,36,Bartha László,87,VEDAC,F1,Veszprém (HUN),2016.6.12
53.96,-,37,Kemény Dávid,95,Haladás VSE,F,Budapest (HUN),2016.9.04
53.98,-,38,Kővári Tamás,93,A-Plast Ikarus BSE,F1,Debrecen (HUN),2016.5.14
54.08,-,39,Kővári Tamás,93,A-Plast Ikarus BSE,F,Budapest (HUN),2016.9.04
54.09,-,40,Kővári Tamás,93,A-Plast Ikarus BSE,F2,Aarhus (DEN),2016.6.25
