Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
1:32.03,1,1,DSC-SI U20,F,Budapest (HUN),2016.2.28
1:32.27,2,2,NYSC U18,F1,Budapest (HUN),2016.2.28
1:32.94,3,3,Ikarus BSE U18,F1,Budapest (HUN),2016.2.28
1:33.30,4,4,KARC U20,F,Budapest (HUN),2016.2.28
1:33.75,5,5,Budaörsi SC U18,F2,Budapest (HUN),2016.2.28
1:36.29,6,6,Vasas U18,F1,Budapest (HUN),2016.2.28
1:37.20,7,7,ARAK UP Akadémia U18,F2,Budapest (HUN),2016.2.28
1:37.85,8,8,UTE U18,F1,Budapest (HUN),2016.2.28
1:38.74,9,9,FTC U18,F2,Budapest (HUN),2016.2.28
1:39.98,10,10,Vasas U16,F2,Budapest (HUN),2016.2.07
1:40.29,11,11,ARAK UP Akadémia U16,F2,Budapest (HUN),2016.2.07
1:40.61,12,12,UTE U16,F2,Budapest (HUN),2016.2.07
1:41.52,13,13,DSC-SI U16,F2,Budapest (HUN),2016.2.07
1:43.57,14,14,Gödöllői EAC U16,F1,Budapest (HUN),2016.2.07
1:44.31,15,15,Postás SE U16,F1,Budapest (HUN),2016.2.07
1:49.21,16,16,Ócsa SE U16,F1,Budapest (HUN),2016.2.07
1:54.87,17,17,ARAK UP Akadémia U14,F2,Budapest (HUN),2016.2.07
1:31.62,1,1,NYSC U18,F1,Budapest (HUN),2017.2.26
1:31.81,2,2,Ikarus BSE U18,F1,Budapest (HUN),2017.2.26
1:32.18,3,3,Haladás VSE U20,F1,Budapest (HUN),2017.2.26
1:33.45,4,4,Vasas U18,F3,Budapest (HUN),2017.2.26
1:33.69,5,5,Egri Sportiskola SE U20,F1,Budapest (HUN),2017.2.26
1:35.21,6,6,Haladás VSE U18,F1,Budapest (HUN),2017.2.26
1:35.41,7,7,BSC U20,F2,Budapest (HUN),2017.2.26
1:35.69,8,8,DSC-SI U20,F1,Budapest (HUN),2017.2.26
1:36.30,9,9,BSC U18,F3,Budapest (HUN),2017.2.26
1:37.05,10,10,ARAK UP Akadémia U18,F2,Budapest (HUN),2017.2.26
1:37.10,11,11,Keszthely VDSE U18,F2,Budapest (HUN),2017.2.26
1:37.11,12,12,FTC U20,F2,Budapest (HUN),2017.2.26
1:38.18,13,13,Bp. Honvéd SE U18,F1,Budapest (HUN),2017.2.26
1:38.18,13,13,Budapest,F,Dortmund (GER),2017.3.11
1:38.56,15,15,DSC-SI U16,F1,Budapest (HUN),2017.2.05
1:38.57,16,16,KSI SE U20,F2,Budapest (HUN),2017.2.26
1:38.74,17,17,Vasas U20,F2,Budapest (HUN),2017.2.26
1:38.98,18,18,FTC U18,F4,Budapest (HUN),2017.2.26
1:39.33,19,19,TSC-Geotech U18,F2,Budapest (HUN),2017.2.26
1:39.43,20,20,Titán TC U18,F4,Budapest (HUN),2017.2.26
1:40.53,21,21,Gödöllöi EAC U18,F3,Budapest (HUN),2017.2.26
1:40.87,22,22,Szekszárdi SK Nkft. U18,F3,Budapest (HUN),2017.2.26
1:41.96,23,23,VEDAC U16,F1,Budapest (HUN),2017.2.05
1:43.59,24,24,Ikarus BSE U16,F2,Budapest (HUN),2017.2.05
1:44.04,25,25,NYSC U16,F1,Budapest (HUN),2017.2.05
1:44.73,26,26,Zalaszám-ZAC U16,F3,Budapest (HUN),2017.2.05
1:47.60,27,27,Albertirsai SE U16,F2,Budapest (HUN),2017.2.05
1:48.31,28,28,Hajós Alfréd DSE U16,F4,Budapest (HUN),2017.2.05
1:48.38,29,29,ARAK UP Akadémia U16,F2,Budapest (HUN),2017.2.05
1:48.66,30,30,FTC U16,F4,Budapest (HUN),2017.2.05
1:48.72,31,31,Ikarus BSE U16 B,F3,Budapest (HUN),2017.2.05
1:49.84,32,32,ARAK UP Akadémia U14,F1,Budapest (HUN),2017.2.05
1:50.47,33,33,Budaörsi DSE U16,F4,Budapest (HUN),2017.2.05
1:52.43,34,34,Szombathelyi SI U16,F3,Budapest (HUN),2017.2.05
1:52.76,35,35,Csepeli DAC U14,F1,Budapest (HUN),2017.2.05
1:55.00,36,36,Ikarus BSE U14,F1,Budapest (HUN),2017.2.05
