Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
3:12.17,1,1,Gödöllői EAC,F,Székesfehérvár (HUN),2016.7.31
3:13.22,2,2,DSC-SI,F,Székesfehérvár (HUN),2016.7.31
3:13.58,3,3,GEAC-Ikarus BSE A,F2,Debrecen (HUN),2016.5.15
3:13.71,4,4,Hungary U23,F,Maribor (SLO),2016.7.15
3:15.40,-,5,GEAC-Ikarus BSE A,F2,Székesfehérvár (HUN),2016.9.11
3:15.55,5,6,Haladás VSE,F,Székesfehérvár (HUN),2016.7.31
3:16.21,6,7,DSC-SI - NYSC,F2,Székesfehérvár (HUN),2016.9.11
3:16.59,7,8,Hungary U20,F,Miskolc (HUN),2016.7.01
3:17.73,-,9,DSC-SI - NYSC,F2,Debrecen (HUN),2016.5.15
3:18.05,8,10,Konok Kunok,F2,Debrecen (HUN),2016.5.15
3:18.83,9,11,VEDAC,F,Székesfehérvár (HUN),2016.7.31
3:18.88,10,12,Pannónia Príma A,F2,Székesfehérvár (HUN),2016.9.11
3:19.23,11,13,Ikarus BSE,F,Székesfehérvár (HUN),2016.7.31
3:20.27,12,14,KARC,F,Székesfehérvár (HUN),2016.7.31
3:20.33,-,15,Konok Kunok,F1,Székesfehérvár (HUN),2016.9.11
3:20.36,13,16,TE,F,Miskolc (HUN),2016.5.28
3:21.36,14,17,Haladás VSE U20,F,Budapest (HUN),2016.5.21
3:21.46,15,18,GEAC-Ikarus BSE B,F2,Debrecen (HUN),2016.5.15
3:21.57,16,19,NYME,F,Miskolc (HUN),2016.5.28
3:21.76,17,20,UTE-MTK,F2,Székesfehérvár (HUN),2016.9.11
3:21.85,-,21,GEAC-Ikarus BSE B,F2,Székesfehérvár (HUN),2016.9.11
3:21.98,18,22,DSC-SI U20,F,Budapest (HUN),2016.5.21
3:22.04,19,23,Pannonia Príma B,F1,Székesfehérvár (HUN),2016.9.11
3:22.08,20,24,Bakony-Balaton Team,F1,Székesfehérvár (HUN),2016.9.11
3:22.54,-,25,Pannónia Príma A,F1,Szekszárd (HUN),2016.5.15
3:22.59,-,26,Bakony-Balaton Team,F1,Szekszárd (HUN),2016.5.15
3:25.30,-,27,UTE-MTK,F1,Szekszárd (HUN),2016.5.15
3:25.61,21,28,Viharsarok,F2,Debrecen (HUN),2016.5.15
3:26.07,22,29,Ikarus BSE U18,F,Budapest (HUN),2016.5.21
3:26.23,23,30,BHSE-KSI SE,F2,Székesfehérvár (HUN),2016.9.11
3:26.45,-,31,Pannonia Príma B,F1,Szekszárd (HUN),2016.5.15
3:27.07,24,32,DE,F,Miskolc (HUN),2016.5.28
3:27.46,25,33,Haladás VSE U23,F,Szombathely (HUN),2016.6.26
3:27.57,26,34,VASAS-TFSE,F1,Szekszárd (HUN),2016.5.15
3:27.72,27,35,Egri Sportiskola SE U20,F,Budapest (HUN),2016.5.21
3:28.04,28,36,Dunamentiek,F2,Debrecen (HUN),2016.5.15
3:28.10,29,37,BO-KA,F1,Székesfehérvár (HUN),2016.9.11
3:28.21,30,38,FTC,F1,Debrecen (HUN),2016.5.15
3:28.94,31,39,SZTE B,F,Miskolc (HUN),2016.5.28
3:29.64,-,40,Viharsarok,F1,Székesfehérvár (HUN),2016.9.11
3:30.92,32,41,Gödöllöi EAC U18,F,Budapest (HUN),2016.5.21
3:31.52,33,42,Egri Sportiskola SE,F1,Debrecen (HUN),2016.5.15
3:31.94,-,43,BHSE-KSI SE,F2,Debrecen (HUN),2016.5.15
3:32.88,34,44,VEDAC U23,F,Szombathely (HUN),2016.6.26
3:32.90,35,45,Pannon Duo,F2,Székesfehérvár (HUN),2016.9.11
3:33.16,36,46,ARAK UP Akadémia U18,F,Budapest (HUN),2016.5.21
3:33.53,37,47,VEDAC U20,F,Budapest (HUN),2016.5.21
3:35.27,38,48,Vasas U18,F,Budapest (HUN),2016.5.21
3:35.46,-,49,Dunamentiek,F1,Székesfehérvár (HUN),2016.9.11
3:35.51,39,50,NYSC U18,F,Budapest (HUN),2016.5.21
3:36.69,-,51,BO-KA,F2,Szekszárd (HUN),2016.5.15
3:39.51,40,52,Békési DAC,F1,Debrecen (HUN),2016.5.15
3:40.61,-,53,Pannon Duo,F1,Szekszárd (HUN),2016.5.15
3:40.72,41,54,Keszthelyi VDSE,F2,Szekszárd (HUN),2016.5.15
3:41.00,42,55,FTC U18,F,Budapest (HUN),2016.5.21
3:41.75,43,56,Szekszárd-Mohács,F2,Szekszárd (HUN),2016.5.15
3:42.06,44,57,Mecsekalja,F2,Szekszárd (HUN),2016.5.15
3:44.82,45,58,MAC,F1,Debrecen (HUN),2016.5.15
3:48.48,46,59,Budaörsi SC,F2,Szekszárd (HUN),2016.5.15
3:50.09,47,60,MAFC,F1,Debrecen (HUN),2016.5.15
3:59.11,48,61,SZTE,F,Miskolc (HUN),2016.5.28
3:09.40,1,1,Hungary,F1,Tel Aviv (ISR),2017.6.25
3:14.93,2,2,Bp. Honvéd SE,F,Székesfehérvár (HUN),2017.6.11
3:15.06,3,3,Hungary U20,H1,Grosseto (ITA),2017.7.22
3:15.40,4,4,DSC-SI,F,Székesfehérvár (HUN),2017.6.11
3:15.48,5,5,Haladás VSE,F,Székesfehérvár (HUN),2017.6.11
3:16.30,-,6,Bp. Honvéd SE,F2,Székesfehérvár (HUN),2017.9.1
3:16.51,6,7,Pannonia Príma B,F1,Szekszárd (HUN),2017.5.14
3:16.56,7,8,DSC-SI - NYSC,F2,Székesfehérvár (HUN),2017.9.1
3:17.67,-,9,DSC-SI - NYSC,F2,Miskolc (HUN),2017.5.13
3:19.28,8,10,VEDAC A,F,Székesfehérvár (HUN),2017.6.11
3:19.97,9,11,GEAC-BEAC-IKARUS A,F2,Miskolc (HUN),2017.5.13
3:21.18,10,12,Pannónia Príma A,F2,Székesfehérvár (HUN),2017.9.1
3:21.19,-,13,Pannonia Príma B,F1,Székesfehérvár (HUN),2017.9.1
3:21.25,-,14,Hungary U20,F,Trnava (SVK),2017.7.06
3:21.34,-,15,Bp. Honvéd SE,F2,Miskolc (HUN),2017.5.13
3:21.61,11,16,FTC A,F2,Székesfehérvár (HUN),2017.9.1
3:22.10,12,17,GEAC-Ikarus BSE A,F2,Székesfehérvár (HUN),2017.9.1
3:22.46,13,18,Haladás VSE U20,F,Budapest (HUN),2017.9.16
3:22.53,14,19,Konok Kunok,F2,Miskolc (HUN),2017.5.13
3:22.73,15,20,Bakony-Balaton Team,F2,Szekszárd (HUN),2017.5.14
3:22.79,16,21,Szeged SZTE Gyakorló Gimnázium és Általános Iskola,F1,Székesfehérvár (HUN),2017.5.28
3:24.30,17,22,Dunamentiek,F2,Miskolc (HUN),2017.5.13
3:24.41,18,23,Viharsarok,F2,Miskolc (HUN),2017.5.13
3:24.61,-,24,Konok Kunok,F1,Székesfehérvár (HUN),2017.9.1
3:25.55,-,25,Pannónia Príma A,F2,Szekszárd (HUN),2017.5.14
3:25.97,19,26,Szombathely Bolyai J. Gimn. és Ált. Isk.,F1,Székesfehérvár (HUN),2017.5.28
3:26.97,20,27,Pannon Duo,F2,Szekszárd (HUN),2017.5.14
3:27.48,21,28,SavArra,F2,Szekszárd (HUN),2017.5.14
3:27.55,-,29,Bakony-Balaton Team,F2,Székesfehérvár (HUN),2017.9.1
3:27.66,-,30,FTC A,F2,Miskolc (HUN),2017.5.13
3:27.68,22,31,VASAS-TFSE,F2,Szekszárd (HUN),2017.5.14
3:28.33,23,32,BO-KA,F2,Szekszárd (HUN),2017.5.14
3:29.15,24,33,Bonyhád Petőfi Sándor Gimnázium,F1,Székesfehérvár (HUN),2017.5.28
3:29.28,25,34,KSI SE,F,Budapest (HUN),2017.6.18
3:29.38,26,35,ELTE,F,Miskolc (HUN),2017.5.28
3:29.51,-,36,Viharsarok,F2,Székesfehérvár (HUN),2017.9.1
3:29.64,27,37,Haladás VSE U23,F,Budapest (HUN),2017.6.18
3:29.92,28,38,Egri Sportiskola SE,F,Székesfehérvár (HUN),2017.6.11
3:29.98,29,39,ARAK UP Akadémia U18,F,Budapest (HUN),2017.9.16
3:30.16,-,40,KSI SE,F1,Miskolc (HUN),2017.5.13
3:30.31,30,41,Vasas U18,F,Budapest (HUN),2017.9.16
3:30.37,31,42,Gyulai Római Kat. Gimn.,F2,Székesfehérvár (HUN),2017.5.28
3:30.63,-,43,Egri Sportiskola SE,F1,Miskolc (HUN),2017.5.13
3:31.11,32,44,KSI SE U20,F,Budapest (HUN),2017.9.16
3:31.68,33,45,Vasas U20,F,Budapest (HUN),2017.9.16
3:31.82,34,46,Gödöllő Török Ignác Gimnázium,F1,Székesfehérvár (HUN),2017.5.28
