Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
19:11,1,1,Karsai Gábor,4,Békéscsabai AC,F1,Békéscsaba (HUN),2021.4.18
19:46,2,2,Zahorán Milán,5,Békéscsabai AC,F1,Békéscsaba (HUN),2021.4.18
19:47,3,3,Molnár Balázs,2,Békéscsabai AC,F1,Békéscsaba (HUN),2021.4.18
20:08,4,4,Stiegelmayer András,3,DSC-SI,F1,Békéscsaba (HUN),2021.4.18
20:25,5,5,Reguly Ábel,99,DSC-SI,F1,Békéscsaba (HUN),2021.4.18
20:36,6,6,Szalai András,81,Békéscsabai AC,F1,Békéscsaba (HUN),2021.4.18
21:25,7,7,Körömi János,5,Békéscsabai AC,F1,Békéscsaba (HUN),2021.4.18
23:09,8,8,Borbély Ferenc,86,Békéscsabai AC,F1,Békéscsaba (HUN),2021.4.18
24:36,9,9,Kovács Mihály,76,Békéscsabai AC,F1,Békéscsaba (HUN),2021.4.18
25:22,10,10,Szekerczés István,93,Békéscsabai AC,F1,Békéscsaba (HUN),2021.4.18
