Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
6.74,1,1,Sipos János,91,Szolnoki MÁV-SE,F1,Budapest (HUN),2016.2.2
6.8,-,2,Sipos János,91,Szolnoki MÁV-SE,F1,Budapest (HUN),2016.1.3
6.81,2,3,Kádasi Zalán,94,Egri Sportiskola SE,F2,Dour (BEL),2016.2.14
6.82,-,4,Sipos János,91,Szolnoki MÁV-SE,F,Budapest (HUN),2016.2.06
6.83,-,5,Sipos János,91,Szolnoki MÁV-SE,H1,Budapest (HUN),2016.2.06
6.83,-,5,Sipos János,91,Szolnoki MÁV-SE,H2,Budapest (HUN),2016.2.2
6.87,-,7,Sipos János,91,Szolnoki MÁV-SE,F7,Budapest (HUN),2016.2.14
6.88,-,8,Sipos János,91,Szolnoki MÁV-SE,H10,Budapest (HUN),2016.1.3
6.88,-,8,Kádasi Zalán,94,Egri Sportiskola SE,H1,Dour (BEL),2016.2.14
6.89,3,10,Illovszky Dominik,2,BHSE,F1,Budapest (HUN),2016.1.3
6.89,-,10,Illovszky Dominik,2,BHSE,H10,Budapest (HUN),2016.1.3
6.9,-,12,Kádasi Zalán,94,Egri Sportiskola SE,F1,Székesfehérvár (HUN),2016.1.23
6.9,-,12,Kádasi Zalán,94,Egri Sportiskola SE,H5,Budapest (HUN),2016.2.06
6.91,-,14,Illovszky Dominik,2,BHSE,F1,Budapest (HUN),2016.2.2
6.92,4,15,Vakarcs Gergő,95,Egri Sportiskola SE,H10,Budapest (HUN),2016.1.3
6.92,4,15,Szabó Dániel,97,ARAK,F1,Budapest (HUN),2016.2.2
6.93,-,17,Vakarcs Gergő,95,Egri Sportiskola SE,F1,Székesfehérvár (HUN),2016.1.23
6.93,-,17,Vakarcs Gergő,95,Egri Sportiskola SE,F1,Budapest (HUN),2016.1.3
6.93,-,17,Vakarcs Gergő,95,Egri Sportiskola SE,H2,Dour (BEL),2016.2.14
6.94,-,20,Illovszky Dominik,2,BHSE,F,Budapest (HUN),2016.2.06
6.95,-,21,Illovszky Dominik,2,BHSE,F3,Székesfehérvár (HUN),2016.1.23
6.95,-,21,Illovszky Dominik,2,BHSE,H4,Budapest (HUN),2016.2.06
6.95,-,21,Szabó Dániel,97,ARAK,H2,Budapest (HUN),2016.2.2
6.96,6,24,Pozsgai Dániel,93,FTC,F,Budapest (HUN),2016.2.06
6.97,-,25,Vakarcs Gergő,95,Egri Sportiskola SE,H5,Székesfehérvár (HUN),2016.1.23
6.97,-,25,Kádasi Zalán,94,Egri Sportiskola SE,H5,Székesfehérvár (HUN),2016.1.23
6.97,-,25,Illovszky Dominik,2,BHSE,H1,Budapest (HUN),2016.2.2
6.98,-,28,Vakarcs Gergő,95,Egri Sportiskola SE,H6,Budapest (HUN),2016.2.06
6.98,7,28,Boda Ákos,96,DSC-SI,F1,Budapest (HUN),2016.2.2
6.99,-,30,Boda Ákos,96,DSC-SI,H2,Budapest (HUN),2016.2.2
6.99,8,30,Németh Csaba,97,Vasas,F1,Budapest (HUN),2016.2.27
7.0,-,32,Vakarcs Gergő,95,Egri Sportiskola SE,H1,Budapest (HUN),2016.2.2
7.0,-,32,Németh Csaba,97,Vasas,H3,Budapest (HUN),2016.2.27
7.01,9,34,Boros Bence,96,Szolnoki MÁV-SE,F,Budapest (HUN),2016.2.06
7.01,-,34,Pozsgai Dániel,93,FTC,H6,Budapest (HUN),2016.2.06
7.01,-,34,Boros Bence,96,Szolnoki MÁV-SE,H1,Budapest (HUN),2016.2.2
7.01,9,34,Pisch Milán,99,ARAK,F1,Budapest (HUN),2016.2.27
7.02,-,38,Boros Bence,96,Szolnoki MÁV-SE,H1,Budapest (HUN),2016.2.06
7.02,-,38,Illovszky Dominik,2,BHSE,H1,Budapest (HUN),2016.2.07
7.02,11,38,Szeles Bálint,98,Egri Sportiskola SE,F1,Budapest (HUN),2016.2.27
7.03,-,41,Pisch Milán,99,ARAK,H9,Budapest (HUN),2016.1.3
7.03,12,41,Havasi Róbert,91,Reménység Vác,F1,Budapest (HUN),2016.1.3
