Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
8.3,0.0,1,1,Nabilek Péter,3,KSI SE,CE1,Székesfehérvár (HUN),2016.9.17
8.31,-0.5,2,2,Némethy Szabolcs,3,BHSE,CE2,Székesfehérvár (HUN),2016.9.17
8.41,-0.2,3,3,Schilli Péter,3,Szekszárdi Sportközpont,F,Szekszárd (HUN),2016.8.27
8.43,0.0,4,4,Bakó Martin,3,Csepeli DAC,CE1,Székesfehérvár (HUN),2016.9.17
8.46,-0.1,5,5,Varga Örs,3,KSI SE,CE3,Székesfehérvár (HUN),2016.9.17
8.46,-0.5,5,5,Misák Dávid,3,TSC-Geotech,CE2,Székesfehérvár (HUN),2016.9.17
8.51,-0.5,7,7,Klenovszki Barna,3,Csepeli DAC,CE2,Székesfehérvár (HUN),2016.9.17
8.52,-0.1,8,8,Klauzer László,3,ARAK,CE3,Székesfehérvár (HUN),2016.9.17
8.59,0.0,9,9,Fekete Levente,3,MATE - GEAC,CE1,Székesfehérvár (HUN),2016.9.17
8.61,0.0,10,10,Bágyi Viktor,3,Albertirsai SE,CE1,Székesfehérvár (HUN),2016.9.17
8.62,1.2,11,11,Toma Gergely,4,Kazincbarcikai VSE,F3,Tiszaújváros (HUN),2016.4.3
8.66,0.0,12,12,Gálpál Zsombor,3,A-Plast Ikarus BSE,CE1,Székesfehérvár (HUN),2016.9.17
8.76,-0.5,13,13,Erát Kristóf,3,PSN - Pécsi Sportiskola,CE2,Székesfehérvár (HUN),2016.9.17
8.78,0.0,14,14,Megyeri Dávid,3,A-Plast Ikarus BSE,CE1,Székesfehérvár (HUN),2016.9.17
8.8,1.2,15,15,Takács Péter,5,CVSE,F3,Tiszaújváros (HUN),2016.4.3
8.85,-1.8,16,16,Bak Péter,3,Titán TC,F3,Senta (SRB),2016.4.16
9.11,1.0,17,17,Módis Martin,5,UTE,F1,Tiszaújváros (HUN),2016.4.3
9.13,-3.2,18,18,Fónad Gergely,3,Titán TC,F4,Senta (SRB),2016.4.16
9.16,-0.1,19,19,Papp Máté,3,PSN - Pécsi Sportiskola,CE3,Székesfehérvár (HUN),2016.9.17
7.31,,1,1,Tatai Zalán,4,ARAK,F,Lowicz (POL),2017.6.27
7.45,0.7,-,2,Tatai Zalán,4,ARAK,CE1,Székesfehérvár (HUN),2017.9.23
7.53,0.7,2,3,Schmidt Bence,4,PSN - Pécsi Sportiskola,CE1,Székesfehérvár (HUN),2017.9.23
8.08,0.7,3,4,Nikolics Emánuel,4,PSN - Pécsi Sportiskola,CE1,Székesfehérvár (HUN),2017.9.23
8.19,1.1,4,5,Dalmai Márton,4,Győri Atlétikai Club,CE2,Székesfehérvár (HUN),2017.9.23
8.31,1.1,5,6,Szabó Máté,4,Szekszárdi Sportközpont,CE2,Székesfehérvár (HUN),2017.9.23
8.41,0.7,6,7,Raffay Csanád,4,Csepeli DAC,CE1,Székesfehérvár (HUN),2017.9.23
8.43,0.7,7,8,Németh Miklós,4,Németh-Gerely AC SE,CE1,Székesfehérvár (HUN),2017.9.23
8.5,-1.8,8,9,Béla Szilárd,4,Szekszárdi Sportközpont,F,Szekszárd (HUN),2017.9.13
8.67,1.1,9,10,Strényi Gábor,4,A-Plast Ikarus BSE,CE2,Székesfehérvár (HUN),2017.9.23
8.79,1.1,10,11,Jancsik Martin,4,Reménység Vác,CE2,Székesfehérvár (HUN),2017.9.23
9.28,1.1,11,12,Herczeg György,4,BHSE,CE2,Székesfehérvár (HUN),2017.9.23
7.3,NWI,1,1,Zsivnovszky Péter Zsombor,5,,F,Lowicz (POL),2018.6.21
7.68,+0.6,-,2,Zsivnovszky Péter Zsombor,5,,F1,Győr (HUN),2018.5.28
7.86,NWI,2,3,Medgyessy Máté,6,,F,Lowicz (POL),2018.6.21
7.87,+1.3,-,4,Zsivnovszky Péter Zsombor,5,,H4,Győr (HUN),2018.5.28
7.89,+0.6,3,5,Chen Kevin,5,,F1,Győr (HUN),2018.5.28
7.94,-2.5,-,6,Chen Kevin,5,,H1,Győr (HUN),2018.5.28
7.94,+0.6,4,6,Borostyán Norbert,5,,F1,Győr (HUN),2018.5.28
7.99,+0.6,5,8,Süveges Attila,5,,F1,Győr (HUN),2018.5.28
8.01,+0.5,6,9,Bóta Gergő,5,,F2,Győr (HUN),2018.5.28
8.04,-1.3,-,10,Süveges Attila,5,,H3,Győr (HUN),2018.5.28
8.05,+0.6,7,11,Farkas Ferenc,5,,F1,Győr (HUN),2018.5.28
8.09,+0.6,8,12,Csaplár Bálint,5,,F1,Győr (HUN),2018.5.28
8.09,+0.5,8,12,Vida Dávid,5,,F2,Győr (HUN),2018.5.28
8.1,+0.5,10,14,Felföldi Áron,5,,F2,Győr (HUN),2018.5.28
8.13,+0.6,11,15,Odenwald Milán,5,,F1,Győr (HUN),2018.5.28
8.14,-2.5,-,16,Csaplár Bálint,5,,H1,Győr (HUN),2018.5.28
