Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
1:05:26,1,1,Csere Gáspár,91.0,BEAC,F,The Hague (NED),2016.3.06
1:05:45,2,2,Gregor László,92.0,Békéscsabai AC,F,Zagreb (CRO),2016.3.2
1:06:08,3,3,Nagy Tamás,84.0,Építők AC Kaposvár,F,Zagreb (CRO),2016.3.2
1:06:12,4,4,Kovács Tamás,83.0,VEDAC,F,Gorizia (ITA),2016.3.06
1:06:35,5,5,Józsa Gábor,83.0,MAC,F,Milano (ITA),2016.3.2
1:06:50,6,6,Koszár Zsolt,86.0,SYN FIT SZTG,F,Pozsony (SVK),2016.4.03
1:07:00,-,7,Gregor László,92.0,Békéscsabai AC,F,Velika Gorica (CRO),2016.3.13
1:07:07,-,8,Nagy Tamás,84.0,Építők AC Kaposvár,F,Velika Gorica (CRO),2016.3.13
1:07:07,7,8,Berecz Lajos,79.0,Mezőtúri AC,F,Križevci (CRO),2016.5.01
1:07:21,8,10,Minczér Albert,86.0,VEDAC,F,Orihuela (ESP),2016.2.14
1:07:34,-,11,Csere Gáspár,91.0,BEAC,F,Budapest (HUN),2016.4.17
1:07:37,-,12,Gregor László,92.0,Békéscsabai AC,F,Split (CRO),2016.2.28
1:07:45,-,13,Józsa Gábor,83.0,MAC,F,Budapest (HUN),2016.9.11
1:07:45,-,13,Józsa Gábor,83.0,MAC,F,Riva del Garda (ITA),2016.11.13
1:07:56,-,15,Kovács Tamás,83.0,VEDAC,F,Budapest (HUN),2016.9.11
1:08:06,9,16,Bene Barnabás,86.0,PVSK,F,Sarajevo (BIH),2016.9.18
1:08:08,10,17,Farkas Dárius,91.0,BEAC,F,Budapest (HUN),2016.9.11
1:08:13,-,18,Koszár Zsolt,86.0,SYN FIT SZTG,F,Budapest (HUN),2016.9.11
1:08:17,-,19,Nagy Tamás,84.0,Építők AC Kaposvár,F,Sarajevo (BIH),2016.9.18
1:08:17,11,19,Horváth György,85.0,SZoESE,F,Riva del Garda (ITA),2016.11.13
1:08:57,-,21,Józsa Gábor,83.0,MAC,F,Amsterdam (NED),2016.7.1
1:09:07,-,22,Horváth György,85.0,SZoESE,F,Pozsony (SVK),2016.4.03
1:09:18,-,23,Nagy Tamás,84.0,Építők AC Kaposvár,F,Split (CRO),2016.2.28
1:09:22,-,24,Berecz Lajos,79.0,Mezőtúri AC,F,Veresegyház (HUN),2016.4.1
1:09:25,-,25,Berecz Lajos,79.0,Mezőtúri AC,F,Szigetszentmiklós (HUN),2016.4.24
1:09:30,-,26,Kovács Tamás,83.0,VEDAC,F,Várpalota (HUN),2016.10.22
