Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
19:43,1,1,Herczeg Áron,9,Miskolci Sportiskola,F1,Gyöngyös (HUN),2023.5.2
21:02,2,2,Erdődi Péter,9,Miskolci Sportiskola,F1,Gyöngyös (HUN),2023.5.2
23:34,3,3,Molitorisz Donát,9,Miskolci Sportiskola,F1,Gyöngyös (HUN),2023.5.2
27:29,4,4,Lohn Miklós,56,TFSE,F1,Gyöngyös (HUN),2023.5.2
53:46,5,5,Juhász Patrik,2,HK SE,F1,Gyöngyös (HUN),2023.5.2
54:05,6,6,Dalos Máté,97,HK SE,F1,Gyöngyös (HUN),2023.5.2
54:23,7,7,Molnár Ákos,91,Vasas,F1,Gyöngyös (HUN),2023.5.2
57:06,8,8,Jenkei Péter,92,Vasas,F1,Gyöngyös (HUN),2023.5.2
58:26,9,9,Vigh Zoltán,99,Csömöri Sport Kft.,F1,Gyöngyös (HUN),2023.5.2
59:32,10,10,Mester Bálint,85,TFSE,F1,Gyöngyös (HUN),2023.5.2
1:00:00,11,11,Málits Péter,0,HK SE,F1,Gyöngyös (HUN),2023.5.2
1:00:13,12,12,Tompai Bálint,92,Margitszigeti AC,F1,Gyöngyös (HUN),2023.5.2
1:00:36,13,13,Sági József,71,Reménység Vác,F1,Gyöngyös (HUN),2023.5.2
1:01:11,14,14,Arany Attila,98,DSC-SI,F1,Gyöngyös (HUN),2023.5.2
1:02:11,15,15,Tarnai László,93,FTC,F1,Gyöngyös (HUN),2023.5.2
1:03:41,16,16,Lencse Gábor,90,HK SE,F1,Gyöngyös (HUN),2023.5.2
1:04:10,17,17,Bartkó András,78,Zenit SE,F1,Gyöngyös (HUN),2023.5.2
1:04:13,18,18,Jacsó István,79,HK SE,F1,Gyöngyös (HUN),2023.5.2
1:04:14,19,19,Murányi Máté,1,BHSE,F1,Gyöngyös (HUN),2023.5.2
1:04:16,20,20,Pelsőczy Attila,83,TFSE,F1,Gyöngyös (HUN),2023.5.2
1:04:55,21,21,Marosi Bence,90,ELTE SE Sashegyi gepárdok,F1,Gyöngyös (HUN),2023.5.2
1:05:16,22,22,Szabó Gábor,76,ELTE SE Sashegyi gepárdok,F1,Gyöngyös (HUN),2023.5.2
1:05:31,23,23,Kovács Máté,5,DVTK,F1,Gyöngyös (HUN),2023.5.2
1:05:59,24,24,Szőllős András,76,Zenit SE,F1,Gyöngyös (HUN),2023.5.2
1:06:26,25,25,Takács Balázs,82,Csömöri Sport Kft.,F1,Gyöngyös (HUN),2023.5.2
1:07:36,26,26,Lukácsi Levente,85,Zenit SE,F1,Gyöngyös (HUN),2023.5.2
1:08:56,27,27,Zsédely Roland,94,HK SE,F1,Gyöngyös (HUN),2023.5.2
1:10:06,28,28,Labádi Zoltán,79,BHSE,F1,Gyöngyös (HUN),2023.5.2
1:10:14,29,29,Gál Áron,4,BHSE,F1,Gyöngyös (HUN),2023.5.2
1:12:24,30,30,Pócs Levente,3,DVTK,F1,Gyöngyös (HUN),2023.5.2
1:13:42,31,31,Komócsin Balázs,87,ELTE SE Sashegyi gepárdok,F1,Gyöngyös (HUN),2023.5.2
1:18:00,32,32,Szoboszlay Tamás,93,Csömöri Sport Kft.,F1,Gyöngyös (HUN),2023.5.2
1:19:27,33,33,Farkas Árpád,78,MFSE,F1,Gyöngyös (HUN),2023.5.2
1:20:50,34,34,Gyallai János,65,Gyötri Klub,F1,Gyöngyös (HUN),2023.5.2
1:23:48,35,35,Szmolnik Zoltán,71,Gyötri Klub,F1,Gyöngyös (HUN),2023.5.2
1:24:22,36,36,Klincsek Géza,77,MFSE,F1,Gyöngyös (HUN),2023.5.2
1:24:33,37,37,Odonics Gábor,94,VEDAC,F1,Gyöngyös (HUN),2023.5.2
1:24:43,-,38,Molnár Ákos,91,Vasas,F1,Szentgál (HUN),2023.4.02
1:25:02,38,39,Karczub Roland,2,HK SE,F1,Gyöngyös (HUN),2023.5.2
1:25:57,-,40,Juhász Patrik,2,HK SE,F1,Szentgál (HUN),2023.4.02
1:27:02,-,41,Dalos Máté,97,HK SE,F1,Szentgál (HUN),2023.4.02
1:28:14,39,42,Bulitka László,93,Vasas,F1,Gyöngyös (HUN),2023.5.2
1:28:15,40,43,Pernyész Balázs,2,TFSE,F1,Gyöngyös (HUN),2023.5.2
1:29:46,41,44,Bakó Áron,92,Zenit SE,F1,Szentgál (HUN),2023.4.02
1:30:29,42,45,Kristály Róbert,79,Gyötri Klub,F1,Gyöngyös (HUN),2023.5.2
1:31:27,43,46,Vásárhelyi Máté,3,Castor SE,F1,Szentgál (HUN),2023.4.02
1:32:03,-,47,Vigh Zoltán,99,Csömöri Sport Kft.,F1,Szentgál (HUN),2023.4.02
1:32:58,-,48,Málits Péter,0,HK SE,F1,Szentgál (HUN),2023.4.02
1:33:20,44,49,Szalay Levente,99,SZoESE,F1,Szentgál (HUN),2023.4.02
1:34:02,-,50,Pelsőczy Attila,83,TFSE,F1,Szentgál (HUN),2023.4.02
1:34:02,-,50,Pelsőczy Attila,83,TFSE,F1,Szentgál (HUN),2023.4.02
1:34:43,-,52,Tompai Bálint,92,Margitszigeti AC,F1,Szentgál (HUN),2023.4.02
1:35:05,-,53,Bartkó András,78,Zenit SE,F1,Szentgál (HUN),2023.4.02
1:35:05,-,53,Bartkó András,78,Zenit SE,F1,Szentgál (HUN),2023.4.02
1:35:16,45,55,Ali Tamás,92,ELTE SE Sashegyi gepárdok,F1,Szentgál (HUN),2023.4.02
1:36:38,46,56,Kis Áron,85,VEDAC,F1,Szentgál (HUN),2023.4.02
1:36:38,-,56,Kis Áron,85,VEDAC,F1,Szentgál (HUN),2023.4.02
1:38:10,-,58,Odonics Gábor,94,VEDAC,F1,Szentgál (HUN),2023.4.02
1:38:41,-,59,Pernyész Balázs,2,TFSE,F1,Szentgál (HUN),2023.4.02
1:39:35,-,60,Burján Jenő,82,VEDAC,F1,Szentgál (HUN),2023.4.02
1:39:35,47,60,Burján Jenő,82,VEDAC,F1,Szentgál (HUN),2023.4.02
1:40:12,-,62,Szabó Gábor,76,ELTE SE Sashegyi gepárdok,F1,Szentgál (HUN),2023.4.02
1:40:12,-,62,Szabó Gábor,76,ELTE SE Sashegyi gepárdok,F1,Szentgál (HUN),2023.4.02
1:40:21,-,64,Komócsin Balázs,87,ELTE SE Sashegyi gepárdok,F1,Szentgál (HUN),2023.4.02
1:40:21,-,64,Komócsin Balázs,87,ELTE SE Sashegyi gepárdok,F1,Szentgál (HUN),2023.4.02
1:40:59,48,66,Králl Péter,87,Csepeli DAC,F1,Szentgál (HUN),2023.4.02
1:40:59,-,66,Králl Péter,87,Csepeli DAC,F1,Szentgál (HUN),2023.4.02
1:43:25,-,68,Zsédely Roland,94,HK SE,F1,Szentgál (HUN),2023.4.02
1:45:36,49,69,Páczi Szabolcs,98,HK SE,F1,Szentgál (HUN),2023.4.02
1:45:42,50,70,Zsebe Olivér,98,TFSE,F1,Szentgál (HUN),2023.4.02
1:47:54,-,71,Labádi Zoltán,79,BHSE,F1,Szentgál (HUN),2023.4.02
1:47:54,-,71,Labádi Zoltán,79,BHSE,F1,Szentgál (HUN),2023.4.02
1:49:07,-,73,Kárász László,82,Balatonfüredi Atlétikai Club,F1,Szentgál (HUN),2023.4.02
1:49:07,51,73,Kárász László,82,Balatonfüredi Atlétikai Club,F1,Szentgál (HUN),2023.4.02
1:50:48,52,75,Kiss László,78,Csömöri Sport Kft.,F1,Szentgál (HUN),2023.4.02
