Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
16.18,0.9,1,1,László Dávid,92,ARAK,F,Budapest (HUN),2016.6.19
16.04,1.7,-,2,László Dávid,92,ARAK,F,Székesfehérvár (HUN),2016.7.31
16.03,1.2,2,3,Galambos Tibor,91,FTC,F,Budapest (HUN),2016.6.19
15.97,0.4,-,4,Galambos Tibor,91,FTC,F,Tiszaújváros (HUN),2016.4.3
15.9,1.1,3,5,Pap Kristóf,98,Haladás VSE,F,Szombathely (HUN),2016.6.26
15.84,1.9,-,6,László Dávid,92,ARAK,F,Budapest (HUN),2016.8.2
15.8,1.5,-,7,Galambos Tibor,91,FTC,F,Szombathely (HUN),2016.6.26
15.79,1.2,-,8,László Dávid,92,ARAK,F,Miskolc (HUN),2016.5.29
15.76,0.5,-,9,Galambos Tibor,91,FTC,F,Debrecen (HUN),2016.5.15
15.76,-1.6,-,9,László Dávid,92,ARAK,F,Debrecen (HUN),2016.6.05
15.74,-1.0,-,11,Pap Kristóf,98,Haladás VSE,F,Miskolc (HUN),2016.7.01
15.72,0.7,4,12,Pál Robin,91,NYSC,F,Budapest (HUN),2016.9.04
15.71,1.7,-,13,Pál Robin,91,NYSC,F,Budapest (HUN),2016.8.2
15.69,0.0,-,14,László Dávid,92,ARAK,F,Budapest (HUN),2016.9.04
15.59,-1.0,-,15,Pap Kristóf,98,Haladás VSE,F,Debrecen (HUN),2016.6.05
15.55,1.4,-,16,Pál Robin,91,NYSC,F,Miskolc (HUN),2016.5.29
15.55,-1.3,-,16,Galambos Tibor,91,FTC,F,Debrecen (HUN),2016.6.05
15.54,1.1,-,18,Pál Robin,91,NYSC,F,Budapest (HUN),2016.6.19
15.43,-1.0,-,19,Galambos Tibor,91,FTC,F,Miskolc (HUN),2016.5.29
15.43,0.0,-,19,Pál Robin,91,NYSC,F,Székesfehérvár (HUN),2016.9.11
15.39,1.6,-,21,Galambos Tibor,91,FTC,F,Budapest (HUN),2016.8.2
15.37,1.1,-,22,Pap Kristóf,98,Haladás VSE,F,Budapest (HUN),2016.8.2
15.36,0.6,-,23,Galambos Tibor,91,FTC,F,Budapest (HUN),2016.9.04
15.27,0.0,-,24,László Dávid,92,ARAK,F,Székesfehérvár (HUN),2016.9.11
15.26,-1.2,-,25,Pál Robin,91,NYSC,F,Debrecen (HUN),2016.6.05
15.21,0.4,-,26,László Dávid,92,ARAK,Q,Székesfehérvár (HUN),2016.7.3
15.19,-0.7,5,27,Prekli Zoltán,91,FTC,F,Genève (SUI),2016.6.11
15.16,1.8,-,28,Prekli Zoltán,91,FTC,F,Székesfehérvár (HUN),2016.7.31
15.11,1.1,-,29,Galambos Tibor,91,FTC,Q,Székesfehérvár (HUN),2016.7.3
15.1,1.1,-,30,Prekli Zoltán,91,FTC,F,Budapest (HUN),2016.6.19
15.09,1.3,-,31,Pál Robin,91,NYSC,F,Székesfehérvár (HUN),2016.7.31
15.02,0.7,-,32,Pál Robin,91,NYSC,F,Debrecen (HUN),2016.5.15
15.0,-0.5,-,33,Pál Robin,91,NYSC,F,Tiszaújváros (HUN),2016.4.3
14.9,-0.4,-,34,Pap Kristóf,98,Haladás VSE,Q,Székesfehérvár (HUN),2016.7.3
14.86,1.6,6,35,Székács Máté,98,Favorit AC,F,Szombathely (HUN),2016.6.26
14.81,1.7,7,36,Kiss Dániel,90,FTC,F,Székesfehérvár (HUN),2016.7.31
14.78,0.8,-,37,Prekli Zoltán,91,FTC,F,Debrecen (HUN),2016.5.15
14.74,1.7,8,38,Bartalos Dávid,95,Haladás VSE,F,Székesfehérvár (HUN),2016.7.31
14.73,0.5,-,39,Pál Robin,91,NYSC,Q,Székesfehérvár (HUN),2016.7.3
14.68,2.0,-,40,Bartalos Dávid,95,Haladás VSE,F,Szombathely (HUN),2016.6.26
14.68,0.6,-,40,Prekli Zoltán,91,FTC,F,Budapest (HUN),2016.9.04
14.66,-0.2,-,42,Prekli Zoltán,91,FTC,Q,Székesfehérvár (HUN),2016.7.3
14.63,0.2,9,43,Fejős Bence,85,FTC,Q,Székesfehérvár (HUN),2016.7.3
14.59,0.0,10,44,Leveleki Bence,0,NYSC,F,Székesfehérvár (HUN),2016.9.11
14.58,2.0,-,45,Prekli Zoltán,91,FTC,F,Miskolc (HUN),2016.5.29
14.57,-0.5,-,46,Prekli Zoltán,91,FTC,F,Debrecen (HUN),2016.6.05
14.54,0.6,-,47,Bartalos Dávid,95,Haladás VSE,F,Székesfehérvár (HUN),2016.9.11
14.53,1.3,-,48,Kiss Dániel,90,FTC,F,Budapest (HUN),2016.6.19
14.52,2.0,11,49,Erdélyi Zoltán,95,Szekszárdi Sportközpont,F,Szombathely (HUN),2016.6.26
14.49,-1.1,-,50,Székács Máté,98,Favorit AC,F,Miskolc (HUN),2016.7.01
14.49,-1.6,-,50,Kiss Dániel,90,FTC,Q,Székesfehérvár (HUN),2016.7.3
14.48,0.2,12,52,Balogh Kristóf,99,Győri Atlétikai Club,F,Brno (CZE),2016.6.11
14.48,0.6,12,52,Lapite Rajmund,96,FTC,F,Szombathely (HUN),2016.6.26
14.47,0.0,14,54,Buzga Zoltán,98,NYSC,F,Debrecen (HUN),2016.6.05
14.46,0.3,15,55,Böröndy Hunor,93,KARC,F,Debrecen (HUN),2016.5.15
14.45,0.7,-,56,Kiss Dániel,90,FTC,F,Tiszaújváros (HUN),2016.4.3
14.43,1.0,-,57,Bartalos Dávid,95,Haladás VSE,Q,Székesfehérvár (HUN),2016.7.3
14.42,1.9,16,58,Csermely Viktor,94,KARC,F,Szombathely (HUN),2016.6.26
14.41,-0.9,-,59,Kiss Dániel,90,FTC,F,Miskolc (HUN),2016.5.29
14.4,1.2,17,60,Szenderffy Dániel,99,Dunakeszi VSE,F,Brno (CZE),2016.6.11
14.38,0.6,-,61,Szenderffy Dániel,99,Dunakeszi VSE,F,Miskolc (HUN),2016.7.02
14.38,0.9,-,61,Kiss Dániel,90,FTC,F,Budapest (HUN),2016.9.04
14.36,0.1,18,63,Tóth Attila,96,Győri Atlétikai Club,F,Pozsony (SVK),2016.9.04
14.35,1.7,-,64,Csermely Viktor,94,KARC,F,Budapest (HUN),2016.6.19
