Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2114,1,1,Szabó László,91,FTC,F1,Budapest (HUN),2019.8.31
1959,2,2,Kriszt Botond,96,MATE - GEAC,F1,Budapest (HUN),2019.8.31
1768,3,3,Raffai Péter,96,TFSE,F1,Budapest (HUN),2019.8.31
1765,4,4,Berek András,2,FTC,F1,Budapest (HUN),2019.8.31
1660,5,5,Kemenes Ákos,96,MATE - GEAC,F1,Budapest (HUN),2019.8.31
1539,6,6,Szamosi András,99,MATE - GEAC,F1,Budapest (HUN),2019.8.31
1473,7,7,Tamási Ottó,94,KARC,F1,Budapest (HUN),2019.8.31
1377,8,8,Gábris Dávid,99,KSI SE,F1,Budapest (HUN),2019.8.31
1983,1,1,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2020.9.12
1972,2,2,Galambos Tibor,91,FTC,F1,Budapest (HUN),2020.9.12
1941,3,3,Gábris Dávid,99,KSI SE,F1,Budapest (HUN),2020.9.12
1926,4,4,Horváth Koppány,0,MMAC,F1,Budapest (HUN),2020.9.12
1749,5,5,Raffai Péter,96,TFSE,F1,Budapest (HUN),2020.9.12
1713,6,6,Szamosi András,99,MATE - GEAC,F1,Budapest (HUN),2020.9.12
1695,7,7,Seres Soma,0,MAFC,F1,Budapest (HUN),2020.9.12
1237,8,8,Polk Bálint,0,MAFC,F1,Budapest (HUN),2020.9.12
2063,1,1,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2021.9.04
2009,2,2,Gálpál Zsombor,3,A-Plast Ikarus BSE,F1,Budapest (HUN),2021.9.04
2002,3,3,Raffai Péter,96,TFSE,F1,Budapest (HUN),2021.9.04
1822,4,4,Varga Bercel,1,KSI SE,F1,Budapest (HUN),2021.9.04
1804,5,5,Németh Miklós,4,Németh-Gerely AC SE,F1,Budapest (HUN),2021.9.04
1786,6,6,Gábris Dávid,99,KSI SE,F1,Budapest (HUN),2021.9.04
1675,7,7,Szamosi András,99,MATE - GEAC,F1,Budapest (HUN),2021.9.04
1486,8,8,Kurucz Gergely,81,ELTE SE Sashegyi gepárdok,F1,Budapest (HUN),2021.9.04
2134,1,1,Tóth Zsombor,98,MATE - GEAC,F1,Székesfehérvár (HUN),2022.6.18
2103,2,2,Bándli Olivér,95,BHSE,F1,Székesfehérvár (HUN),2022.6.18
2067,3,3,Gálpál Zsombor,3,BHSE,F1,Székesfehérvár (HUN),2022.6.18
1975,4,4,Berek András,2,FTC,F1,Székesfehérvár (HUN),2022.6.18
1872,5,5,Németh Miklós,4,BHSE,F1,Székesfehérvár (HUN),2022.6.18
1853,6,6,Varga Bercel,1,KSI SE,F1,Székesfehérvár (HUN),2022.6.18
1717,7,7,Gábris Dávid,99,KSI SE,F1,Székesfehérvár (HUN),2022.6.18
1674,8,8,Palicsek Botond,2,KSI SE,F1,Székesfehérvár (HUN),2022.6.18
