Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2062,1,1,Szamosi András,99,MATE - GEAC,F1,Budapest (HUN),2019.2.03
1931,2,2,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2019.2.03
1844,3,3,Mercz Kevin,99,AC Bonyhád,F1,Budapest (HUN),2019.2.03
1760,4,4,Tamási Ottó,94,KARC,F1,Budapest (HUN),2019.2.03
1723,5,5,Kemenes Ákos,96,MATE - GEAC,F1,Budapest (HUN),2019.2.03
2086,1,1,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2020.2.09
2033,2,2,Raffai Péter,96,TFSE,F1,Budapest (HUN),2020.2.09
2026,3,3,Galambos Tibor,91,FTC,F1,Budapest (HUN),2020.2.09
2026,3,3,Szamosi András,99,MATE - GEAC,F1,Budapest (HUN),2020.2.09
1725,5,5,Kemenes Ákos,96,MATE - GEAC,F1,Budapest (HUN),2020.2.09
1642,6,6,Kun-Szabó Balázs,89,Vasas,F1,Budapest (HUN),2020.2.09
1360,7,7,Kriszt Botond,96,MATE - GEAC,F1,Budapest (HUN),2020.2.09
1016,8,8,Polk Bálint,0,MAFC,F1,Budapest (HUN),2020.2.09
2121,1,1,Raffai Péter,96,TFSE,F1,Budapest (HUN),2021.2.07
2046,2,2,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2021.2.07
1977,3,3,Kriszt Botond,96,MATE - GEAC,F1,Budapest (HUN),2021.2.07
1422,4,4,Kurucz Gergely,81,ELTE SE Sashegyi gepárdok,F1,Budapest (HUN),2021.2.07
2247,1,1,Gálpál Zsombor,3,A-Plast Ikarus BSE,F1,Budapest (HUN),2022.2.06
2145,2,2,Raffai Péter,96,TFSE,F1,Budapest (HUN),2022.2.06
2131,3,3,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2022.2.06
1688,4,4,Varga Bercel,1,KSI SE,F1,Budapest (HUN),2022.2.06
1445,5,5,Kurucz Gergely,81,ELTE SE Sashegyi gepárdok,F1,Budapest (HUN),2022.2.06
1150,6,6,Polk Bálint,0,MAFC,F1,Budapest (HUN),2022.2.06
974,7,7,Benkő László,3,MAFC,F1,Budapest (HUN),2022.2.06
