Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2088,1,1,Naszódi Benedek,97,KSI SE,F1,Székesfehérvár (HUN),2018.5.06
1994,2,2,Szabó László,91,FTC,F1,Székesfehérvár (HUN),2018.5.06
1989,3,3,Kriszt Botond,96,MATE - GEAC,F1,Székesfehérvár (HUN),2018.5.06
1828,4,4,Szász Bence,93,FTC,F1,Székesfehérvár (HUN),2018.5.06
1642,5,5,Kurucz Gergely,81,ELTE SE Sashegyi gepárdok,F1,Székesfehérvár (HUN),2018.5.06
1638,6,6,Mogyorósi Levente,99,MAFC,F1,Székesfehérvár (HUN),2018.5.06
1602,7,7,Kemenes Ákos,96,MATE - GEAC,F1,Székesfehérvár (HUN),2018.5.06
1574,8,8,Botka Levente,96,FTC,F1,Székesfehérvár (HUN),2018.5.06
1017,9,9,Vágó András,88,FTC,F1,Székesfehérvár (HUN),2018.5.06
975,10,10,Kun-Szabó Balázs,89,Vasas,F1,Székesfehérvár (HUN),2018.5.06
1875,1,1,Kriszt Botond,96,MATE - GEAC,F1,Debrecen (HUN),2019.5.05
1831,2,2,Raffai Péter,96,TFSE,F1,Debrecen (HUN),2019.5.05
1816,3,3,Gábris Dávid,99,KSI SE,F1,Debrecen (HUN),2019.5.05
1798,4,4,Tóth Zsombor,98,MATE - GEAC,F1,Debrecen (HUN),2019.5.05
1732,5,5,Szász Bence,93,FTC,F1,Debrecen (HUN),2019.5.05
1556,6,6,Szamosi András,99,MATE - GEAC,F1,Debrecen (HUN),2019.5.05
1464,7,7,Kemenes Ákos,96,MATE - GEAC,F1,Debrecen (HUN),2019.5.05
1987,1,1,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2021.5.09
1971,2,2,Raffai Péter,96,TFSE,F1,Budapest (HUN),2021.5.09
1916,3,3,Gábris Dávid,99,KSI SE,F1,Budapest (HUN),2021.5.09
1775,4,4,Varga Bercel,1,KSI SE,F1,Budapest (HUN),2021.5.09
971,5,5,Gladys Bálint,99,KSI SE,F1,Budapest (HUN),2021.5.09
