Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
5394,1,1,Szabó Attila,84,BSC,F,Budapest (HUN),2016.2.14
5164,2,2,Fajoyomi Viktor,91,KARC,F,Budapest (HUN),2016.2.14
4717,3,3,Galambos Zsolt,94,FTC,F,Budapest (HUN),2016.2.14
4594,4,4,Erdélyi Zoltán,95,Szekszárdi Sportközpont,F,Budapest (HUN),2016.2.14
4521,5,5,Szász Bence,93,FTC,F,Budapest (HUN),2016.2.14
3997,6,6,Kun-Szabó Balázs,89,Vasas,F,Budapest (HUN),2016.2.14
3672,7,7,Kútsági Bálint,80,ELTE SE Sashegyi gepárdok,F,Budapest (HUN),2016.2.14
4127,1,1,Kemenes Ákos,96,BHSE,F,Budapest (HUN),2017.2.12
3694,2,2,Hegedűs Mátyás,97,ARAK,F,Budapest (HUN),2017.2.12
3487,3,3,Kútsági Bálint,80,ELTE SE Sashegyi gepárdok,F,Budapest (HUN),2017.2.12
3203,4,4,Majer Zsolt,96,ELTE SE Sashegyi gepárdok,F,Budapest (HUN),2017.2.12
4814,1,1,Raffai Péter,96,MATE - GEAC,F,Budapest (HUN),2018.2.11
4527,2,2,Kriszt Botond,96,MATE - GEAC,F,Budapest (HUN),2018.2.11
4261,3,3,Tóth Zsombor,98,MATE - GEAC,F,Budapest (HUN),2018.2.11
4169,4,4,Kun-Szabó Balázs,89,Vasas,F,Budapest (HUN),2018.2.11
4764,1,1,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2019.2.09
4619,2,2,Szamosi András,99,MATE - GEAC,F1,Budapest (HUN),2019.2.09
4473,3,3,Tamási Ottó,94,KARC,F1,Budapest (HUN),2019.2.09
4385,4,4,Szász Bence,93,FTC,F1,Budapest (HUN),2019.2.09
4128,5,5,Gábris Dávid,99,KSI SE,F1,Budapest (HUN),2019.2.09
4114,6,6,Kemenes Ákos,96,MATE - GEAC,F1,Budapest (HUN),2019.2.09
4040,7,7,Gladys Bálint,99,KSI SE,F1,Budapest (HUN),2019.2.09
5178,1,1,Galambos Tibor,91,FTC,F1,Budapest (HUN),2020.2.15
5113,2,2,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2020.2.15
4688,3,3,Kriszt Botond,96,MATE - GEAC,F1,Budapest (HUN),2020.2.15
4628,4,4,Szamosi András,99,MATE - GEAC,F1,Budapest (HUN),2020.2.15
4590,5,5,Gábris Dávid,99,KSI SE,F1,Budapest (HUN),2020.2.15
4103,6,6,Kun-Szabó Balázs,89,Vasas,F1,Budapest (HUN),2020.2.15
3881,7,7,Kemenes Ákos,96,MATE - GEAC,F1,Budapest (HUN),2020.2.15
4873,1,1,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2021.2.13
4689,2,2,Gábris Dávid,99,KSI SE,F1,Budapest (HUN),2021.2.13
4675,3,3,Raffai Péter,96,TFSE,F1,Budapest (HUN),2021.2.13
4526,4,4,Varga Bercel,1,KSI SE,F1,Budapest (HUN),2021.2.13
3915,5,5,Smelka Károly,1,FTC,F1,Budapest (HUN),2021.2.13
3742,6,6,Gladys Bálint,99,KSI SE,F1,Budapest (HUN),2021.2.13
2664,7,7,Németh Zsolt,99,MAFC,F1,Budapest (HUN),2021.2.13
2038,8,8,Gereczi Botond,0,ELTE SE Sashegyi gepárdok,F1,Budapest (HUN),2021.2.13
4872,1,1,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2022.2.19
4526,2,2,Gábris Dávid,99,KSI SE,F1,Budapest (HUN),2022.2.19
4397,3,3,Varga Bercel,1,KSI SE,F1,Budapest (HUN),2022.2.19
3269,4,4,Kútsági Bálint,80,ELTE SE Sashegyi gepárdok,F1,Budapest (HUN),2022.2.19
2671,5,5,Polk Bálint,0,MAFC,F1,Budapest (HUN),2022.2.19
5234,1,1,Gálpál Zsombor,3,BHSE,F1,Budapest (HUN),2023.2.11
4705,2,2,Gábris Dávid,99,KSI SE,F1,Budapest (HUN),2023.2.11
4367,3,3,Katonai Norbert,91,FTC,F1,Budapest (HUN),2023.2.11
2895,4,4,Benkő László,3,MAFC,F1,Budapest (HUN),2023.2.11
