Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2.2,1,1,Bakosi Péter,93,NYSC,F,Nyíregyháza (HUN),2016.1.23
2.2,-,1,Bakosi Péter,93,NYSC,F,Sindelfingen (GER),2016.1.3
2.13,-,3,Bakosi Péter,93,NYSC,F,Budapest (HUN),2016.2.06
2.13,-,3,Bakosi Péter,93,NYSC,F,Linz (AUT),2016.2.12
2.1,-,5,Bakosi Péter,93,NYSC,F,Nyíregyháza (HUN),2016.1.17
2.1,2,5,Horváth Csaba,97,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.06
2.09,-,7,Bakosi Péter,93,NYSC,F,Budapest (HUN),2016.2.2
2.06,3,8,Fajoyomi Viktor,91,KARC,F2,Sabadell (ESP),2016.1.17
2.06,-,8,Horváth Csaba,97,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.28
2.05,-,10,Horváth Csaba,97,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.2
2.05,4,10,Pázmándi Dominik,0,Szolnoki SC-SI,F,Budapest (HUN),2016.2.2
2.04,5,12,Erdélyi Zoltán,95,Szekszárdi Sportközpont,CE,Budapest (HUN),2016.2.13
2.03,6,13,Jankovics Dániel,95,BSC,F,Budapest (HUN),2016.1.3
2.01,-,14,Fajoyomi Viktor,91,KARC,CE,Budapest (HUN),2016.2.13
2.0,-,15,Pázmándi Dominik,0,Szolnoki SC-SI,F,Budapest (HUN),2016.1.3
2.0,7,15,Galambos Zsolt,94,FTC,F,Budapest (HUN),2016.1.3
2.0,-,15,Erdélyi Zoltán,95,Szekszárdi Sportközpont,F2,Banská Bystrica (SVK),2016.2.04
2.0,-,15,Jankovics Dániel,95,BSC,F,Budapest (HUN),2016.2.2
2.0,7,15,Zelena Zalán,95,Miskolci Sportiskola,F,Budapest (HUN),2016.2.2
1.99,-,20,Jankovics Dániel,95,BSC,F,Budapest (HUN),2016.2.06
1.98,-,21,Galambos Zsolt,94,FTC,CE,Budapest (HUN),2016.2.13
1.98,9,21,Deutsch Domonkos,98,MTK Budapest,F,Budapest (HUN),2016.2.28
1.97,10,23,Horváth Koppány,0,MMAC,CE,Budapest (HUN),2016.2.14
1.97,-,23,Pázmándi Dominik,0,Szolnoki SC-SI,F,Budapest (HUN),2016.2.28
1.95,-,25,Jankovics Dániel,95,BSC,F,Bécs (AUT),2016.1.16
1.95,11,25,Tano Leonardo,99,A-Plast Ikarus BSE,F,Budapest (HUN),2016.1.3
1.95,11,25,Lapite Rajmund,96,FTC,F,Budapest (HUN),2016.2.06
1.95,-,25,Galambos Zsolt,94,FTC,F,Budapest (HUN),2016.2.2
1.95,-,25,Lapite Rajmund,96,FTC,F,Budapest (HUN),2016.2.2
1.94,13,30,Borgulya András,0,Albertirsai SE,CE,Budapest (HUN),2016.2.14
1.94,13,30,Agárdi Péter,98,BHSE,F,Budapest (HUN),2016.2.28
1.93,-,32,Horváth Koppány,0,MMAC,F,Budapest (HUN),2016.2.28
1.93,-,32,Tano Leonardo,99,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.28
1.93,15,32,Abdul Kevin,99,FTC,F,Budapest (HUN),2016.2.28
1.92,-,35,Horváth Koppány,0,MMAC,F,Bécs (AUT),2016.1.16
1.91,16,36,Eszes Dániel,99,Dunakeszi VSE,CE,Budapest (HUN),2016.2.14
1.9,17,37,Őry Tamás,96,Szekszárdi Sportközpont,F,Bonyhád (HUN),2016.1.27
1.9,17,37,Pető Szilveszter,95,Szolnoki MÁV-SE,F,Budapest (HUN),2016.1.3
1.9,17,37,Oláh Péter,99,UTE,F,Budapest (HUN),2016.1.3
1.9,-,37,Abdul Kevin,99,FTC,F,Budapest (HUN),2016.1.3
1.9,-,37,Abdul Kevin,99,FTC,F,Budapest (HUN),2016.2.06
1.9,17,37,Dudás Máté,97,BEAC,F,Budapest (HUN),2016.2.06
1.9,-,37,Pető Szilveszter,95,Szolnoki MÁV-SE,F,Budapest (HUN),2016.2.2
1.89,21,44,Legéndi Bendegúz,99,Albertirsai SE,F,Budapest (HUN),2016.2.28
1.86,22,45,Fedor Benjámin,98,Reménység Vác,CE,Budapest (HUN),2016.2.13
1.85,-,46,Oláh Péter,99,UTE,F,Nyíregyháza (HUN),2016.1.23
1.85,23,46,Papp Napoleon,81,KARC,F,Budapest (HUN),2016.1.3
1.85,-,46,Legéndi Bendegúz,99,Albertirsai SE,F,Budapest (HUN),2016.1.3
1.85,23,46,Tégi Benjámin,0,TSC-Geotech,F,Budapest (HUN),2016.1.3
1.85,23,46,Tóth Zsombor,98,A-Plast Ikarus BSE,F,Budapest (HUN),2016.1.3
1.85,23,46,Naszódi Benedek,97,KSI SE,F,Budapest (HUN),2016.1.3
1.85,23,46,Horváth László,92,KSI SE,F,Budapest (HUN),2016.1.3
1.85,23,46,László Szabolcs,98,ARAK,F,Budapest (HUN),2016.1.3
1.85,-,46,Borgulya András,0,Albertirsai SE,F,Budapest (HUN),2016.1.3
1.85,23,46,Ignácz Dániel,98,Szekszárdi Sportközpont,F,Banská Bystrica (SVK),2016.2.04
1.85,-,46,Legéndi Bendegúz,99,Albertirsai SE,CE,Budapest (HUN),2016.2.14
1.85,-,46,Oláh Péter,99,UTE,F,Budapest (HUN),2016.2.28
1.85,-,46,Borgulya András,0,Albertirsai SE,F,Budapest (HUN),2016.2.28
1.83,-,59,Tóth Zsombor,98,A-Plast Ikarus BSE,CE,Budapest (HUN),2016.2.13
1.83,30,59,Szabó Attila,84,BSC,CE,Budapest (HUN),2016.2.13
1.83,-,59,Naszódi Benedek,97,KSI SE,CE,Budapest (HUN),2016.2.13
1.83,30,59,Szász Bence,93,FTC,CE,Budapest (HUN),2016.2.13
1.83,30,59,Smelka Károly,1,FTC,CE1,Budapest (HUN),2016.3.06
1.82,33,64,Mercz Kevin,99,AC Bonyhád,CE,Budapest (HUN),2016.2.14
1.8,34,65,Csáfordi Gergő,98,VEDAC,F,Bonyhád (HUN),2016.1.27
1.8,-,65,Ignácz Dániel,98,Szekszárdi Sportközpont,F,Bonyhád (HUN),2016.1.27
1.8,34,65,Linkecs Patrik,98,Egri Sportiskola SE,F,Budapest (HUN),2016.1.3
1.8,-,65,Horváth Koppány,0,MMAC,F,Budapest (HUN),2016.1.3
1.8,-,65,Őry Tamás,96,Szekszárdi Sportközpont,F2,Banská Bystrica (SVK),2016.2.04
1.8,-,65,Horváth László,92,KSI SE,F,Budapest (HUN),2016.2.06
1.8,-,65,Mercz Kevin,99,AC Bonyhád,F,Budapest (HUN),2016.2.06
1.8,-,65,Horváth Koppány,0,MMAC,F,Budapest (HUN),2016.2.06
1.8,-,65,Csáfordi Gergő,98,VEDAC,F,Bonyhád (HUN),2016.2.1
1.8,-,65,Őry Tamás,96,Szekszárdi Sportközpont,CE,Budapest (HUN),2016.2.13
1.8,-,65,Ignácz Dániel,98,Szekszárdi Sportközpont,CE,Budapest (HUN),2016.2.13
1.8,-,65,Linkecs Patrik,98,Egri Sportiskola SE,CE,Budapest (HUN),2016.2.13
1.8,-,65,Tégi Benjámin,0,TSC-Geotech,F,Budapest (HUN),2016.2.28
1.8,-,65,Csáfordi Gergő,98,VEDAC,F,Budapest (HUN),2016.2.28
1.8,34,65,Gábris Dávid,99,KSI SE,F,Budapest (HUN),2016.2.28
1.8,-,65,Ignácz Dániel,98,Szekszárdi Sportközpont,F,Budapest (HUN),2016.2.28
1.77,-,81,Smelka Károly,1,FTC,F1,Budapest (HUN),2016.2.06
1.77,-,81,Smelka Károly,1,FTC,F2,Budapest (HUN),2016.2.06
1.76,-,83,Tégi Benjámin,0,TSC-Geotech,CE,Budapest (HUN),2016.2.14
1.76,37,83,Szenderffy Dániel,99,Dunakeszi VSE,CE,Budapest (HUN),2016.2.14
1.75,-,85,Smelka Károly,1,FTC,F,Budapest (HUN),2016.1.3
1.74,38,86,Kun-Szabó Balázs,89,Vasas,CE,Budapest (HUN),2016.2.13
1.74,38,86,Fischer Patrik,1,TSC-Geotech,CE1,Budapest (HUN),2016.3.06
1.73,40,88,Lovistyék Bálint,99,Dunakeszi VSE,CE,Budapest (HUN),2016.2.14
1.71,41,89,Hegedűs Mátyás,97,ARAK,CE,Budapest (HUN),2016.2.13
1.7,42,90,Halász Kristóf,2,DSC-SI,F,Nyíregyháza (HUN),2016.1.17
1.7,42,90,Iván Zsombor,1,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.17
1.7,42,90,Fekete Gergő,1,Szekszárdi Sportközpont,F,Bonyhád (HUN),2016.1.27
1.7,42,90,Angyal Balázs,99,Szekszárdi Sportközpont,F,Bonyhád (HUN),2016.1.27
1.7,42,90,Csókás Nikolasz,0,ARAK,F,Budapest (HUN),2016.2.28
1.7,-,90,Angyal Balázs,99,Szekszárdi Sportközpont,F,Budapest (HUN),2016.2.28
1.69,-,96,Halász Kristóf,2,DSC-SI,F1,Budapest (HUN),2016.2.06
1.69,-,96,Halász Kristóf,2,DSC-SI,F2,Budapest (HUN),2016.2.06
1.69,-,96,Iván Zsombor,1,Miskolci Sportiskola,F1,Budapest (HUN),2016.2.06
1.68,47,99,Osztrogonácz András,94,Reménység Vác,CE,Budapest (HUN),2016.2.13
1.68,47,99,Márton Ferenc,1,AC Bonyhád,CE1,Budapest (HUN),2016.3.06
1.67,-,101,Csókás Nikolasz,0,ARAK,CE,Budapest (HUN),2016.2.14
1.67,49,101,Martini Gergő,0,AC Bonyhád,CE,Budapest (HUN),2016.2.14
1.65,50,103,Szabó Máté,1,AC Bonyhád,F,Bonyhád (HUN),2016.1.13
1.65,50,103,Balogh Péter,1,AC Bonyhád,F,Bonyhád (HUN),2016.1.13
1.65,-,103,Márton Ferenc,1,AC Bonyhád,F,Bonyhád (HUN),2016.1.13
1.65,-,103,Martini Gergő,0,AC Bonyhád,F,Bonyhád (HUN),2016.1.13
1.65,50,103,Csóka Péter,0,DSC-SI,F,Nyíregyháza (HUN),2016.1.17
1.65,-,103,Iván Zsombor,1,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.23
1.65,-,103,Csóka Péter,0,DSC-SI,F,Nyíregyháza (HUN),2016.1.23
1.65,-,103,Márton Ferenc,1,AC Bonyhád,F,Bonyhád (HUN),2016.1.27
1.65,-,103,Csókás Nikolasz,0,ARAK,F,Bonyhád (HUN),2016.1.27
1.65,-,103,Márton Ferenc,1,AC Bonyhád,F1,Budapest (HUN),2016.2.06
1.65,-,103,Márton Ferenc,1,AC Bonyhád,F2,Budapest (HUN),2016.2.06
1.65,50,103,Török Gergely,2,Miskolci Sportiskola,F1,Budapest (HUN),2016.2.06
1.65,50,103,Tímár Gergely,1,ARAK,F1,Budapest (HUN),2016.2.06
1.65,-,103,Tímár Gergely,1,ARAK,F2,Budapest (HUN),2016.2.06
1.65,50,103,Németh Mátyás,1,Szekszárdi Sportközpont,F1,Budapest (HUN),2016.2.06
1.65,-,103,Németh Mátyás,1,Szekszárdi Sportközpont,F2,Budapest (HUN),2016.2.06
1.65,-,103,Márton Ferenc,1,AC Bonyhád,F,Bonyhád (HUN),2016.2.1
1.65,50,103,Petz Barnabás,97,Egri Sportiskola SE,CE,Budapest (HUN),2016.2.13
1.65,-,103,Tímár Gergely,1,ARAK,CE1,Budapest (HUN),2016.3.06
1.62,57,122,Varga Bercel,1,KSI SE,CE1,Budapest (HUN),2016.3.06
1.62,57,122,Debreczeni Károly,2,UTE,CE2,Budapest (HUN),2016.3.06
1.62,57,122,Huller Dániel,1,Dunakeszi VSE,CE2,Budapest (HUN),2016.3.06
1.62,57,122,Almási Olivér,2,Dunakeszi VSE,CE2,Budapest (HUN),2016.3.06
1.62,-,122,Németh Mátyás,1,Szekszárdi Sportközpont,CE1,Budapest (HUN),2016.3.06
1.61,61,127,Németh András,99,UTE,CE,Budapest (HUN),2016.2.14
1.61,61,127,Bencsik Ádám,99,MAFC,CE,Budapest (HUN),2016.2.14
1.6,-,129,Török Gergely,2,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.17
1.6,63,129,Iván Levente,0,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.17
1.6,-,129,Halász Kristóf,2,DSC-SI,F,Nyíregyháza (HUN),2016.1.23
1.6,63,129,Tóth Gergely,99,ARAK,F,Bonyhád (HUN),2016.1.27
1.6,-,129,Balogh Péter,1,AC Bonyhád,F,Bonyhád (HUN),2016.1.27
1.6,63,129,Pénzes Levente,0,KARC,F,Bonyhád (HUN),2016.1.27
1.6,-,129,Németh Mátyás,1,Szekszárdi Sportközpont,F,Bonyhád (HUN),2016.1.27
1.6,-,129,Balogh Péter,1,AC Bonyhád,F1,Budapest (HUN),2016.2.06
1.6,-,129,Balogh Péter,1,AC Bonyhád,F2,Budapest (HUN),2016.2.06
1.6,-,129,Fekete Gergő,1,Szekszárdi Sportközpont,F1,Budapest (HUN),2016.2.06
1.6,-,129,Fekete Gergő,1,Szekszárdi Sportközpont,F2,Budapest (HUN),2016.2.06
1.6,-,129,Balogh Péter,1,AC Bonyhád,F,Bonyhád (HUN),2016.2.1
1.6,63,129,Máté Dávid,0,AC Bonyhád,F,Bonyhád (HUN),2016.2.1
1.6,63,129,Fekete Kristóf,0,VEDAC,F,Budapest (HUN),2016.2.28
1.59,68,143,Kútsági Bálint,80,ELTE SE Sashegyi gepárdok,CE,Budapest (HUN),2016.2.13
1.56,69,144,Porkoláb Ákos,1,Szekszárdi Sportközpont,CE1,Budapest (HUN),2016.3.06
1.56,-,144,Fekete Gergő,1,Szekszárdi Sportközpont,CE1,Budapest (HUN),2016.3.06
1.56,69,144,Nagy Richárd,2,POSTÁS SE,CE1,Budapest (HUN),2016.3.06
1.55,-,147,Török Gergely,2,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.23
1.55,71,147,Matos Dániel,0,AC Bonyhád,F,Bonyhád (HUN),2016.1.27
1.55,-,147,Martini Gergő,0,AC Bonyhád,F,Bonyhád (HUN),2016.1.27
1.55,-,147,Varga Bercel,1,KSI SE,F1,Budapest (HUN),2016.2.06
1.55,-,147,Varga Bercel,1,KSI SE,F2,Budapest (HUN),2016.2.06
1.55,71,147,Kovács Gergely,1,UTE,F1,Budapest (HUN),2016.2.06
1.55,71,147,Hodossy-Takács Sámuel,2,DSC-SI,F1,Budapest (HUN),2016.2.06
1.55,71,147,Tóth Jonatán,1,Szolnoki SC-SI,F1,Budapest (HUN),2016.2.06
1.55,71,147,Varga Hunor,99,KSI SE,CE,Budapest (HUN),2016.2.14
1.54,76,156,Soos Levente,3,MATE - GEAC,CE1,Budapest (HUN),2016.3.06
1.53,77,157,Rittberger András,1,Szekszárdi Sportközpont,CE2,Budapest (HUN),2016.3.06
1.53,77,157,Fazekas Mátyás,1,AC Bonyhád,CE1,Budapest (HUN),2016.3.06
1.52,79,159,Majzik Bálint,0,MAFC,CE,Budapest (HUN),2016.2.14
1.52,-,159,Tóth Gergely,99,ARAK,CE,Budapest (HUN),2016.2.14
1.51,80,161,Schilli Péter,3,Szekszárdi Sportközpont,CE2,Budapest (HUN),2016.3.06
1.51,80,161,Bágyi Viktor,3,Albertirsai SE,CE1,Budapest (HUN),2016.3.06
1.5,-,163,Matos Dániel,0,AC Bonyhád,F,Bonyhád (HUN),2016.1.13
1.5,-,163,Hodossy-Takács Sámuel,2,DSC-SI,F,Nyíregyháza (HUN),2016.1.17
1.5,-,163,Hodossy-Takács Sámuel,2,DSC-SI,F,Nyíregyháza (HUN),2016.1.23
1.5,-,163,Almási Olivér,2,Dunakeszi VSE,F1,Budapest (HUN),2016.2.06
1.5,-,163,Matos Dániel,0,AC Bonyhád,F,Bonyhád (HUN),2016.2.1
1.5,82,163,Gerics Roland,1,TSC-Geotech,CE1,Budapest (HUN),2016.3.06
1.49,83,169,Bágyi Gábor,0,Albertirsai SE,CE,Budapest (HUN),2016.2.14
1.48,84,170,Géczy Ákos,3,Kazincbarcikai VSE,CE1,Budapest (HUN),2016.3.06
1.48,84,170,Kalmár Bence,3,Soproni AC,CE1,Budapest (HUN),2016.3.06
1.47,86,172,Pethő Gábor,2,MTK Budapest,CE2,Budapest (HUN),2016.3.06
1.47,86,172,Nemoda Balázs,2,UTE,CE2,Budapest (HUN),2016.3.06
1.47,86,172,Maróthy Péter,1,Csepeli DAC,CE2,Budapest (HUN),2016.3.06
1.45,89,175,Fülöp Levente,3,Albertirsai SE,F,Budapest (HUN),2016.2.06
1.45,-,175,Bágyi Viktor,3,Albertirsai SE,F,Budapest (HUN),2016.2.06
1.44,90,177,Steiner Ákos,1,AC Bonyhád,CE1,Budapest (HUN),2016.3.06
1.43,91,178,Polk Bálint,0,MAFC,CE,Budapest (HUN),2016.2.14
1.42,92,179,Szőke Kristóf,3,UTE,CE2,Budapest (HUN),2016.3.06
1.42,92,179,Bíró Máté,3,Egri Sportiskola SE,CE1,Budapest (HUN),2016.3.06
1.41,94,181,Slahutka Dániel,1,Dunakeszi VSE,CE2,Budapest (HUN),2016.3.06
1.41,94,181,Dékány Botond,2,Szekszárdi Sportközpont,CE2,Budapest (HUN),2016.3.06
1.4,96,183,Smelka Dániel,2,FTC,F1,Budapest (HUN),2016.2.06
1.4,96,183,Nyári Milán,3,KARC,F,Budapest (HUN),2016.2.06
2.19,1,1,Bakosi Péter,93,NYSC,F,Budapest (HUN),2017.2.18
2.16,-,2,Bakosi Péter,93,NYSC,F,Budapest (HUN),2017.1.28
2.15,-,3,Bakosi Péter,93,NYSC,F,Nyíregyháza (HUN),2017.1.22
2.1,-,4,Bakosi Péter,93,NYSC,Q,Beograd (SRB),2017.3.04
2.08,2,5,Agárdi Péter,98,BHSE,F,Budapest (HUN),2017.2.18
2.06,3,6,Jankovics Dániel,95,BSC,F,Tatabánya (HUN),2017.2.22
2.06,-,6,Agárdi Péter,98,BHSE,F,Budapest (HUN),2017.2.26
