Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2.26,1,1,Bakosi Péter,93,NYSC,F,Miskolc (HUN),2016.7.01
2.23,-,2,Bakosi Péter,93,NYSC,F,Székesfehérvár (HUN),2016.7.18
2.22,-,3,Bakosi Péter,93,NYSC,F,Szombathely (HUN),2016.6.25
2.21,-,4,Bakosi Péter,93,NYSC,F,Budapest (HUN),2016.6.19
2.2,-,5,Bakosi Péter,93,NYSC,F,Debrecen (HUN),2016.7.1
2.18,-,6,Bakosi Péter,93,NYSC,F,Bühl (GER),2016.6.24
2.16,-,7,Bakosi Péter,93,NYSC,F1,Eppingen (GER),2016.5.26
2.14,2,8,Horváth Csaba,97,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2016.7.18
2.14,2,8,Agárdi Péter,98,BHSE,F,Székesfehérvár (HUN),2016.7.18
2.12,-,10,Bakosi Péter,93,NYSC,F,Székesfehérvár (HUN),2016.7.3
2.11,-,11,Bakosi Péter,93,NYSC,F,Budapest (HUN),2016.9.04
2.1,4,12,Pázmándi Dominik,0,Szolnoki SC-SI,F,Székesfehérvár (HUN),2016.5.28
2.1,4,12,Fajoyomi Viktor,91,KARC,CE,Kladno (CZE),2016.6.1
2.1,-,12,Horváth Csaba,97,A-Plast Ikarus BSE,F,Genève (SUI),2016.6.11
2.1,-,12,Horváth Csaba,97,A-Plast Ikarus BSE,F,Szombathely (HUN),2016.6.25
2.1,-,12,Bakosi Péter,93,NYSC,F,Székesfehérvár (HUN),2016.9.1
2.09,-,17,Horváth Csaba,97,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.7.1
2.08,-,18,Horváth Csaba,97,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.5.14
2.08,-,18,Bakosi Péter,93,NYSC,F,Debrecen (HUN),2016.5.14
2.08,-,18,Pázmándi Dominik,0,Szolnoki SC-SI,Q2,Tbilisi (GEO),2016.7.14
2.08,6,18,Jankovics Dániel,95,BSC,F,Székesfehérvár (HUN),2016.7.3
2.07,-,22,Horváth Csaba,97,A-Plast Ikarus BSE,F,Miskolc (HUN),2016.5.29
2.07,-,22,Bakosi Péter,93,NYSC,F,Miskolc (HUN),2016.5.29
2.07,-,22,Horváth Csaba,97,A-Plast Ikarus BSE,F,Miskolc (HUN),2016.7.01
2.07,-,22,Pázmándi Dominik,0,Szolnoki SC-SI,F,Tbilisi (GEO),2016.7.16
2.06,-,26,Horváth Csaba,97,A-Plast Ikarus BSE,F,Namur (BEL),2016.5.25
2.06,-,26,Agárdi Péter,98,BHSE,F,Debrecen (HUN),2016.6.04
2.06,-,26,Horváth Csaba,97,A-Plast Ikarus BSE,F,Maribor (SLO),2016.7.15
2.06,-,26,Agárdi Péter,98,BHSE,F,Budapest (HUN),2016.7.22
2.05,-,30,Pázmándi Dominik,0,Szolnoki SC-SI,F,Székesfehérvár (HUN),2016.5.08
2.05,-,30,Horváth Csaba,97,A-Plast Ikarus BSE,F,Budapest (HUN),2016.6.19
2.05,-,30,Pázmándi Dominik,0,Szolnoki SC-SI,F,Miskolc (HUN),2016.7.02
2.05,7,30,Abdul Kevin,99,FTC,F,Miskolc (HUN),2016.7.02
2.05,-,30,Horváth Csaba,97,A-Plast Ikarus BSE,F,Budapest (HUN),2016.9.04
2.05,-,30,Horváth Csaba,97,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2016.9.1
2.04,-,36,Agárdi Péter,98,BHSE,F,Budapest (HUN),2016.5.21
2.04,-,36,Jankovics Dániel,95,BSC,F,Budapest (HUN),2016.5.21
2.04,-,36,Agárdi Péter,98,BHSE,F,Székesfehérvár (HUN),2016.5.28
2.04,8,36,Galambos Zsolt,94,FTC,F,Miskolc (HUN),2016.5.29
2.04,-,36,Jankovics Dániel,95,BSC,F,Miskolc (HUN),2016.5.29
2.04,-,36,Abdul Kevin,99,FTC,F,Brno (CZE),2016.6.11
2.04,-,36,Horváth Csaba,97,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2016.7.3
2.04,-,36,Agárdi Péter,98,BHSE,F,Székesfehérvár (HUN),2016.7.3
2.03,-,44,Fajoyomi Viktor,91,KARC,F,Barcelona (ESP),2016.6.01
2.03,-,44,Agárdi Péter,98,BHSE,F,Miskolc (HUN),2016.7.01
2.02,9,46,Naszódi Benedek,97,KSI SE,F,Székesfehérvár (HUN),2016.5.28
2.02,-,46,Abdul Kevin,99,FTC,F,Székesfehérvár (HUN),2016.5.28
2.02,-,46,Jankovics Dániel,95,BSC,F,Debrecen (HUN),2016.6.04
2.02,-,46,Jankovics Dániel,95,BSC,F,Budapest (HUN),2016.6.19
2.02,9,46,Zelena Zalán,95,Miskolci Sportiskola,F,Budapest (HUN),2016.6.19
2.02,-,46,Jankovics Dániel,95,BSC,F,Szombathely (HUN),2016.6.25
2.02,-,46,Zelena Zalán,95,Miskolci Sportiskola,F,Budapest (HUN),2016.7.22
2.02,-,46,Galambos Zsolt,94,FTC,CE,Székesfehérvár (HUN),2016.9.17
2.02,-,46,Abdul Kevin,99,FTC,CE,Székesfehérvár (HUN),2016.9.18
2.01,-,55,Pázmándi Dominik,0,Szolnoki SC-SI,F,Budapest (HUN),2016.5.21
2.01,-,55,Zelena Zalán,95,Miskolci Sportiskola,F,Miskolc (HUN),2016.5.29
2.0,11,57,Lapite Rajmund,96,FTC,F,Székesfehérvár (HUN),2016.5.28
2.0,-,57,Pázmándi Dominik,0,Szolnoki SC-SI,F,Brno (CZE),2016.6.11
2.0,-,57,Abdul Kevin,99,FTC,Q1,Tbilisi (GEO),2016.7.14
2.0,-,57,Jankovics Dániel,95,BSC,F,Maribor (SLO),2016.7.15
2.0,-,57,Zelena Zalán,95,Miskolci Sportiskola,F,Székesfehérvár (HUN),2016.7.3
1.98,12,62,Vojtekovszki Márton,96,,F,Miskolc (HUN),2016.5.29
1.98,12,62,Erdélyi Zoltán,95,Szekszárdi Sportközpont,F,Szombathely (HUN),2016.6.25
1.98,12,62,Pető Szilveszter,95,Szolnoki MÁV-SE,F,Szombathely (HUN),2016.6.25
1.98,-,62,Agárdi Péter,98,BHSE,F,Szombathely (HUN),2016.6.25
1.98,-,62,Galambos Zsolt,94,FTC,F,Szombathely (HUN),2016.6.25
1.98,-,62,Zelena Zalán,95,Miskolci Sportiskola,F,Szombathely (HUN),2016.6.25
1.98,-,62,Pető Szilveszter,95,Szolnoki MÁV-SE,F,Budapest (HUN),2016.7.22
1.97,-,69,Galambos Zsolt,94,FTC,CE,Tiszaújváros (HUN),2016.4.3
1.96,15,70,Horváth Koppány,0,MMAC,F,Budapest (HUN),2016.6.19
1.96,-,70,Naszódi Benedek,97,KSI SE,CE,Székesfehérvár (HUN),2016.9.17
1.95,-,72,Abdul Kevin,99,FTC,F,Székesfehérvár (HUN),2016.5.08
1.95,-,72,Pető Szilveszter,95,Szolnoki MÁV-SE,F,Debrecen (HUN),2016.5.14
1.95,-,72,Agárdi Péter,98,BHSE,F,Debrecen (HUN),2016.5.14
1.95,-,72,Galambos Zsolt,94,FTC,F,Debrecen (HUN),2016.5.14
1.95,-,72,Abdul Kevin,99,FTC,F,Debrecen (HUN),2016.5.14
1.95,-,72,Lapite Rajmund,96,FTC,F,Debrecen (HUN),2016.5.14
1.95,-,72,Fajoyomi Viktor,91,KARC,F,Debrecen (HUN),2016.5.14
1.95,16,72,Marján Márton,98,,F,Székesfehérvár (HUN),2016.5.28
1.95,16,72,Szeles Bálint,98,Egri Sportiskola SE,F,Székesfehérvár (HUN),2016.5.28
1.95,-,72,Pető Szilveszter,95,Szolnoki MÁV-SE,F,Székesfehérvár (HUN),2016.7.3
1.95,-,72,Pázmándi Dominik,0,Szolnoki SC-SI,F,Székesfehérvár (HUN),2016.7.3
1.95,-,72,Lapite Rajmund,96,FTC,F,Székesfehérvár (HUN),2016.7.3
1.95,-,72,Jankovics Dániel,95,BSC,F,Budapest (HUN),2016.9.04
1.95,-,72,Zelena Zalán,95,Miskolci Sportiskola,F,Budapest (HUN),2016.9.04
1.95,-,72,Fajoyomi Viktor,91,KARC,F,Székesfehérvár (HUN),2016.9.1
1.94,-,87,Pető Szilveszter,95,Szolnoki MÁV-SE,F,Veszprém (HUN),2016.6.12
1.94,-,87,Lapite Rajmund,96,FTC,F,Szombathely (HUN),2016.6.25
1.94,-,87,Lapite Rajmund,96,FTC,F,Budapest (HUN),2016.7.22
1.93,18,90,Borgulya András,0,Albertirsai SE,F,Uherské Hradiste (CZE),2016.6.04
1.92,-,91,Lapite Rajmund,96,FTC,F,Budapest (HUN),2016.5.21
1.92,-,91,Borgulya András,0,Albertirsai SE,F,Székesfehérvár (HUN),2016.5.28
1.92,19,91,Nagy Roland,98,Egri Sportiskola SE,F,Debrecen (HUN),2016.6.04
1.91,20,94,Szabó László,91,FTC,CE,Tiszaújváros (HUN),2016.4.3
1.91,20,94,Tóth Zsombor,98,A-Plast Ikarus BSE,CE,Miskolc (HUN),2016.5.28
1.91,-,94,Jankovics Dániel,95,BSC,F,Veszprém (HUN),2016.6.12
1.9,-,97,Erdélyi Zoltán,95,Szekszárdi Sportközpont,F,Szekszárd (HUN),2016.5.14
1.9,22,97,Papp Napoleon,81,KARC,F,Debrecen (HUN),2016.5.14
1.9,-,97,Jankovics Dániel,95,BSC,F,Szekszárd (HUN),2016.5.14
1.9,-,97,Borgulya András,0,Albertirsai SE,F,Albertirsa (HUN),2016.5.14
1.9,-,97,Pető Szilveszter,95,Szolnoki MÁV-SE,F,Budapest (HUN),2016.6.19
1.9,22,97,Legéndi Bendegúz,99,Albertirsai SE,F,Budapest (HUN),2016.6.19
1.9,22,97,Horváth László,92,KSI SE,F,Budapest (HUN),2016.6.19
1.9,-,97,Abdul Kevin,99,FTC,F,Budapest (HUN),2016.6.19
1.9,22,97,Gábris Dávid,99,KSI SE,F,Miskolc (HUN),2016.7.02
1.9,-,97,Legéndi Bendegúz,99,Albertirsai SE,F,Székesfehérvár (HUN),2016.7.18
1.9,-,97,Nagy Roland,98,Egri Sportiskola SE,F,Székesfehérvár (HUN),2016.7.18
1.9,22,97,Deutsch Domonkos,98,MTK Budapest,F,Székesfehérvár (HUN),2016.7.18
1.9,-,97,Borgulya András,0,Albertirsai SE,F,Székesfehérvár (HUN),2016.7.18
1.9,-,97,Abdul Kevin,99,FTC,F,Budapest (HUN),2016.8.19
1.9,22,97,Oláh Péter,99,UTE,F,Budapest (HUN),2016.9.04
1.9,-,97,Deutsch Domonkos,98,MTK Budapest,F,Székesfehérvár (HUN),2016.9.1
1.9,22,97,Kótai Gábor,90,Haladás VSE,F,Székesfehérvár (HUN),2016.9.1
1.9,22,97,Galambos Tibor,91,FTC,CE,Székesfehérvár (HUN),2016.9.17
1.9,-,97,Szeles Bálint,98,Egri Sportiskola SE,CE,Székesfehérvár (HUN),2016.9.17
1.89,-,116,Papp Napoleon,81,KARC,F,Budapest (HUN),2016.5.21
1.89,-,116,Borgulya András,0,Albertirsai SE,F,Budapest (HUN),2016.5.21
1.88,30,118,Linkecs Patrik,98,Egri Sportiskola SE,F,Tiszaújváros (HUN),2016.4.3
1.88,30,118,Benedek Dávid,98,,F,Székesfehérvár (HUN),2016.5.28
1.88,-,118,Gábris Dávid,99,KSI SE,F,Székesfehérvár (HUN),2016.5.28
1.88,-,118,Nagy Roland,98,Egri Sportiskola SE,F,Székesfehérvár (HUN),2016.5.28
1.88,-,118,Naszódi Benedek,97,KSI SE,F,Veszprém (HUN),2016.6.12
1.88,30,118,Smelka Károly,1,FTC,F,Debrecen (HUN),2016.7.1
1.87,-,124,Borgulya András,0,Albertirsai SE,F,Budapest (HUN),2016.6.19
1.86,-,125,Horváth László,92,KSI SE,F,Budapest (HUN),2016.5.21
1.86,-,125,Szabó László,91,FTC,F,Budapest (HUN),2016.5.21
1.86,33,125,Berg Szabolcs,95,AC Bonyhád,F,Bonyhád (HUN),2016.10.11
1.85,34,128,Bartalos Dávid,95,Haladás VSE,F,Zalaegerszeg (HUN),2016.4.23
1.85,-,128,Legéndi Bendegúz,99,Albertirsai SE,F,Tiszaújváros (HUN),2016.4.3
1.85,-,128,Horváth László,92,KSI SE,CE,Tiszaújváros (HUN),2016.4.3
1.85,-,128,Szeles Bálint,98,Egri Sportiskola SE,F,Tiszaújváros (HUN),2016.4.3
1.85,-,128,Borgulya András,0,Albertirsai SE,F,Tiszaújváros (HUN),2016.4.3
1.85,-,128,Legéndi Bendegúz,99,Albertirsai SE,F,Székesfehérvár (HUN),2016.5.08
1.85,-,128,Oláh Péter,99,UTE,F,Székesfehérvár (HUN),2016.5.08
1.85,-,128,Borgulya András,0,Albertirsai SE,F,Székesfehérvár (HUN),2016.5.08
1.85,-,128,Oláh Péter,99,UTE,F,Szekszárd (HUN),2016.5.14
1.85,-,128,Linkecs Patrik,98,Egri Sportiskola SE,F,Debrecen (HUN),2016.5.14
1.85,-,128,Deutsch Domonkos,98,MTK Budapest,F,Szekszárd (HUN),2016.5.14
1.85,-,128,Smelka Károly,1,FTC,F,Székesfehérvár (HUN),2016.5.3
1.85,34,128,Szakács Ede,96,A-Plast Ikarus BSE,F,Budapest (HUN),2016.6.19
1.85,-,128,Deutsch Domonkos,98,MTK Budapest,F,Budapest (HUN),2016.6.19
1.85,-,128,Szakács Ede,96,A-Plast Ikarus BSE,F,Szombathely (HUN),2016.6.25
1.85,34,128,Székely Péter,98,Vasas,F,Szombathely (HUN),2016.6.25
1.85,-,128,Nagy Roland,98,Egri Sportiskola SE,F,Szombathely (HUN),2016.6.25
1.85,-,128,Deutsch Domonkos,98,MTK Budapest,F,Szombathely (HUN),2016.6.25
1.85,-,128,Horváth Koppány,0,MMAC,F,Miskolc (HUN),2016.7.02
1.85,-,128,Borgulya András,0,Albertirsai SE,F,Miskolc (HUN),2016.7.02
1.85,-,128,Oláh Péter,99,UTE,F,Budapest (HUN),2016.7.22
1.85,-,128,Oláh Péter,99,UTE,F,Budapest (HUN),2016.8.19
1.85,-,128,Lapite Rajmund,96,FTC,F,Budapest (HUN),2016.9.04
1.85,-,128,Horváth László,92,KSI SE,F,Székesfehérvár (HUN),2016.9.1
1.85,-,128,Bartalos Dávid,95,Haladás VSE,F,Székesfehérvár (HUN),2016.9.1
1.84,37,153,Őry Tamás,96,Szekszárdi Sportközpont,F,Székesfehérvár (HUN),2016.5.28
1.84,-,153,Legéndi Bendegúz,99,Albertirsai SE,F,Székesfehérvár (HUN),2016.5.28
1.84,37,153,Tégi Benjámin,0,TSC-Geotech,F,Székesfehérvár (HUN),2016.5.28
1.84,-,153,Székely Péter,98,Vasas,F,Székesfehérvár (HUN),2016.5.28
1.84,37,153,Bárdos Balázs,0,,F,Székesfehérvár (HUN),2016.5.28
1.84,-,153,Smelka Károly,1,FTC,F,Székesfehérvár (HUN),2016.9.11
1.84,-,153,Nagy Roland,98,Egri Sportiskola SE,CE,Székesfehérvár (HUN),2016.9.17
1.84,37,153,Szász Bence,93,FTC,CE,Székesfehérvár (HUN),2016.9.17
1.84,37,153,Kriszt Botond,96,MATE - GEAC,CE,Székesfehérvár (HUN),2016.9.17
1.84,-,153,Borgulya András,0,Albertirsai SE,CE,Székesfehérvár (HUN),2016.9.18
1.83,-,163,Legéndi Bendegúz,99,Albertirsai SE,F,Budapest (HUN),2016.5.21
1.83,-,163,Smelka Károly,1,FTC,F,Trnava (SVK),2016.9.24
1.82,-,165,Tóth Zsombor,98,A-Plast Ikarus BSE,CE,Tiszaújváros (HUN),2016.4.3
1.82,-,165,Nagy Roland,98,Egri Sportiskola SE,F,Tiszaújváros (HUN),2016.4.3
1.82,-,165,Linkecs Patrik,98,Egri Sportiskola SE,F,Debrecen (HUN),2016.6.04
1.82,-,165,Smelka Károly,1,FTC,CE,Székesfehérvár (HUN),2016.9.18
1.81,42,169,Székács Máté,98,Favorit AC,F,Bonyhád (HUN),2016.5.19
1.81,-,169,Tégi Benjámin,0,TSC-Geotech,F,Budapest (HUN),2016.6.19
1.81,-,169,Oláh Péter,99,UTE,F,Budapest (HUN),2016.6.19
1.81,-,169,Tóth Zsombor,98,A-Plast Ikarus BSE,CE,Székesfehérvár (HUN),2016.9.17
1.81,-,169,Szabó László,91,FTC,CE,Székesfehérvár (HUN),2016.9.17
1.81,-,169,Legéndi Bendegúz,99,Albertirsai SE,CE,Székesfehérvár (HUN),2016.9.18
1.81,42,169,Mercz Kevin,99,AC Bonyhád,CE,Székesfehérvár (HUN),2016.9.18
1.81,42,169,Láng Gergő,0,Albertirsai SE,CE,Székesfehérvár (HUN),2016.9.18
1.8,-,177,Smelka Károly,1,FTC,F1,Székesfehérvár (HUN),2016.5.08
1.8,-,177,Legéndi Bendegúz,99,Albertirsai SE,F,Albertirsa (HUN),2016.5.14
1.8,45,177,Kárpáti Bence,99,,F,Székesfehérvár (HUN),2016.5.28
1.8,45,177,Abordán Péter,99,,F,Székesfehérvár (HUN),2016.5.28
1.8,45,177,Ignácz Dániel,98,Szekszárdi Sportközpont,F,Székesfehérvár (HUN),2016.5.28
1.8,-,177,Linkecs Patrik,98,Egri Sportiskola SE,F,Székesfehérvár (HUN),2016.5.28
1.8,45,177,Varga Péter,99,NYSC,F,Székesfehérvár (HUN),2016.5.28
1.8,45,177,Simonváros Zsombor,97,MATE - GEAC,F,Székesfehérvár (HUN),2016.5.28
1.8,-,177,Oláh Péter,99,UTE,F,Debrecen (HUN),2016.6.04
1.8,45,177,Márton Ferenc,1,AC Bonyhád,F,Szekszárd (HUN),2016.6.22
1.8,45,177,Csáfordi Gergő,98,VEDAC,F,Veszprém (HUN),2016.6.22
1.8,-,177,Csáfordi Gergő,98,VEDAC,F,Szombathely (HUN),2016.6.25
1.8,45,177,Kátai-Benedek Szabolcs,95,BHSE,F,Szombathely (HUN),2016.6.25
1.8,-,177,Linkecs Patrik,98,Egri Sportiskola SE,F,Szombathely (HUN),2016.6.25
1.8,-,177,Legéndi Bendegúz,99,Albertirsai SE,F,Miskolc (HUN),2016.7.02
1.8,-,177,Oláh Péter,99,UTE,F,Miskolc (HUN),2016.7.02
1.8,45,177,Török Gergely,2,Miskolci Sportiskola,F,Debrecen (HUN),2016.7.1
1.8,-,177,Linkecs Patrik,98,Egri Sportiskola SE,F,Székesfehérvár (HUN),2016.7.18
1.8,-,177,Szakács Ede,96,A-Plast Ikarus BSE,F,Budapest (HUN),2016.7.22
1.8,-,177,Kátai-Benedek Szabolcs,95,BHSE,F,Budapest (HUN),2016.7.22
1.8,-,177,Linkecs Patrik,98,Egri Sportiskola SE,F,Budapest (HUN),2016.8.19
1.8,-,177,Nagy Roland,98,Egri Sportiskola SE,F,Budapest (HUN),2016.8.19
