Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2:16:53,1,1,Józsa Gábor,83.0,MAC,F,Hamburg (GER),2016.4.17
2:21:08,2,2,Minczér Albert,86.0,VEDAC,F,Rotterdam (NED),2016.4.1
2:22:39,-,3,Józsa Gábor,83.0,MAC,F,Budapest (HUN),2016.10.09
2:23:07,3,4,Jenkei Péter,92.0,Vasas,F,Hamburg (GER),2016.4.17
2:23:22,-,5,Józsa Gábor,83.0,MAC,F,Rio de Janeiro (BRA),2016.8.21
2:23:26,4,6,Kovács Tamás,83.0,VEDAC,F,Budapest (HUN),2016.10.09
2:23:52,-,7,Jenkei Péter,92.0,Vasas,F,Budapest (HUN),2016.10.09
2:24:27,5,8,Nagy Tamás,84.0,Építők AC Kaposvár,F,Kolozsvár (ROU),2016.4.1
2:25:00,-,9,Kovács Tamás,83.0,VEDAC,F,Reggio Emilia (ITA),2016.12.11
2:28:03,6,10,Csere Gáspár,91.0,BEAC,F,Rio de Janeiro (BRA),2016.8.21
2:29:19,7,11,Németh Gábor,84.0,ELTE SE Sashegyi gepárdok,F,Reggio Emilia (ITA),2016.12.11
2:32:42,8,12,Muhari Gábor,77.0,,F,Keszthely (HUN),2016.5.15
2:32:51,-,13,Nagy Tamás,84.0,Építők AC Kaposvár,F,Belfast (GBR),2016.5.02
2:33:18,9,14,Szabó Gábor,76.0,ELTE SE Sashegyi gepárdok,F,Valencia (ESP),2016.11.2
2:33:32,10,15,Fonyó Sándor,80.0,VEDAC,F,Reggio Emilia (ITA),2016.12.11
2:33:57,-,16,Kovács Tamás,83.0,VEDAC,F,Stockholm (SWE),2016.6.05
2:34:01,-,17,Szabó Gábor,76.0,ELTE SE Sashegyi gepárdok,F,Budapest (HUN),2016.10.09
2:34:11,11,18,Otman Nebil,86.0,DSC-SI,F,Rajec (SVK),2016.8.13
2:34:20,-,19,Nagy Tamás,84.0,Építők AC Kaposvár,F,Rajec (SVK),2016.8.13
2:35:07,12,20,Balázs Levente,85.0,Budaörsi DSE,F,Budapest (HUN),2016.10.09
2:35:51,13,21,Beda Szabolcs,77.0,ELTE SE Sashegyi gepárdok,F,Budapest (HUN),2016.10.09
2:36:05,-,22,Otman Nebil,86.0,DSC-SI,F,Rotterdam (NED),2016.4.1
2:36:19,-,23,Nagy Tamás,84.0,Építők AC Kaposvár,F,Beograd (SRB),2016.4.16
2:37:32,14,24,Steib Péter,80.0,TFSE,F,Rimini (ITA),2016.4.17
2:37:32,-,24,Muhari Gábor,77.0,SZUFLA,F,Budapest (HUN),2016.10.09
2:37:56,15,26,Csontos Imre,92.0,BEAC,F,Budapest (HUN),2016.10.09
2:39:36,16,27,Petsuk Zoltán,82.0,,F,Vác (HUN),2016.3.2
2:39:49,-,28,Steib Péter,80.0,TFSE,F,Budapest (HUN),2016.10.09
2:40:02,17,29,Burucs Ferenc,86.0,ELTE SE Sashegyi gepárdok,F,Valencia (ESP),2016.11.2
2:40:02,-,29,Beda Szabolcs,77.0,ELTE SE Sashegyi gepárdok,F,Valencia (ESP),2016.11.2
2:42:52,18,31,Boroznaki Lajos,84.0,ELTE SE Sashegyi gepárdok,F,Budapest (HUN),2016.10.09
2:43:12,19,32,Urbán Zsolt,74.0,,F,Budapest (HUN),2016.10.09
2:43:25,20,33,Zabari János,68.0,TFSE,F,Budapest (HUN),2016.10.09
2:44:11,21,34,Arnoth József,76.0,,F,Berlin (GER),2016.9.25
2:44:55,22,35,Módos László,80.0,Szekszárdi Sportközpont,F,Bécs (AUT),2016.4.1
