Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
30.63,1,1,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2018.4.21
29.0,2,2,Hudi Ákos,91,Dobó SE,F1,Szombathely (HUN),2018.4.21
26.4,3,3,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2018.4.21
25.08,4,4,Varga Balázs,98,Dobó SE,F1,Szombathely (HUN),2018.4.21
29.78,1,1,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2019.2.16
29.14,-,2,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2019.3.23
28.37,-,3,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2019.4.2
28.09,2,4,Hudi Ákos,91,Dobó SE,F1,Szombathely (HUN),2019.4.2
28.03,-,5,Hudi Ákos,91,Dobó SE,F1,Szombathely (HUN),2019.3.23
27.24,-,6,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2019.1.12
26.92,-,7,Hudi Ákos,91,Dobó SE,F1,Szombathely (HUN),2019.1.12
26.0,3,8,Varga Balázs,98,Dobó SE,F1,Szombathely (HUN),2019.2.16
25.94,4,9,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2019.4.2
24.62,-,10,Varga Balázs,98,Dobó SE,F1,Szombathely (HUN),2019.3.23
24.51,-,11,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2019.1.12
24.47,-,12,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2019.3.23
23.36,-,13,Varga Balázs,98,Dobó SE,F1,Szombathely (HUN),2019.1.12
23.14,5,14,Varga Donát,0,Dobó SE,F1,Szombathely (HUN),2019.1.12
22.92,6,15,Doma Benedek,1,Dobó SE,F1,Szombathely (HUN),2019.1.12
31.97,1,1,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2020.6.06
31.91,-,2,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2020.5.23
31.12,-,3,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2020.3.21
29.82,-,4,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2020.2.22
28.41,-,5,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2020.1.18
28.11,2,6,Varga Balázs,98,Dobó SE,F1,Szombathely (HUN),2020.3.21
27.98,3,7,Pars Krisztián,82,Dobó SE,F1,Szombathely (HUN),2020.2.22
27.66,4,8,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2020.6.06
27.25,5,9,Varga Donát,0,Dobó SE,F1,Szombathely (HUN),2020.6.06
27.18,-,10,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2020.5.23
26.86,-,11,Varga Balázs,98,Dobó SE,F1,Szombathely (HUN),2020.2.22
26.78,-,12,Varga Donát,0,Dobó SE,F1,Szombathely (HUN),2020.5.23
26.67,-,13,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2020.3.21
26.62,-,14,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2020.2.22
26.13,-,15,Varga Balázs,98,Dobó SE,F1,Szombathely (HUN),2020.1.18
25.18,-,16,Varga Donát,0,Dobó SE,F1,Szombathely (HUN),2020.3.21
25.09,6,17,Doma Benedek,1,Dobó SE,F1,Szombathely (HUN),2020.1.18
24.05,-,18,Varga Donát,0,Dobó SE,F1,Szombathely (HUN),2020.2.22
23.92,-,19,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2020.1.18
23.76,-,20,Varga Donát,0,Dobó SE,F1,Szombathely (HUN),2020.1.18
21.65,7,21,Katavics Balázs,2,Dobó SE,F1,Szombathely (HUN),2020.1.18
28.76,1,1,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2021.5.01
26.45,2,2,Varga Donát,0,Dobó SE,F1,Szombathely (HUN),2021.5.01
26.3,-,3,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2021.1.16
25.55,-,4,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2021.2.2
25.37,3,5,Varga Balázs,98,Dobó SE,F1,Szombathely (HUN),2021.1.16
24.59,-,6,Varga Donát,0,Dobó SE,F1,Szombathely (HUN),2021.2.2
24.14,4,7,Katavics Balázs,2,Dobó SE,F1,Szombathely (HUN),2021.5.01
23.2,-,8,Katavics Balázs,2,Dobó SE,F1,Szombathely (HUN),2021.2.2
23.16,-,9,Katavics Balázs,2,Dobó SE,F1,Szombathely (HUN),2021.4.17
22.2,-,10,Katavics Balázs,2,Dobó SE,F1,Szombathely (HUN),2021.1.16
18.96,5,11,Viszkeleti Vencel,3,Dobó SE,F1,Szombathely (HUN),2021.2.2
30.9,1,1,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2022.4.23
30.53,-,2,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2022.5.28
30.19,-,3,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2022.2.26
28.17,-,4,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2022.1.15
27.76,2,5,Varga Donát,0,Dobó SE,F1,Szombathely (HUN),2022.5.28
27.55,3,6,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2022.4.23
26.78,-,7,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2022.2.26
