Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
22.24,1,1,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2019.3.23
21.03,2,2,Hudi Ákos,91,Dobó SE,F1,Szombathely (HUN),2019.4.2
20.94,-,3,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2019.2.16
20.38,-,4,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2019.1.12
20.26,3,5,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2019.4.2
20.14,-,6,Hudi Ákos,91,Dobó SE,F1,Szombathely (HUN),2019.3.23
19.7,4,7,Varga Balázs,98,Dobó SE,F1,Szombathely (HUN),2019.2.16
19.52,-,8,Varga Balázs,98,Dobó SE,F1,Szombathely (HUN),2019.3.23
19.06,-,9,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2019.3.23
18.98,-,10,Hudi Ákos,91,Dobó SE,F1,Szombathely (HUN),2019.1.12
18.08,-,11,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2019.1.12
17.69,-,12,Varga Balázs,98,Dobó SE,F1,Szombathely (HUN),2019.1.12
22.23,1,1,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2020.2.22
22.22,-,2,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2020.1.18
19.48,2,3,Varga Balázs,98,Dobó SE,F1,Szombathely (HUN),2020.1.18
19.48,2,3,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2020.1.18
19.22,-,5,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2020.2.22
19.19,-,6,Varga Balázs,98,Dobó SE,F1,Szombathely (HUN),2020.2.22
18.49,4,7,Varga Donát,0,Dobó SE,F1,Szombathely (HUN),2020.2.22
18.03,-,8,Varga Donát,0,Dobó SE,F1,Szombathely (HUN),2020.1.18
19.02,1,1,Varga Donát,0,Dobó SE,F1,Szombathely (HUN),2021.2.2
18.78,2,2,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2021.1.16
18.69,3,3,Varga Balázs,98,Dobó SE,F1,Szombathely (HUN),2021.1.16
23.1,1,1,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2022.5.28
22.15,-,2,Halász Bence,97,Dobó SE,F1,Szombathely (HUN),2022.1.15
20.23,1,1,Rába Dániel,98,Dobó SE,F1,Szombathely (HUN),2023.1.14
