Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
5.0,1,1,Horváth Márton,95,BHSE,F,Budapest (HUN),2016.1.3
5.0,-,1,Horváth Márton,95,BHSE,F,Budapest (HUN),2016.2.06
4.9,-,3,Horváth Márton,95,BHSE,F,Budapest (HUN),2016.2.13
4.8,2,4,Kéri Tamás,93,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.06
4.8,-,4,Kéri Tamás,93,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.21
4.75,-,6,Kéri Tamás,93,A-Plast Ikarus BSE,F,Kuldiga (LAT),2016.1.16
4.7,-,7,Kéri Tamás,93,A-Plast Ikarus BSE,F,Budapest (HUN),2016.1.3
4.7,3,7,Böndör Dániel,98,AC Bonyhád,F,Budapest (HUN),2016.2.27
4.7,-,7,Horváth Márton,95,MTK Budapest,F,Budapest (HUN),2016.3.06
4.65,-,10,Horváth Márton,95,BHSE,F1,Budapest (HUN),2016.1.15
4.65,-,10,Horváth Márton,95,MTK Budapest,F1,Budapest (HUN),2016.3.24
4.6,4,12,Kecskés Levente,87,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.13
4.6,-,12,Kéri Tamás,93,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.13
4.6,4,12,Fajoyomi Viktor,91,KARC,CE,Budapest (HUN),2016.2.14
4.6,4,12,Szabó Attila,84,BSC,F,Budapest (HUN),2016.2.21
4.6,4,12,Szabó Dezső,89,Győri Atlétikai Club,F,Budapest (HUN),2016.2.21
4.6,4,12,Simonváros Csanád,99,MATE - GEAC,F,Budapest (HUN),2016.3.06
4.5,-,18,Szabó Attila,84,BSC,CE,Budapest (HUN),2016.2.07
4.5,-,18,Szabó Attila,84,BSC,CE,Budapest (HUN),2016.2.14
4.5,-,18,Kecskés Levente,87,A-Plast Ikarus BSE,F,Bucuresti (ROU),2016.2.21
4.5,9,18,Kiss Attila,96,BHSE,F,Budapest (HUN),2016.3.06
4.45,-,22,Böndör Dániel,98,AC Bonyhád,F1,Budapest (HUN),2016.1.15
4.4,-,23,Böndör Dániel,98,AC Bonyhád,F,Budapest (HUN),2016.1.3
4.4,-,23,Kecskés Levente,87,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.06
4.4,-,23,Böndör Dániel,98,AC Bonyhád,F,Budapest (HUN),2016.2.06
4.4,-,23,Kiss Attila,96,BHSE,F,Budapest (HUN),2016.2.06
4.4,-,23,Kiss Attila,96,BHSE,CE,Budapest (HUN),2016.2.07
4.4,-,23,Kiss Attila,96,BHSE,F,Budapest (HUN),2016.2.13
4.4,10,23,Kiss Levente,94,FTC,F,Budapest (HUN),2016.2.13
4.4,-,23,Böndör Dániel,98,AC Bonyhád,F,Budapest (HUN),2016.2.21
4.4,-,23,Simonváros Csanád,99,MATE - GEAC,F,Budapest (HUN),2016.2.21
4.4,-,23,Simonváros Csanád,99,MATE - GEAC,F,Budapest (HUN),2016.2.27
4.35,-,33,Böndör Dániel,98,AC Bonyhád,F1,Budapest (HUN),2016.3.24
4.3,-,34,Kiss Attila,96,BHSE,F,Budapest (HUN),2016.1.3
4.25,11,35,Szamosi András,99,MATE - GEAC,F1,Budapest (HUN),2016.1.15
4.25,-,35,Simonváros Csanád,99,MATE - GEAC,F1,Budapest (HUN),2016.1.15
4.25,-,35,Szamosi András,99,MATE - GEAC,F1,Budapest (HUN),2016.3.24
4.25,-,35,Simonváros Csanád,99,MATE - GEAC,F1,Budapest (HUN),2016.3.24
4.2,-,39,Simonváros Csanád,99,MATE - GEAC,F,Budapest (HUN),2016.1.3
4.2,-,39,Szamosi András,99,MATE - GEAC,F,Budapest (HUN),2016.2.06
4.2,-,39,Böndör Dániel,98,AC Bonyhád,F,Budapest (HUN),2016.2.13
4.2,-,39,Szamosi András,99,MATE - GEAC,F,Budapest (HUN),2016.2.21
4.2,-,39,Szamosi András,99,MATE - GEAC,F,Budapest (HUN),2016.2.27
4.2,-,39,Szamosi András,99,MATE - GEAC,F,Budapest (HUN),2016.3.06
4.1,-,45,Simonváros Csanád,99,MATE - GEAC,F,Budapest (HUN),2016.2.13
4.1,12,45,Galambos Zsolt,94,FTC,CE,Budapest (HUN),2016.2.14
4.0,-,47,Szamosi András,99,MATE - GEAC,F,Budapest (HUN),2016.1.3
4.0,13,47,Simon Kristóf,98,AC Bonyhád,F,Budapest (HUN),2016.2.06
4.0,-,47,Simonváros Csanád,99,MATE - GEAC,F,Budapest (HUN),2016.2.06
4.0,-,47,Galambos Zsolt,94,FTC,F,Budapest (HUN),2016.2.21
4.0,-,47,Simon Kristóf,98,AC Bonyhád,F,Budapest (HUN),2016.2.27
3.96,14,52,Aoyama Megumu,92,,F,Székesfehérvár (HUN),2016.12.19
3.95,15,53,Soós Norbert,95,Békéscsabai AC,F1,Budapest (HUN),2016.1.15
3.95,15,53,Tóth Zsombor,98,A-Plast Ikarus BSE,F2,Budapest (HUN),2016.3.24
3.95,15,53,Kútsági Bálint,80,ELTE SE Sashegyi gepárdok,F1,Budapest (HUN),2016.3.24
3.9,-,56,Tóth Zsombor,98,A-Plast Ikarus BSE,CE,Budapest (HUN),2016.2.14
3.9,-,56,Kútsági Bálint,80,ELTE SE Sashegyi gepárdok,CE,Budapest (HUN),2016.2.14
3.86,18,58,Tímár Gergely,1,ARAK,F,Székesfehérvár (HUN),2016.1.24
3.85,19,59,Lévay Dániel,97,A-Plast Ikarus BSE,F1,Budapest (HUN),2016.1.15
3.85,19,59,Mercz Kevin,99,AC Bonyhád,F2,Budapest (HUN),2016.3.24
3.8,-,61,Simon Kristóf,98,AC Bonyhád,F,Budapest (HUN),2016.1.3
3.8,-,61,Kútsági Bálint,80,ELTE SE Sashegyi gepárdok,F,Budapest (HUN),2016.1.3
3.8,21,61,Mihály Ádám,1,MATE - GEAC,F,Budapest (HUN),2016.2.06
3.8,-,61,Simon Kristóf,98,AC Bonyhád,F,Bonyhád (HUN),2016.2.1
3.8,-,61,Mihály Ádám,1,MATE - GEAC,F,Budapest (HUN),2016.2.13
3.8,21,61,Naszódi Benedek,97,KSI SE,CE,Budapest (HUN),2016.2.14
3.8,21,61,Fatér Zoltán,98,MATE - GEAC,F,Budapest (HUN),2016.2.27
3.8,21,61,Bohátka Ádám,0,DSC-SI,F,Budapest (HUN),2016.2.27
3.75,-,69,Tóth Zsombor,98,A-Plast Ikarus BSE,F1,Budapest (HUN),2016.1.15
3.75,25,69,Rádonyi Barnabás,1,KSI SE,F1,Budapest (HUN),2016.1.15
3.75,-,69,Mihály Ádám,1,MATE - GEAC,F2,Budapest (HUN),2016.1.15
3.75,25,69,Adorján Bálint,96,BHSE,F1,Budapest (HUN),2016.3.24
3.75,-,69,Bohátka Ádám,0,DSC-SI,F1,Budapest (HUN),2016.3.24
3.74,27,74,Solymossi László,1,ARAK,F,Székesfehérvár (HUN),2016.1.24
3.74,-,74,Mihály Ádám,1,MATE - GEAC,F,Székesfehérvár (HUN),2016.1.24
3.72,28,76,Szalay Péter,0,BHSE,F,Székesfehérvár (HUN),2016.12.19
3.7,-,77,Fatér Zoltán,98,MATE - GEAC,F,Budapest (HUN),2016.3.06
3.65,-,78,Solymossi László,1,ARAK,F2,Budapest (HUN),2016.3.24
3.6,29,79,Borlay Örs,93,TFSE,F,Székesfehérvár (HUN),2016.12.19
3.6,-,79,Simon Kristóf,98,AC Bonyhád,F,Bonyhád (HUN),2016.1.27
3.6,-,79,Mercz Kevin,99,AC Bonyhád,F,Budapest (HUN),2016.1.3
3.6,-,79,Mihály Ádám,1,MATE - GEAC,F,Budapest (HUN),2016.1.3
3.6,-,79,Tímár Gergely,1,ARAK,F,Budapest (HUN),2016.2.06
3.6,29,79,Kun-Szabó Balázs,89,Vasas,CE,Budapest (HUN),2016.2.14
3.55,-,85,Simon Kristóf,98,AC Bonyhád,F1,Budapest (HUN),2016.1.15
3.55,-,85,Bohátka Ádám,0,DSC-SI,F1,Budapest (HUN),2016.1.15
3.55,31,85,Magyari Benedek,1,MATE - GEAC,F2,Budapest (HUN),2016.3.24
3.5,-,88,Magyari Benedek,1,MATE - GEAC,F,Székesfehérvár (HUN),2016.1.24
3.5,-,88,Magyari Benedek,1,MATE - GEAC,F,Budapest (HUN),2016.2.06
3.5,-,88,Rádonyi Barnabás,1,KSI SE,F,Budapest (HUN),2016.2.06
3.5,32,88,Szász Bence,93,FTC,CE,Budapest (HUN),2016.2.14
3.5,-,88,Mercz Kevin,99,AC Bonyhád,F,Budapest (HUN),2016.2.27
3.5,-,88,Szalay Péter,0,BHSE,F,Budapest (HUN),2016.3.06
3.45,-,94,Mercz Kevin,99,AC Bonyhád,F1,Budapest (HUN),2016.1.15
3.45,-,94,Mihály Ádám,1,MATE - GEAC,F2,Budapest (HUN),2016.3.24
3.38,33,96,Nagy Marcell,2,BHSE,F,Székesfehérvár (HUN),2016.1.24
3.36,34,97,Pethő Gábor,2,BHSE,F,Székesfehérvár (HUN),2016.12.19
3.35,-,98,Magyari Benedek,1,MATE - GEAC,F2,Budapest (HUN),2016.1.15
3.35,-,98,Pethő Gábor,2,MTK Budapest,F2,Budapest (HUN),2016.3.24
3.35,-,98,Tímár Gergely,1,ARAK,F2,Budapest (HUN),2016.3.24
3.3,-,101,Mercz Kevin,99,AC Bonyhád,F,Bonyhád (HUN),2016.1.27
3.3,-,101,Magyari Benedek,1,MATE - GEAC,F,Budapest (HUN),2016.1.3
3.26,-,103,Pethő Gábor,2,BHSE,F,Székesfehérvár (HUN),2016.1.24
3.25,-,104,Solymossi László,1,ARAK,F1,Budapest (HUN),2016.1.15
3.25,35,104,Kormány Levente,99,A-Plast Ikarus BSE,F2,Budapest (HUN),2016.1.15
3.25,-,104,Kormány Levente,99,A-Plast Ikarus BSE,F2,Budapest (HUN),2016.3.24
3.24,36,107,Rajka László,98,MATE - GEAC,F,Székesfehérvár (HUN),2016.12.19
3.24,36,107,Bencsik Ádám,99,MAFC,F,Székesfehérvár (HUN),2016.12.19
3.2,38,109,Molnár Dániel,1,MATE - GEAC,F,Budapest (HUN),2016.2.06
3.2,-,109,Kormány Levente,99,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.27
3.15,39,111,Majzik Bálint,0,MAFC,F2,Budapest (HUN),2016.1.15
3.15,-,111,Bencsik Ádám,99,MAFC,F2,Budapest (HUN),2016.1.15
3.15,-,111,Nagy Marcell,2,BHSE,F2,Budapest (HUN),2016.1.15
3.15,-,111,Molnár Dániel,1,MATE - GEAC,F2,Budapest (HUN),2016.3.24
