Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
5.0,1,1,Kéri Tamás,93,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2016.7.31
4.9,2,2,Böndör Dániel,98,AC Bonyhád,F,Budapest (HUN),2016.6.18
4.9,2,2,Simonváros Csanád,99,MATE - GEAC,F,Székesfehérvár (HUN),2016.7.31
4.8,4,4,Horváth Márton,95,MTK Budapest,F,Debrecen (HUN),2016.6.05
4.8,-,4,Horváth Márton,95,MTK Budapest,F,Szombathely (HUN),2016.6.26
4.8,-,4,Böndör Dániel,98,AC Bonyhád,F,Szombathely (HUN),2016.6.26
4.8,4,4,Szabó Dezső,89,Győri Atlétikai Club,F,Budapest (HUN),2016.7.22
4.8,-,4,Böndör Dániel,98,AC Bonyhád,F,Budapest (HUN),2016.7.22
4.8,-,4,Szabó Dezső,89,Győri Atlétikai Club,F,Székesfehérvár (HUN),2016.7.31
4.8,-,4,Szabó Dezső,89,Győri Atlétikai Club,F,Budapest (HUN),2016.9.03
4.74,-,11,Simonváros Csanád,99,MATE - GEAC,F,Brno (CZE),2016.6.11
4.7,-,12,Horváth Márton,95,MTK Budapest,F,Budapest (HUN),2016.5.21
4.7,-,12,Horváth Márton,95,MTK Budapest,F,Budapest (HUN),2016.6.18
4.7,6,12,Barcsay Csanád,97,A-Plast Ikarus BSE,F,Budapest (HUN),2016.7.22
4.7,-,12,Barcsay Csanád,97,A-Plast Ikarus BSE,F,Budapest (HUN),2016.8.19
4.7,-,12,Simonváros Csanád,99,MATE - GEAC,F,Budapest (HUN),2016.8.19
4.7,-,12,Simonváros Csanád,99,MATE - GEAC,F,Budapest (HUN),2016.9.03
4.6,-,18,Szabó Dezső,89,Győri Atlétikai Club,F,Budapest (HUN),2016.5.21
4.6,-,18,Kéri Tamás,93,A-Plast Ikarus BSE,F,Budapest (HUN),2016.5.21
4.6,-,18,Szabó Dezső,89,Győri Atlétikai Club,F,Debrecen (HUN),2016.6.05
4.6,-,18,Barcsay Csanád,97,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.6.05
4.6,-,18,Simonváros Csanád,99,MATE - GEAC,F,Debrecen (HUN),2016.6.05
4.6,-,18,Kéri Tamás,93,A-Plast Ikarus BSE,F,Budapest (HUN),2016.6.18
4.6,-,18,Barcsay Csanád,97,A-Plast Ikarus BSE,F,Miskolc (HUN),2016.7.01
4.6,-,18,Böndör Dániel,98,AC Bonyhád,F,Miskolc (HUN),2016.7.03
4.6,-,18,Simonváros Csanád,99,MATE - GEAC,F,Budapest (HUN),2016.7.22
4.6,7,18,Skoumal Péter,80,ARAK,F,Székesfehérvár (HUN),2016.7.31
4.6,-,18,Horváth Márton,95,MTK Budapest,F,Székesfehérvár (HUN),2016.7.31
4.6,-,18,Barcsay Csanád,97,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2016.7.31
4.6,-,18,Kéri Tamás,93,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2016.9.11
4.5,-,31,Simonváros Csanád,99,MATE - GEAC,F,Budapest (HUN),2016.6.18
4.5,-,31,Barcsay Csanád,97,A-Plast Ikarus BSE,F,Szombathely (HUN),2016.6.26
4.5,8,31,Szamosi András,99,MATE - GEAC,F,Budapest (HUN),2016.8.19
4.5,-,31,Böndör Dániel,98,AC Bonyhád,F,Budapest (HUN),2016.8.19
4.5,-,31,Böndör Dániel,98,AC Bonyhád,F,Székesfehérvár (HUN),2016.9.11
4.5,-,31,Simonváros Csanád,99,MATE - GEAC,F,Székesfehérvár (HUN),2016.9.11
4.45,-,37,Skoumal Péter,80,ARAK,F,Szekszárd (HUN),2016.5.15
4.45,-,37,Horváth Márton,95,MTK Budapest,F,Szekszárd (HUN),2016.5.15
4.45,-,37,Kéri Tamás,93,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.5.15
4.4,-,40,Böndör Dániel,98,AC Bonyhád,F,Bonyhád (HUN),2016.5.19
4.4,-,40,Böndör Dániel,98,AC Bonyhád,F,Budapest (HUN),2016.5.21
4.4,-,40,Kéri Tamás,93,A-Plast Ikarus BSE,F,Miskolc (HUN),2016.5.28
4.4,-,40,Szamosi András,99,MATE - GEAC,F,Debrecen (HUN),2016.6.05
4.4,9,40,Fajoyomi Viktor,91,KARC,CE,Kladno (CZE),2016.6.11
4.4,-,40,Szamosi András,99,MATE - GEAC,F,Budapest (HUN),2016.6.18
4.4,9,40,Kiss Levente,94,FTC,F,Budapest (HUN),2016.6.18
4.4,-,40,Böndör Dániel,98,AC Bonyhád,F,Miskolc (HUN),2016.7.01
4.4,-,40,Simonváros Csanád,99,MATE - GEAC,F,Miskolc (HUN),2016.7.03
4.4,-,40,Horváth Márton,95,MTK Budapest,F,Maribor (SLO),2016.7.15
4.4,-,40,Simonváros Csanád,99,MATE - GEAC,Q1,Tbilisi (GEO),2016.7.15
4.4,-,40,Szamosi András,99,MATE - GEAC,F,Trabzon (TUR),2016.7.17
4.4,-,40,Horváth Márton,95,MTK Budapest,F,Budapest (HUN),2016.7.22
