Eredmény,A.h.,Er.h.,Csapat,Típus,Helyszín,Dátum
1:55.35,1,1,Hungary U18,F,Tbilisi (GEO),2016.7.17
1:55.98,-,2,Hungary U18,H1,Tbilisi (GEO),2016.7.16
1:56.70,-,3,Hungary U18,F,Brno (CZE),2016.6.11
1:58.05,1,1,Hungary U18,F,Miskolc (HUN),2017.6.16
1:56.08,1,1,fiú U18 válogatott,F,Győr (HUN),2018.7.08
1:56.09,-,2,fiú U18 válogatott,H2,Győr (HUN),2018.7.07
1:57.76,-,3,fiú U18 válogatott,F,Ptuj (SLO),2018.6.09
1:55.00,1,1,HUN,F1,Székesfehérvár (HUN),2022.6.29
1:55.43,2,2,Hungary U18,F,Banská Bystrica (SVK),2022.7.3
1:56.46,3,3,A,F1,Budapest (HUN),2022.6.05
1:57.74,4,4,"""A""",F1,Székesfehérvár (HUN),2022.6.18
1:59.33,5,5,B,F1,Budapest (HUN),2022.6.05
1:59.59,6,6,"""B""",F1,Székesfehérvár (HUN),2022.6.18
1:59.92,-,7,Hungary U18,H1,Banská Bystrica (SVK),2022.7.29
2:01.42,7,8,"""C""",F1,Székesfehérvár (HUN),2022.6.18
2:02.64,8,9,"""D""",F1,Székesfehérvár (HUN),2022.6.18
