Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
19.09,1,1,Simon Péter,94,UTE,F,"Seattle, WA (USA)",2016.2.27
18.36,-,2,Simon Péter,94,UTE,F,"Birmingham, AL (USA)",2016.3.12
17.89,-,3,Simon Péter,94,UTE,F,"Albuquerque, NM (USA)",2016.1.3
17.87,-,4,Simon Péter,94,UTE,F,"Seattle, WA (USA)",2016.2.13
17.33,2,5,Kürthy Lajos,86,Mohácsi TE,F,Szombathely (HUN),2016.2.27
17.27,3,6,Rakovszky Tibor,94,KSI SE,F,Szombathely (HUN),2016.2.27
17.04,4,7,Kerekes László,92,NYSC,F,Szombathely (HUN),2016.2.27
16.82,-,8,Kerekes László,92,NYSC,F,Nyíregyháza (HUN),2016.1.17
16.78,-,9,Kerekes László,92,NYSC,F,Nyíregyháza (HUN),2016.1.23
16.73,-,10,Kerekes László,92,NYSC,F,Budapest (HUN),2016.2.13
16.72,-,11,Kürthy Lajos,86,Mohácsi TE,F,Bonyhád (HUN),2016.1.27
16.7,-,12,Kürthy Lajos,86,Mohácsi TE,F,Budapest (HUN),2016.1.3
16.25,5,13,Kecskeméty Marcell,94,TFSE,F,"Seattle, WA (USA)",2016.1.3
16.25,5,13,Detrik Balázs,95,A-Plast Ikarus BSE,F,Szombathely (HUN),2016.2.27
16.19,7,15,Szikszai Róbert,94,NYSC,F,Nyíregyháza (HUN),2016.1.23
16.07,-,16,Detrik Balázs,95,A-Plast Ikarus BSE,F,Budapest (HUN),2016.1.3
15.78,-,17,Detrik Balázs,95,A-Plast Ikarus BSE,F,Nyíregyháza (HUN),2016.1.17
15.75,-,18,Kecskeméty Marcell,94,TFSE,F,"Albuquerque, NM (USA)",2016.2.06
15.75,-,18,Kecskeméty Marcell,94,TFSE,F,"Ames, IA (USA)",2016.2.13
15.69,-,20,Detrik Balázs,95,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.06
15.62,-,21,Kecskeméty Marcell,94,TFSE,F,"Colorado Springs, CO (USA)",2016.1.23
15.55,8,22,Sólyom László,94,PVSK,F,Budapest (HUN),2016.2.13
15.49,9,23,Szabó Gyula,95,Dobó SE,F,Szombathely (HUN),2016.2.27
15.24,10,24,Szabó Attila,84,BSC,CE,Budapest (HUN),2016.2.13
15.1,-,25,Kecskeméty Marcell,94,TFSE,F,"Seattle, WA (USA)",2016.2.27
15.02,-,26,Sólyom László,94,PVSK,F,Bonyhád (HUN),2016.1.13
15.0,11,27,Gulyás Norbert,83,BSC,F,Szombathely (HUN),2016.2.27
14.95,-,28,Szikszai Róbert,94,NYSC,F,Szombathely (HUN),2016.2.27
14.94,12,29,Káplár János,94,NYSC,F,Nyíregyháza (HUN),2016.1.17
14.94,-,29,Szabó Attila,84,BSC,CE,Budapest (HUN),2016.2.07
14.93,-,31,Káplár János,94,NYSC,F,Nyíregyháza (HUN),2016.1.23
14.9,-,32,Káplár János,94,NYSC,F,Szombathely (HUN),2016.2.27
14.81,-,33,Gulyás Norbert,83,BSC,F,Budapest (HUN),2016.2.13
14.39,-,34,Kecskeméty Marcell,94,TFSE,F,"Provo, UT (USA)",2016.1.08
14.37,-,35,Gulyás Norbert,83,BSC,F,Budapest (HUN),2016.2.06
14.33,13,36,Halász Bence,97,Dobó SE,F,Szombathely (HUN),2016.2.27
14.31,14,37,Szurcsik Milán,96,Mohácsi TE,F,Szombathely (HUN),2016.2.27
14.2,-,38,Gulyás Norbert,83,BSC,F,Budapest (HUN),2016.1.3
14.08,-,39,Kecskeméty Marcell,94,TFSE,F,College Station (USA),2016.1.16
13.49,15,40,Gaján Tamás,93,Haladás VSE,F,Szombathely (HUN),2016.2.27
13.18,16,41,Krammer Kornél,97,BSC,F,Budapest (HUN),2016.2.06
12.79,17,42,Király Martin,96,Favorit AC,F,Bonyhád (HUN),2016.2.1
12.18,18,43,Galambos Zsolt,94,FTC,CE,Budapest (HUN),2016.2.13
12.12,19,44,Szőllősi István,95,Reménység Vác,F,Budapest (HUN),2016.2.13
12.06,-,45,Király Martin,96,Favorit AC,F,Bonyhád (HUN),2016.1.27
12.03,20,46,Mundi György,96,Dunakeszi VSE,F,Budapest (HUN),2016.2.13
11.77,-,47,Szőllősi István,95,Reménység Vác,F,Budapest (HUN),2016.1.3
11.69,-,48,Szőllősi István,95,Reménység Vác,F,Budapest (HUN),2016.2.06
11.56,21,49,Fajoyomi Viktor,91,KARC,CE,Budapest (HUN),2016.2.13
18.52,1,1,Simon Péter,94,UTE,F,"Seattle, WA (USA)",2017.1.28
18.51,-,2,Simon Péter,94,UTE,F,"Seattle, WA (USA)",2017.2.11
18.15,-,3,Simon Péter,94,UTE,F,"Seattle, WA (USA)",2017.2.25
17.88,2,4,Kürthy Lajos,86,Mohácsi TE,F,Szombathely (HUN),2017.2.25
17.58,-,5,Kürthy Lajos,86,Mohácsi TE,F,Budapest (HUN),2017.2.11
17.49,-,6,Kürthy Lajos,86,Mohácsi TE,F,Budapest (HUN),2017.1.28
17.41,3,7,Savanyú Péter,87,Tamási TAM - BAU AC,F,Szombathely (HUN),2017.2.25
17.4,-,8,Kürthy Lajos,86,Mohácsi TE,F,Budapest (HUN),2017.2.04
17.37,4,9,Rakovszky Tibor,94,Maximus SE,F,Szombathely (HUN),2017.2.25
17.03,5,10,Kecskeméty Marcell,94,TFSE,F,"Birmingham, AL (USA)",2017.2.22
17.02,6,11,Kerekes László,92,NYSC,F,Nyíregyháza (HUN),2017.1.22
16.93,7,12,Detrik Balázs,95,A-Plast Ikarus BSE,F,Budapest (HUN),2017.2.11
