Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
19.3,1,1,Simon Péter,94,UTE,F,Palo Alto (USA),2016.5.01
19.26,-,2,Simon Péter,94,UTE,F,"Tempe, AZ (USA)",2016.3.26
19.11,-,3,Simon Péter,94,UTE,F2,"Seattle, WA (USA)",2016.5.14
18.94,-,4,Simon Péter,94,UTE,F,"Berkeley, CA (USA)",2016.4.09
18.78,-,5,Simon Péter,94,UTE,F,"Berkeley, CA (USA)",2016.4.23
18.68,-,6,Simon Péter,94,UTE,Q1,Lawrence (USA),2016.5.28
18.63,-,7,Simon Péter,94,UTE,F,Palo Alto (USA),2016.4.02
18.55,-,8,Simon Péter,94,UTE,F,Eugene (USA),2016.6.08
18.09,2,9,Kürthy Lajos,86,Mohácsi TE,F,Budapest (HUN),2016.6.19
17.53,3,10,Rakovszky Tibor,94,KSI SE,F,Debrecen (HUN),2016.6.04
17.5,4,11,Páli Viktor,87,VEDAC,F,Veszprém (HUN),2016.6.12
17.43,-,12,Kürthy Lajos,86,Mohácsi TE,F,Veszprém (HUN),2016.6.12
17.43,-,12,Rakovszky Tibor,94,KSI SE,F,Budapest (HUN),2016.6.19
17.38,-,14,Rakovszky Tibor,94,KSI SE,F,Veszprém (HUN),2016.6.12
17.31,-,15,Kürthy Lajos,86,Mohácsi TE,F,Debrecen (HUN),2016.6.04
17.3,-,16,Páli Viktor,87,VEDAC,F,Veszprém (HUN),2016.4.14
17.3,5,16,Kerekes László,92,NYSC,F,Bar (MNE),2016.5.01
17.29,-,18,Páli Viktor,87,VEDAC,F,Szekszárd (HUN),2016.5.14
17.29,-,18,Páli Viktor,87,VEDAC,F,Veszprém (HUN),2016.5.19
17.26,-,20,Rakovszky Tibor,94,KSI SE,F,Budapest (HUN),2016.9.03
17.25,-,21,Rakovszky Tibor,94,KSI SE,F,Arad (ROU),2016.3.13
17.25,-,21,Kerekes László,92,NYSC,F,Debrecen (HUN),2016.5.14
17.22,-,23,Kürthy Lajos,86,Mohácsi TE,F,Szekszárd (HUN),2016.5.14
17.2,-,24,Kerekes László,92,NYSC,F,Veszprém (HUN),2016.5.19
17.19,-,25,Kürthy Lajos,86,Mohácsi TE,F,Szekszárd (HUN),2016.8.27
17.18,-,26,Kerekes László,92,NYSC,F,Draževina (MNE),2016.4.3
17.13,-,27,Kürthy Lajos,86,Mohácsi TE,F,Szekszárd (HUN),2016.6.22
17.11,-,28,Kürthy Lajos,86,Mohácsi TE,F,Székesfehérvár (HUN),2016.7.31
17.09,-,29,Rakovszky Tibor,94,KSI SE,F,Székesfehérvár (HUN),2016.7.31
17.05,-,30,Páli Viktor,87,VEDAC,F,Debrecen (HUN),2016.6.04
17.05,-,30,Kürthy Lajos,86,Mohácsi TE,F,Budapest (HUN),2016.9.03
17.04,-,32,Páli Viktor,87,VEDAC,F,Székesfehérvár (HUN),2016.7.31
17.01,-,33,Páli Viktor,87,VEDAC,F,Szombathely (HUN),2016.5.01
16.9,-,34,Kerekes László,92,NYSC,F,Veszprém (HUN),2016.6.12
16.89,-,35,Kerekes László,92,NYSC,F,Budapest (HUN),2016.6.19
16.83,6,36,Kecskeméty Marcell,94,TFSE,F,"San Diego, CA (USA)",2016.3.26
16.83,-,36,Kerekes László,92,NYSC,F,Miskolc (HUN),2016.5.29
16.83,-,36,Páli Viktor,87,VEDAC,F,Budapest (HUN),2016.9.03
16.78,-,39,Kerekes László,92,NYSC,F,Debrecen (HUN),2016.6.04
16.76,-,40,Kerekes László,92,NYSC,F,Szentes (HUN),2016.4.16
16.72,-,41,Kürthy Lajos,86,Mohácsi TE,Q,Székesfehérvár (HUN),2016.7.31
16.64,-,42,Páli Viktor,87,VEDAC,F,Székesfehérvár (HUN),2016.9.1
16.6,-,43,Kerekes László,92,NYSC,F,Székesfehérvár (HUN),2016.9.1
16.55,-,44,Páli Viktor,87,VEDAC,F,Budapest (HUN),2016.6.19
16.54,-,45,Rakovszky Tibor,94,KSI SE,F,Székesfehérvár (HUN),2016.9.1
16.51,-,46,Kecskeméty Marcell,94,TFSE,F,"Los Angeles, CA (USA)",2016.5.07
16.5,-,47,Rakovszky Tibor,94,KSI SE,F,Szombathely (HUN),2016.6.26
16.48,-,48,Rakovszky Tibor,94,KSI SE,F,Miskolc (HUN),2016.5.29
16.41,-,49,Kecskeméty Marcell,94,TFSE,F,"Provo, UT (USA)",2016.5.13
16.39,-,50,Kecskeméty Marcell,94,TFSE,F,"Boise, ID (USA)",2016.4.3
16.38,7,51,Detrik Balázs,95,A-Plast Ikarus BSE,F,Szombathely (HUN),2016.6.26
16.37,-,52,Detrik Balázs,95,A-Plast Ikarus BSE,F,Budapest (HUN),2016.6.19
16.33,-,53,Kecskeméty Marcell,94,TFSE,F,Mesa (USA),2016.4.08
16.23,-,54,Kerekes László,92,NYSC,F,Székesfehérvár (HUN),2016.7.31
16.23,8,54,Varga Zsolt,72,PVSK,F,Székesfehérvár (HUN),2016.7.31
16.11,-,56,Rakovszky Tibor,94,KSI SE,F,Debrecen (HUN),2016.5.14
16.11,-,56,Páli Viktor,87,VEDAC,Q,Székesfehérvár (HUN),2016.7.31
16.01,-,58,Kecskeméty Marcell,94,TFSE,F,Palo Alto (USA),2016.4.02
15.98,-,59,Kerekes László,92,NYSC,F,Arad (ROU),2016.3.13
15.98,-,59,Kecskeméty Marcell,94,TFSE,F,"Provo, UT (USA)",2016.4.22
15.97,-,61,Detrik Balázs,95,A-Plast Ikarus BSE,F,Budapest (HUN),2016.9.03
15.93,-,62,Detrik Balázs,95,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.6.04
15.89,-,63,Varga Zsolt,72,PVSK,F,Veszprém (HUN),2016.6.12
15.84,-,64,Kerekes László,92,NYSC,Q,Székesfehérvár (HUN),2016.7.31
15.77,-,65,Detrik Balázs,95,A-Plast Ikarus BSE,F,Vác (HUN),2016.4.23
15.76,9,66,Sólyom László,94,PVSK,F,Szekszárd (HUN),2016.4.29
15.75,-,67,Detrik Balázs,95,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.5.14
15.73,-,68,Detrik Balázs,95,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2016.9.1
15.72,-,69,Detrik Balázs,95,A-Plast Ikarus BSE,F,Veszprém (HUN),2016.6.12
15.71,-,70,Kerekes László,92,NYSC,F,Nyíregyháza (HUN),2016.9.17
15.68,-,71,Rakovszky Tibor,94,KSI SE,Q,Székesfehérvár (HUN),2016.7.31
15.66,-,72,Sólyom László,94,PVSK,F,Miskolc (HUN),2016.5.29
15.64,10,73,Szabó Gyula,95,Dobó SE,F,Szombathely (HUN),2016.6.29
15.63,-,74,Sólyom László,94,PVSK,F,Veszprém (HUN),2016.3.17
15.6,11,75,Halász Bence,97,Dobó SE,F,Budapest (HUN),2016.9.03
15.58,-,76,Kecskeméty Marcell,94,TFSE,F,"Los Angeles, CA (USA)",2016.3.19
15.57,12,77,Gulyás Norbert,83,BSC,F,Budapest (HUN),2016.7.22
15.57,-,77,Varga Zsolt,72,PVSK,Q,Székesfehérvár (HUN),2016.7.31
15.56,-,79,Detrik Balázs,95,A-Plast Ikarus BSE,F,Nyíregyháza (HUN),2016.9.17
15.54,-,80,Kecskeméty Marcell,94,TFSE,F,"Ogden, UT (USA)",2016.5.04
15.53,-,81,Detrik Balázs,95,A-Plast Ikarus BSE,F,Maribor (SLO),2016.7.15
15.51,-,82,Kecskeméty Marcell,94,TFSE,F,Veszprém (HUN),2016.6.12
15.51,-,82,Detrik Balázs,95,A-Plast Ikarus BSE,F,Székesfehérvár (HUN),2016.7.31
15.49,-,84,Detrik Balázs,95,A-Plast Ikarus BSE,Q,Székesfehérvár (HUN),2016.7.31
15.48,-,85,Szabó Gyula,95,Dobó SE,F,Szombathely (HUN),2016.9.15
15.47,-,86,Halász Bence,97,Dobó SE,F,Szekszárd (HUN),2016.5.14
15.44,-,87,Varga Zsolt,72,PVSK,F,Budapest (HUN),2016.6.19
15.43,-,88,Halász Bence,97,Dobó SE,Q,Székesfehérvár (HUN),2016.7.31
15.4,-,89,Kecskeméty Marcell,94,TFSE,F2,"Tempe, AZ (USA)",2016.4.09
15.4,13,89,Szikszai Róbert,94,NYSC,F,Szombathely (HUN),2016.6.26
15.35,-,91,Szikszai Róbert,94,NYSC,F,Debrecen (HUN),2016.5.14
15.35,-,91,Sólyom László,94,PVSK,F,Szombathely (HUN),2016.6.26
15.34,14,93,Káplár János,94,NYSC,F,Debrecen (HUN),2016.5.14
15.34,-,93,Szikszai Róbert,94,NYSC,F,Miskolc (HUN),2016.5.29
15.25,-,95,Szabó Gyula,95,Dobó SE,F,Szombathely (HUN),2016.6.26
15.24,-,96,Sólyom László,94,PVSK,F,Szentes (HUN),2016.4.16
15.23,-,97,Szikszai Róbert,94,NYSC,F,Székesfehérvár (HUN),2016.9.1
15.22,-,98,Kerekes László,92,NYSC,F,Budapest (HUN),2016.9.03
15.16,-,99,Szabó Gyula,95,Dobó SE,F,Székesfehérvár (HUN),2016.7.31
15.1,-,100,Káplár János,94,NYSC,F,Miskolc (HUN),2016.5.29
15.1,-,100,Szabó Gyula,95,Dobó SE,F,Szombathely (HUN),2016.6.08
15.1,-,100,Kecskeméty Marcell,94,TFSE,F,Budapest (HUN),2016.6.19
15.08,-,103,Sólyom László,94,PVSK,F,Veszprém (HUN),2016.10.08
15.07,-,104,Gulyás Norbert,83,BSC,F,Szekszárd (HUN),2016.5.14
15.07,-,104,Szabó Gyula,95,Dobó SE,F,Szombathely (HUN),2016.10.13
15.0,-,106,Szabó Gyula,95,Dobó SE,F,Szombathely (HUN),2016.9.22
14.95,-,107,Sólyom László,94,PVSK,F,Veszprém (HUN),2016.5.19
14.94,-,108,Szabó Gyula,95,Dobó SE,Q,Székesfehérvár (HUN),2016.7.31
14.92,-,109,Gulyás Norbert,83,BSC,F,Debrecen (HUN),2016.6.04
14.88,-,110,Halász Bence,97,Dobó SE,F,Székesfehérvár (HUN),2016.7.31
14.88,-,110,Sólyom László,94,PVSK,Q,Székesfehérvár (HUN),2016.7.31
14.87,15,112,Csapó Tamás,84,DSC-SI,F,Debrecen (HUN),2016.6.04
14.84,-,113,Sólyom László,94,PVSK,F,Szentes (HUN),2016.9.24
14.72,-,114,Szabó Gyula,95,Dobó SE,F,Szombathely (HUN),2016.2.13
14.68,-,115,Szabó Gyula,95,Dobó SE,F,Szombathely (HUN),2016.3.19
14.67,-,116,Gulyás Norbert,83,BSC,Q,Székesfehérvár (HUN),2016.7.31
14.66,-,117,Gulyás Norbert,83,BSC,F,Budapest (HUN),2016.9.03
14.64,-,118,Sólyom László,94,PVSK,F,Budapest (HUN),2016.6.19
14.61,-,119,Szabó Gyula,95,Dobó SE,F,Budapest (HUN),2016.9.03
14.6,-,120,Kecskeméty Marcell,94,TFSE,Q,Székesfehérvár (HUN),2016.7.31
14.58,-,121,Káplár János,94,NYSC,F,Szombathely (HUN),2016.6.26
14.54,-,122,Szabó Gyula,95,Dobó SE,F,Szombathely (HUN),2016.5.01
14.5,-,123,Szabó Gyula,95,Dobó SE,F,Szombathely (HUN),2016.9.29
14.49,-,124,Gulyás Norbert,83,BSC,F,Szombathely (HUN),2016.5.01
14.47,-,125,Káplár János,94,NYSC,F,Székesfehérvár (HUN),2016.9.1
14.42,-,126,Varga Zsolt,72,PVSK,F,Szekszárd (HUN),2016.5.14
14.39,-,127,Gulyás Norbert,83,BSC,F,Veszprém (HUN),2016.6.12
14.39,16,127,Zsivoczky-Pandel Attila,77,KARC,F,Székesfehérvár (HUN),2016.9.1
14.38,-,129,Szabó Gyula,95,Dobó SE,F,Szombathely (HUN),2016.10.06
14.36,-,130,Gulyás Norbert,83,BSC,F,Budapest (HUN),2016.6.19
14.29,-,131,Csapó Tamás,84,DSC-SI,F,Budapest (HUN),2016.6.19
14.29,17,131,Szurcsik Milán,96,Mohácsi TE,Q,Székesfehérvár (HUN),2016.7.31
14.2,-,133,Szabó Gyula,95,Dobó SE,F,Szombathely (HUN),2016.1.23
14.15,18,134,Kiss Dániel,90,Győri Atlétikai Club,F,Veszprém (HUN),2016.6.12
14.15,-,134,Sólyom László,94,PVSK,F,Szekszárd (HUN),2016.8.27
14.09,-,136,Kiss Dániel,90,Győri Atlétikai Club,F,Budapest (HUN),2016.6.19
14.08,19,137,Szabó Mátyás,98,Favorit AC,F,Szombathely (HUN),2016.5.01
14.05,-,138,Szabó Gyula,95,Dobó SE,F,Maribor (SLO),2016.7.15
14.0,20,139,Belovai Dániel,87,SZVSE,F,Debrecen (HUN),2016.5.14
13.86,-,140,Szabó Gyula,95,Dobó SE,F,Veszprém (HUN),2016.10.08
13.81,-,141,Szabó Mátyás,98,Favorit AC,F,Szekszárd (HUN),2016.5.14
13.78,-,142,Csapó Tamás,84,DSC-SI,F,Nyíregyháza (HUN),2016.9.17
13.77,-,143,Csapó Tamás,84,DSC-SI,F,Veszprém (HUN),2016.6.12
13.77,-,143,Szabó Gyula,95,Dobó SE,F,Szombathely (HUN),2016.6.16
13.7,-,145,Kiss Dániel,90,Győri Atlétikai Club,Q,Székesfehérvár (HUN),2016.7.31
13.69,21,146,Gaján Tamás,93,Haladás VSE,F,Szombathely (HUN),2016.6.08
13.65,22,147,Török Krisztián,87,KARC,F,Székesfehérvár (HUN),2016.9.1
13.64,-,148,Kiss Dániel,90,Győri Atlétikai Club,F,Szekszárd (HUN),2016.5.14
13.63,-,149,Sólyom László,94,PVSK,F,Veszprém (HUN),2016.6.12
13.44,-,150,Szabó Gyula,95,Dobó SE,F,Szekszárd (HUN),2016.5.14
13.42,23,151,Hudi Ákos,91,Dobó SE,F,Szekszárd (HUN),2016.5.14
13.38,-,152,Gaján Tamás,93,Haladás VSE,F,Miskolc (HUN),2016.5.29
13.36,24,153,Holló Henrik,97,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.5.14
13.28,25,154,Mozsdényi Dávid,86,VEDAC,F,Veszprém (HUN),2016.7.21
13.25,26,155,Fajoyomi Viktor,91,KARC,CE,Kladno (CZE),2016.6.1
13.23,27,156,Mundi György,96,Dunakeszi VSE,F,Vác (HUN),2016.4.23
13.21,-,157,Gaján Tamás,93,Haladás VSE,Q,Székesfehérvár (HUN),2016.7.31
13.09,28,158,Horváth Bálint,95,Dobó SE,F,Szombathely (HUN),2016.6.26
12.99,-,159,Mundi György,96,Dunakeszi VSE,F,Budapest (HUN),2016.6.19
12.95,29,160,Kapitány Kristóf,0,Mohácsi TE,F,Veszprém (HUN),2016.6.12
12.95,-,160,Kiss Dániel,90,Győri Atlétikai Club,F,Veszprém (HUN),2016.10.08
12.91,-,162,Mundi György,96,Dunakeszi VSE,F,Szombathely (HUN),2016.6.26
12.89,30,163,Dávid Martin,95,,F,Miskolc (HUN),2016.5.29
12.86,-,164,Holló Henrik,97,A-Plast Ikarus BSE,F,Budapest (HUN),2016.6.19
12.79,31,165,Király Martin,96,Favorit AC,F,Budapest (HUN),2016.6.19
12.75,32,166,Németh Zsolt,71,Dobó SE,F,Szekszárd (HUN),2016.5.14
12.74,-,167,Gaján Tamás,93,Haladás VSE,F,Szombathely (HUN),2016.9.15
12.73,-,168,Kapitány Kristóf,0,Mohácsi TE,F,Szekszárd (HUN),2016.5.14
12.72,33,169,Szőllősi István,95,Reménység Vác,F,Vác (HUN),2016.4.23
12.69,-,170,Király Martin,96,Favorit AC,F,Szombathely (HUN),2016.5.01
12.64,-,171,Szabó Mátyás,98,Favorit AC,F,Székesfehérvár (HUN),2016.9.1
12.54,34,172,Ecsédi László,90,Szolnoki MÁV-SE,F,Miskolc (HUN),2016.5.29
12.52,-,173,Mozsdényi Dávid,86,VEDAC,F,Veszprém (HUN),2016.5.19
12.51,35,174,Nagy Ákos,68,PVSK,F,Szekszárd (HUN),2016.5.14
12.5,-,175,Mundi György,96,Dunakeszi VSE,F,Miskolc (HUN),2016.5.29
12.48,-,176,Gaján Tamás,93,Haladás VSE,F,Szombathely (HUN),2016.6.29
12.42,-,177,Mundi György,96,Dunakeszi VSE,F,Debrecen (HUN),2016.5.14
12.42,36,177,Rába Dániel,98,Dobó SE,F,Szombathely (HUN),2016.10.06
12.41,-,179,Kapitány Kristóf,0,Mohácsi TE,F,Debrecen (HUN),2016.6.04
12.39,-,180,Szőllősi István,95,Reménység Vác,F,Szombathely (HUN),2016.5.01
12.39,-,180,Mozsdényi Dávid,86,VEDAC,F,Veszprém (HUN),2016.6.14
12.36,-,182,Király Martin,96,Favorit AC,F,Szekszárd (HUN),2016.5.14
12.35,-,183,Mundi György,96,Dunakeszi VSE,F,Budapest (HUN),2016.7.22
12.23,-,184,Király Martin,96,Favorit AC,F,Veszprém (HUN),2016.6.12
12.02,37,185,Schmidt Péter,99,Mohácsi TE,F,Debrecen (HUN),2016.6.04
11.99,-,186,Szőllősi István,95,Reménység Vác,F,Székesfehérvár (HUN),2016.9.1
11.98,-,187,Gaján Tamás,93,Haladás VSE,F,Szekszárd (HUN),2016.5.14
11.97,38,188,Kovács Dániel,95,Dobó SE,F,Szombathely (HUN),2016.6.26
11.97,-,188,Szőllősi István,95,Reménység Vác,F,Nyíregyháza (HUN),2016.9.17
11.96,-,190,Szőllősi István,95,Reménység Vác,F,Budapest (HUN),2016.6.19
11.9,-,191,Mundi György,96,Dunakeszi VSE,F,Székesfehérvár (HUN),2016.9.1
11.86,-,192,Schmidt Péter,99,Mohácsi TE,F,Veszprém (HUN),2016.6.12
11.8,-,193,Szőllősi István,95,Reménység Vác,F,Debrecen (HUN),2016.5.14
11.77,-,194,Szőllősi István,95,Reménység Vác,F,Budapest (HUN),2016.7.22
11.63,39,195,Galambos Zsolt,94,FTC,CE,Székesfehérvár (HUN),2016.9.17
11.56,-,196,Szőllősi István,95,Reménység Vác,F,Szombathely (HUN),2016.6.26
19.74,1,1,Simon Péter,94,UTE,F,Eugene (USA),2017.5.13
19.49,-,2,Simon Péter,94,UTE,F,Eugene (USA),2017.6.07
19.41,-,3,Simon Péter,94,UTE,F,Palo Alto (USA),2017.4.08
19.19,-,4,Simon Péter,94,UTE,F,"Tempe, AZ (USA)",2017.3.25
18.94,-,5,Simon Péter,94,UTE,F,Palo Alto (USA),2017.4.01
18.91,-,6,Simon Péter,94,UTE,F,"Austin, TX (USA)",2017.5.26
