Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
26:32,1,1,Kalász Bertold,7,Centrál Elit AC,F1,Szentgál (HUN),2023.4.02
27:24,2,2,Zahorán Milán,5,Békéscsabai AC,F1,Szentgál (HUN),2023.4.02
28:03,3,3,Gyányi Zsombor,6,Szekszárdi Sportközpont,F1,Szentgál (HUN),2023.4.02
28:19,4,4,Honti Marcell,4,VEDAC,F1,Szentgál (HUN),2023.4.02
28:37,5,5,Kovács Máté,5,DVTK,F1,Szentgál (HUN),2023.4.02
29:19,6,6,Végh Zsombor,7,Szekszárdi Sportközpont,F1,Szentgál (HUN),2023.4.02
29:45,7,7,Pocsai Levente,7,DVTK,F1,Szentgál (HUN),2023.4.02
30:12,8,8,Fritz Tamás,5,PVSK,F1,Szentgál (HUN),2023.4.02
30:26,9,9,Plessz Gábor,6,Szekszárdi Sportközpont,F1,Szentgál (HUN),2023.4.02
30:56,10,10,Mészáros Balázs,6,Szekszárdi Sportközpont,F1,Szentgál (HUN),2023.4.02
31:07,11,11,Bálint Ádám,4,VEDAC,F1,Szentgál (HUN),2023.4.02
33:06,12,12,Blaskó Benedek,6,VEDAC,F1,Szentgál (HUN),2023.4.02
28:42,1,1,Kalász Bertold,7,Centrál Elit AC,F1,Szentgál (HUN),2024.4.07
29:18,2,2,Major Dániel,8,Tovafutók SE,F1,Szentgál (HUN),2024.4.07
29:40,3,3,Árvay Csongor,7,Dobó SE,F1,Szentgál (HUN),2024.4.07
29:49,4,4,Gyallai Zsombor,6,SMAFC,F1,Szentgál (HUN),2024.4.07
31:37,5,5,Pocsai Levente,7,DVTK,F1,Szentgál (HUN),2024.4.07
35:00,6,6,Völgyi Balázs,5,Centrál Elit AC,F1,Szentgál (HUN),2024.4.07
36:48,7,7,Völgyi Ádám,5,Centrál Elit AC,F1,Szentgál (HUN),2024.4.07
