Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
7.49,1,1,Galambos Tibor,91,FTC,F,Budapest (HUN),2016.2.06
7.44,-,2,Galambos Tibor,91,FTC,F,Budapest (HUN),2016.2.21
7.36,-,3,Galambos Tibor,91,FTC,F,Budapest (HUN),2016.2.14
7.34,-,4,Galambos Tibor,91,FTC,F,Székesfehérvár (HUN),2016.1.23
7.34,2,4,Szabó László,91,FTC,F,Budapest (HUN),2016.1.24
7.29,3,6,Pap Kristóf,98,Haladás VSE,F,Bécs (AUT),2016.1.3
7.26,-,7,Pap Kristóf,98,Haladás VSE,F,Budapest (HUN),2016.2.27
7.23,-,8,Pap Kristóf,98,Haladás VSE,F,Budapest (HUN),2016.2.06
7.2,4,9,Erdélyi Zoltán,95,Szekszárdi Sportközpont,F,Budapest (HUN),2016.2.21
7.16,-,10,Pap Kristóf,98,Haladás VSE,F,Budapest (HUN),2016.2.21
7.13,5,11,Fedor Benjámin,98,Reménység Vác,F,Budapest (HUN),2016.2.27
7.1,-,12,Fedor Benjámin,98,Reménység Vác,F,Budapest (HUN),2016.2.06
7.1,-,12,Erdélyi Zoltán,95,Szekszárdi Sportközpont,CE,Budapest (HUN),2016.2.13
7.08,-,14,Galambos Tibor,91,FTC,F,Budapest (HUN),2016.1.24
7.08,6,14,Dömötör Balázs,75,KARC,F,Budapest (HUN),2016.2.21
7.05,7,16,Fajoyomi Viktor,91,KARC,F,Sabadell (ESP),2016.2.07
7.04,8,17,Leveleki Bence,0,NYSC,F,Nyíregyháza (HUN),2016.1.23
7.04,8,17,Bánhidi Bence,89,POSTÁS SE,F,Budapest (HUN),2016.2.21
7.01,10,19,László Dávid,92,ARAK,F,Budapest (HUN),2016.1.3
7.01,-,19,Fedor Benjámin,98,Reménység Vác,CE,Budapest (HUN),2016.2.13
7.0,-,21,Szabó László,91,FTC,F,Budapest (HUN),2016.2.06
6.99,-,22,Dömötör Balázs,75,KARC,F,Bonyhád (HUN),2016.2.1
6.98,11,23,Pál Robin,91,NYSC,F,Nyíregyháza (HUN),2016.1.23
6.98,11,23,Csermely Viktor,94,KARC,F,Budapest (HUN),2016.1.3
6.98,-,23,Fedor Benjámin,98,Reménység Vác,F,Budapest (HUN),2016.2.21
6.97,-,26,Csermely Viktor,94,KARC,F,Budapest (HUN),2016.2.06
6.97,13,26,Szabó Attila,84,BSC,CE,Budapest (HUN),2016.2.13
6.96,-,28,Leveleki Bence,0,NYSC,F,Nyíregyháza (HUN),2016.1.17
6.95,-,29,Szabó László,91,FTC,F,Székesfehérvár (HUN),2016.1.23
6.95,-,29,László Dávid,92,ARAK,F,Budapest (HUN),2016.2.21
6.94,-,31,Fajoyomi Viktor,91,KARC,CE,Budapest (HUN),2016.2.13
6.94,-,31,Szabó László,91,FTC,F,Budapest (HUN),2016.2.21
