Eredmény,Szél,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
7.81,2.0,1,1,Virovecz István,89,FTC,F,Székesfehérvár (HUN),2016.7.3
7.8,1.0,-,2,Virovecz István,89,FTC,F,Budapest (HUN),2016.6.18
7.62,0.6,-,3,Virovecz István,89,FTC,F,Maribor (SLO),2016.7.15
7.6,0.2,-,4,Virovecz István,89,FTC,F,Budapest (HUN),2016.7.22
7.57,0.9,2,5,Galambos Tibor,91,FTC,F,Debrecen (HUN),2016.6.04
7.57,1.6,-,5,Galambos Tibor,91,FTC,F,Budapest (HUN),2016.6.18
7.56,2.0,3,7,Bánhidi Bence,89,POSTÁS SE,F,Budapest (HUN),2016.6.18
7.53,0.0,-,8,Virovecz István,89,FTC,F,Budapest (HUN),2016.9.03
7.49,2.0,-,9,Galambos Tibor,91,FTC,F,Miskolc (HUN),2016.5.28
7.44,1.4,4,10,Pap Kristóf,98,Haladás VSE,F,Szombathely (HUN),2016.6.25
7.41,0.6,-,11,Bánhidi Bence,89,POSTÁS SE,F,Boissano (ITA),2016.9.29
7.39,1.0,5,12,Szabó László,91,FTC,CE,Budapest (HUN),2016.9.03
7.38,0.6,-,13,Pap Kristóf,98,Haladás VSE,F,Veszprém (HUN),2016.6.12
7.36,1.9,6,14,Fedor Benjámin,98,Reménység Vác,F,Székesfehérvár (HUN),2016.5.29
7.36,1.1,6,14,Erdélyi Zoltán,95,Szekszárdi Sportközpont,F,Szombathely (HUN),2016.6.25
7.34,1.2,-,16,Galambos Tibor,91,FTC,F,Székesfehérvár (HUN),2016.7.3
7.32,0.0,-,17,Galambos Tibor,91,FTC,F,Budapest (HUN),2016.9.03
7.31,1.3,8,18,László Dávid,92,ARAK,F,Miskolc (HUN),2016.5.28
7.28,1.9,-,19,Bánhidi Bence,89,POSTÁS SE,F,Székesfehérvár (HUN),2016.7.3
7.28,1.1,9,19,Lesku Patrik,97,DSC-SI,F,Székesfehérvár (HUN),2016.9.1
7.27,1.8,-,21,Fedor Benjámin,98,Reménység Vác,F,Budapest (HUN),2016.5.22
7.27,-0.2,-,21,Pap Kristóf,98,Haladás VSE,F,Székesfehérvár (HUN),2016.7.3
7.26,0.4,-,23,Galambos Tibor,91,FTC,F,Budapest (HUN),2016.7.22
7.26,0.7,-,23,Szabó László,91,FTC,F,Budapest (HUN),2016.9.03
7.23,,-,25,Erdélyi Zoltán,95,Szekszárdi Sportközpont,F,Bonyhád (HUN),2016.5.19
7.23,1.5,-,25,Szabó László,91,FTC,F,Miskolc (HUN),2016.5.28
