Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
7177,1,1,Fajoyomi Viktor,91,KARC,F,Kladno (CZE),2016.6.11
6477,2,2,Kriszt Botond,96,MATE - GEAC,F,Székesfehérvár (HUN),2016.9.18
6302,3,3,Szász Bence,93,FTC,F,Székesfehérvár (HUN),2016.9.18
6234,4,4,Galambos Zsolt,94,FTC,F,Székesfehérvár (HUN),2016.9.18
6175,5,5,Galambos Tibor,91,FTC,F,Székesfehérvár (HUN),2016.9.18
5513,6,6,Szabó László,91,FTC,F,Székesfehérvár (HUN),2016.9.18
5363,7,7,Kemenes Ákos,96,BHSE,F,Székesfehérvár (HUN),2016.9.18
5210,8,8,Botka Levente,96,ELTE SE Sashegyi gepárdok,F,Miskolc (HUN),2016.5.29
2823,9,9,Müllner Nándor,91,ELTE SE Sashegyi gepárdok,F,Miskolc (HUN),2016.5.29
6750,1,1,Naszódi Benedek,97,KSI SE,F,Debrecen (HUN),2017.5.21
6187,2,2,Raffai Péter,96,KSI SE,F,Debrecen (HUN),2017.5.21
5413,3,3,Hegedűs Mátyás,97,ARAK,F,Debrecen (HUN),2017.5.21
5344,4,4,Botka Levente,96,FTC,F,Debrecen (HUN),2017.5.21
5261,-,5,Botka Levente,96,FTC,F,Miskolc (HUN),2017.5.28
4746,5,6,Katonai Norbert,91,FTC,F,Debrecen (HUN),2017.5.21
4506,6,7,Majer Zsolt,96,ELTE SE Sashegyi gepárdok,F,Debrecen (HUN),2017.5.21
4432,7,8,Vágó András,88,FTC,F,Debrecen (HUN),2017.5.21
4104,-,9,Majer Zsolt,96,ELTE SE Sashegyi gepárdok,F,Miskolc (HUN),2017.5.28
6580,1,1,Kriszt Botond,96,MATE - GEAC,F1,Győr (HUN),2018.5.19
6172,2,2,Szász Bence,93,FTC,F1,Győr (HUN),2018.5.19
6152,3,3,Raffai Péter,96,MATE - GEAC,F1,Győr (HUN),2018.5.19
5535,4,4,Kurucz Gergely,81,ELTE SE Sashegyi gepárdok,F1,Győr (HUN),2018.5.19
5424,5,5,Kemenes Ákos,96,MATE - GEAC,F1,Győr (HUN),2018.5.19
4008,6,6,Vágó András,88,FTC,F1,Győr (HUN),2018.5.19
3642,7,7,Jacsó András,93,ELTE SE Sashegyi gepárdok,F1,Győr (HUN),2018.5.19
7109,1,1,Zsivoczky-Pandel Attila,77,KARC,F1,Budapest (HUN),2019.8.03
6323,2,2,Kriszt Botond,96,MATE - GEAC,F1,Budapest (HUN),2019.8.03
5951,-,3,Kriszt Botond,96,MATE - GEAC,F,Budapest (HUN),2019.5.26
5731,3,4,Tamási Ottó,94,KARC,F1,Budapest (HUN),2019.8.03
5700,4,5,Raffai Péter,96,TFSE,F1,Budapest (HUN),2019.8.03
5516,5,6,Gábris Dávid,99,KSI SE,F1,Budapest (HUN),2019.8.03
5018,6,7,Kemenes Ákos,96,MATE - GEAC,F1,Budapest (HUN),2019.8.03
4983,7,8,Gladys Bálint,99,KSI SE,F1,Budapest (HUN),2019.8.03
4654,8,9,Kurucz Gergely,81,ELTE SE Sashegyi gepárdok,F1,Budapest (HUN),2019.8.03
4133,9,10,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2019.8.03
3238,10,11,Balázs Boldizsár,91,ELTE SE Sashegyi gepárdok,F1,Budapest (HUN),2019.8.03
1120,11,12,Telek Tamás,92,ELTE SE Sashegyi gepárdok,F1,Budapest (HUN),2019.8.03
6759,1,1,Galambos Tibor,91,FTC,F1,Budapest (HUN),2020.7.25
6637,2,2,Tóth Zsombor,98,MATE - GEAC,F1,Budapest (HUN),2020.7.25
6271,3,3,Kriszt Botond,96,MATE - GEAC,F1,Budapest (HUN),2020.7.25
6143,4,4,Szamosi András,99,MATE - GEAC,F1,Budapest (HUN),2020.7.25
5536,5,5,Gábris Dávid,99,KSI SE,F1,Budapest (HUN),2020.7.25
4956,6,6,Seres Soma,0,MAFC,F1,Budapest (HUN),2020.7.25
3834,7,7,Németh Zsolt,99,MAFC,F1,Budapest (HUN),2020.7.25
3758,8,8,Gál Kristóf,0,ELTE SE Sashegyi gepárdok,F1,Budapest (HUN),2020.7.25
3740,9,9,Polk Bálint,0,MAFC,F1,Budapest (HUN),2020.7.25
6585,1,1,Tóth Zsombor,98,MATE - GEAC,F1,Székesfehérvár (HUN),2021.6.19
6197,2,2,Kriszt Botond,96,MATE - GEAC,F1,Székesfehérvár (HUN),2021.6.19
6125,3,3,Raffai Péter,96,TFSE,F1,Székesfehérvár (HUN),2021.6.19
6107,4,4,Szamosi András,99,MATE - GEAC,F1,Székesfehérvár (HUN),2021.6.19
5910,5,5,Gábris Dávid,99,KSI SE,F1,Székesfehérvár (HUN),2021.6.19
5891,6,6,Varga Bercel,1,KSI SE,F1,Székesfehérvár (HUN),2021.6.19
5644,7,7,Katonai Norbert,91,FTC,F1,Székesfehérvár (HUN),2021.6.19
5517,8,8,Németh Miklós,4,Németh-Gerely AC SE,F1,Székesfehérvár (HUN),2021.6.19
4649,9,9,Smelka Károly,1,FTC,F1,Székesfehérvár (HUN),2021.6.19
4453,10,10,Gladys Bálint,99,KSI SE,F1,Székesfehérvár (HUN),2021.6.19
4218,11,11,Kemenes Ákos,96,MATE - GEAC,F1,Székesfehérvár (HUN),2021.6.19
4125,12,12,Polk Bálint,0,MAFC,F1,Székesfehérvár (HUN),2021.6.19
3602,13,13,Kútsági Bálint,80,ELTE SE Sashegyi gepárdok,F1,Székesfehérvár (HUN),2021.6.19
3196,14,14,Gereczi Botond,0,ELTE SE Sashegyi gepárdok,F1,Székesfehérvár (HUN),2021.6.19
3106,15,15,Kurucz Gergely,81,ELTE SE Sashegyi gepárdok,F1,Székesfehérvár (HUN),2021.6.19
6550,1,1,Tóth Zsombor,98,MATE - GEAC,F,Miskolc (HUN),2022.5.21
6483,-,2,Tóth Zsombor,98,MATE - GEAC,F1,Pápa (HUN),2022.7.02
6225,2,3,Palicsek Botond,2,KSI SE,F1,Pápa (HUN),2022.7.02
5977,3,4,Hodossy-Takács Sámuel,2,DSC-SI,F1,Miskolc (HUN),2022.5.21
5929,-,5,Palicsek Botond,2,KSI SE,F1,Miskolc (HUN),2022.5.21
5884,4,6,Gábris Dávid,99,KSI SE,F1,Miskolc (HUN),2022.5.21
5884,-,6,Hodossy-Takács Sámuel,2,DSC-SI,F1,Pápa (HUN),2022.7.02
5837,-,8,Gábris Dávid,99,KSI SE,F1,Pápa (HUN),2022.7.02
5694,5,9,Varga Bercel,1,KSI SE,F1,Pápa (HUN),2022.7.02
4114,6,10,Smelka Károly,1,FTC,F,Miskolc (HUN),2022.5.21
4081,7,11,Sipos Boldizsár,2,KSI SE,F1,Pápa (HUN),2022.7.02
3447,8,12,Kútsági Bálint,80,ELTE SE Sashegyi gepárdok,F1,Pápa (HUN),2022.7.02
3418,9,13,Polk Bálint,0,MAFC,F1,Pápa (HUN),2022.7.02
7475,1,1,Gálpál Zsombor,3,BHSE,F1,Szolnok (HUN),2023.6.17
7354,-,2,Gálpál Zsombor,3,BHSE,F,Espoo (FIN),2023.7.16
5923,2,3,Palicsek Botond,2,KSI SE,F1,Szolnok (HUN),2023.6.17
5019,3,4,Katonai Norbert,91,FTC,F1,Szolnok (HUN),2023.6.17
4127,4,5,Cser Bence,92,KSI SE,F1,Szolnok (HUN),2023.6.17
4061,5,6,Kútsági Bálint,80,MAFC,F1,Szolnok (HUN),2023.6.17
3941,6,7,Varga András,3,MAFC,F1,Szolnok (HUN),2023.6.17
3506,7,8,Benkő László,3,MAFC,F1,Szolnok (HUN),2023.6.17
7985,1,1,Gálpál Zsombor,3,BHSE,F1,Budapest (HUN),2024.5.25
7528,-,2,Gálpál Zsombor,3,BHSE,F,Roma (ITA),2024.6.11
6493,2,3,Molnár Ádám,7,A-Plast Ikarus BSE,F,Banská Bystrica (SVK),2024.7.21
6221,3,4,Gábris Dávid,99,KSI SE,F1,Budapest (HUN),2024.5.25
5902,4,5,Tari Tibor,4,TFSE,F1,Budapest (HUN),2024.5.25
3920,5,6,Kútsági Bálint,80,MAFC,F1,Budapest (HUN),2024.5.25
