Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
19.62,1,1,Fischer Patrik,1,TSC-Geotech,F,Budapest (HUN),2016.2.06
18.27,2,2,Iván Zsombor,1,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.23
18.07,-,3,Iván Zsombor,1,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.17
18.0,-,4,Iván Zsombor,1,Miskolci Sportiskola,F,Budapest (HUN),2016.2.06
17.31,3,5,Haufe Rajmund,0,FTC,F,Budapest (HUN),2016.1.24
17.28,4,6,Gerics Roland,1,TSC-Geotech,F,Budapest (HUN),2016.2.06
17.23,5,7,Kémenes Áron,0,FTC,F,Budapest (HUN),2016.1.24
17.2,6,8,Fejes Karsa,1,KSI SE,F,Budapest (HUN),2016.2.06
17.16,7,9,Ntumazah Sebastian,1,NYSC,F,Budapest (HUN),2016.2.06
17.1,8,10,Papp Tamás,2,Ócsa SE,F,Budapest (HUN),2016.2.06
17.08,9,11,Smelka Károly,1,FTC,F,Budapest (HUN),2016.1.24
16.86,-,12,Gerics Roland,1,TSC-Geotech,F,Székesfehérvár (HUN),2016.1.23
16.86,10,12,Jancsik Tamás,1,Reménység Vác,F,Budapest (HUN),2016.2.06
16.84,-,14,Ntumazah Sebastian,1,NYSC,F,Nyíregyháza (HUN),2016.1.17
16.72,-,15,Fejes Karsa,1,KSI SE,F,Budapest (HUN),2016.1.24
16.54,11,16,Steiner Ákos,1,AC Bonyhád,F,Budapest (HUN),2016.2.06
16.44,12,17,Porkoláb Ákos,1,Szekszárdi Sportközpont,F,Bonyhád (HUN),2016.1.27
16.28,-,18,Steiner Ákos,1,AC Bonyhád,F,Bonyhád (HUN),2016.2.1
16.25,13,19,Tóvári Levente,2,UTE,F,Budapest (HUN),2016.2.06
16.24,14,20,Birizdó Ábel,1,FTC,F,Budapest (HUN),2016.2.06
16.08,-,21,Papp Tamás,2,Ócsa SE,F,Dunakeszi (HUN),2016.1.17
16.06,-,22,Steiner Ákos,1,AC Bonyhád,F,Bonyhád (HUN),2016.1.27
16.05,-,23,Steiner Ákos,1,AC Bonyhád,F,Bonyhád (HUN),2016.1.13
15.97,15,24,Fazekas Mátyás,1,AC Bonyhád,F,Bonyhád (HUN),2016.2.1
15.87,16,25,Koi Márk,1,FTC,F,Budapest (HUN),2016.1.24
15.85,17,26,Ábrahám Szabolcs,1,KSI SE,F,Budapest (HUN),2016.2.06
15.75,18,27,Sallai Ákos,2,Ócsa SE,F,Dunakeszi (HUN),2016.1.17
15.6,19,28,Zsár Dániel,1,UTE,F,Budapest (HUN),2016.2.06
15.58,-,29,Fazekas Mátyás,1,AC Bonyhád,F,Bonyhád (HUN),2016.1.27
15.58,20,29,Vörös Márton,1,UTE,F,Budapest (HUN),2016.2.06
15.57,21,31,Sneider Dániel,1,Dunakeszi VSE,F,Budapest (HUN),2016.2.06
15.54,22,32,Homonnai Dávid,1,ARAK,F,Budapest (HUN),2016.2.06
15.53,-,33,Sallai Ákos,2,Ócsa SE,F,Budapest (HUN),2016.2.06
15.45,23,34,Antal Kristóf,1,ARAK,F,Budapest (HUN),2016.2.06
15.4,24,35,Nemoda Balázs,2,UTE,F,Székesfehérvár (HUN),2016.1.23
15.37,25,36,Csahóczi Csanád,2,Keszthely VDSE,F,Zalaegerszeg (HUN),2016.1.29
15.37,25,36,Tóth Jonatán,1,Szolnoki SC-SI,F,Budapest (HUN),2016.2.06
15.35,27,38,Tigyi József,1,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.17
15.3,28,39,Papp Zsombor,2,Albertirsai SE,F,Budapest (HUN),2016.2.06
15.27,-,40,Antal Kristóf,1,ARAK,F,Bonyhád (HUN),2016.1.27
15.23,29,41,Szolnoki Szabolcs,1,Miskolci Sportiskola,F,Nyíregyháza (HUN),2016.1.17
15.2,-,42,Antal Kristóf,1,ARAK,F,Székesfehérvár (HUN),2016.1.23
15.15,-,43,Homonnai Dávid,1,ARAK,F,Székesfehérvár (HUN),2016.1.23
15.1,30,44,Hrubos Dominik,2,Ócsa SE,F,Budapest (HUN),2016.2.06
15.0,31,45,Horhi Milán,2,Reménység Vác,F,Budapest (HUN),2016.2.06
14.92,-,46,Koi Márk,1,FTC,F,Budapest (HUN),2016.2.06
14.91,-,47,Homonnai Dávid,1,ARAK,F,Bonyhád (HUN),2016.1.27
14.87,32,48,Németh Mátyás,1,Szekszárdi Sportközpont,F,Bonyhád (HUN),2016.1.27
14.77,33,49,Pinhasov Efraim,1,NYSC,F,Budapest (HUN),2016.2.06
14.69,-,50,Hrubos Dominik,2,Ócsa SE,F,Dunakeszi (HUN),2016.1.17
14.56,-,51,Pinhasov Efraim,1,NYSC,F,Nyíregyháza (HUN),2016.1.17
14.4,34,52,Shan Hong,1,NYSC,F,Nyíregyháza (HUN),2016.1.17
14.26,35,53,Galántai Bence,2,TSC-Geotech,F,Székesfehérvár (HUN),2016.1.23
14.08,36,54,Máthé Zsombor,2,FTC,F,Budapest (HUN),2016.2.06
18.4,1,1,Antal Bálint,2,KSI SE,F,Budapest (HUN),2017.2.04
17.82,2,2,Kis Bence,2,KARC,F,Budapest (HUN),2017.2.04
17.64,3,3,Smelka Dániel,2,FTC,F,Budapest (HUN),2017.2.04
17.03,-,4,Smelka Dániel,2,FTC,F,Székesfehérvár (HUN),2017.1.22
