Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
13.25,1,1,Soos Levente,3,MATE - GEAC,F,Budapest (HUN),2016.2.06
12.8,2,2,Filep-György Dominik,3,Veresegyház VSK,F,Budapest (HUN),2016.2.06
12.68,3,3,Klauzer László,3,ARAK,F,Budapest (HUN),2016.2.06
12.54,4,4,Láng Tamás,3,KSI SE,F,Budapest (HUN),2016.2.06
12.49,5,5,Ambrus Márk,3,Komlói BSK,F,Bonyhád (HUN),2016.1.13
12.34,-,6,Soos Levente,3,MATE - GEAC,F,Székesfehérvár (HUN),2016.1.23
12.33,-,7,Klauzer László,3,ARAK,F,Bonyhád (HUN),2016.1.27
12.29,6,8,Csetényi Zsolt,3,ARAK,F,Budapest (HUN),2016.2.06
12.29,6,8,Megyeri Dávid,3,A-Plast Ikarus BSE,F,Budapest (HUN),2016.2.06
12.27,-,10,Ambrus Márk,3,Komlói BSK,F,Budapest (HUN),2016.2.06
12.19,8,11,Fülöp Levente,3,Albertirsai SE,F,Budapest (HUN),2016.2.06
12.16,9,12,Kiss Alexander,3,ARAK,F,Budapest (HUN),2016.2.06
12.13,-,13,Megyeri Dávid,3,A-Plast Ikarus BSE,F,Nyíregyháza (HUN),2016.1.17
12.1,-,14,Soos Levente,3,MATE - GEAC,F,Dunakeszi (HUN),2016.1.17
12.0,10,15,Szamoránszky Gábor,3,Győri Atlétikai Club,F,Budapest (HUN),2016.2.06
11.94,-,16,Csetényi Zsolt,3,ARAK,F,Székesfehérvár (HUN),2016.1.23
11.93,11,17,Kardos László,3,KSI SE,F,Budapest (HUN),2016.2.06
11.89,12,18,Oláh Máté,3,DSC-SI,F,Budapest (HUN),2016.2.06
11.77,13,19,Szőke Kristóf,3,UTE,F,Budapest (HUN),2016.2.06
11.64,-,20,Kiss Alexander,3,ARAK,F,Székesfehérvár (HUN),2016.1.23
11.55,14,21,Sipőcz Milán,3,UTE,F,Budapest (HUN),2016.2.06
11.38,15,22,Ladányi Viktor,3,MATE - GEAC,F,Székesfehérvár (HUN),2016.1.23
11.37,16,23,Soós Márton,3,UTE,F,Budapest (HUN),2016.2.06
11.26,17,24,Mészáros Zsolt,3,TSC-Geotech,F,Budapest (HUN),2016.2.06
11.25,18,25,Virovecz Áron,3,TSC-Geotech,F,Budapest (HUN),2016.2.06
11.02,19,26,Némethy Szabolcs,3,BHSE,F,Székesfehérvár (HUN),2016.1.23
11.0,-,27,Virovecz Áron,3,TSC-Geotech,F,Székesfehérvár (HUN),2016.1.23
10.92,20,28,Gál Szabolcs,3,Szolnoki SC-SI,F,Budapest (HUN),2016.2.06
10.89,21,29,Bánovics József,3,MATE - GEAC,F,Székesfehérvár (HUN),2016.1.23
