Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
13.52,1,1,Kalmár Bence,3,Soproni AC,F,Debrecen (HUN),2016.7.1
13.38,2,2,Klauzer László,3,ARAK,F,Debrecen (HUN),2016.7.1
12.73,3,3,Láng Tamás,3,KSI SE,F,Debrecen (HUN),2016.7.1
12.7,4,4,Misák Dávid,3,TSC-Geotech,CE,Székesfehérvár (HUN),2016.9.17
12.58,5,5,Nabilek Péter,3,KSI SE,F,Debrecen (HUN),2016.7.1
12.57,-,6,Láng Tamás,3,KSI SE,F,Tiszaújváros (HUN),2016.4.3
12.5,-,7,Misák Dávid,3,TSC-Geotech,F,Debrecen (HUN),2016.7.1
12.45,6,8,Megyeri Dávid,3,A-Plast Ikarus BSE,CE,Albertirsa (HUN),2016.8.27
12.44,-,9,Megyeri Dávid,3,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.7.1
12.4,7,10,Ludányi Barnabás,3,Csepeli DAC,F,Debrecen (HUN),2016.7.1
12.36,-,11,Megyeri Dávid,3,A-Plast Ikarus BSE,CE,Székesfehérvár (HUN),2016.9.17
12.36,-,11,Klauzer László,3,ARAK,CE,Székesfehérvár (HUN),2016.9.17
12.3,-,13,Nabilek Péter,3,KSI SE,F,Tiszaújváros (HUN),2016.4.3
12.28,8,14,Klenovszki Barna,3,Csepeli DAC,F,Debrecen (HUN),2016.7.1
12.26,9,15,Géczy Ákos,3,Kazincbarcikai VSE,F,Tiszaújváros (HUN),2016.4.3
12.2,-,16,Nabilek Péter,3,KSI SE,CE,Székesfehérvár (HUN),2016.9.17
12.19,10,17,Némethy Szabolcs,3,BHSE,CE,Székesfehérvár (HUN),2016.9.17
12.17,-,18,Klenovszki Barna,3,Csepeli DAC,CE,Székesfehérvár (HUN),2016.9.17
12.16,11,19,Bágyi Viktor,3,Albertirsai SE,CE,Albertirsa (HUN),2016.8.27
12.12,-,20,Megyeri Dávid,3,A-Plast Ikarus BSE,F,Tiszaújváros (HUN),2016.4.3
12.03,12,21,Varga Örs,3,KSI SE,CE,Székesfehérvár (HUN),2016.9.17
12.02,13,22,Fülöp Levente,3,Albertirsai SE,F,Tiszaújváros (HUN),2016.4.3
11.89,14,23,Bakó Martin,3,Csepeli DAC,CE,Albertirsa (HUN),2016.8.27
11.76,-,24,Bágyi Viktor,3,Albertirsai SE,CE,Székesfehérvár (HUN),2016.9.17
11.68,15,25,Fekete Levente,3,MATE - GEAC,CE,Albertirsa (HUN),2016.8.27
11.64,16,26,Horváth László,3,A-Plast Ikarus BSE,CE,Albertirsa (HUN),2016.8.27
11.6,17,27,Bíró Máté,3,Egri Sportiskola SE,F,Tiszaújváros (HUN),2016.4.3
11.49,18,28,Kiss Alexander,3,ARAK,F,Debrecen (HUN),2016.7.1
11.49,18,28,Ujj Norbert,3,A-Plast Ikarus BSE,F,Debrecen (HUN),2016.7.1
11.48,20,30,Gálpál Zsombor,3,A-Plast Ikarus BSE,CE,Székesfehérvár (HUN),2016.9.17
11.47,-,31,Gálpál Zsombor,3,A-Plast Ikarus BSE,CE,Albertirsa (HUN),2016.8.27
11.47,-,31,Bakó Martin,3,Csepeli DAC,CE,Székesfehérvár (HUN),2016.9.17
11.26,21,33,Bachmann Benedek,3,UTE,F,Albertirsa (HUN),2016.5.14
11.17,-,34,Fekete Levente,3,MATE - GEAC,CE,Székesfehérvár (HUN),2016.9.17
10.97,22,35,Puhl Bálint,3,UTE,F,Tiszaújváros (HUN),2016.4.3
10.9,-,36,Puhl Bálint,3,UTE,F,Albertirsa (HUN),2016.5.14
10.28,23,37,Lakner Dániel,3,Csepeli DAC,F,Albertirsa (HUN),2016.5.14
10.2,24,38,Kónya Péter,3,Békéscsabai AC,CE,Székesfehérvár (HUN),2016.9.17
10.12,25,39,László Gyula,3,ZALASZÁM-ZAC,CE,Székesfehérvár (HUN),2016.9.17
13.41,1,1,Tatai Zalán,4,ARAK,F,Budapest (HUN),2017.7.09
13.32,-,2,Tatai Zalán,4,ARAK,CE,Székesfehérvár (HUN),2017.9.23
13.28,2,3,Nagy Martin,4,TSC-Geotech,F,Budapest (HUN),2017.7.09
13.25,3,4,Péceli Tamás,4,Szekszárdi Sportközpont,F,Budapest (HUN),2017.7.09
12.94,4,5,Bazsó Levente,4,Csepeli DAC,F,Budapest (HUN),2017.7.09
12.79,5,6,Kovács Milos,4,ARAK,F,Budapest (HUN),2017.7.09
12.77,6,7,Kerepeszki Máté,4,Albertirsai SE,CE,Albertirsa (HUN),2017.8.25
12.72,-,8,Bazsó Levente,4,Csepeli DAC,F,Albertirsa (HUN),2017.5.01
12.7,7,9,Schmidt Bence,4,PSN - Pécsi Sportiskola,F,Budapest (HUN),2017.7.09
12.68,8,10,Ráduly Marcell,4,Egri Sportiskola SE,F,Tiszaújváros (HUN),2017.4.29
12.51,9,11,Farkas Bálint,4,UTE,F,Budapest (HUN),2017.7.09
12.48,10,12,Nagy Dávid,4,ARAK,F,Budapest (HUN),2017.7.09
12.38,-,13,Schmidt Bence,4,PSN - Pécsi Sportiskola,CE,Székesfehérvár (HUN),2017.9.23
12.37,11,14,Antal Áron,4,KSI SE,F,Tiszaújváros (HUN),2017.4.29
12.33,12,15,Raffay Csanád,4,Csepeli DAC,CE,Albertirsa (HUN),2017.8.25
12.15,-,16,Raffay Csanád,4,Csepeli DAC,CE,Székesfehérvár (HUN),2017.9.23
12.14,-,17,Antal Áron,4,KSI SE,F,Budapest (HUN),2017.7.09
12.09,13,18,Kőszegváry Balázs,4,A-Plast Ikarus BSE,F,Budapest (HUN),2017.7.09
12.06,14,19,Dalmai Márton,4,Győri Atlétikai Club,CE,Székesfehérvár (HUN),2017.9.23
