Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
20.11,1,1,Fischer Patrik,1,TSC-Geotech,F,Debrecen (HUN),2016.7.1
19.64,2,2,Szenderffy Dániel,99,Dunakeszi VSE,F,Székesfehérvár (HUN),2016.5.08
19.36,3,3,Nagy Tamás,99,KARC,F,Székesfehérvár (HUN),2016.5.08
19.29,-,4,Fischer Patrik,1,TSC-Geotech,F,Székesfehérvár (HUN),2016.9.11
19.17,4,5,Iván Zsombor,1,Miskolci Sportiskola,F,Debrecen (HUN),2016.7.1
19.13,5,6,Salamon András,0,TSC-Geotech,F,Székesfehérvár (HUN),2016.5.08
18.8,-,7,Iván Zsombor,1,Miskolci Sportiskola,F,Székesfehérvár (HUN),2016.9.11
18.68,6,8,Szépe Gergő,99,ARAK,F,Székesfehérvár (HUN),2016.5.08
18.49,7,9,Világi Marcell,99,Miskolci Sportiskola,F,Székesfehérvár (HUN),2016.5.08
18.4,8,10,Fejes Karsa,1,KSI SE,F,Debrecen (HUN),2016.7.1
18.36,9,11,Ntumazah Sebastian,1,NYSC,F,Debrecen (HUN),2016.7.1
18.28,10,12,Haufe Rajmund,0,FTC,F,Székesfehérvár (HUN),2016.5.08
18.21,11,13,Tóth Gergely,99,ARAK,F,Székesfehérvár (HUN),2016.5.08
18.11,12,14,Eszes Dániel,99,Dunakeszi VSE,F,Székesfehérvár (HUN),2016.5.08
18.08,13,15,Smelka Károly,1,FTC,F,Budapest (HUN),2016.8.19
18.07,14,16,Csókás Nikolasz,0,ARAK,F,Székesfehérvár (HUN),2016.5.08
17.88,15,17,Jancsik Tamás,1,Reménység Vác,F,Budapest (HUN),2016.8.19
17.83,16,18,Molnár Dániel,1,MATE - GEAC,F,Székesfehérvár (HUN),2016.9.11
17.8,17,19,Gerics Roland,1,TSC-Geotech,F,Debrecen (HUN),2016.7.1
17.71,18,20,Ács Zsolt,0,TSC-Geotech,F,Székesfehérvár (HUN),2016.5.08
17.64,-,21,Ntumazah Sebastian,1,NYSC,F,Székesfehérvár (HUN),2016.9.11
17.6,19,22,Fazekas Mátyás,1,AC Bonyhád,F,Debrecen (HUN),2016.7.1
17.57,20,23,Iván Levente,0,Miskolci Sportiskola,F,Székesfehérvár (HUN),2016.5.08
