Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
45:06.15,1,1,Madarász Viktória,85,UTE,F,Székesfehérvár (HUN),2016.9.11
45:12.36,-,2,Madarász Viktória,85,UTE,F,Budapest (HUN),2016.9.04
47:23.61,-,3,Madarász Viktória,85,UTE,F,Szekszárd (HUN),2016.5.15
48:59.90,2,4,Oláh Barbara,93,Békéscsabai AC,F,Budapest (HUN),2016.9.04
49:23.59,3,5,Récsei Rita,96,BHSE,F,Debrecen (HUN),2016.5.15
49:24.83,-,6,Récsei Rita,96,BHSE,F,Budapest (HUN),2016.9.04
50:25.41,-,7,Récsei Rita,96,BHSE,F,Székesfehérvár (HUN),2016.9.11
51:37.88,4,8,Dimanopulosz Daphne,99,BHSE,F,Debrecen (HUN),2016.5.15
52:54.52,-,9,Oláh Barbara,93,Békéscsabai AC,F,Székesfehérvár (HUN),2016.9.11
53:35.17,5,10,Szarka Eszter,85,BHSE,F,Budapest (HUN),2016.9.04
54:55.51,-,11,Szarka Eszter,85,BHSE,F,Debrecen (HUN),2016.5.15
55:16.44,6,12,Matalin Brigitta,87,BHSE,F,Debrecen (HUN),2016.5.15
55:28.40,-,13,Szarka Eszter,85,BHSE,F,Székesfehérvár (HUN),2016.9.11
55:31.75,-,14,Dimanopulosz Daphne,99,BHSE,F,Budapest (HUN),2016.9.04
56:40.30,-,15,Dimanopulosz Daphne,99,BHSE,F,Székesfehérvár (HUN),2016.9.11
57:25.62,7,16,Südi Anna,97,BEAC,F,Szekszárd (HUN),2016.5.15
57:58.99,8,17,Szabó Réka,0,Békéscsabai AC,F,Székesfehérvár (HUN),2016.9.11
58:16.57,-,18,Südi Anna,97,BEAC,F,Szombathely (HUN),2016.6.26
58:31.02,9,19,Bodorkós-Horváth Katalin,67,Haladás VSE,F,Székesfehérvár (HUN),2016.9.11
59:06.59,-,20,Matalin Brigitta,87,BHSE,F,Székesfehérvár (HUN),2016.9.11
1:00:24.26,-,21,Matalin Brigitta,87,BHSE,F,Budapest (HUN),2016.9.04
1:02:25.27,10,22,Tánczos Mariann,88,Békési DAC,F,Debrecen (HUN),2016.5.15
1:03:31.69,11,23,Takácsné Bondor Krisztina,79,ZALASZÁM-ZAC,F,Székesfehérvár (HUN),2016.9.11
1:03:34.69,12,24,Vásárhelyi Zsófia,91,BEAC,F,Szekszárd (HUN),2016.5.15
1:03:51.00,-,25,Takácsné Bondor Krisztina,79,ZALASZÁM-ZAC,F,Szekszárd (HUN),2016.5.15
1:05:11.93,13,26,Szoó-Kiss Boglárka,91,Békési DAC,F,Debrecen (HUN),2016.5.15
1:06:13.88,14,27,Elek Dóra,98,Hunyadi DSE,F,Szombathely (HUN),2016.6.26
1:10:25.84,15,28,Szilágyi Emma,0,Békési DAC,F,Debrecen (HUN),2016.5.15
42:56.74,1,1,Madarász Viktória,85,UTE,F,Budapest (HUN),2017.9.03
