Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
32:19.15,1,1,Papp Krisztina,82,UTE,F1,Maia (POR),2016.4.09
32:32.54,-,2,Papp Krisztina,82,UTE,F,Parliament Hill (GBR),2016.5.21
34:44.53,2,3,File Zita,88,DSC-SI,F,Budapest (HUN),2016.5.01
35:34.64,3,4,Wagner-Gyürkés Viktória,92,A-Plast Ikarus BSE,F,Budapest (HUN),2016.5.01
35:58.98,4,5,Somogyi Anett,96,VEDAC,F,Budapest (HUN),2016.5.01
36:09.57,5,6,Staicu Simona,71,Dunakeszi VSE,F,Budapest (HUN),2016.5.01
36:12.09,6,7,Weiler Virág,96,KSI SE,F,Budapest (HUN),2016.5.01
36:45.86,7,8,Ferenc Katalin,94,BEAC,F,Budapest (HUN),2016.5.01
37:02.17,8,9,Laluska Zsuzsa,87,BHSE,F,Budapest (HUN),2016.5.01
37:02.20,9,10,Böhm Lilla,94,KSI SE,F,Budapest (HUN),2016.5.01
37:02.87,10,11,Ladányi Fruzsina,97,VEDAC,F,Budapest (HUN),2016.5.01
37:09.32,11,12,Pálfiné Gulyás Vera,86,DSC-SI,F,Budapest (HUN),2016.5.01
38:00.80,12,13,Veisz Adrienn,97,Győri Atlétikai Club,F,Budapest (HUN),2016.5.01
38:47.09,13,14,Horváth Tímea,94,BHSE,F,Budapest (HUN),2016.5.01
38:53.07,14,15,Pataki Anna,97,Miskolci Sportiskola,F,Budapest (HUN),2016.5.01
42:42.35,15,16,Purgai Evelyn,94,SZoESE,F,Budapest (HUN),2016.5.01
33:19.99,1,1,Papp Krisztina,82,UTE,F,Budapest (HUN),2017.4.3
34:39.45,2,2,File Zita,88,DSC-SI,F,Budapest (HUN),2017.4.3
35:23.56,3,3,Böhm Lilla,94,BHSE,F,Budapest (HUN),2017.4.3
35:48.14,4,4,Pavuk Tíra,99,Békéscsabai AC,F,Budapest (HUN),2017.4.3
36:11.91,5,5,Weiler Virág,96,KSI SE,F,Budapest (HUN),2017.4.3
36:37.78,6,6,Horváth Tímea,94,BHSE,F,Budapest (HUN),2017.4.3
36:39.04,7,7,Máté Anna,99,Kaposvári AC,F,Budapest (HUN),2017.4.3
36:40.19,8,8,Dr. Bakonyi Fruzsina,83,FOOTOUR S.E. TATA,F,Budapest (HUN),2017.4.3
37:02.05,9,9,Mógor Boglárka,99,BHSE,F,Budapest (HUN),2017.4.3
37:07.80,10,10,Somogyi Anett,96,VEDAC,F,"Los Angeles, CA (USA)",2017.3.1
38:47.53,11,11,Freierné Kovács Dóra,94,PVSK,F,Budapest (HUN),2017.4.3
39:18.02,12,12,Pataki Anna,97,Miskolci Sportiskola,F,Budapest (HUN),2017.4.3
42:08.18,13,13,Purgai Evelyn,94,SZoESE,F,Budapest (HUN),2017.4.3
33:05.80,1,1,Papp Krisztina,82,UTE,F,London (GBR),2018.5.19
33:07.64,2,2,File Zita,88,DSC-SI,F1,Budapest (HUN),2018.4.29
35:39.53,3,3,Vindics-Tóth Lili,98,BHSE,F1,Budapest (HUN),2018.4.29
35:45.08,4,4,Pálfiné Gulyás Vera,86,DSC-SI,F1,Budapest (HUN),2018.4.29
35:48.10,5,5,Weiler Virág,96,KSI SE,F1,Budapest (HUN),2018.4.29
36:00.41,6,6,Pavuk Tíra,99,Békéscsabai AC,F1,Budapest (HUN),2018.4.29
36:04.40,7,7,Szederkényi-Takács Andrea,81,EAC,F1,Budapest (HUN),2018.4.29
36:51.43,8,8,Weibl Anissa,87,VEDAC,F1,Budapest (HUN),2018.4.29
36:56.76,9,9,Máté Anna,99,Kaposvári AC,F1,Budapest (HUN),2018.4.29
37:31.87,10,10,Bánhidi Eszter,0,BHSE,F1,Budapest (HUN),2018.4.29
38:35.57,11,11,Horváth Tímea,94,BHSE,F1,Budapest (HUN),2018.4.29
34:06.91,1,1,Somogyi Anett,96,SVSE,F,Palo Alto (USA),2019.3.29
34:43.30,2,2,Vindics-Tóth Lili,98,BHSE,F1,Budapest (HUN),2019.4.28
34:57.36,3,3,Máté Anna,99,Kaposvári AC,F,Gävle (SWE),2019.7.12
35:09.75,4,4,Bicsák Flóra,97,UTE,F,Gävle (SWE),2019.7.12
35:22.26,5,5,Mógor Boglárka,99,BHSE,F1,Budapest (HUN),2019.4.28
35:28.39,-,6,Bicsák Flóra,97,UTE,F1,Budapest (HUN),2019.4.28
35:37.39,6,7,Gyurkó Fanni,87,Vasas,F,London (GBR),2019.7.06
35:38.17,7,8,Pálfiné Gulyás Vera,86,DSC-SI,F1,Budapest (HUN),2019.4.28
36:56.17,8,9,Szerencsi Ildikó,85,KSI SE,F1,Budapest (HUN),2019.4.28
37:32.95,9,10,Erdélyi Katinka,0,Győri Atlétikai Club,F1,Budapest (HUN),2019.4.28
37:33.48,10,11,Horváth Tímea,94,BHSE,F1,Budapest (HUN),2019.4.28
37:56.13,11,12,Járdi Emese,0,KARC,F1,Budapest (HUN),2019.4.28
38:20.90,12,13,Magyar Veronika,1,SVSE,F1,Budapest (HUN),2019.4.28
38:56.05,13,14,Purgai Evelyn,94,SZoESE,F1,Budapest (HUN),2019.4.28
39:16.18,14,15,Jánosi Lilla,99,BEAC,F1,Budapest (HUN),2019.4.28
40:35.25,15,16,Lendvai Luca,1,Győri Atlétikai Club,F1,Budapest (HUN),2019.4.28
34:53.42,1,1,Böhm Lilla,94,BHSE,F1,Budapest (HUN),2020.9.27
35:07.14,2,2,File Zita,88,DSC-SI,F1,Budapest (HUN),2020.9.27
35:46.05,3,3,Kovács-Garami Katalin,79,BHSE,F1,Budapest (HUN),2020.9.27
36:24.93,4,4,Merényi Panna,2,A-Plast Ikarus BSE,F1,Budapest (HUN),2020.9.27
36:30.23,5,5,Varga Eszter,2,PSN - Pécsi Sportiskola,F1,Budapest (HUN),2020.9.27
36:36.54,6,6,Farkas-Ohn Kinga,91,BEAC,F1,Budapest (HUN),2020.9.27
36:58.65,7,7,Bánhidi Eszter,0,BHSE,F1,Budapest (HUN),2020.9.27
37:10.82,8,8,Szabó Tünde,89,PVSK,F1,Budapest (HUN),2020.9.27
38:52.59,9,9,Néda Júlia,2,UTE,F1,Budapest (HUN),2020.9.27
38:54.38,10,10,Jánosi Lilla,99,BEAC,F1,Budapest (HUN),2020.9.27
39:31.93,11,11,Zákányi Panna,0,DVTK,F1,Budapest (HUN),2020.9.27
33:11.30,1,1,Pataki Anna,97,KSI SE,F,Eugene (USA),2021.4.02
33:57.70,2,2,Szabó Nóra,88,Margitszigeti AC,F1,Budapest (HUN),2021.9.19
34:14.97,-,3,Pataki Anna,97,KSI SE,H1,College Station (USA),2021.5.27
34:16.74,3,4,Bragmayer Zsanett,94,Ganzair Team Újbuda SE,F1,Budapest (HUN),2021.4.17
34:23.16,4,5,Molnár Léda,99,A-Plast Ikarus BSE,F1,Budapest (HUN),2021.4.17
34:59.16,-,6,Szabó Nóra,88,Margitszigeti AC,F1,Budapest (HUN),2021.4.17
35:02.95,5,7,Máté Anna,99,Kaposvári AC,F,"San Juan Capistrano, CA (USA)",2021.4.02
35:22.08,6,8,Kovács Zsófia,88,SVSE,F1,Budapest (HUN),2021.4.17
36:44.93,7,9,Merényi Panna,2,BHSE,F1,Budapest (HUN),2021.9.19
39:54.22,8,10,Zákányi Panna,0,DVTK,F1,Budapest (HUN),2021.9.19
41:03.75,9,11,Jánosi Lilla,99,BEAC,F1,Budapest (HUN),2021.9.19
41:04.35,10,12,Zólyomi Kinga,76,Csömöri Sport Kft.,F1,Budapest (HUN),2021.4.17
41:55.22,11,13,Behan Anikó,73,DVTK,F1,Budapest (HUN),2021.9.19
34:13.54,1,1,Böhm Lilla,94,BHSE,F1,Budapest (HUN),2022.5.01
34:34.87,2,2,Szabó Nóra,88,Margitszigeti AC,F1,Budapest (HUN),2022.5.01
36:07.55,3,3,Erdélyi Zsófia,87,Csömöri Sport Kft.,F1,Budapest (HUN),2022.5.01
37:02.10,4,4,Erdélyi Katinka,0,BEAC,F1,Budapest (HUN),2022.5.01
39:56.90,5,5,Sarcia Borbála,1,Ganzair Team Újbuda SE,F1,Budapest (HUN),2022.5.01
41:02.02,6,6,Baka Szilvia,1,Margitszigeti AC,F1,Budapest (HUN),2022.5.01
41:11.23,7,7,Szemán Kitti,4,VEDAC,F1,Budapest (HUN),2022.5.01
41:33.37,8,8,Zákányi Panna,0,DVTK,F1,Budapest (HUN),2022.5.01
32:48.54,1,1,Vindics-Tóth Lili,98,BHSE,F,Burjassot (ESP),2023.3.25
33:55.69,2,2,Szabó Nóra,88,Margitszigeti AC,F1,Budapest (HUN),2023.5.13
33:58.60,3,3,Böhm Lilla,94,BHSE,F2,Pacé (FRA),2023.6.03
38:46.88,4,4,Kocsis Kata,0,FTC,F1,Budapest (HUN),2023.5.13
38:54.47,5,5,Kovács Fruzsina,2,BEAC,F1,Budapest (HUN),2023.5.13
38:59.20,6,6,Varga Eszter,2,PSN - Pécsi Sportiskola,F1,Budapest (HUN),2023.5.13
39:10.23,7,7,Baka Szilvia,1,Margitszigeti AC,F1,Budapest (HUN),2023.5.13
39:51.25,8,8,Szemán Kitti,4,VEDAC,F1,Budapest (HUN),2023.5.13
40:42.82,9,9,Eszes Noémi,1,Margitszigeti AC,F1,Budapest (HUN),2023.5.13
41:13.87,10,10,Zákányi Panna,0,DVTK,F1,Budapest (HUN),2023.5.13
43:58.68,11,11,Szendi Csilla,5,BEAC,F1,Budapest (HUN),2023.5.13
32:41.41,1,1,Böhm Lilla,94,BHSE,F,Roma (ITA),2024.6.11
32:45.88,2,2,Wagner-Gyürkés Viktória,92,A-Plast Ikarus BSE,F1,Gödöllő (HUN),2024.4.27
32:46.45,-,3,Böhm Lilla,94,BHSE,F,Nijmegen (NED),2024.5.18
33:54.16,-,4,Böhm Lilla,94,BHSE,F1,Gödöllő (HUN),2024.4.27
37:23.14,3,5,Tomaschof Kata,93,FTC,F1,Gödöllő (HUN),2024.4.27
37:40.49,4,6,Soós Dorka,3,TFSE,F1,Gödöllő (HUN),2024.4.27
37:40.49,-,6,Soós Dorka,3,TFSE,F1,Gödöllő (HUN),2024.4.27
37:55.16,5,8,Tüttő Júlia,96,ELTE SE Sashegyi gepárdok,F1,Gödöllő (HUN),2024.4.27
37:58.76,6,9,Bogdándi Virág,92,Sanyosz Istálló,F1,Gödöllő (HUN),2024.4.27
38:12.13,7,10,Imre Petra,5,SZVSE,F1,Gödöllő (HUN),2024.4.27
38:12.13,-,10,Imre Petra,5,SZVSE,F1,Gödöllő (HUN),2024.4.27
38:37.26,-,12,Dobó Eszter,5,Vasas,F1,Gödöllő (HUN),2024.4.27
38:37.26,8,12,Dobó Eszter,5,Vasas,F1,Gödöllő (HUN),2024.4.27
38:49.31,-,14,Lövei Vanda,6,DVTK,F1,Gödöllő (HUN),2024.4.27
38:49.31,9,14,Lövei Vanda,6,DVTK,F1,Gödöllő (HUN),2024.4.27
38:51.81,10,16,Vastag Nóra,6,A-Plast Ikarus BSE,F1,Gödöllő (HUN),2024.4.27
38:51.81,-,16,Vastag Nóra,6,A-Plast Ikarus BSE,F1,Gödöllő (HUN),2024.4.27
39:08.66,-,18,Hartman Liliána,5,DSC-SI,F1,Gödöllő (HUN),2024.4.27
39:08.66,11,18,Hartman Liliána,5,DSC-SI,F1,Gödöllő (HUN),2024.4.27
40:04.12,12,20,Szemán Kitti,4,VEDAC,F1,Gödöllő (HUN),2024.4.27
40:04.12,-,20,Szemán Kitti,4,VEDAC,F1,Gödöllő (HUN),2024.4.27
40:33.65,-,22,Zatykó Luca,2,Vasas,F1,Gödöllő (HUN),2024.4.27
40:33.65,13,22,Zatykó Luca,2,Vasas,F1,Gödöllő (HUN),2024.4.27
40:40.19,14,24,Buglos Flóra,7,Vasas,F1,Gödöllő (HUN),2024.4.27
41:41.93,-,25,Kapás Janka,3,EVSI,F1,Gödöllő (HUN),2024.4.27
41:41.93,15,25,Kapás Janka,3,EVSI,F1,Gödöllő (HUN),2024.4.27
