Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
2:54.23,1,1,Kószás Kriszta,94,Győri Atlétikai Club,F,Kuldiga (LAT),2017.1.21
3:20.72,1,1,Lakatos Vanda,4,Budaörsi DSE,F,Pozsony (SVK),2018.12.16
3:00.19,1,1,Farkas-Ohn Kinga,91,BEAC,F,Kuldiga (LAT),2019.1.19
3:00.20,2,2,Heffner Hédi,1,BEAC,F,Kuldiga (LAT),2019.1.19
3:15.26,1,1,Fekete Sára,9,Győri Atlétikai Club,CE1,Budapest (HUN),2021.3.28
3:21.06,2,2,Pápai Nerina,8,Szombathelyi SI,CE2,Budapest (HUN),2021.3.28
3:26.18,3,3,Sum Nikolett,8,Veresegyház VSK,CE2,Budapest (HUN),2021.3.28
3:28.13,4,4,Lőkös Laura,8,MATE - GEAC,CE2,Budapest (HUN),2021.3.28
3:34.21,5,5,Tóth Hanga,8,Egri Sportiskola SE,CE2,Budapest (HUN),2021.3.28
3:36.44,6,6,Szauter Emese,9,ARAK,CE1,Budapest (HUN),2021.3.28
3:37.41,7,7,Jánosi Tünde,8,III. kerület TVE,CE2,Budapest (HUN),2021.3.28
3:37.91,8,8,Tas Nóra,8,Csepeli DAC,CE2,Budapest (HUN),2021.3.28
3:37.99,9,9,Hammer Natasa,8,VSD,CE2,Budapest (HUN),2021.3.28
3:38.19,10,10,Felföldi Janka,9,Győri Atlétikai Club,CE1,Budapest (HUN),2021.3.28
3:43.45,11,11,Gérnyi Zoé,9,Szombathelyi SI,CE1,Budapest (HUN),2021.3.28
3:43.88,12,12,Trekoványecz Panna,8,KSI SE,CE1,Budapest (HUN),2021.3.28
3:44.39,13,13,Kiss Gréta,8,REAC SI SE,CE2,Budapest (HUN),2021.3.28
3:46.63,14,14,Kárász Anna,8,ARAK,CE2,Budapest (HUN),2021.3.28
3:47.89,15,15,Szalai Hanna,9,ARAK,CE1,Budapest (HUN),2021.3.28
3:57.15,16,16,Gombás Petra,8,ARAK,CE1,Budapest (HUN),2021.3.28
4:04.78,17,17,Ferenczi Nóra,8,Egri Sportiskola SE,CE1,Budapest (HUN),2021.3.28
4:11.52,18,18,Máté Ifeoma,8,Szekszárdi Sportközpont,CE1,Budapest (HUN),2021.3.28
3:06.5h,1,1,Fekete Sára,9,Győri Atlétikai Club,CE4,Budapest (HUN),2022.3.13
3:10.97,2,2,Jármay Boróka,7,Castor SE,F1,Budapest (HUN),2022.2.2
3:11.68,3,3,Holecz Anna,8,Salgótarjáni AC,F1,Budapest (HUN),2022.2.2
3:12.33,4,4,Kiss Zsófia,9,SVSE,F1,Budapest (HUN),2022.2.2
3:18.4h,-,5,Kiss Zsófia,9,SVSE,CE4,Budapest (HUN),2022.3.13
3:22.48,5,6,Rákosy Csenge,8,POSTÁS SE,F1,Budapest (HUN),2022.2.2
3:24.49,6,7,Soós Réka,9,UTE,F1,Budapest (HUN),2022.2.2
3:24.89,7,8,Bálint Gréta,9,PVSK,F1,Budapest (HUN),2022.2.2
3:25.9h,8,9,Varga Anna,9,SFAC,CE4,Budapest (HUN),2022.3.13
3:26.8h,9,10,Daróczi Petra,9,MATE - GEAC,CE4,Budapest (HUN),2022.3.13
3:28.90,10,11,Nonn Viktória,9,A-Plast Ikarus BSE,F1,Budapest (HUN),2022.2.2
3:29.4h,-,12,Nonn Viktória,9,A-Plast Ikarus BSE,CE1,Budapest (HUN),2022.3.13
3:29.8h,11,13,Sipos Veronika,9,Győri Atlétikai Club,CE4,Budapest (HUN),2022.3.13
3:30.3h,12,14,Kálmán Lujza,9,Győri Atlétikai Club,CE4,Budapest (HUN),2022.3.13
3:30.6h,13,15,Felföldi Janka,9,Győri Atlétikai Club,CE3,Budapest (HUN),2022.3.13
3:30.8h,14,16,Gréger Noémi,10,SFAC,CE3,Budapest (HUN),2022.3.13
3:30.9h,15,17,Fűke Gréta,10,Győri Atlétikai Club,CE3,Budapest (HUN),2022.3.13
3:31.6h,16,18,Dévald Boglárka,9,Csepeli DAC,CE2,Budapest (HUN),2022.3.13
3:32.5h,17,19,Szupper Luca,9,SFAC,CE3,Budapest (HUN),2022.3.13
3:33.47,18,20,Sinka Lora,8,VEDAC,F1,Budapest (HUN),2022.2.2
3:33.6h,19,21,Szauter Emese,9,ARAK,CE1,Budapest (HUN),2022.3.13
3:34.9h,20,22,Tóth Fruzsina,9,Veresegyház VSK,CE2,Budapest (HUN),2022.3.13
3:35.86,21,23,Bálint Adrienn,9,A-Plast Ikarus BSE,F1,Budapest (HUN),2022.2.2
3:38.3h,22,24,Gérnyi Zoé,9,Szombathelyi SI,CE4,Budapest (HUN),2022.3.13
3:38.6h,23,25,Schreiber Dóra,9,ARAK,CE2,Budapest (HUN),2022.3.13
3:38.7h,24,26,Horváth Boglárka,10,Veresegyház VSK,CE1,Budapest (HUN),2022.3.13
3:41.33,25,27,Kutrovits Lilla,9,A-Plast Ikarus BSE,F1,Budapest (HUN),2022.2.2
3:41.4h,26,28,Bóka Anna,10,VSD,CE1,Budapest (HUN),2022.3.13
3:41.8h,-,29,Bálint Adrienn,9,A-Plast Ikarus BSE,CE1,Budapest (HUN),2022.3.13
3:41.9h,27,30,Sógorka Barbara,10,ARAK,CE2,Budapest (HUN),2022.3.13
3:42.1h,28,31,Kiss Ramóna,9,SFAC,CE4,Budapest (HUN),2022.3.13
3:42.6h,29,32,Soós Vivien,10,Veresegyház VSK,CE2,Budapest (HUN),2022.3.13
3:42.9h,30,33,Szabó-Kirády Liza,9,SFAC,CE4,Budapest (HUN),2022.3.13
3:43.1h,31,34,Futár Alíz,9,A-Plast Ikarus BSE,CE1,Budapest (HUN),2022.3.13
3:43.2h,-,35,Kutrovits Lilla,9,A-Plast Ikarus BSE,CE1,Budapest (HUN),2022.3.13
3:43.9h,32,36,Heisz Hanga,9,VSD,CE2,Budapest (HUN),2022.3.13
3:45.7h,33,37,Berta Luca,10,SFAC,CE3,Budapest (HUN),2022.3.13
3:45.9h,34,38,Ladányi Léna,10,Albertirsai SE,CE1,Budapest (HUN),2022.3.13
3:46.7h,35,39,Kumánovich Kinga,9,Kőszegi Lóránt FC,CE3,Budapest (HUN),2022.3.13
3:47.4h,36,40,Vincze Boróka,10,Győri Atlétikai Club,CE3,Budapest (HUN),2022.3.13
3:52.5h,37,41,Varju Szonja,9,VSD,CE2,Budapest (HUN),2022.3.13
3:54.2h,38,42,Burger Dorina,10,Csepeli DAC,CE1,Budapest (HUN),2022.3.13
3:54.8h,39,43,Holczer Anett,10,Győri Atlétikai Club,CE4,Budapest (HUN),2022.3.13
3:55.8h,40,44,Schmelczer Bodza,10,Győri Atlétikai Club,CE3,Budapest (HUN),2022.3.13
3:56.4h,41,45,Fábián Boróka,10,Szombathelyi SI,CE4,Budapest (HUN),2022.3.13
3:56.6h,42,46,Koszpek Bianka,9,ARAK,CE2,Budapest (HUN),2022.3.13
4:01.1h,43,47,Balikó Brigitta,10,Győri Atlétikai Club,CE3,Budapest (HUN),2022.3.13
4:10.2h,44,48,Tóth- Vári Regina,10,Veresegyház VSK,CE2,Budapest (HUN),2022.3.13
4:14.4h,45,49,Szász Bernadett,9,KARC,CE3,Budapest (HUN),2022.3.13
4:22.2h,46,50,Mentes Málna,10,Kőszegi Lóránt FC,CE3,Budapest (HUN),2022.3.13
4:36.8h,47,51,Hadnagy Flóra,9,TSC-Geotech,CE2,Budapest (HUN),2022.3.13
3:19.49,1,1,Maróti Olga,11,Szegedi RSC,F1,Budapest (HUN),2023.2.12
3:19.91,2,2,Varga Szonja,11,VEDAC,F1,Budapest (HUN),2023.2.12
3:22.84,3,3,Sosterics Gréta,11,Szegedi RSC,F1,Budapest (HUN),2023.2.12
3:29.24,4,4,Kutrovits Diána,11,A-Plast Ikarus BSE,F1,Budapest (HUN),2023.2.12
3:39.49,5,5,Szekér Dália,11,A-Plast Ikarus BSE,F1,Budapest (HUN),2023.2.12
3:45.01,6,6,Rontó Szofi,11,A-Plast Ikarus BSE,F1,Budapest (HUN),2023.2.12
