Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
3:13.38,1,1,Hegyi Brigitta,94,Jogging Plus,F,Senta (SRB),2016.4.16
2:52.80,1,1,File Zita,88,DSC-SI,F,Domažlice (CZE),2017.9.15
3:48.51,2,2,Horváth Zsuzsanna,5,Favorit AC,F,Szekszárd (HUN),2017.9.13
2:52.56,1,1,File Zita,88,DSC-SI,F,Domažlice (CZE),2018.9.14
3:17.09,1,1,Dombi Kamilla,6,BHSE,F,Ville de Nivelles (FRA),2019.6.22
2:53.10,1,1,K. Szabó Gabriella,2,DSC-SI,F1,Békéscsaba (HUN),2020.6.26
3:07.30,2,2,Zahorán Adrienn,98,Békéscsabai AC,F1,Békéscsaba (HUN),2020.6.26
3:08.19,3,3,Kis Petra,6,Gyulasport Nonprofit Kft.,F1,Békéscsaba (HUN),2020.6.26
3:14.23,4,4,Imre Petra,5,SZVSE,F1,Békéscsaba (HUN),2020.6.26
3:16.30,5,5,Pavuk Tíra,99,Békéscsabai AC,F1,Békéscsaba (HUN),2020.6.26
3:22.83,6,6,Mihály Réka,96,Békéscsabai AC,F1,Békéscsaba (HUN),2020.6.26
3:24.86,7,7,Bese Bettina,2,Békéscsabai AC,F1,Békéscsaba (HUN),2020.6.26
3:47.73,8,8,Komáromi Lili,7,Békéscsabai AC,F1,Békéscsaba (HUN),2020.6.26
2:52.68,1,1,K. Szabó Gabriella,2,DSC-SI,F1,Budapest (HUN),2021.5.09
2:57.83,2,2,Zahorán Adrienn,98,Békéscsabai AC,F1,Békéscsaba (HUN),2021.6.18
2:59.95,3,3,Kis Petra,6,Békéscsabai AC,F1,Békéscsaba (HUN),2021.6.18
3:08.90,4,4,Fekete Sára,9,Győri Atlétikai Club,CE1,Győr (HUN),2021.7.04
3:13.30,5,5,Kapás Janka,3,Egri Sportiskola SE,F1,Budapest (HUN),2021.5.09
3:14.66,6,6,Bálint Gréta,9,PVSK,CE1,Győr (HUN),2021.7.04
3:14.71,7,7,Mihály Réka,96,Békéscsabai AC,F1,Békéscsaba (HUN),2021.6.18
3:15.56,8,8,Bálint Laura,2,VEDAC,F1,Budapest (HUN),2021.5.09
3:17.46,9,9,Pápai Nerina,8,Szombathelyi SI,CE2,Győr (HUN),2021.7.04
3:22.33,10,10,Klokocs Kata,10,Békéscsabai AC,F1,Békéscsaba (HUN),2021.6.18
3:22.36,11,11,Barta Bodza,9,Miskolci Sportiskola,F1,Budapest (HUN),2021.5.09
3:22.65,12,12,Sipos Veronika,9,Győri Atlétikai Club,CE2,Győr (HUN),2021.7.04
3:23.26,13,13,Tóth Nikolett,3,CVSE,F1,Budapest (HUN),2021.5.09
3:27.53,14,14,Rákosy Csenge,8,POSTÁS SE,CE2,Győr (HUN),2021.7.04
3:27.57,15,15,Tóth Hanga,8,Egri Sportiskola SE,CE1,Győr (HUN),2021.7.04
3:29.24,16,16,Pavuk Tíra,99,Békéscsabai AC,F1,Békéscsaba (HUN),2021.6.18
3:29.78,17,17,Daróczi Petra,9,MATE - GEAC,CE2,Győr (HUN),2021.7.04
3:31.08,18,18,Dévald Boglárka,9,Csepeli DAC,CE2,Győr (HUN),2021.7.04
3:33.81,19,19,Faragó Hanna,8,Albertirsai SE,CE1,Albertirsa (HUN),2021.6.11
3:34.39,-,20,Daróczi Petra,9,MATE - GEAC,CE1,Albertirsa (HUN),2021.6.11
3:34.57,20,21,Varga Anna,9,SFAC,CE1,Győr (HUN),2021.7.04
3:36.11,21,22,Hammer Natasa,8,VSD,F1,Budapest (HUN),2021.5.09
3:38.18,22,23,Skorka Johanna,6,Békéscsabai AC,F1,Békéscsaba (HUN),2021.6.18
3:38.34,23,24,Kiss Gréta,8,REAC SI SE,CE1,Albertirsa (HUN),2021.6.11
3:38.53,24,25,Felföldi Janka,9,Győri Atlétikai Club,CE1,Győr (HUN),2021.7.04
3:39.03,25,26,Erdős Veronika,8,Szolnoki SC-SI,CE2,Győr (HUN),2021.7.04
3:39.34,26,27,Sáji Gabriella,9,Szolnoki SC-SI,CE1,Albertirsa (HUN),2021.6.11
3:39.61,-,28,Rákosy Csenge,8,POSTÁS SE,CE1,Albertirsa (HUN),2021.6.11
3:39.75,27,29,Csáki Natália,6,SVSE,F1,Budapest (HUN),2021.5.09
3:40.73,28,30,Orsós Zsolna,8,Győri Atlétikai Club,CE1,Győr (HUN),2021.7.04
3:42.15,-,31,Kiss Gréta,8,REAC SI SE,CE2,Győr (HUN),2021.7.04
3:42.19,-,32,Dévald Boglárka,9,Csepeli DAC,CE1,Albertirsa (HUN),2021.6.11
3:42.59,-,33,Faragó Hanna,8,Albertirsai SE,CE2,Győr (HUN),2021.7.04
3:42.62,29,34,Kalina Eliza,9,Szolnoki SC-SI,CE2,Győr (HUN),2021.7.04
3:43.32,30,35,Bolla Elinor,8,Soproni AC,CE1,Győr (HUN),2021.7.04
3:45.18,31,36,Gérnyi Zoé,9,Szombathelyi SI,CE1,Győr (HUN),2021.7.04
3:46.04,32,37,Mézes Virág,9,Békéscsabai AC,F1,Békéscsaba (HUN),2021.6.18
3:46.05,33,38,Gusztafik Luca,8,Szolnoki SC-SI,CE2,Győr (HUN),2021.7.04
3:48.27,34,39,Ritócz Lili,9,POSTÁS SE,CE1,Albertirsa (HUN),2021.6.11
3:50.18,35,40,Komáromi Lili,7,Békéscsabai AC,F1,Békéscsaba (HUN),2021.6.18
3:54.51,-,41,Gusztafik Luca,8,Szolnoki SC-SI,CE1,Albertirsa (HUN),2021.6.11
3:54.64,36,42,Gecsei Lili,8,Albertirsai SE,CE1,Albertirsa (HUN),2021.6.11
3:55.55,37,43,Karancsi Zsanett,9,Szolnoki SC-SI,CE2,Győr (HUN),2021.7.04
3:59.95,-,44,Kalina Eliza,9,Szolnoki SC-SI,CE1,Albertirsa (HUN),2021.6.11
4:02.00,38,45,Bíró Nikolett,8,Békéscsabai AC,F1,Békéscsaba (HUN),2021.6.18
4:04.58,-,46,Karancsi Zsanett,9,Szolnoki SC-SI,CE1,Albertirsa (HUN),2021.6.11
4:05.40,39,47,Sánta Sára,9,Békési DAC,F1,Békéscsaba (HUN),2021.6.18
4:09.04,40,48,Böcskei Blanka,8,Győri Atlétikai Club,CE1,Győr (HUN),2021.7.04
4:12.11,41,49,Körömi Kornélia,11,Békéscsabai AC,F1,Békéscsaba (HUN),2021.6.18
4:17.70,42,50,Sziebert Gréta,9,III. kerület TVE,CE1,Győr (HUN),2021.7.04
3:17.18,1,1,Esső Dóra,7,VEDAC,F1,Pápa (HUN),2022.10.15
3:19.00,2,2,Kiss Zsófia,9,SVSE,F1,Pápa (HUN),2022.10.15
3:20.27,3,3,Faour Míra,7,DOVASE,F1,Pápa (HUN),2022.10.15
3:22.70,4,4,Szekeres Hanna,7,VEDAC,F1,Pápa (HUN),2022.10.15
3:23.25,5,5,Zsohár Lúcia,8,SVSE,F1,Pápa (HUN),2022.10.15
3:25.80,6,6,Meilinger Vivien,10,SVSE,F1,Pápa (HUN),2022.10.15
3:26.50,7,7,Sandl Viktória,9,Pápai AC,F1,Pápa (HUN),2022.10.15
