Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
127884,1,1,Kádár Kitti,87,EFM,F1,Martonvásár (HUN),2023.4.15
121900,2,2,Makai Viktória,80,FTC,F1,Martonvásár (HUN),2023.4.15
112898,3,3,Hugyecz Attiláné,70,Reménység Vác,F1,Martonvásár (HUN),2023.4.15
112364,4,4,Terenyi Edit,80,Kanizsai Futóklub,F1,Martonvásár (HUN),2023.4.15
109800,5,5,Hornyánszki Christiane,74,Balatonfüredi Atlétikai Club,F1,Martonvásár (HUN),2023.4.15
57120,6,6,Drabik Krisztina,79,ELTE SE Sashegyi gepárdok,F1,Martonvásár (HUN),2023.4.15
115552,1,1,Györkös Virág,76,Pápai AC,F1,Martonvásár (HUN),2024.4.13
113031,2,2,Földi Zsuzsanna,76,Balatonfüredi Atlétikai Club,F1,Martonvásár (HUN),2024.4.13
110455,3,3,Karayné Jokesz Gabriella,76,Tapolcai Trappolók SE,F1,Martonvásár (HUN),2024.4.13
107584,4,4,Fülöp-Wittman Krisztina,87,Havasi Gyopár FE,F1,Martonvásár (HUN),2024.4.13
101084,5,5,Nagy Hajnalka,81,Tapolcai Trappolók SE,F1,Martonvásár (HUN),2024.4.13
81600,6,6,Terenyi Edit,80,Kanizsai Futóklub,F1,Martonvásár (HUN),2024.4.13
62560,7,7,Cinkotai Klára,77,ELTE SE Sashegyi gepárdok,F1,Martonvásár (HUN),2024.4.13
