Eredmény,A.h.,Er.h.,Atléta,Szül,Klub,Típus,Helyszín,Dátum
1:21:30,1,1,Südi Anna,97,BEAC,F,Békéscsaba (HUN),2016.4.3
1:32:54,2,2,Elek Dóra,98,Hunyadi DSE,F,Békéscsaba (HUN),2016.4.3
1:17:21,1,1,Dimanopulosz Daphne,99,BHSE,F,Békéscsaba (HUN),2017.4.3
1:24:37,2,2,Komoróczy Laura,99,BHSE,F,Békéscsaba (HUN),2017.4.3
1:37:59,3,3,Tatay Kata,99,BHSE,F,Békéscsaba (HUN),2017.4.3
1:23:35,1,1,Komoróczy Laura,99,BHSE,F1,Békéscsaba (HUN),2018.4.22
1:23:42,2,2,Dimanopulosz Daphne,99,BHSE,F1,Békéscsaba (HUN),2018.4.22
1:38:06,3,3,Tatay Kata,99,BHSE,F1,Békéscsaba (HUN),2018.4.22
1:14:41,1,1,Csörgő Dóra,1,Hunyadi DSE,F1,Békéscsaba (HUN),2019.4.28
1:16:33,1,1,Zahorán Petra,2,Békéscsabai AC,F1,Békéscsaba (HUN),2020.9.27
1:19:02,2,2,Csörgő Dóra,1,Hunyadi DSE,F1,Békéscsaba (HUN),2020.9.27
1:28:48,3,3,Jezsoviczki Anna,2,Hunyadi DSE,F1,Békéscsaba (HUN),2020.9.27
1:14:02,1,1,Spiller Tiziana,3,BHSE,F1,Békéscsaba (HUN),2021.4.18
1:29:46,2,2,Molnár Boglárka,3,Miskolci Sportiskola,F1,Békéscsaba (HUN),2021.4.18
1:10:42,1,1,Récsei Rita,96,BHSE,F,Olhão (POR),2024.2.04
1:13:02,2,2,Spiller Tiziana,3,BHSE,F,Olhão (POR),2024.2.04
